#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -4.29955e-06        -2.64587e-05        9.59129e-06         2.73822e-05         -1.64309e-05        -4.03866e-05        
0.00347769          256                 -0.0743282          -0.0250754          0.0059848           0.0207334           -0.0715229          -0.0356894          
0.00695537          512                 0.120777            0.00775059          0.568017            -0.00839931         -0.770774           0.0120354           
0.0104331           768                 1.57191             -0.214721           7.32436             0.339093            -9.56379            -0.337168           
0.0139107           1024                1.64605             -1.99057            27.418              2.07507             -40.5149            -3.09088            
0.0173884           1280                -3.18167            -0.71042            -27.4549            0.598432            39.2494             -1.05442            
0.0208661           1536                -2.38888            0.0036442           -8.85584            -0.0480416          11.4805             0.0170484           
0.0243438           1792                0.451732            0.631552            -4.73357            -0.661461           7.56806             0.979367            
0.0278215           2048                0.890152            0.734501            1.69448             -0.730498           -1.84636            1.1228              
0.0312992           2304                1.12469             0.696954            9.88228             -0.677144           -14.2538            1.05089             
0.0347769           2560                -0.565892           0.861794            -5.87863            -0.882646           8.43948             1.32706             
0.0382545           2816                0.266623            0.449906            1.77623             -0.451749           -2.53697            0.686835            
0.0417322           3072                0.31747             0.488415            0.15205             -0.490559           0.00882928          0.747477            
0.0452099           3328                0.173792            0.384658            0.972024            -0.384803           -1.36993            0.586814            
0.0486876           3584                0.0766194           0.329791            0.254196            -0.331843           -0.356116           0.504262            
0.0521653           3840                -0.0450544          0.278467            -0.659476           -0.282333           0.946685            0.427181            
0.055643            4096                0.101319            0.211191            0.669711            -0.210698           -0.957826           0.321878            
0.0591207           4352                0.0541065           0.204156            0.0609105           -0.204741           -0.0643386          0.312127            
0.0625984           4608                0.00547233          0.171703            -0.223644           -0.174159           0.33028             0.26287             
0.066076            4864                -0.010558           0.16796             -0.228145           -0.170667           0.322851            0.257341            
0.0695537           5120                -0.00778548         0.180155            -0.20104            -0.182776           0.282658            0.275946            
0.0730314           5376                -0.00320283         0.18775             -0.284053           -0.190894           0.413243            0.287799            
0.0765091           5632                0.0099088           0.202978            -0.250278           -0.206146           0.372098            0.311085            
0.0799868           5888                0.0214608           0.215134            -0.169219           -0.21852            0.256279            0.329426            
0.0834645           6144                0.0289862           0.238097            -0.170334           -0.241605           0.262665            0.364634            
0.0869422           6400                0.0326474           0.258428            -0.185059           -0.262239           0.286494            0.395791            
0.0904198           6656                0.0354789           0.278204            -0.219826           -0.282349           0.340576            0.426127            
0.0938975           6912                0.0480477           0.300629            -0.122079           -0.304563           0.199937            0.460333            
0.0973752           7168                0.0555356           0.317208            -0.104508           -0.320944           0.178637            0.485626            
0.100853            7424                0.0626338           0.322117            -0.0395118          -0.325724           0.0844313           0.493012            
0.104331            7680                0.0560203           0.325787            -0.106275           -0.329784           0.180104            0.498647            
0.107808            7936                0.0581618           0.331809            -0.134055           -0.335515           0.225255            0.508029            
0.111286            8192                0.0649163           0.320486            -0.0316569          -0.323696           0.0752119           0.490544            
0.114764            8448                0.0548232           0.316575            -0.0212682          -0.31972            0.0503261           0.484503            
0.118241            8704                0.036857            0.308633            -0.155372           -0.31222            0.240464            0.472523            
0.121719            8960                0.0457903           0.296879            -0.112451           -0.300376           0.183603            0.454343            
0.125197            9216                0.0555405           0.300477            -0.0764028          -0.303426           0.137023            0.460033            
0.128674            9472                0.0473726           0.297367            -0.149248           -0.300693           0.241642            0.455334            
0.132152            9728                0.0477741           0.294843            -0.0929219          -0.298222           0.155596            0.451323            
0.13563             9984                0.0515696           0.301292            -0.0891837          -0.304652           0.152762            0.46117             
0.139107            10240               0.0508228           0.304918            -0.164167           -0.308598           0.266706            0.466842            
0.142585            10496               0.0588937           0.311829            -0.108969           -0.315209           0.189072            0.477456            
0.146063            10752               0.058536            0.3106              -0.0502233          -0.313949           0.0982517           0.475316            
0.149541            11008               0.0482677           0.313959            -0.14253            -0.317489           0.230553            0.480645            
0.153018            11264               0.0544607           0.310479            -0.134977           -0.314034           0.224689            0.475348            
0.156496            11520               0.0629086           0.315506            -0.0457189          -0.318313           0.0956371           0.48301             
0.159974            11776               0.0598518           0.307782            -0.0719969          -0.310685           0.133435            0.47104             
0.163451            12032               0.0510287           0.296622            -0.11742            -0.299853           0.195952            0.453946            
0.166929            12288               0.0474971           0.293514            -0.117968           -0.296523           0.194249            0.449451            
0.170407            12544               0.046336            0.284773            -0.109105           -0.287656           0.180444            0.435967            
0.173884            12800               0.046427            0.274764            -0.0817631          -0.277715           0.139032            0.420498            
0.177362            13056               0.0396282           0.272747            -0.135006           -0.275595           0.214921            0.417553            
0.18084             13312               0.0419364           0.266654            -0.0791411          -0.269656           0.131638            0.40823             
0.184317            13568               0.0375334           0.267078            -0.193725           -0.27054            0.303187            0.409044            
0.187795            13824               0.0491312           0.267435            -0.114173           -0.270453           0.192094            0.409531            
0.191273            14080               0.053237            0.262705            -0.0384123          -0.265626           0.0796767           0.402171            
0.19475             14336               0.0488963           0.266367            -0.101046           -0.269202           0.171633            0.407825            
0.198228            14592               0.0460342           0.25513             -0.131785           -0.25829            0.216967            0.390648            
0.201706            14848               0.060043            0.258984            -0.0469406          -0.261369           0.0998346           0.396488            
0.205183            15104               0.0650685           0.248995            0.0450063           -0.251369           -0.0362223          0.380841            
0.208661            15360               0.0521646           0.255012            -0.0516185          -0.257382           0.0998991           0.390421            
0.212139            15616               0.0369309           0.255668            -0.214093           -0.258542           0.335834            0.391575            
0.215617            15872               0.0484451           0.246757            -0.175797           -0.249385           0.288425            0.377765            
0.219094            16128               0.0601485           0.252622            -0.0610165          -0.254612           0.122237            0.386594            
0.222572            16384               0.046171            0.25114             -0.208501           -0.253599           0.335946            0.384382            
0.22605             16640               0.0556963           0.258417            -0.112717           -0.260352           0.197301            0.395502            
0.229527            16896               0.0525075           0.268307            -0.101244           -0.270067           0.175762            0.410715            
0.233005            17152               0.041142            0.265742            -0.269435           -0.268213           0.423524            0.407042            
0.236483            17408               0.0562076           0.258445            -0.157435           -0.261238           0.265477            0.395554            
0.23996             17664               0.069708            0.257791            -0.0699304          -0.260528           0.143462            0.394385            
0.243438            17920               0.0693804           0.255288            -0.0284994          -0.25855            0.0786907           0.390592            
0.246916            18176               0.0543466           0.246335            -0.208939           -0.250973           0.34246             0.377022            
0.250393            18432               0.0503817           0.237705            -0.132263           -0.24286            0.221369            0.363872            
0.253871            18688               0.051876            0.234445            -0.192691           -0.240451           0.314681            0.358944            
0.257349            18944               0.0611149           0.235598            -0.119501           -0.241867           0.210186            0.360583            
0.260826            19200               0.0613454           0.243608            -0.105876           -0.249819           0.188928            0.373206            
0.264304            19456               0.0598356           0.231487            -0.103435           -0.239012           0.183788            0.35432             
0.267782            19712               0.0601455           0.229284            -0.165757           -0.237741           0.278828            0.351041            
0.27126             19968               0.0547273           0.236818            -0.229341           -0.245865           0.371162            0.362699            
0.274737            20224               0.0628021           0.231571            -0.165151           -0.240631           0.280346            0.354697            
0.278215            20480               0.0634967           0.230539            -0.113146           -0.239774           0.200757            0.352914            
0.281693            20736               0.0556032           0.229407            -0.170829           -0.238873           0.282022            0.35131             
0.28517             20992               0.0567988           0.233105            -0.183958           -0.241926           0.303858            0.35726             
0.288648            21248               0.0535169           0.22994             -0.195434           -0.238372           0.318335            0.352569            
0.292126            21504               0.0552804           0.222875            -0.1947             -0.231838           0.318911            0.341644            
0.295603            21760               0.0523776           0.225079            -0.203757           -0.233831           0.330364            0.345265            
0.299081            22016               0.0469816           0.232923            -0.256069           -0.241225           0.405529            0.35752             
0.302559            22272               0.0562562           0.230302            -0.179609           -0.238853           0.29642             0.353095            
0.306036            22528               0.0629346           0.24136             -0.086106           -0.249688           0.158399            0.369849            
0.309514            22784               0.0516709           0.240979            -0.266574           -0.250211           0.425408            0.369438            
0.312992            23040               0.0550572           0.245454            -0.174501           -0.254832           0.286376            0.375957            
0.316469            23296               0.0591359           0.259517            -0.1849             -0.268883           0.305557            0.397568            
0.319947            23552               0.0600726           0.262041            -0.188078           -0.271864           0.311224            0.401276            
0.323425            23808               0.0668363           0.272963            -0.130957           -0.282091           0.229112            0.417922            
0.326903            24064               0.0622902           0.278411            -0.165215           -0.287741           0.277305            0.426262            
0.33038             24320               0.0587989           0.279122            -0.151677           -0.28792            0.254236            0.427185            
0.333858            24576               0.062709            0.288413            -0.117441           -0.296107           0.205287            0.441621            
0.337336            24832               0.0649192           0.295217            -0.085621           -0.301934           0.159377            0.452081            
0.340813            25088               0.0686441           0.289689            -0.0304669          -0.295866           0.0783738           0.443346            
