#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   4.63028e-06         1.05835e-05         -3.63808e-05        1.47772e-06         4.24636e-05         1.35826e-05         
0.00347769          256                 -0.0604564          0.237821            -0.30672            -0.171911           0.249875            0.226473            
0.00695537          512                 9.03431             0.150742            -3.04134            0.966286            13.5085             3.73356             
0.0104331           768                 14.0567             2.14236             2.06362             -3.43821            14.4451             7.85019             
0.0139107           1024                -5.92847            0.239603            -5.03289            1.6955              -1.66722            -2.10473            
0.0173884           1280                -5.35495            -0.253728           -2.33581            1.23173             -3.84594            -2.38231            
0.0208661           1536                -15.2519            -0.0580928          -1.48475            0.681068            -16.2789            -6.14395            
0.0243438           1792                3.18402             -0.0935247          0.872258            -0.243183           2.76978             1.15898             
0.0278215           2048                3.72875             -0.0793319          1.30315             -0.411307           3.04366             1.39416             
0.0312992           2304                0.293646            -0.342924           0.869759            0.0878305           -0.542757           -0.257223           
0.0347769           2560                0.41302             -0.354061           2.38371             -0.499689           -2.00753            -0.223287           
0.0382545           2816                0.247996            -0.379219           -0.00058788         0.470136            0.309563            -0.316505           
0.0417322           3072                1.46836             -0.0623704          1.63992             -0.564031           0.0211531           0.508742            
0.0452099           3328                0.849137            -0.0896832          0.835893            -0.214262           0.127262            0.233159            
0.0486876           3584                0.252067            -0.0524072          0.732156            -0.21805            -0.459461           0.0343678           
0.0521653           3840                0.178428            -0.0943744          0.716394            -0.162944           -0.531428           -0.0393763          
0.055643            4096                0.0413461           -0.0686871          0.497697            -0.109329           -0.458177           -0.0671882          
0.0591207           4352                0.128241            0.00377682          0.571017            -0.226877           -0.433373           0.0442277           
0.0625984           4608                0.0361956           -0.0393966          0.370419            -0.0961172          -0.332988           -0.0378484          
0.066076            4864                -0.205915           -0.016771           0.373975            -0.12406            -0.621693           -0.109551           
0.0695537           5120                -0.238748           -0.0113276          0.386442            -0.134741           -0.676828           -0.116011           
0.0730314           5376                -0.241142           -0.00558544         0.348412            -0.126791           -0.640763           -0.108917           
0.0765091           5632                -0.210767           -0.038542           0.371234            -0.0958309          -0.628971           -0.131492           
0.0799868           5888                -0.201732           -0.0800293          0.365314            -0.0426659          -0.613653           -0.171625           
0.0834645           6144                -0.201524           -0.0752075          0.387542            -0.0557572          -0.636601           -0.167869           
0.0869422           6400                -0.193422           -0.080425           0.398977            -0.0533013          -0.638718           -0.170295           
0.0904198           6656                -0.170398           -0.106783           0.417587            -0.0292247          -0.630675           -0.188775           
0.0938975           6912                -0.12354            -0.107982           0.463063            -0.0463811          -0.621587           -0.172197           
0.0973752           7168                -0.0709083          -0.110131           0.5106              -0.0631036          -0.608531           -0.153344           
0.100853            7424                -0.104826           -0.128501           0.525383            -0.0469281          -0.662837           -0.18583            
0.104331            7680                -0.108977           -0.135893           0.489455            -0.0240167          -0.629742           -0.194959           
