#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   0.000202079         0.000408457         -0.000398204        -0.000310004        0.000650001         0.000510506         
0.00347769          256                 0.754977            1.10688             -1.32715            -0.610137           2.17381             1.51069             
0.00695537          512                 16.5384             41.1845             -35.2364            -35.9918            57.2706             49.6849             
0.0104331           768                 5.2307              11.0082             -8.96307            -8.67247            15.244              12.3739             
0.0139107           1024                -9.49511            -18.5505            17.743              13.5087             -28.3709            -22.6694            
0.0173884           1280                -11.9948            -23.9415            23.2893             18.0216             -38.0177            -29.853             
0.0208661           1536                -8.55728            -16.5465            16.0792             12.2946             -26.6451            -20.6091            
0.0243438           1792                -4.60514            -8.897              8.92343             6.4231              -14.3752            -11.1539            
0.0278215           2048                -4.08648            -8.05585            8.0503              5.93334             -13.0586            -10.1138            
0.0312992           2304                -2.95484            -6.25318            5.89635             4.80018             -9.41558            -7.61681            
0.0347769           2560                -2.98359            -6.33513            5.96278             4.88767             -9.56034            -7.71533            
0.0382545           2816                -3.24312            -6.81498            6.43012             5.19116             -10.2584            -8.27243            
0.0417322           3072                -3.11158            -6.60499            6.18953             5.02908             -9.7703             -7.9676             
0.0452099           3328                -3.16794            -6.78536            6.35326             5.22841             -10.0709            -8.21813            
0.0486876           3584                -3.29457            -6.89623            6.55059             5.2392              -10.3992            -8.40503            
0.0521653           3840                -3.35825            -7.15874            6.79119             5.46221             -10.729             -8.68521            
0.055643            4096                -3.53579            -7.48566            7.2015              5.6611              -11.3542            -9.12247            
0.0591207           4352                -3.57183            -7.51088            7.2919              5.65425             -11.4974            -9.19077            
0.0625984           4608                -3.78347            -7.91068            7.66846             5.96563             -12.1296            -9.693              
0.066076            4864                -4.00557            -8.40587            8.10771             6.35048             -12.8034            -10.2638            
0.0695537           5120                -4.3028             -9.03976            8.70354             6.81041             -13.7135            -10.9933            
0.0730314           5376                -4.70389            -9.78057            9.42996             7.33028             -14.895             -11.8904            
0.0765091           5632                -5.06104            -10.5519            10.0447             7.9827              -15.964             -12.7744            
0.0799868           5888                -5.52585            -11.4177            10.8777             8.65286             -17.4228            -13.8652            
0.0834645           6144                -6.15987            -12.659             12.0529             9.6192              -19.4399            -15.3981            
0.0869422           6400                -6.74358            -14.0217            13.2906             10.7494             -21.4851            -17.0316            
0.0904198           6656                -7.34735            -15.4467            14.5395             11.9924             -23.587             -18.7704            
0.0938975           6912                -7.88096            -16.6902            15.5647             13.1484             -25.4065            -20.3166            
0.0973752           7168                -8.42201            -17.8981            16.5939             14.2449             -27.2417            -21.8361            
0.100853            7424                -9.06623            -19.1491            17.8132             15.2925             -29.4138            -23.4982            
0.104331            7680                -9.3725             -20.2682            18.6862             16.4102             -30.791             -24.7919            
0.107808            7936                -9.56747            -21.0317            19.1223             17.3047             -31.5372            -25.7114            
0.111286            8192                -9.73263            -21.7219            19.3723             18.1973             -32.1019            -26.478             
0.114764            8448                -9.56784            -21.9604            19.538              18.52               -32.1726            -26.6545            
0.118241            8704                -9.66457            -22.0306            19.7198             18.5957             -32.5849            -26.9244            
0.121719            8960                -10.42              -22.8223            20.9698             18.8413             -34.6776            -28.2046            
