#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   6.61469e-07         3.53886e-05         -5.29175e-06        -2.63212e-05        1.50246e-05         0.00010064          
0.00347769          256                 0.0271169           0.00176943          -0.00367115         -0.00111722         0.0382518           0.0321488           
0.00695537          512                 0.148669            -1.10653            0.594319            0.583666            -1.53913            -3.07501            
0.0104331           768                 -0.00103024         -2.25614            0.401664            1.58831             -1.09255            -6.35593            
0.0139107           1024                0.107604            -1.20787            0.446114            0.710198            -1.14395            -3.41494            
0.0173884           1280                -0.0269921          0.366238            0.0984961           -0.48603            -0.305849           1.0649              
0.0208661           1536                -0.116638           0.49812             -0.155873           -0.319395           0.330032            1.33358             
0.0243438           1792                -0.0812791          0.375337            -0.120185           -0.230693           0.260945            1.0129              
0.0278215           2048                -0.0788069          0.0574948           0.00783361          -0.0536279          -0.0856117          0.103493            
0.0312992           2304                -0.023142           -0.299238           0.111394            0.144979            -0.325967           -0.845409           
0.0347769           2560                -0.0317199          -0.541836           0.10088             0.361135            -0.29982            -1.54933            
0.0382545           2816                -0.0261517          -0.45491            0.0625119           0.336235            -0.186759           -1.31023            
0.0417322           3072                -0.0133607          -0.282249           0.0662633           0.190425            -0.18974            -0.804655           
0.0452099           3328                -0.0180672          -0.353163           0.0747367           0.235921            -0.218808           -0.999954           
0.0486876           3584                -0.00942245         -0.440679           0.0989322           0.299197            -0.277802           -1.25413            
0.0521653           3840                -0.00662874         -0.355696           0.0887081           0.232831            -0.247805           -1.01089            
0.055643            4096                -0.00434238         -0.277517           0.0783478           0.174526            -0.218168           -0.787583           
0.0591207           4352                -0.0139158          -0.241808           0.0653208           0.153034            -0.190803           -0.693243           
0.0625984           4608                -0.0219988          -0.205298           0.0506796           0.13334             -0.157217           -0.596684           
0.066076            4864                -0.0225369          -0.162554           0.042566            0.103234            -0.135595           -0.475573           
0.0695537           5120                -0.0225827          -0.152935           0.0416692           0.0941071           -0.133253           -0.446053           
0.0730314           5376                -0.0207781          -0.177674           0.0445995           0.112863            -0.139226           -0.514151           
0.0765091           5632                -0.0147767          -0.200677           0.0506668           0.128812            -0.150494           -0.57514            
0.0799868           5888                -0.0115408          -0.224069           0.0569605           0.145071            -0.16508            -0.639772           
0.0834645           6144                -0.00735818         -0.239918           0.0632318           0.154612            -0.178976           -0.682431           
0.0869422           6400                -0.00405695         -0.250913           0.0701456           0.158966            -0.195596           -0.711414           
0.0904198           6656                -0.00132906         -0.26752            0.0771939           0.16834             -0.212799           -0.756673           
0.0938975           6912                0.00108514          -0.283722           0.0857958           0.176749            -0.234901           -0.801149           
0.0973752           7168                0.00077491          -0.290182           0.0873697           0.181719            -0.239668           -0.82001            
0.100853            7424                0.00106596          -0.29101            0.0896578           0.181266            -0.246063           -0.821845           
0.104331            7680                0.0112663           -0.297454           0.094458            0.184812            -0.250341           -0.832396           
0.107808            7936                0.0042496           -0.291317           0.0895866           0.182609            -0.243195           -0.81923            
0.111286            8192                0.00374441          -0.288579           0.0814238           0.186867            -0.220626           -0.812696           
0.114764            8448                0.00462631          -0.291773           0.0790769           0.19162             -0.213097           -0.821202           
0.118241            8704                0.0091367           -0.296223           0.0795869           0.195626            -0.210284           -0.830582           
0.121719            8960                0.00389903          -0.296484           0.0799018           0.195809            -0.216056           -0.835907           
0.125197            9216                0.0024643           -0.297893           0.0838992           0.193697            -0.228605           -0.840765           
0.128674            9472                0.00419123          -0.291927           0.0814559           0.190245            -0.220193           -0.822775           
0.132152            9728                0.00819493          -0.297557           0.0842868           0.194136            -0.224626           -0.837138           
0.13563             9984                0.0128479           -0.295053           0.085579            0.190815            -0.224304           -0.826193           
0.139107            10240               0.0196914           -0.277178           0.0853217           0.175441            -0.217965           -0.770001           
0.142585            10496               0.0273638           -0.259659           0.0836417           0.160823            -0.206777           -0.713574           
0.146063            10752               0.0273183           -0.242544           0.0780143           0.149345            -0.191395           -0.664953           
0.149541            11008               0.02728             -0.227356           0.072917            0.139167            -0.177501           -0.621638           
0.153018            11264               0.0237874           -0.202186           0.0654839           0.121723            -0.160324           -0.551984           
0.156496            11520               0.0214347           -0.185989           0.0570877           0.113754            -0.139207           -0.508503           
0.159974            11776               0.0161413           -0.150353           0.0424843           0.0923854           -0.103488           -0.41024            
0.163451            12032               0.0142351           -0.109441           0.0312096           0.0639213           -0.0743584          -0.293769           
0.166929            12288               0.0165437           -0.0786241          0.0190612           0.0453929           -0.0382815          -0.201281           
0.170407            12544               0.00549383          -0.0594996          0.00750519          0.0367821           -0.0158609          -0.155626           
0.173884            12800               -0.00520195         -0.0719119          0.00578967          0.051554            -0.0209658          -0.205002           
0.177362            13056               -0.00649            -0.0780201          0.00645411          0.0573865           -0.0240989          -0.223628           
0.18084             13312               -0.0145847          -0.0526541          -0.00440654         0.0421718           -0.00107231         -0.155793           
0.184317            13568               -0.0160247          -0.0298942          -0.00723828         0.0223179           0.00520961          -0.0897466          
0.187795            13824               -0.0210592          -0.0263559          -0.0117116          0.0222837           0.0131419           -0.0839137          
0.191273            14080               -0.0139151          -0.0389597          -0.0057098          0.0283729           0.00272116          -0.113075           
0.19475             14336               -0.0260088          -0.0733246          -0.000533805        0.0570791           -0.0224513          -0.225813           
0.198228            14592               -0.0275816          -0.0785077          0.00705721          0.0560267           -0.0451324          -0.239859           
0.201706            14848               -0.0183171          -0.0434094          -0.00610784         0.0330305           -0.000176239        -0.130165           
0.205183            15104               -0.0110475          -0.0291767          -0.0114752          0.0251962           0.0216212           -0.0842138          
0.208661            15360               -0.0357992          -0.0306424          -0.0112354          0.0257274           -0.00168087         -0.10833            
0.212139            15616               -0.0291919          -0.0310571          -0.019789           0.0335742           0.0288685           -0.106005           
0.215617            15872               -0.0302025          -0.0496164          -0.0218772          0.0514921           0.0346672           -0.160868           
0.219094            16128               -0.037238           -0.0475637          -0.0125813          0.0424438           0.00168443          -0.15836            
0.222572            16384               -0.0306252          -0.0472169          -0.0125747          0.0430596           0.00773659          -0.153213           
0.22605             16640               -0.0172815          -0.0313911          -0.0243743          0.0368351           0.0532463           -0.0974524          
0.229527            16896               -0.0180399          -0.0312537          -0.0193304          0.0341865           0.0381279           -0.0982559          
0.233005            17152               -0.0287778          -0.0301443          -0.0174461          0.0315735           0.0226848           -0.102914           
0.236483            17408               -0.0294057          -0.0185625          -0.0157464          0.0179278           0.0175595           -0.0678427          
0.23996             17664               -0.012637           -0.0102769          -0.00953209         0.00676011          0.0148853           -0.0303925          
0.243438            17920               -0.0243057          -0.0207665          -0.014969           0.019491            0.0199393           -0.0706311          
0.246916            18176               -0.0323743          -0.0349861          -0.0173821          0.032745            0.0193932           -0.115714           
0.250393            18432               -0.0245082          -0.0327602          -0.0292639          0.0392697           0.0605627           -0.104309           
0.253871            18688               -0.027361           -0.0316832          -0.0267675          0.0370139           0.050394            -0.104565           
0.257349            18944               -0.036484           -0.052234           -0.0187935          0.0490941           0.0197982           -0.171889           
0.260826            19200               -0.0319412          -0.064597           -0.0238484          0.0628847           0.039001            -0.204293           
0.264304            19456               -0.0390099          -0.090153           0.00425159          0.0652025           -0.0476409          -0.280587           
0.267782            19712               -0.0323751          -0.0642195          -0.0153603          0.0549959           0.0135853           -0.199221           
0.27126             19968               -0.0146452          -0.0531121          -0.0117717          0.0433377           0.0193805           -0.151366           
0.274737            20224               -0.0117006          -0.0524498          -0.0141057          0.0444532           0.0288063           -0.148021           
0.278215            20480               -0.0289009          -0.0881144          -0.00939533         0.0744813           0.000392753         -0.268664           
0.281693            20736               -0.0291962          -0.0784515          0.00151642          0.0559664           -0.031831           -0.237654           
0.28517             20992               -0.015073           -0.0861526          -0.00351852         0.067287            -0.00410679         -0.249378           
0.288648            21248               -0.0273226          -0.0822845          -0.0116476          0.0702974           0.00818968          -0.249471           
0.292126            21504               -0.0168205          -0.088624           0.00867301          0.0594494           -0.0411089          -0.255283           
0.295603            21760               -0.0168125          -0.100886           0.00520096          0.0700108           -0.0297693          -0.287838           
0.299081            22016               -0.00433907         -0.110733           0.00998917          0.0784743           -0.0328769          -0.310908           
0.302559            22272               -0.0291491          -0.12399            0.00339168          0.0939684           -0.0361849          -0.369566           
0.306036            22528               -0.0286031          -0.145836           0.0076097           0.108766            -0.0473499          -0.431818           
0.309514            22784               -0.0350029          -0.156082           0.0100064           0.117399            -0.0597079          -0.467546           
0.312992            23040               -0.0303378          -0.156227           0.0146863           0.110951            -0.0683045          -0.458966           
0.316469            23296               -0.0301876          -0.13497            -0.00196721         0.103066            -0.0210285          -0.398766           
0.319947            23552               -0.0171446          -0.149876           0.0169559           0.104054            -0.0633172          -0.431592           
0.323425            23808               -0.0182638          -0.14135            0.0180268           0.0956661           -0.0679924          -0.407903           
0.326903            24064               -0.0163112          -0.132603           0.012516            0.0914432           -0.0499408          -0.382671           
0.33038             24320               -0.0338287          -0.147871           0.00541164          0.109971            -0.0446211          -0.440357           
0.333858            24576               -0.0292677          -0.133712           0.00529307          0.097945            -0.0400454          -0.394161           
0.337336            24832               -0.0200281          -0.116782           0.0107854           0.0782198           -0.0484693          -0.334856           
0.340813            25088               -0.0302395          -0.132257           0.0151203           0.0896982           -0.0699483          -0.389612           
0.344291            25344               -0.0284223          -0.126577           0.0125672           0.0882186           -0.0619892          -0.375266           
0.347769            25600               -0.0344265          -0.123195           0.0109337           0.0865647           -0.0622152          -0.37029            
0.351246            25856               -0.0245053          -0.114975           0.0108555           0.0797913           -0.053789           -0.3388             
0.354724            26112               -0.0231674          -0.127856           0.0135545           0.0882527           -0.0587691          -0.371033           
0.358202            26368               -0.0287105          -0.103499           0.00147822          0.0761081           -0.0304665          -0.308081           
0.361679            26624               -0.0302539          -0.108143           -0.0040252          0.0866135           -0.0157377          -0.326151           
0.365157            26880               -0.0337996          -0.0813514          -0.00984645         0.0669104           -0.00320922         -0.252639           
0.368635            27136               -0.0257573          -0.0706225          0.000932505         0.0501613           -0.0273123          -0.213972           
0.372112            27392               -0.00570103         -0.0387814          -0.00803188         0.0301755           0.0158486           -0.106852           
0.37559             27648               -0.0167906          -0.058476           -0.00060789         0.043129            -0.0148847          -0.172011           
0.379068            27904               -0.0130791          -0.0830155          0.0142742           0.0548385           -0.0539376          -0.240478           
0.382546            28160               -0.0184143          -0.0685012          0.000539593         0.0522701           -0.0200205          -0.206243           
0.386023            28416               -0.0130109          -0.0382623          -0.0066337          0.0276309           0.00413172          -0.112162           
0.389501            28672               -0.00916084         -0.0460595          -0.0174548          0.0431767           0.0391077           -0.131872           
0.392979            28928               -0.0128854          -0.0761519          2.84431e-05         0.056131            -0.0130681          -0.21908            
0.396456            29184               -0.0238096          -0.0918054          0.00605591          0.0645269           -0.0407089          -0.272821           
0.399934            29440               -0.0214167          -0.101205           -0.00167633         0.0760747           -0.0155057          -0.297249           
0.403412            29696               -0.0204129          -0.100161           0.0101812           0.0677268           -0.049127           -0.293384           
0.406889            29952               -0.0186948          -0.0948156          0.0041183           0.065683            -0.0302695          -0.276147           
0.410367            30208               -0.0231314          -0.110659           0.00640665          0.0777176           -0.0401714          -0.323683           
0.413845            30464               -0.0282351          -0.137425           0.0235737           0.0887176           -0.0932822          -0.40588            
0.417322            30720               -0.0205095          -0.133368           0.0225341           0.0871119           -0.0840554          -0.389134           
0.4208              30976               -0.0244652          -0.134969           0.011151            0.0968081           -0.0541833          -0.395766           
0.424278            31232               -0.021992           -0.115455           0.0131404           0.07736             -0.058671           -0.335968           
0.427755            31488               -0.0240211          -0.0919853          0.00334141          0.0654502           -0.0332897          -0.272518           
0.431233            31744               -0.0112369          -0.0663607          -0.00349388         0.0483547           -0.00329815         -0.190175           
0.434711            32000               -0.0220056          -0.0791221          -0.00983438         0.0627085           0.0066624           -0.232173           
