#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -7.42498e-05        -4.44838e-05        0.000280132         -0.000136976        0.0001103           -2.2359e-05         
0.00347769          256                 -47.2342            -37.2632            67.0859             -5.29693            -4.55032            -9.87151            
0.00695537          512                 -98.258             -63.0887            75.1876             16.1432             -49.7727            -24.7443            
0.0104331           768                 -46.4527            -27.3143            27.9285             10.1027             -28.309             -12.5073            
0.0139107           1024                47.1212             24.8207             -20.5782            -12.024             33.21               13.2005             
0.0173884           1280                17.2885             5.23672             -11.8924            2.78281             8.80648             6.10474             
0.0208661           1536                77.9633             40.2111             -51.4822            -7.66736            43.4782             22.4902             
0.0243438           1792                10.3659             1.75538             -8.55758            4.09135             3.99614             3.77481             
0.0278215           2048                -30.4703            -22.3414            16.9977             12.2485             -20.0005            -6.803              
0.0312992           2304                11.6755             1.66841             -3.19118            0.625897            8.88349             4.5288              
0.0347769           2560                12.1831             2.99218             -2.9425             -0.833025           9.65538             4.2925              
0.0382545           2816                7.84639             -0.629212           -1.65404            2.01805             6.04704             3.54185             
0.0417322           3072                11.0084             1.3139              -2.04236            0.317927            8.94779             4.33494             
0.0452099           3328                7.60956             -1.16197            -0.279926           1.70999             6.651               3.61194             
0.0486876           3584                9.26338             -0.13348            -1.57218            1.49624             7.45699             4.03979             
0.0521653           3840                9.03327             -0.414976           -1.22821            1.56976             7.43292             4.02608             
0.055643            4096                10.4746             0.324079            -2.19828            1.44313             8.22731             4.45101             
0.0591207           4352                10.9941             0.62941             -2.40041            1.25973             8.61106             4.58646             
0.0625984           4608                8.74622             -0.826927           -1.23418            1.99763             7.11412             4.04931             
0.066076            4864                11.1989             0.550701            -2.48393            1.3956              8.74575             4.72617             
0.0695537           5120                12.3143             1.14753             -2.85488            1.0297              9.61635             5.03657             
0.0730314           5376                12.0809             0.912757            -2.64418            1.13657             9.50793             5.01038             
0.0765091           5632                12.0496             0.827314            -2.46407            1.11166             9.58761             5.02424             
0.0799868           5888                12.9436             1.3376              -2.91077            0.877488            10.1895             5.26469             
0.0834645           6144                13.3592             1.54553             -3.07514            0.772122            10.4946             5.38596             
0.0869422           6400                13.1385             1.3488              -2.95083            0.895447            10.3516             5.34835             
0.0904198           6656                13.4238             1.47528             -3.17854            0.914224            10.4838             5.43702             
0.0938975           6912                13.7588             1.61335             -3.37637            0.899807            10.6831             5.54745             
0.0973752           7168                13.7975             1.63523             -3.43238            0.915249            10.6845             5.56033             
0.100853            7424                13.4565             1.43154             -3.18731            0.969068            10.5028             5.46443             
0.104331            7680                13.8527             1.65614             -3.41057            0.885663            10.7529             5.56726             
0.107808            7936                13.2551             1.29513             -3.07187            1.03601             10.3759             5.41195             
0.111286            8192                13.4508             1.39573             -3.22174            1.0291              10.473              5.47551             
0.114764            8448                13.1446             1.13868             -3.07787            1.19745             10.2534             5.42444             
0.118241            8704                13.1407             1.11908             -3.0231             1.18592             10.2864             5.42191             
0.121719            8960                13.2343             1.21871             -3.01827            1.08704             10.3911             5.42321             
0.125197            9216                13.528              1.33623             -3.16109            1.05678             10.5858             5.51888             
0.128674            9472                13.5636             1.37968             -3.18418            1.02918             10.6072             5.52187             
0.132152            9728                12.9262             0.968205            -2.82074            1.2204              10.2019             5.36544             
0.13563             9984                12.9432             0.986722            -2.83785            1.21359             10.207              5.36409             
0.139107            10240               13.1122             1.02534             -2.92644            1.23149             10.3133             5.43209             
0.142585            10496               13.1679             1.02133             -3.02088            1.29556             10.3067             5.46778             
0.146063            10752               13.278              1.09689             -3.07107            1.25107             10.3854             5.49248             
0.149541            11008               13.416              1.11351             -3.14111            1.28081             10.4725             5.54778             
0.153018            11264               13.4256             1.15923             -3.15936            1.25219             10.4761             5.53054             
0.156496            11520               13.3036             1.08251             -3.03007            1.25125             10.437              5.49709             
0.159974            11776               13.363              1.0637              -3.08307            1.30361             10.4538             5.53519             
0.163451            12032               13.4504             1.14864             -3.05112            1.19646             10.5622             5.53781             
