#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -2.82778e-05        0.000392912         3.19159e-05         -0.000196231        -0.000118148        0.000617601         
0.00347769          256                 0.326306            6.0036              1.78911             -4.40635            -4.60243            15.7513             
0.00695537          512                 2.23176             -133.248            -58.9761            115.934             166.618             -367.472            
0.0104331           768                 20.2526             114.315             -5.03338            -48.2151            24.8068             294.55              
0.0139107           1024                -0.0721761          56.2164             49.0318             -68.9354            -133.662            143.009             
0.0173884           1280                -5.58314            -50.3376            -18.9946            40.4835             45.336              -137.093            
0.0208661           1536                2.34838             -14.8161            -15.4263            20.6735             41.221              -36.5836            
0.0243438           1792                4.23031             13.1893             -1.63532            -4.74215            6.82001             40.6474             
0.0278215           2048                -2.31742            -30.179             -3.94439            17.4819             11.0707             -78.7049            
0.0312992           2304                -1.0241             -5.02933            3.36553             -1.07082            -8.96218            -6.2431             
0.0347769           2560                0.239046            -6.73275            1.62955             1.22118             -3.83687            -7.14313            
0.0382545           2816                0.01152             -10.8741            1.40475             3.46543             -3.62437            -19.3168            
0.0417322           3072                -0.252433           -12.3073            -0.0292579          5.55412             0.347804            -26.7431            
0.0452099           3328                1.74608             1.82352             -0.300096           -0.818954           1.81604             11.4681             
0.0486876           3584                1.37294             -3.0444             -0.343301           1.55213             1.48319             -1.44472            
0.0521653           3840                0.938695            -3.60152            -0.304445           1.81634             1.02624             -4.05202            
0.055643            4096                0.492929            -3.43943            -0.862009           2.23257             2.21438             -4.78147            
0.0591207           4352                0.182066            -3.73604            -1.7645             3.16108             4.45931             -6.61989            
0.0625984           4608                -0.295336           -5.95848            -2.22969            4.61102             5.43101             -13.198             
0.066076            4864                -0.753043           -8.57243            -2.50326            6.07696             5.90594             -20.5549            
0.0695537           5120                -0.982749           -11.816             -3.42949            8.44278             8.23027             -29.4867            
0.0730314           5376                -0.868313           -13.7266            -3.72483            9.63246             9.07353             -34.3121            
0.0765091           5632                -0.604921           -15.1559            -3.88924            10.4571             9.62713             -37.3615            
0.0799868           5888                -0.281243           -15.2879            -3.73445            10.3714             9.34692             -36.9017            
0.0834645           6144                -0.140728           -14.9705            -3.53447            10.022              8.80668             -35.5023            
0.0869422           6400                -0.206736           -15.1638            -3.5073             10.0758             8.72227             -36.0302            
0.0904198           6656                -0.375933           -15.3266            -3.49355            10.115              8.60541             -36.424             
0.0938975           6912                -0.530279           -15.8434            -3.65626            10.4891             8.98209             -37.8425            
0.0973752           7168                -0.561869           -16.2916            -3.91378            10.917              9.6852              -38.9724            
0.100853            7424                -0.634089           -17.8208            -4.45406            12.1042             11.1761             -42.9549            
0.104331            7680                -0.686997           -18.7668            -4.86069            12.9105             12.3851             -45.5035            
0.107808            7936                -0.668786           -18.4806            -4.74761            12.7032             12.2198             -45.0205            
0.111286            8192                -0.710986           -18.7844            -4.72839            12.8367             12.2856             -45.7718            
0.114764            8448                -0.694458           -19.2691            -4.68205            13.0109             12.1746             -46.5565            
0.118241            8704                -0.614529           -19.0701            -4.40169            12.6781             11.5243             -46.201             
0.121719            8960                -0.476214           -18.6285            -4.05405            12.1861             10.8019             -45.5333            
0.125197            9216                -0.330808           -18.0464            -3.76874            11.691              10.2299             -44.6268            
0.128674            9472                -0.181324           -16.8766            -3.42524            10.834              9.48453             -41.5367            
0.132152            9728                -0.0973156          -16.3548            -3.32595            10.4866             9.33898             -39.9752            
0.13563             9984                0.0586147           -15.2191            -2.88739            9.55218             8.3487              -36.6232            
0.139107            10240               0.201736            -14.0286            -2.53409            8.69037             7.54518             -33.483             
0.142585            10496               0.350924            -12.8871            -2.11744            7.77831             6.39917             -30.0748            
0.146063            10752               0.483815            -12.1339            -2.1388             7.42245             6.39944             -27.5807            
0.149541            11008               0.465418            -11.3634            -1.87615            6.8155              5.66362             -25.4507            
0.153018            11264               0.465995            -10.4043            -2.09235            6.55229             6.11737             -23.385             
0.156496            11520               0.427319            -10.5003            -2.09041            6.58649             6.13238             -23.7973            
0.159974            11776               0.386905            -10.3693            -2.19088            6.58185             6.30114             -23.0974            
0.163451            12032               0.371385            -10.2023            -2.16431            6.47094             6.20084             -22.7751            
0.166929            12288               0.412899            -9.88764            -1.89333            6.07441             5.6028              -22.0631            
0.170407            12544               0.497395            -9.4958             -1.54653            5.56254             4.86484             -20.7975            
0.173884            12800               0.58481             -8.19718            -1.28827            4.71821             4.13814             -17.5323            
0.177362            13056               0.689488            -6.52137            -0.345322           3.08914             1.78005             -12.9453            
0.18084             13312               0.996816            -5.46566            0.00813424          2.29153             1.03118             -10.0691            
0.184317            13568               1.05725             -3.74684            0.806754            0.804375            -1.02373            -5.94221            
0.187795            13824               1.19552             -1.63824            1.42507             -0.7271             -2.53535            -0.539099           
0.191273            14080               1.18419             -0.367696           1.89255             -1.75182            -3.90348            3.06337             
0.19475             14336               1.2758              -0.31643            1.76053             -1.68959            -3.85017            3.92622             
