#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   9.98817e-05         -3.30734e-06        0.000547034         -0.00038648         -0.000722087        0.000171635         
0.00347769          256                 2.04588             0.233756            -1.28792            0.874718            4.26472             -0.058269           
0.00695537          512                 44.3728             33.1215             6.30645             -31.7327            35.2869             19.9147             
0.0104331           768                 70.4722             -2.79129            29.6581             -4.90947            63.1028             -11.5372            
0.0139107           1024                75.7821             -86.0125            -33.8186            116.868             144.934             -123.269            
0.0173884           1280                43.4547             -164.928            -50.0678            209.028             131.85              -268.434            
0.0208661           1536                -10.0054            -65.9553            -19.0667            84.0005             31.9465             -120.457            
0.0243438           1792                -38.2228            30.9572             3.53304             -35.4543            -61.9434            42.7352             
0.0278215           2048                -32.6808            22.5146             5.63417             -33.0766            -55.6286            34.0063             
0.0312992           2304                -11.9104            30.1109             3.46883             -31.3421            -24.4661            44.5229             
0.0347769           2560                -0.533008           18.5532             -2.02694            -14.9731            3.20936             20.2116             
0.0382545           2816                -6.84948            14.5638             -11.0751            -8.26701            6.74351             25.7437             
0.0417322           3072                -5.85047            0.433423            -9.0916             3.64217             5.91062             -1.29844            
0.0452099           3328                -1.31018            0.360905            -6.87706            4.879               9.68778             -4.79134            
0.0486876           3584                1.28841             -2.57663            -8.22511            8.50255             14.3278             -6.91572            
0.0521653           3840                1.68589             -3.19555            -5.8278             8.07638             11.434              -6.65037            
0.055643            4096                0.837299            -1.41122            -3.99859            5.19476             7.50582             -3.79657            
0.0591207           4352                0.784039            -2.6478             -4.25154            6.43649             7.62636             -6.55212            
0.0625984           4608                -0.239214           -4.46186            -4.50978            8.24349             6.49597             -9.74506            
0.066076            4864                -1.45738            -3.93196            -3.82891            7.12452             3.65904             -8.56043            
0.0695537           5120                -2.0541             -1.47034            -2.95012            4.07746             1.74308             -4.4112             
0.0730314           5376                -2.05619            -0.476447           -3.16661            3.06612             2.02119             -2.44797            
0.0765091           5632                -2.28692            -0.717481           -3.55305            3.32235             2.37006             -2.54941            
0.0799868           5888                -2.3316             -0.148583           -3.93767            2.96688             2.91657             -1.71025            
0.0834645           6144                -2.38491            -0.188874           -4.14483            3.25817             3.13174             -1.9842             
0.0869422           6400                -2.54753            0.315007            -4.489              2.94266             3.53651             -1.0324             
0.0904198           6656                -2.79084            0.591067            -4.91787            2.87077             3.90987             -0.475762           
0.0938975           6912                -3.09019            1.33138             -4.99538            2.10707             3.6575              0.649323            
0.0973752           7168                -3.44778            2.62051             -4.78668            0.636407            2.89952             2.73229             
0.100853            7424                -3.86602            3.10449             -4.69062            0.0414185           2.13916             3.5319              
0.104331            7680                -4.12963            2.98445             -4.70678            0.261623            1.76424             3.16454             
0.107808            7936                -4.10102            3.36289             -4.47397            -0.236759           1.46096             3.88544             
0.111286            8192                -4.00257            3.39061             -4.43392            -0.328585           1.43005             3.95792             
0.114764            8448                -3.85706            3.09296             -4.56234            -0.00416196         1.85733             3.54343             
0.118241            8704                -3.59972            2.70619             -4.58411            0.478261            2.34608             2.83556             
0.121719            8960                -3.50059            2.43443             -4.51076            0.747139            2.32552             2.46487             
0.125197            9216                -3.25245            2.3312              -4.71361            0.86209             3.05419             2.59852             
0.128674            9472                -2.96962            2.26909             -4.82277            1.04127             3.65673             2.68785             
0.132152            9728                -3.02926            1.8799              -4.85563            1.49806             3.5575              1.89912             
0.13563             9984                -3.01994            1.6377              -5.10252            1.87243             3.90037             1.3084              
0.139107            10240               -2.82025            1.65258             -4.98368            1.93482             3.96945             0.946472            
0.142585            10496               -2.82209            2.17336             -4.87742            1.36116             3.74331             1.87866             
0.146063            10752               -2.79155            2.2196              -5.04049            1.40193             3.99837             1.95169             
0.149541            11008               -2.64414            1.6121              -5.04509            2.06894             4.30051             0.781364            
0.153018            11264               -2.71565            2.22045             -4.6778             1.34473             3.53135             1.82341             
0.156496            11520               -3.05274            1.93564             -4.6179             1.43613             3.04353             1.50701             
0.159974            11776               -3.228              2.59122             -4.6318             0.673443            2.79606             2.69283             
0.163451            12032               -3.41261            2.82467             -4.51739            0.289493            2.42198             3.16803             
0.166929            12288               -3.64142            2.96637             -4.16763            -0.118974           1.53996             3.37974             
0.170407            12544               -4.0635             3.21698             -3.8841             -0.6603             0.490178            3.91289             
0.173884            12800               -4.12406            3.47114             -3.41887            -1.14604            -0.339062           4.17607             
0.177362            13056               -4.12273            4.14683             -3.45507            -1.87193            -0.285734           5.50482             
0.18084             13312               -4.44736            4.13427             -3.45498            -2.04563            -0.669695           5.72898             
0.184317            13568               -4.69767            4.64844             -3.25956            -2.63519            -1.33331            6.37604             
0.187795            13824               -4.60948            5.13074             -2.91238            -3.41434            -1.71878            7.25384             
0.191273            14080               -4.18589            4.68058             -2.90486            -2.75742            -1.25011            6.39529             
0.19475             14336               -4.56792            5.11875             -3.11388            -3.25269            -1.4089             7.26985             
0.198228            14592               -3.98089            4.86509             -2.83043            -3.0181             -1.04792            6.58068             
0.201706            14848               -4.31546            5.16857             -2.82816            -3.45845            -1.50174            7.44403             
0.205183            15104               -4.37671            4.74288             -2.61134            -3.06015            -2.03466            6.46484             
0.208661            15360               -4.37467            5.28542             -2.48803            -3.67817            -2.14627            7.3722              
0.212139            15616               -4.6406             5.63626             -2.58361            -4.09269            -2.30492            7.95966             
0.215617            15872               -4.60252            4.89157             -2.97888            -3.24313            -1.69697            7.2025              
0.219094            16128               -4.39419            4.76877             -3.03449            -3.14093            -1.37573            6.72663             
0.222572            16384               -4.47498            5.22615             -2.93632            -3.5814             -1.49876            7.54371             
0.22605             16640               -4.62878            5.29143             -2.85451            -3.81534            -1.89333            7.74163             
0.229527            16896               -4.63804            6.20678             -2.68418            -4.68773            -2.22741            8.87479             
