#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   0.000238129         0.000643113         -6.56508e-05        -0.000482736        0.00038613          0.00202051          
0.00347769          256                 -2.0859             3.34608             -0.567828           -2.17424            0.205945            7.41145             
0.00695537          512                 -20.5293            -404.293            22.5347             314.333             -84.8609            -1147.49            
0.0104331           768                 -8.66161            -52.9798            -18.0133            59.296              41.5779             -169.099            
0.0139107           1024                17.8098             249.085             4.00192             -209.767            5.78764             714.837             
0.0173884           1280                -1.62992            31.5242             4.7252              -33.1867            -13.5085            90.607              
0.0208661           1536                -7.80744            -116.451            -2.31319            98.5689             -0.760344           -329.98             
0.0243438           1792                -5.47848            -106.766            -3.54711            92.5345             3.80863             -303.253            
0.0278215           2048                -6.12527            -40.0353            3.84043             30.4531             -15.7606            -117.88             
0.0312992           2304                -3.14474            10.5917             2.25767             -10.4967            -8.81294            26.0623             
0.0347769           2560                -4.01678            23.4204             -0.367633           -18.9416            -2.2374             60.361              
0.0382545           2816                -3.1086             12.34               0.648932            -10.4474            -4.18682            30.3362             
0.0417322           3072                -2.87701            -8.87599            2.47697             5.62918             -9.20715            -28.228             
0.0452099           3328                -3.195              -9.18509            0.0622518           7.88986             -2.98247            -29.3808            
0.0486876           3584                -2.27413            -1.30698            0.634251            0.872552            -3.77918            -6.05935            
0.0521653           3840                -1.78001            0.0124196           1.4539              -0.820068           -5.63325            -1.41451            
0.055643            4096                -1.35821            -4.98042            1.68735             2.9526              -5.93517            -14.4725            
0.0591207           4352                -1.9627             -10.6075            1.24859             7.86328             -5.20479            -30.7151            
0.0625984           4608                -2.54039            -15.6441            1.00942             12.1798             -5.00337            -45.4873            
0.066076            4864                -2.69763            -18.2636            0.981014            14.3111             -5.0517             -53.189             
0.0695537           5120                -3.16464            -22.2236            0.923751            17.5149             -5.30499            -64.8006            
0.0730314           5376                -3.41997            -24.4026            0.75522             19.3246             -5.0514             -70.8972            
0.0765091           5632                -3.49456            -26.5606            0.828348            20.9654             -5.35948            -76.591             
0.0799868           5888                -3.60613            -27.6414            0.93123             21.6929             -5.78955            -79.3079            
0.0834645           6144                -3.48252            -26.6668            0.935078            20.8129             -5.69124            -76.4416            
0.0869422           6400                -3.47792            -26.3454            1.04959             20.5077             -5.97689            -75.763             
0.0904198           6656                -3.56247            -25.6624            1.26874             19.9466             -6.59506            -74.2478            
0.0938975           6912                -3.67264            -25.3793            1.59325             19.6892             -7.57087            -73.8429            
0.0973752           7168                -3.86919            -25.4741            1.95749             19.8123             -8.79429            -74.6093            
0.100853            7424                -3.9755             -27.518             2.36098             21.3169             -10.0523            -80.4917            
0.104331            7680                -3.81267            -29.0552            2.85792             22.2508             -11.3855            -84.5956            
0.107808            7936                -4.01624            -30.3161            3.01739             23.2189             -12.1124            -88.253             
0.111286            8192                -3.91105            -31.5051            2.90138             24.2038             -11.7219            -91.2502            
0.114764            8448                -3.71351            -33.4399            2.88214             25.7063             -11.5181            -96.2504            
0.118241            8704                -3.50363            -34.3826            2.99826             26.2893             -11.6493            -98.6084            
0.121719            8960                -3.73072            -35.3809            3.02567             27.0558             -11.9285            -101.689            
0.125197            9216                -3.73091            -35.3233            3.14153             26.916              -12.2171            -101.662            
0.128674            9472                -3.58228            -34.2861            3.01886             26.2321             -11.7189            -98.9302            
0.132152            9728                -3.23776            -34.2258            3.07198             26.2086             -11.5735            -98.7073            
0.13563             9984                -2.74992            -31.7391            3.12376             24.1688             -11.3157            -91.6893            
0.139107            10240               -2.08673            -27.9596            3.19844             21.0116             -10.9623            -80.8605            
0.142585            10496               -1.38754            -23.077             3.04126             17.0968             -9.92671            -66.8183            
0.146063            10752               -0.836249           -18.0832            2.77023             13.1943             -8.69134            -52.4535            
0.149541            11008               -0.362023           -13.1122            2.63222             9.261               -7.88516            -38.3718            
0.153018            11264               0.163166            -7.30102            2.42149             4.58954             -6.80688            -21.926             
0.156496            11520               0.592254            -3.46375            2.0833              1.60171             -5.47772            -10.7284            
0.159974            11776               0.9889              0.937666            1.47234             -1.64737            -3.43796            1.93073             
0.163451            12032               1.14535             2.72616             1.24505             -3.08234            -2.70506            7.23034             
0.166929            12288               1.4788              3.74929             0.76104             -3.72837            -1.0294             10.615              
0.170407            12544               1.73342             4.02793             0.499679            -3.86007            0.0700245           12.1288             
0.173884            12800               1.84166             5.60328             0.455147            -5.36114            0.412326            17.1968             
0.177362            13056               1.61739             6.37877             0.424613            -5.78115            0.294648            19.1338             
0.18084             13312               1.11087             5.55342             0.323589            -4.715              0.149962            16.0703             
0.184317            13568               1.19144             4.48863             0.91365             -3.83657            -1.44888            12.6668             
0.187795            13824               0.970381            5.55428             1.24909             -4.67202            -2.58719            15.0608             
0.191273            14080               1.79449             7.61124             1.77612             -6.52882            -3.45981            21.347              
0.19475             14336               1.53137             7.44377             2.36535             -6.76454            -5.37861            20.5637             
0.198228            14592               1.43536             8.84017             2.93108             -8.32173            -7.12614            24.236              
0.201706            14848               1.99137             9.13091             2.97341             -8.41171            -6.80161            25.624              
0.205183            15104               2.13421             8.30874             3.43128             -8.26484            -7.99654            24.047              
0.208661            15360               1.73475             8.41901             3.3289              -8.28695            -8.08804            24.3879             
0.212139            15616               1.80816             7.42557             3.27841             -7.50558            -7.85534            21.9461             
0.215617            15872               1.44125             7.11036             2.98561             -7.01258            -7.3315             20.612              
0.219094            16128               1.21584             6.52298             3.34183             -6.73965            -8.49452            18.3747             
0.222572            16384               1.26017             5.56836             3.48153             -6.01864            -8.87463            15.5645             
0.22605             16640               1.52309             4.76109             3.47479             -5.1113             -8.67247            13.3932             
0.229527            16896               1.48645             4.45782             3.46525             -4.79753            -8.70653            12.4991             
0.233005            17152               1.43306             7.1806              3.4862              -7.03331            -8.83666            19.8484             
0.236483            17408               1.38279             8.24376             3.70385             -8.14825            -9.5398             22.6885             
0.23996             17664               1.95827             9.18945             3.90971             -9.09871            -9.67887            25.659              
0.243438            17920               1.62325             12.5656             3.57532             -11.851             -8.97976            34.9224             
0.246916            18176               1.85391             12.342              2.78982             -11.0628            -6.5828             34.8419             
0.250393            18432               2.32293             12.0801             2.11141             -10.3051            -4.19189            34.8363             
0.253871            18688               1.83993             10.4416             1.96635             -8.7938             -4.18943            30.1809             
0.257349            18944               1.72651             11.3947             2.04913             -9.82817            -4.45201            32.6244             
0.260826            19200               1.72189             13.5662             1.83024             -11.6887            -3.75103            38.51               
0.264304            19456               1.17692             12.8551             1.76174             -11.299             -4.05285            35.905              
0.267782            19712               1.25545             9.39524             1.45315             -8.21723            -3.16908            26.1305             
0.27126             19968               1.76637             9.89109             1.45175             -8.75948            -2.75254            28.0465             
0.274737            20224               2.11159             9.78638             1.31749             -8.66864            -2.09347            28.3437             
0.278215            20480               1.65106             10.0767             1.18155             -8.9024             -2.06712            28.8726             
0.281693            20736               1.85399             9.82371             1.09593             -8.66096            -1.6655             28.2111             
0.28517             20992               2.2203              9.71926             1.23885             -8.70522            -1.71               28.1885             
0.288648            21248               1.69459             8.80913             0.973787            -7.77232            -1.39609            24.9904             
0.292126            21504               1.9851              8.38922             0.881979            -7.36793            -0.977634           23.9348             
0.295603            21760               2.20347             11.0088             1.1068              -9.44275            -1.27054            31.2105             
0.299081            22016               3.41321             11.359              1.25047             -9.71156            -0.747523           33.5605             
0.302559            22272               2.35879             11.234              1.3765              -9.54616            -1.91515            32.235              
0.306036            22528               2.6323              13.4145             1.55439             -11.4852            -2.17366            38.6049             
0.309514            22784               1.79025             13.8947             2.0267              -12.2006            -4.28837            39.0461             
0.312992            23040               1.60831             13.6129             2.28268             -12.1058            -5.20254            38.0707             
0.316469            23296               1.67018             12.7108             2.48451             -11.4006            -5.75432            35.5412             
0.319947            23552               2.20022             13.1507             2.17983             -11.6111            -4.4663             37.0698             
0.323425            23808               2.55501             12.5324             1.97122             -10.84              -3.55339            35.6372             
0.326903            24064               2.26293             13.3253             2.2974              -11.8669            -4.68953            37.6918             
0.33038             24320               1.68407             14.2061             2.05684             -12.389             -4.51098            39.5468             
0.333858            24576               1.60192             14.9153             2.05784             -13.1354            -4.54753            41.3176             
0.337336            24832               1.73674             12.0142             1.84767             -10.5807            -3.91061            33.5357             
0.340813            25088               1.63173             12.1155             1.92748             -10.8426            -4.12525            33.7174             
0.344291            25344               1.93245             10.4006             1.46462             -9.07148            -2.55503            29.5692             
0.347769            25600               1.49346             10.1221             1.678               -9.15407            -3.53798            28.1894             
0.351246            25856               1.88255             7.22792             1.9038              -7.04559            -3.88998            20.6592             
0.354724            26112               1.39997             5.51858             1.68172             -5.44725            -3.63777            15.5352             
0.358202            26368               1.55469             5.08178             1.64714             -4.86901            -3.43878            14.5586             
0.361679            26624               1.62755             5.17209             1.67731             -5.02355            -3.37329            14.8182             
0.365157            26880               1.32182             3.51547             1.74893             -3.65567            -3.97257            9.7469              
0.368635            27136               1.33569             1.95923             1.97848             -2.33166            -4.5783             5.27201             
0.372112            27392               1.87598             0.305321            2.27783             -1.13935            -4.9718             1.29687             
0.37559             27648               1.27056             0.794551            2.67131             -1.73949            -6.56204            2.08951             
0.379068            27904               1.99582             1.02991             2.82609             -2.09511            -6.43929            3.64126             
0.382546            28160               1.94396             1.77491             3.02733             -2.79251            -7.01516            5.69029             
0.386023            28416               2.0419              1.96983             2.682               -2.7515             -6.03762            6.08401             
0.389501            28672               2.32055             2.79134             2.28564             -3.35204            -4.68674            8.60707             
0.392979            28928               1.98313             6.89648             2.40915             -6.92498            -5.19188            19.3002             
0.396456            29184               1.85216             8.07903             2.18706             -7.59512            -4.77693            22.4691             
0.399934            29440               2.21953             8.79907             2.26727             -8.23215            -4.61529            24.9156             
0.403412            29696               2.24339             9.6828              2.30417             -8.89457            -4.7618             27.5649             
0.406889            29952               2.20285             9.88796             2.1062              -8.81234            -4.23065            28.2495             
0.410367            30208               2.15306             12.1401             2.02193             -10.6583            -4.04292            34.3957             
0.413845            30464               2.11627             13.3845             2.26968             -11.854             -4.72273            37.7408             
0.417322            30720               2.21751             13.9208             2.55018             -12.6999            -5.4346             39.2977             
0.4208              30976               1.93703             13.3179             2.18969             -11.879             -4.65607            37.314              
0.424278            31232               2.48267             11.5947             1.86813             -10.2068            -3.35433            33.1245             
0.427755            31488               2.51113             10.0126             1.51465             -8.72883            -2.32293            28.9428             
0.431233            31744               3.34621             9.81175             1.76626             -8.87343            -2.36465            29.3955             
0.434711            32000               2.11741             10.917              1.81675             -9.80071            -3.44954            31.0971             
0.438188            32256               2.057               9.79961             1.59641             -8.76974            -2.95485            28.0098             
0.441666            32512               2.33939             10.262              1.42195             -9.09259            -2.12872            29.7727             
0.445144            32768               2.37665             9.55647             1.45145             -8.4121             -2.12865            27.9354             
0.448622            33024               2.12149             7.18276             2.30998             -7.09358            -4.66925            21.2742             
0.452099            33280               1.97857             7.45743             2.23706             -7.14077            -4.6338             21.9131             
0.455577            33536               1.38879             5.13302             2.53001             -5.36135            -6.00575            14.6315             
0.459055            33792               1.18448             4.11024             2.36398             -4.45296            -5.81619            10.9984             
0.462532            34048               1.894               3.91386             2.15086             -4.21356            -4.61547            11.3964             
0.46601             34304               1.7877              8.51231             1.93183             -7.69101            -4.11788            23.9077             
0.469488            34560               1.24839             8.73513             2.09383             -8.20034            -5.0409             24.276              
0.472965            34816               1.4437              9.98513             1.85143             -8.97808            -4.19404            27.6514             
0.476443            35072               1.59703             10.4184             1.55143             -9.14901            -3.0909             29.0779             
0.479921            35328               1.5653              8.83755             1.61001             -7.88447            -3.26229            24.912              
0.483398            35584               1.95051             8.57842             1.93635             -7.7061             -3.89356            24.3349             
0.486876            35840               2.2308              8.84916             2.08623             -7.96187            -4.09718            25.1215             
0.490354            36096               1.87898             9.91321             2.31398             -9.14193            -5.09179            27.4787             
0.493831            36352               2.05657             12.21               2.06968             -10.6426            -4.25726            33.7085             
0.497309            36608               2.09616             11.8833             1.97436             -10.3195            -3.97022            32.9905             
0.500787            36864               2.20543             12.5865             2.31199             -11.3756            -4.8391             35.2409             
0.504265            37120               2.38476             12.2883             2.37177             -11.1825            -4.78456            35.0846             
0.507742            37376               2.16868             13.2959             2.5619              -12.1467            -5.45924            38.1748             
0.51122             37632               1.48566             12.4325             2.2214              -11.0609            -5.17334            35.0689             
0.514698            37888               1.99147             8.66233             2.53033             -8.24969            -5.6043             24.7694             
0.518175            38144               1.97757             6.17792             2.6003              -6.1247             -5.82528            17.7196             
0.521653            38400               1.96769             5.31603             3.07068             -5.85384            -7.14674            15.1398             
0.525131            38656               1.87851             5.82718             2.57112             -5.83757            -5.82539            16.4678             
0.528608            38912               2.15917             6.20371             2.31648             -5.91214            -4.91141            17.6035             
0.532086            39168               2.04877             4.3245              2.71486             -4.61964            -6.08486            12.2049             
0.535564            39424               2.10862             6.05683             2.99562             -6.32399            -6.83517            17.1643             
0.539041            39680               2.57489             7.29148             2.26371             -6.7542             -4.37477            21.107              
0.542519            39936               2.30047             6.3804              2.80058             -6.29853            -6.05299            18.752              
0.545997            40192               2.66578             8.18465             2.81461             -7.67674            -5.79332            24.4429             
0.549474            40448               2.06753             8.36682             2.97931             -7.87254            -6.78836            24.0644             
0.552952            40704               1.90604             7.84282             2.94841             -7.60423            -6.84052            22.2608             
0.55643             40960               2.23043             8.82945             3.04347             -8.36223            -6.91425            24.9227             
0.559907            41216               2.1655              8.4495              2.98884             -8.14128            -6.82094            23.5997             
0.563385            41472               2.27012             8.5208              3.02926             -8.18153            -6.79354            23.564              
0.566863            41728               2.36042             9.78526             2.9595              -9.14723            -6.54746            27.3869             
0.570341            41984               2.7273              12.8296             3.11364             -11.7894            -6.70432            36.1412             
0.573818            42240               2.63737             13.3231             2.53684             -11.869             -5.11028            37.7753             
0.577296            42496               2.25913             14.458              2.36718             -12.6392            -4.92873            40.5141             
0.580774            42752               2.29803             13.9288             2.10013             -12.0309            -4.2115             39.2902             
0.584251            43008               1.99588             13.3265             2.40786             -11.8717            -5.38681            37.6851             
0.587729            43264               1.90668             12.7449             2.41462             -11.4361            -5.41993            36.3606             
0.591207            43520               1.47512             12.8559             2.71903             -11.7396            -6.56352            36.4611             
0.594684            43776               0.876559            9.75373             3.03919             -9.32199            -7.95882            27.1822             
0.598162            44032               0.916609            7.51375             3.25734             -7.77394            -8.54951            20.4411             
0.60164             44288               1.11066             6.67138             3.26622             -7.12727            -8.42818            18.0501             
0.605117            44544               1.87447             4.4459              2.78811             -4.93861            -6.45484            12.3885             
0.608595            44800               2.08192             5.81827             3.10292             -6.45311            -7.09848            16.1345             
0.612073            45056               1.45475             5.64398             2.57224             -5.92234            -6.28959            15.3216             
0.61555             45312               2.14689             7.58586             2.44208             -7.18601            -5.23882            21.5688             
0.619028            45568               1.60195             8.78114             2.67176             -8.30429            -6.33211            24.3054             
0.622506            45824               2.18723             8.8919              2.24151             -7.73064            -4.6033             25.2621             
0.625984            46080               1.87041             8.49906             2.79113             -7.74065            -6.30435            23.5131             
0.629461            46336               2.02687             8.25443             3.08322             -7.82647            -7.10566            23.3695             
0.632939            46592               2.64854             7.5668              2.65427             -6.86131            -5.48774            22.0767             
0.636417            46848               2.49373             5.39897             3.05383             -5.49817            -6.7459             15.919              
0.639894            47104               2.96098             7.27055             2.73788             -6.73002            -5.60486            21.6371             
0.643372            47360               3.26232             8.69457             2.62336             -8.00464            -5.02479            25.8996             
0.64685             47616               3.01671             10.8373             3.05068             -10.2381            -6.39905            31.3103             
0.650327            47872               3.12027             10.1495             2.35024             -9.48851            -4.40238            30.1352             
0.653805            48128               2.29733             9.64451             2.10813             -8.9945             -4.22884            27.7064             
0.657283            48384               2.46022             11.0033             1.5857              -9.76251            -2.58316            31.8967             
0.66076             48640               2.13671             10.9739             1.4658              -9.67159            -2.4739             31.3314             
0.664238            48896               2.2277              10.9524             1.62425             -9.63285            -2.76871            31.2005             
0.667716            49152               1.84169             10.8341             1.74161             -9.56486            -3.3657             30.4265             
0.671193            49408               1.5212              10.7554             1.69486             -9.41779            -3.48767            29.9765             
0.674671            49664               1.64234             8.09856             2.19483             -7.48219            -4.87579            22.4957             
0.678149            49920               1.47467             8.25576             2.86354             -8.17467            -6.83066            22.7823             
0.681626            50176               2.04501             8.74036             2.88487             -8.34422            -6.5903             24.5379             
0.685104            50432               1.65963             9.70107             3.12641             -9.41022            -7.56792            26.7555             
0.688582            50688               1.70727             7.79712             2.50573             -7.4522             -5.82918            21.5467             
0.69206             50944               2.11101             8.1932              2.3771              -7.71403            -5.14036            22.9748             
0.695537            51200               2.40344             8.91696             2.41243             -8.45324            -5.02404            25.6311             
0.699015            51456               2.41782             7.87029             2.01405             -7.35958            -3.85878            23.1148             
0.702493            51712               2.37655             6.53787             1.88364             -6.2541             -3.41663            19.1885             
0.70597             51968               2.62784             5.90815             2.30999             -6.05735            -4.41254            18.0248             
0.709448            52224               2.10352             8.59897             2.00565             -7.99664            -3.92164            24.9137             
0.712926            52480               2.1391              6.61454             1.84269             -6.10189            -3.47811            19.2615             
0.716403            52736               1.74907             7.10492             1.94038             -6.35842            -4.07083            20.0636             
0.719881            52992               1.97877             5.32519             2.32037             -5.0873             -4.9907             15.2685             
0.723359            53248               2.11203             6.29013             2.17945             -5.80316            -4.5436             18.0931             
0.726836            53504               1.83517             7.69206             2.44645             -7.17465            -5.44347            21.5818             
0.730314            53760               1.81267             8.52007             2.84848             -8.16573            -6.65369            23.7476             
0.733792            54016               1.78608             9.07448             3.02748             -8.65856            -7.22063            24.8854             
0.73727             54272               2.24438             10.0987             3.27333             -9.66511            -7.53605            28.1077             
0.740747            54528               2.51614             11.8897             3.04607             -10.9123            -6.75838            33.4931             
0.744225            54784               2.71038             11.4131             2.73749             -10.4389            -5.66321            32.648              
0.747703            55040               2.37239             10.316              2.45808             -9.52583            -5.16583            29.422              
0.75118             55296               2.74184             12.9582             2.17281             -11.7041            -4.03225            37.3157             
0.754658            55552               2.64308             13.8703             2.22051             -12.5117            -4.25352            39.6504             
0.758136            55808               2.87703             12.3878             2.11659             -11.076             -3.78664            35.5128             
0.761613            56064               2.63611             12.9623             1.83577             -11.2631            -3.12352            36.9001             
0.765091            56320               2.88983             13.1581             2.08324             -11.4698            -3.54448            37.7527             
0.768569            56576               2.8973              12.339              1.97108             -10.6467            -3.21349            35.5832             
0.772046            56832               2.52159             10.7025             2.12262             -9.36333            -4.0076             30.811              
0.775524            57088               2.73878             11.1201             2.42101             -9.7073             -4.66088            31.9153             
0.779002            57344               1.5628              9.66376             3.31411             -9.30871            -8.20039            26.6667             
0.782479            57600               2.47283             9.79652             2.92134             -9.0404             -6.31934            27.8328             
0.785957            57856               2.12328             9.49459             2.72827             -8.68603            -6.06976            27.0496             
0.789435            58112               2.08758             8.31541             2.86042             -7.75311            -6.52213            23.5696             
0.792912            58368               1.94543             6.74035             2.85233             -6.5698             -6.59782            19.1799             
0.79639             58624               2.34083             7.13093             3.0429              -7.15741            -6.77019            20.4785             
0.799868            58880               2.35846             7.37626             2.75401             -7.16144            -6.04546            21.0895             
0.803346            59136               2.34517             7.95344             2.54144             -7.44796            -5.47346            22.8197             
0.806823            59392               2.60021             9.60572             2.41273             -8.88917            -4.86169            27.6772             
0.810301            59648               2.499               9.8005              2.50708             -9.29994            -5.12107            28.2238             
0.813779            59904               2.75332             10.8893             2.23409             -9.93098            -4.14753            31.1141             
0.817256            60160               2.70102             11.4078             1.85575             -10.0652            -3.13677            32.4779             
0.820734            60416               2.56498             11.2875             1.62252             -9.70241            -2.56139            31.9157             
0.824212            60672               2.73338             10.7058             1.99657             -9.35127            -3.47591            30.5405             
0.827689            60928               3.16045             12.5882             2.42809             -11.142             -4.28058            36.2484             
0.831167            61184               3.4859              14.2225             2.82703             -12.6238            -5.17101            41.1725             
0.834645            61440               2.5695              11.551              2.6972              -10.307             -5.54869            32.8335             
0.838122            61696               2.77091             12.7537             2.50912             -11.087             -4.9215             36.19               
0.8416              61952               2.58806             12.2702             3.08646             -11.1376            -6.64175            34.7378             
0.845078            62208               2.02334             12.4869             2.89483             -11.0845            -6.725              34.9831             
0.848555            62464               3.04674             14.136              2.45562             -11.9939            -4.7197             40.5399             
0.852033            62720               2.60383             14.1117             2.89875             -12.5306            -6.27166            40.1902             
0.855511            62976               2.52456             12.3881             2.74109             -11.2515            -5.99046            35.4221             
0.858989            63232               2.2485              12.3001             2.40892             -11.3542            -5.21753            34.872              
0.862466            63488               2.21237             11.6785             1.85631             -10.6928            -3.59114            33.3188             
0.865944            63744               2.33213             11.4953             1.35823             -10.1518            -2.00017            32.9724             
0.869422            64000               2.73482             10.7911             1.57046             -9.67462            -2.17819            31.5474             
0.872899            64256               2.35668             9.80212             2.02367             -9.03122            -3.75995            28.2007             
0.876377            64512               2.61418             7.75058             2.03946             -7.14099            -3.53163            22.5935             
0.879855            64768               2.83202             6.77026             2.03112             -6.2225             -3.41737            19.9976             
0.883332            65024               1.8528              6.36492             2.34253             -5.93141            -5.19334            17.7721             
0.88681             65280               2.27051             6.83062             2.75781             -6.53287            -6.07352            19.5254             
0.890288            65536               1.82472             8.32198             3.02843             -8.00471            -7.11629            23.4538             
0.893765            65792               2.76609             7.04354             3.14218             -6.97574            -6.70883            20.6896             
0.897243            66048               2.15673             6.99329             3.13041             -6.97015            -7.25447            19.9006             
0.900721            66304               2.36408             10.1089             3.49383             -9.86635            -8.09758            28.6762             
0.904198            66560               2.63781             10.8393             2.92097             -10.0554            -6.19571            30.8305             
0.907676            66816               2.65182             12.0364             2.20124             -10.488             -4.29581            34.0756             
0.911154            67072               2.78889             13.774              2.3193              -12.1329            -4.38981            39.2347             
0.914631            67328               3.12568             13.5241             2.44833             -12.0653            -4.41147            38.8428             
0.918109            67584               2.92793             14.464              2.24139             -12.7106            -3.98479            41.3559             
0.921587            67840               2.80568             15.2988             1.82795             -13.2865            -2.9376             43.7047             
0.925065            68096               2.51688             14.3229             1.76668             -12.5777            -2.99068            40.7759             
0.928542            68352               2.39498             12.5664             1.8596              -11.2353            -3.33204            36.111              
0.93202             68608               2.2731              9.8177              1.50356             -8.79795            -2.45837            28.5252             
0.935498            68864               2.00888             9.04338             1.59624             -8.27003            -2.92342            25.9249             
0.938975            69120               1.67767             9.2583              1.60879             -8.41085            -3.22761            25.9313             
0.942453            69376               2.0573              7.54248             1.68796             -7.11737            -3.21343            21.5479             
0.945931            69632               1.27431             6.30506             2.10455             -6.31136            -4.93512            17.4753             
0.949408            69888               2.61147             7.67764             2.10689             -7.14342            -3.85922            22.4085             
0.952886            70144               1.47188             6.33931             2.45235             -5.9944             -5.79952            17.572              
0.956364            70400               1.55976             6.43433             2.8012              -6.17585            -6.73455            17.546              
0.959841            70656               1.26331             5.87627             3.08751             -6.03401            -7.83843            15.5268             
0.963319            70912               2.32839             5.15051             3.01409             -5.24313            -6.85243            14.5159             
0.966797            71168               2.21053             7.34319             3.05843             -7.25718            -7.02401            20.6166             
0.970275            71424               2.81937             6.59043             2.88444             -6.54186            -6.04549            19.6146             
0.973752            71680               2.3065              7.80562             2.32611             -7.30963            -4.86063            22.4592             
0.97723             71936               2.46449             8.57099             2.12201             -7.98587            -4.12596            24.8649             
0.980708            72192               2.50017             9.71232             2.07543             -8.87479            -3.94538            28.1144             
0.984185            72448               2.74066             10.4863             1.71905             -9.38523            -2.63976            30.5325             
0.987663            72704               2.7249              9.55343             1.69141             -8.50175            -2.65172            27.6721             
0.991141            72960               2.82547             11.3437             1.856               -10.3107            -2.91238            32.6703             
0.994618            73216               2.56506             12.6657             1.84555             -11.2224            -3.20247            36.1328             
0.998096            73472               2.5038              13.403              1.71584             -11.771             -2.82886            38.1911             
1.00157             73728               2.47457             11.7995             1.84078             -10.6226            -3.11131            33.6812             
1.00505             73984               2.31087             10.2907             1.87532             -9.51526            -3.38796            29.4059             
1.00853             74240               2.15858             9.73782             1.87828             -8.78582            -3.57797            27.6514             
1.01201             74496               2.13005             9.58511             2.2134              -8.75712            -4.46039            27.1185             
1.01548             74752               2.30284             9.56726             1.974               -8.51257            -3.65605            27.4624             
1.01896             75008               1.76091             9.31172             2.40091             -8.47793            -5.28202            25.8977             
1.02244             75264               2.32114             7.08247             2.80702             -7.01641            -6.14297            20.2171             
1.02592             75520               1.73917             6.4739              3.15873             -6.81943            -7.65262            18.0368             
1.0294              75776               2.20481             8.11335             3.62186             -8.39166            -8.58858            22.7616             
1.03287             76032               2.70111             7.83112             3.51121             -8.16479            -7.81245            22.4108             
1.03635             76288               2.33313             8.44092             2.62626             -7.86153            -5.60797            23.585              
1.03983             76544               2.60967             8.59816             2.57036             -7.95242            -5.30411            24.2291             
1.04331             76800               3.02613             11.3225             2.71295             -10.3643            -5.19552            32.2969             
1.04678             77056               3.19546             11.8487             2.52967             -10.595             -4.6006             34.104              
1.05026             77312               2.6312              12.3037             2.06826             -10.5712            -3.79958            35.1641             
1.05374             77568               2.48907             12.2613             2.45513             -10.9179            -4.9919             35.019              
1.05722             77824               2.35404             10.419              2.13448             -9.35993            -4.26127            30.1136             
1.06069             78080               2.48135             9.73519             2.21471             -8.96837            -4.46366            28.6593             
1.06417             78336               2.36478             7.08713             2.28403             -6.91759            -4.67215            21.0213             
1.06765             78592               1.95932             7.27858             2.29615             -7.25337            -5.01166            20.8564             
1.07113             78848               1.88                9.15499             2.03166             -8.58883            -4.26461            25.5991             
1.07461             79104               2.05583             8.35635             1.53663             -7.62779            -2.77146            23.5441             
