#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -4.46491e-06        2.69548e-05         9.92203e-06         -3.76548e-05        -4.88561e-05        0.000118048         
0.00347769          256                 16.2303             -31.2904            3.3765              32.1596             3.32672             -124.943            
0.00695537          512                 11.0011             -24.1982            1.50096             25.7035             5.74224             -97.5906            
0.0104331           768                 -10.9569            16.7612             -3.77721            -15.7084            4.37927             64.5276             
0.0139107           1024                -16.3435            30.3158             -4.7342             -30.0864            2.47583             119.494             
0.0173884           1280                -5.36482            10.2569             -0.959346           -10.6853            -1.80538            40.6246             
0.0208661           1536                7.78298             -16.6029            3.54918             15.697              -6.86056            -66.1568            
0.0243438           1792                9.50509             -18.8071            2.08624             19.3208             1.52131             -74.6806            
0.0278215           2048                -4.45597            7.47938             -1.50652            -7.16629            1.63771             29.0887             
0.0312992           2304                0.263938            -1.29646            0.418573            1.09935             -1.54329            -5.48766            
0.0347769           2560                6.57861             -12.9058            1.76505             12.9886             -0.371502           -51.2543            
0.0382545           2816                1.29688             -3.21246            0.141794            3.45932             0.846226            -13.0644            
0.0417322           3072                -1.48189            2.15821             -0.58262            -1.95804            0.908167            8.20457             
0.0452099           3328                -0.559351           0.345704            -0.193208           -0.244762           0.228863            1.02622             
0.0486876           3584                0.854405            -2.46805            0.137167            2.6324              0.365587            -10.1507            
0.0521653           3840                -0.357609           0.0147575           -0.26887            0.185712            0.790076            -0.276053           
0.055643            4096                -0.535506           0.533786            -0.246724           -0.409412           0.490016            1.85345             
0.0591207           4352                0.627433            -1.54102            0.065366            1.65922             0.422044            -6.29946            
0.0625984           4608                0.818609            -1.90927            0.109846            2.03519             0.44226             -7.7521             
0.066076            4864                0.729868            -1.8617             0.107961            1.98301             0.352688            -7.59988            
0.0695537           5120                0.700096            -1.9609             0.120607            2.08214             0.2649              -8.04365            
0.0730314           5376                0.742175            -2.0313             0.139911            2.14473             0.226145            -8.3223             
0.0765091           5632                0.790294            -1.88062            0.112772            1.99871             0.396561            -7.64276            
0.0799868           5888                0.502119            -1.09745            -0.0077711          1.22124             0.600692            -4.46402            
0.0834645           6144                0.0629237           -0.0793278          -0.132711           0.185594            0.655503            -0.365066           
0.0869422           6400                -0.185078           0.334567            -0.179285           -0.239524           0.58261             1.25989             
0.0904198           6656                -0.378293           0.387038            -0.189187           -0.292422           0.41233             1.36255             
0.0938975           6912                -0.440398           0.117398            -0.165119           -0.0115685          0.240147            0.162543            
0.0973752           7168                -0.295934           -0.596142           -0.098783           0.730855            0.116358            -2.81971            
0.100853            7424                -0.0830333          -1.08151            -0.0556535          1.23977             0.167549            -4.77252            
0.104331            7680                0.26423             -1.64069            -0.050438           1.85971             0.532775            -6.96163            
0.107808            7936                0.368548            -1.65697            -0.0449924          1.87587             0.627219            -6.96194            
0.111286            8192                0.508936            -2.14552            0.0321241           2.3591              0.447759            -8.98266            
0.114764            8448                0.602886            -1.71188            -0.0252312          1.92563             0.79749             -7.07446            
0.118241            8704                0.411599            -0.745166           -0.0931452          0.906125            0.879067            -3.04981            
0.121719            8960                0.74907             -1.48773            -0.0825185          1.72469             1.21047             -5.99868            
0.125197            9216                0.927265            -1.74777            -0.003287           1.94503             1.06918             -6.95204            
0.128674            9472                0.356007            -1.55691            0.0938599           1.64852             0.0158628           -6.5287             
0.132152            9728                0.772164            -2.41479            0.198225            2.51645             0.0228816           -9.98024            
0.13563             9984                0.51637             -2.03304            0.0956607           2.17414             0.172323            -8.51728            
0.139107            10240               0.349731            -1.70429            -0.0207633          1.8976              0.490583            -7.22318            
0.142585            10496               0.666432            -2.05194            0.0565604           2.23602             0.503695            -8.52977            
0.146063            10752               0.694524            -1.87041            0.00305648          2.08727             0.777514            -7.74602            
0.149541            11008               0.935576            -1.85951            -0.0441289          2.10101             1.26443             -7.51058            
0.153018            11264               0.630337            -1.6379             -0.0897295          1.87643             1.10858             -6.76236            
0.156496            11520               0.733815            -1.7946             -0.0881913          2.05583             1.22029             -7.34709            
0.159974            11776               0.503781            -1.51787            -0.0722507          1.74132             0.905876            -6.29623            
0.163451            12032               0.556128            -1.63938            -0.00738794         1.82218             0.670924            -6.78895            
0.166929            12288               0.716177            -1.99197            0.0609724           2.16096             0.550127            -8.19079            
0.170407            12544               0.55865             -1.73949            0.0326944           1.89889             0.493679            -7.19817            
0.173884            12800               0.515932            -1.64087            0.0526651           1.76912             0.356369            -6.79957            
0.177362            13056               0.880178            -2.1484             0.113796            2.28816             0.494188            -8.74104            
0.18084             13312               0.960286            -2.32019            0.142509            2.45563             0.456855            -9.4284             
0.184317            13568               1.21747             -2.57406            0.194973            2.69997             0.515645            -10.348             
0.187795            13824               1.14994             -2.42034            0.216438            2.51281             0.354713            -9.71155            
0.191273            14080               1.33765             -2.90968            0.286031            3.00391             0.265575            -11.6966            
0.19475             14336               1.69245             -3.64211            0.383143            3.74121             0.236496            -14.6189            
0.198228            14592               2.11729             -4.55911            0.514693            4.65608             0.136872            -18.2895            
0.201706            14848               2.49758             -5.37177            0.635512            5.46492             0.0312306           -21.5433            
0.205183            15104               2.95429             -6.15603            0.798133            6.21358             -0.174563           -24.6208            
0.208661            15360               3.62344             -7.07129            0.967087            7.11038             -0.172067           -28.129             
0.212139            15616               4.38227             -8.02191            1.07256             8.10129             0.203039            -31.7497            
0.215617            15872               5.02684             -8.70194            1.0852              8.85596             0.86153             -34.2888            
0.219094            16128               5.35919             -9.0259             1.04094             9.25135             1.42337             -35.4942            
0.222572            16384               4.89358             -8.33143            0.879208            8.59797             1.60846             -32.7981            
0.22605             16640               3.97055             -6.91434            0.667468            7.1815              1.50567             -27.2916            
0.229527            16896               3.38833             -6.05618            0.533326            6.32841             1.44893             -23.9648            
0.233005            17152               2.77578             -4.73272            0.409188            4.95067             1.30998             -18.6318            
0.236483            17408               2.31618             -3.75818            0.344988            3.91857             1.07766             -14.7145            
0.23996             17664               1.76572             -2.82753            0.323186            2.88949             0.562186            -11.062             
0.243438            17920               1.15545             -1.61413            0.141259            1.68567             0.67049             -6.20388            
0.246916            18176               0.512575            -1.06273            0.124212            1.07787             0.031401            -4.2499             
0.250393            18432               0.300784            -1.30018            0.27463             1.22111             -0.849842           -5.39435            
0.253871            18688               -0.0372031          -1.37194            0.335955            1.25103             -1.48676            -5.92806            
0.257349            18944               -0.332326           -1.23298            0.270789            1.141               -1.53386            -5.53686            
0.260826            19200               -0.257632           -0.988921           0.0927739           1.01152             -0.683268           -4.44758            
0.264304            19456               -0.291425           -0.676399           0.0899061           0.664418            -0.713664           -3.12675            
0.267782            19712               -0.0524844          -0.659076           0.0953732           0.640301            -0.474611           -2.88977            
0.27126             19968               -0.475042           0.365584            -0.0812945          -0.361362           -0.17825            1.25829             
0.274737            20224               -0.754334           0.720743            -0.110261           -0.729817           -0.360801           2.5934              
0.278215            20480               -0.681332           0.418974            -0.08295            -0.412857           -0.398391           1.3334              
0.281693            20736               -0.47356            -0.0914763          -0.100314           0.163176            -0.0913054          -0.73793            
0.28517             20992               -0.392399           -0.291294           -0.153346           0.42878             0.230195            -1.56124            
0.288648            21248               -0.23775            -0.495442           -0.185093           0.682637            0.542876            -2.34916            
0.292126            21504               -0.352477           -0.230442           -0.232944           0.425904            0.626496            -1.28942            
0.295603            21760               -0.391488           -0.0893227          -0.203939           0.249751            0.456757            -0.712291           
0.299081            22016               -0.515236           0.283811            -0.224809           -0.146901           0.4149              0.812844            
0.302559            22272               -0.806983           0.854162            -0.240601           -0.769074           0.161758            3.07934             
0.306036            22528               -0.914804           0.973043            -0.20558            -0.928485           -0.114615           3.51914             
0.309514            22784               -0.824811           0.905103            -0.220807           -0.842262           0.0488699           3.28139             
0.312992            23040               -0.596271           0.661839            -0.253199           -0.542023           0.443423            2.39062             
0.316469            23296               -0.603311           0.817752            -0.235586           -0.73085            0.355222            3.04644             
0.319947            23552               -0.437799           1.00789             -0.285321           -0.897284           0.753616            3.95988             
0.323425            23808               -0.251752           1.2456              -0.287546           -1.15919            0.972401            5.10699             
0.326903            24064               -0.370793           1.48086             -0.231552           -1.46625            0.600066            6.05326             
0.33038             24320               -0.395908           1.38003             -0.217693           -1.36841            0.513406            5.60611             
0.333858            24576               -0.26155            0.84193             -0.198095           -0.786797           0.579186            3.37624             
0.337336            24832               0.0224345           0.327144            -0.0923011          -0.300209           0.429028            1.35158             
0.340813            25088               0.145041            -0.108198           -0.0212985          0.130837            0.245213            -0.437413           
0.344291            25344               0.0407445           -0.23978            -0.0498317          0.299852            0.255059            -1.08449            
0.347769            25600               -0.0882042          -0.0991892          -0.0643242          0.151462            0.177507            -0.569583           
0.351246            25856               -0.123723           -0.332782           -0.00875933         0.371086            -0.106668           -1.59524            
0.354724            26112               -0.264318           -0.458326           0.016591            0.492653            -0.366831           -2.23025            
0.358202            26368               -0.00125497         -1.06295            0.068883            1.12384             -0.294713           -4.66735            
0.361679            26624               0.298443            -1.45666            0.0864296           1.54895             -0.0342793          -6.15657            
0.365157            26880               0.534772            -1.76524            0.110961            1.87342             0.12243             -7.32523            
0.368635            27136               0.599794            -1.93559            0.134218            2.04558             0.0962651           -8.01404            
0.372112            27392               0.500319            -2.03302            0.158336            2.13283             -0.117151           -8.49479            
0.37559             27648               0.329448            -1.99487            0.147953            2.09429             -0.264585           -8.44011            
0.379068            27904               0.18042             -2.07046            0.153534            2.17048             -0.457604           -8.88199            
0.382546            28160               0.471784            -2.5789             0.16378             2.73061             -0.175068           -10.8972            
0.386023            28416               0.547057            -2.60847            0.136822            2.782               0.030827            -10.9729            
0.389501            28672               0.525753            -2.69105            0.162737            2.85145             -0.100264           -11.3515            
0.392979            28928               0.625324            -2.57208            0.104625            2.76915             0.254629            -10.8054            
0.396456            29184               0.838885            -2.50224            0.0388993           2.74725             0.778151            -10.3699            
0.399934            29440               1.15808             -2.57532            0.058807            2.82039             1.04868             -10.4539            
0.403412            29696               1.05476             -1.91295            -0.00654738         2.13119             1.22156             -7.63698            
0.406889            29952               0.674283            -1.27617            -0.0899658          1.47718             1.17105             -5.11982            
0.410367            30208               0.251494            -1.4445             -0.0919595          1.66292             0.71                -6.14248            
0.413845            30464               -0.170802           -1.34728            -0.104242           1.56332             0.297524            -6.01042            
0.417322            30720               -0.136439           -1.61607            -0.0602105          1.82607             0.138264            -7.1476             
0.4208              30976               0.0161977           -1.83656            0.000879588         2.02538             0.03214             -8.01703            
0.424278            31232               0.480368            -2.57303            0.0450821           2.80803             0.361311            -10.8862            
0.427755            31488               0.382572            -2.51273            0.025215            2.7523              0.34226             -10.69              
0.431233            31744               0.44734             -2.57045            0.00975368          2.82906             0.473996            -10.8964            
0.434711            32000               0.542572            -2.46614            0.0317146           2.70118             0.481398            -10.3697            
0.438188            32256               0.668667            -2.46913            0.0117915           2.72632             0.706233            -10.3088            
0.441666            32512               0.249278            -1.67183            -0.11058            1.93217             0.778435            -7.13462            
0.445144            32768               0.087615            -1.63046            -0.100363           1.8773              0.554792            -7.04472            
