#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -0.000155776        -0.00306756         -0.000712732        0.00220541          0.000760631         -0.00354724         
0.00347769          256                 -1.48276            -47.8145            -4.21374            38.4458             3.54601             -52.3813            
0.00695537          512                 33.0529             -1108.17            -5.68305            923.196             62.2512             -1232.57            
0.0104331           768                 81.0155             91.9376             36.1308             -107.853            21.6984             93.173              
0.0139107           1024                13.519              1185.86             -88.5674            -1040.37            95.9791             1364.99             
0.0173884           1280                -52.7007            530.322             6.96172             -459.801            -68.4126            633.852             
0.0208661           1536                -42.5688            196.294             23.1932             -154.395            -70.9529            278.666             
0.0243438           1792                -6.4892             109.23              9.10885             -84.4099            -16.1043            112.428             
0.0278215           2048                27.6521             67.074              5.23489             -53.3358            21.2769             22.5214             
0.0312992           2304                16.7063             8.95429             5.80707             5.41438             9.46979             -10.2082            
0.0347769           2560                -3.71443            -79.5988            25.2623             90.1565             -33.4944            -98.4234            
0.0382545           2816                -0.0411387          11.0089             18.6425             1.52576             -21.8214            5.3784              
0.0417322           3072                8.40528             111.898             -0.851539           -91.7658            6.87236             105.162             
0.0452099           3328                9.87501             106.273             8.7831              -84.5698            -3.82677            101.413             
0.0486876           3584                3.49232             106.604             9.86328             -84.361             -11.6031            110.772             
0.0521653           3840                1.3212              133.054             6.59917             -109.161            -11.0331            143.99              
0.055643            4096                2.72768             158.153             4.33073             -132.697            -7.79062            174.721             
0.0591207           4352                2.50966             152.777             4.07348             -129.004            -7.79866            175.007             
0.0625984           4608                2.41232             142.262             5.68862             -120.648            -9.54086            169.06              
0.066076            4864                1.66491             141.635             5.9259              -120.753            -10.6978            175.956             
0.0695537           5120                1.40754             133.58              6.87296             -114.215            -11.9878            172.656             
0.0730314           5376                1.59528             126.593             8.5796              -108.621            -13.6611            169.712             
0.0765091           5632                2.37673             115.595             9.65603             -99.7245            -13.9867            158.432             
0.0799868           5888                2.48614             100.091             10.5798             -87.3183            -14.7413            141.249             
0.0834645           6144                2.97847             84.3167             11.3054             -74.2937            -15.0021            121.112             
0.0869422           6400                2.41091             69.074              11.8472             -61.6884            -15.8319            102.003             
0.0904198           6656                3.5849              52.7354             11.9978             -48.3736            -14.7255            78.5144             
0.0938975           6912                2.99708             39.2275             11.1075             -37.1038            -14.0023            59.4845             
0.0973752           7168                3.04103             25.4839             9.65649             -25.8902            -11.6443            40.3618             
0.100853            7424                2.69871             17.1496             9.44103             -18.1671            -10.7383            27.3861             
0.104331            7680                2.97359             5.87046             7.69794             -8.40847            -7.57528            10.5998             
0.107808            7936                3.77434             0.579806            7.64698             -2.70296            -5.93109            -0.170658           
0.111286            8192                2.17561             -2.96678            8.27883             2.33617             -6.97152            -7.26466            
0.114764            8448                3.77941             -2.1097             8.33545             1.68575             -4.97242            -11.3563            
0.118241            8704                3.44983             -0.964174           6.51346             0.288206            -3.46693            -12.4032            
0.121719            8960                4.13783             0.506074            6.03244             -1.32656            -2.11043            -12.0252            
0.125197            9216                2.96096             4.66483             7.0257              -4.77724            -4.77722            -6.49794            
0.128674            9472                3.53889             6.60938             6.86192             -7.08282            -4.80573            -4.61435            
0.132152            9728                4.10382             8.46429             8.84643             -6.87439            -6.03926            -3.22145            
0.13563             9984                3.91831             4.86778             8.9092              -3.73598            -6.89122            -6.69399            
0.139107            10240               4.8229              1.44647             8.74285             -0.683745           -5.97739            -10.0077            
0.142585            10496               5.11278             -2.46516            9.84859             2.15249             -6.6368             -13.6865            
0.146063            10752               5.8363              -4.0034             9.00772             2.0283              -4.70246            -14.9261            
0.149541            11008               4.25604             -6.10805            10.6136             4.75253             -8.11691            -14.4034            
0.153018            11264               5.46995             -4.68924            11.4264             4.38263             -8.10584            -13.0198            
0.156496            11520               4.29949             -4.2853             13.1865             4.82121             -11.2549            -11.5362            
0.159974            11776               6.0141              -1.38568            12.52               1.09877             -9.21542            -8.96163            
0.163451            12032               5.06055             -2.94864            12.4992             1.7556              -10.2962            -8.26564            
0.166929            12288               3.95458             -5.32439            10.5409             3.46292             -9.09083            -11.9099            
0.170407            12544               4.12212             -3.9673             13.1336             2.21153             -11.9628            -11.2482            
0.173884            12800               4.49943             -4.50166            11.8855             1.58229             -9.80213            -10.8429            
0.177362            13056               4.55337             1.09377             12.6712             -2.83439            -10.895             -6.45261            
0.18084             13312               4.15766             6.26715             10.0253             -8.76262            -8.56441            -2.32061            
0.184317            13568               4.09257             4.68677             8.17786             -8.35198            -6.04239            -3.97538            
0.187795            13824               3.32474             1.66459             10.8568             -4.61356            -9.603              -6.45527            
0.191273            14080               3.87812             4.99942             10.2045             -7.99774            -7.79604            -3.83051            
0.19475             14336               4.71743             7.94198             10.1429             -10.1449            -7.29681            -3.37761            
0.198228            14592               5.53715             9.77259             11.1502             -11.3867            -7.6742             -1.70863            
0.201706            14848               4.20746             12.6387             10.0836             -12.7372            -7.1761             2.8676              
0.205183            15104               4.19913             14.7907             11.4253             -14.0265            -8.79125            6.12362             
0.208661            15360               3.81579             12.7123             10.5482             -13.1277            -9.03898            2.87505             
0.212139            15616               4.37228             15.471              11.198              -15.5095            -9.18107            7.23708             
0.215617            15872               4.80854             12.086              11.89               -12.4648            -9.48586            4.53627             
0.219094            16128               4.69945             8.06641             11.1844             -10.4346            -9.20897            1.75652             
0.222572            16384               4.43129             15.4573             9.89443             -18.1111            -7.79895            11.2722             
0.22605             16640               3.32259             8.46533             13.1117             -10.8322            -12.4378            3.51945             
0.229527            16896               3.29884             6.14764             10.9537             -8.8913             -9.82015            0.455937            
0.233005            17152               4.84327             9.65192             11.7596             -12.7597            -9.68162            4.6097              
0.236483            17408               4.84539             10.4663             11.7739             -13.5293            -9.32262            5.29126             
0.23996             17664               6.35735             5.88176             13.6312             -8.54029            -9.67235            0.0720863           
0.243438            17920               5.0281              1.4599              13.935              -3.8115             -11.033             -4.58542            
0.246916            18176               5.08938             8.56702             15.6781             -9.56265            -13.1822            4.44808             
0.250393            18432               4.69593             10.5071             16.1627             -10.771             -14.029             5.69995             
0.253871            18688               6.48141             11.4831             15.5532             -12.3191            -11.3709            5.32088             
0.257349            18944               4.9177              11.1793             13.1215             -12.3199            -10.512             3.11518             
0.260826            19200               5.1589              12.7577             13.8246             -12.9361            -11.1267            4.71042             
0.264304            19456               5.28504             14.5841             15.742              -13.5087            -13.3229            6.95188             
0.267782            19712               5.01247             14.4299             12.4408             -15.4208            -10.2723            4.54472             
0.27126             19968               4.34034             10.1523             13.1197             -11.4203            -11.8924            -0.261288           
0.274737            20224               3.68488             16.5823             13.1751             -17.8936            -12.9348            6.99072             
0.278215            20480               5.51382             16.6617             12.6778             -18.5925            -10.2839            5.12013             
0.281693            20736               3.4289              13.6393             12.2427             -14.9062            -11.7169            1.92988             
0.28517             20992               5.13365             16.4865             12.6532             -18.622             -10.5454            5.5088              
0.288648            21248               4.40564             21.7316             11.1577             -23.5265            -8.89169            10.8791             
0.292126            21504               5.48268             25.303              11.7682             -27.012             -9.03422            14.1372             
0.295603            21760               5.5182              25.0077             12.5983             -25.5421            -9.76537            13.4573             
0.299081            22016               5.83099             25.8044             12.6364             -25.7609            -9.41109            14.1748             
0.302559            22272               4.60621             29.0035             11.9836             -29.109             -9.92542            20.3673             
0.306036            22528               5.31867             30.9835             12.284              -30.5247            -9.31094            22.8089             
0.309514            22784               5.27934             28.206              12.4639             -28.1253            -9.63686            19.6247             
0.312992            23040               4.66947             21.1108             12.3199             -22.0499            -9.93724            14.3699             
0.316469            23296               4.28731             21.2556             12.6958             -21.6402            -10.6578            16.4303             
0.319947            23552               4.67541             20.2894             11.2019             -21.0182            -8.82495            15.1096             
0.323425            23808               5.30926             18.7826             12.8194             -19.1893            -10.1634            12.1103             
0.326903            24064               6.58437             20.2524             12.2775             -20.8198            -7.90025            13.3377             
0.33038             24320               5.08042             17.9455             13.5788             -17.9374            -11.3377            11.4061             
0.333858            24576               6.11887             13.2783             14.9302             -14.06              -12.3149            4.01809             
0.337336            24832               5.7579              15.1631             13.9296             -16.1021            -11.7058            3.81762             
0.340813            25088               5.28128             19.7494             14.0973             -20.0095            -12.4591            9.3069              
0.344291            25344               5.94107             23.2044             14.5837             -22.3053            -12.5982            13.4241             
0.347769            25600               4.88198             25.3443             11.6784             -25.5166            -10.4633            16.8742             
