#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -3.96881e-06        2.54665e-05         5.95322e-06         -2.93123e-05        -1.65896e-05        3.84723e-05         
0.00347769          256                 0.194916            -10.956             -3.35558            13.4182             4.86147             -14.9927            
0.00695537          512                 7.90935             -335.415            -104.557            413.362             147.28              -439.11             
0.0104331           768                 -2.64394            178.619             56.6385             -220.162            -81.6949            246.18              
0.0139107           1024                -5.47043            242.75              75.9121             -297.606            -110.113            327.866             
0.0173884           1280                -2.59629            132.516             41.4182             -164.62             -59.3791            178.046             
0.0208661           1536                -0.905099           49.5548             15.2631             -61.7288            -21.6838            66.2328             
0.0243438           1792                0.212564            -6.82007            -2.85152            8.69234             5.11236             -12.2414            
0.0278215           2048                0.251376            -5.70528            -2.16327            7.37195             4.22007             -10.6666            
0.0312992           2304                0.6726              -33.0736            -10.4591            40.7764             15.0377             -44.3528            
0.0347769           2560                1.07269             -50.6191            -15.8515            61.9532             22.759              -67.6948            
0.0382545           2816                0.303002            -10.3824            -3.50261            12.4939             5.31701             -14.4741            
0.0417322           3072                0.150326            -2.92394            -1.22606            3.74119             2.09012             -4.51948            
0.0452099           3328                -0.101544           8.12775             2.4591              -9.97573            -3.50664            11.2633             
0.0486876           3584                -0.142787           9.48567             2.84167             -11.7972            -4.13643            13.2215             
0.0521653           3840                -0.25943            15.5907             4.70449             -19.2805            -6.8047             21.4097             
0.055643            4096                -0.455438           25.0329             7.64012             -30.8323            -10.9613            33.8963             
0.0591207           4352                -0.491514           26.0685             7.98008             -32.1006            -11.4495            35.2339             
0.0625984           4608                -0.512572           27.8507             8.52167             -34.3495            -12.1793            37.5364             
0.066076            4864                -0.540117           29.5872             9.06691             -36.4946            -12.9585            39.9147             
0.0695537           5120                -0.514244           29.667              9.13972             -36.6132            -13.0727            40.2109             
0.0730314           5376                -0.497355           30.36               9.40896             -37.5221            -13.4934            41.4152             
0.0765091           5632                -0.420706           28.6274             8.92605             -35.4611            -12.8513            39.4417             
0.0799868           5888                -0.325183           25.6579             8.05326             -31.8728            -11.663             35.8008             
0.0834645           6144                -0.219363           21.8153             6.91059             -27.2061            -10.0679            30.878              
0.0869422           6400                -0.113236           17.8843             5.75977             -22.4061            -8.39435            25.6589             
0.0904198           6656                -0.0146057          13.5764             4.4665              -17.1373            -6.49149            19.7622             
0.0938975           6912                0.102188            8.2013              2.80005             -10.5272            -3.98286            12.1802             
0.0973752           7168                0.220087            3.37799             1.33758             -4.59304            -1.7228             5.28895             
0.100853            7424                0.290256            0.461293            0.447231            -0.948809           -0.255687           0.867601            
0.104331            7680                0.353309            -2.88282            -0.591544           3.16389             1.38304             -4.07766            
0.107808            7936                0.383712            -4.63337            -1.13152            5.41872             2.29055             -6.81923            
0.111286            8192                0.378229            -5.44752            -1.41014            6.44259             2.77203             -8.24831            
0.114764            8448                0.339565            -5.14763            -1.35976            6.05712             2.68969             -7.94704            
0.118241            8704                0.326057            -4.02694            -1.01419            4.65765             2.26598             -6.60378            
0.121719            8960                0.20954             -2.46717            -0.522489           2.69698             1.49936             -4.59746            
0.125197            9216                0.23155             -0.722579           0.13443             0.73891             0.706551            -2.53561            
0.128674            9472                0.281942            0.584965            0.743485            -0.645313           0.0192398           -1.09406            
0.132152            9728                0.36666             1.38833             1.00086             -1.58548            -0.167047           -0.295625           
0.13563             9984                0.454593            1.9841              1.29099             -2.27666            -0.39467            0.304286            
0.139107            10240               0.463483            2.4817              1.63172             -2.87861            -0.905616           1.22775             
0.142585            10496               0.487339            1.87756             1.41627             -2.20116            -0.5349             0.137085            
0.146063            10752               0.566075            -0.144775           0.7266              0.123349            0.519508            -2.59527            
0.149541            11008               0.446359            1.00004             1.12268             -1.26527            -0.227312           -0.77758            
0.153018            11264               0.399306            0.47981             1.20044             -0.616559           -0.456811           -1.36639            
0.156496            11520               0.379312            1.74548             1.37382             -2.19817            -0.680057           0.307572            
0.159974            11776               0.370295            2.09055             1.62902             -2.44486            -1.01236            0.649985            
0.163451            12032               0.199538            3.26048             2.08331             -3.76581            -1.81154            2.1846              
0.166929            12288               0.346887            4.45078             2.39594             -5.41592            -2.03348            3.91167             
0.170407            12544               0.297204            4.54289             2.32314             -5.67039            -2.02883            4.13182             
0.173884            12800               0.20509             3.8132              2.22951             -4.72023            -2.02195            3.04577             
0.177362            13056               0.220252            3.5565              2.0237              -4.524              -1.66025            2.49176             
0.18084             13312               0.318552            4.55507             2.35405             -5.77489            -1.96952            3.81721             
0.184317            13568               0.285015            2.89725             1.83791             -3.77353            -1.29671            1.4707              
0.187795            13824               0.391585            4.90888             2.67276             -6.05156            -2.28686            4.17215             
0.191273            14080               0.355324            4.59931             2.82849             -5.48979            -2.54302            3.66912             
