#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   2.54665e-05         -2.77817e-05        -1.32294e-06        2.26434e-05         2.26368e-05         -4.03086e-05        
0.00347769          256                 0.0455287           -0.103804           0.0421886           0.114648            0.00443407          -0.105587           
0.00695537          512                 2.84787             -0.571115           0.0697138           0.629908            2.63486             -2.9422             
0.0104331           768                 3.09067             -1.33773            -0.0404382          1.03515             2.73819             -3.65115            
0.0139107           1024                -0.676536           -0.573216           -0.14911            0.168128            -0.698015           0.252665            
0.0173884           1280                -1.45716            -0.229037           -0.01268            0.0552991           -1.35043            1.18789             
0.0208661           1536                -1.57817            0.690948            0.202008            -0.411556           -1.61113            1.85918             
0.0243438           1792                0.210056            -0.525753           -0.00604781         0.527809            0.246313            -0.505204           
0.0278215           2048                0.273813            0.096882            0.037183            -0.0227916          0.257999            -0.188436           
0.0312992           2304                -0.304513           0.108839            -0.0113809          -0.0480802          -0.218256           0.350942            
0.0347769           2560                -0.597251           1.09956             0.0935837           -0.840993           -0.549605           1.21983             
0.0382545           2816                -0.535055           0.851498            0.015882            -0.705103           -0.438724           1.01303             
0.0417322           3072                -0.239174           0.218032            0.0392428           -0.17119            -0.238773           0.352194            
0.0452099           3328                -0.189427           0.260694            0.0508585           -0.183385           -0.188377           0.333734            
0.0486876           3584                -0.272649           0.331804            0.0454725           -0.242274           -0.253608           0.453612            
0.0521653           3840                -0.262384           0.319156            0.0444796           -0.240541           -0.249578           0.435842            
0.055643            4096                -0.185549           0.175742            0.0511127           -0.113341           -0.196148           0.277132            
0.0591207           4352                -0.166649           0.12926             0.0457324           -0.0761578          -0.175264           0.231627            
0.0625984           4608                -0.155883           0.143975            0.0426345           -0.0878259          -0.159463           0.231022            
0.066076            4864                -0.210088           0.171095            0.0341979           -0.120137           -0.205369           0.296916            
0.0695537           5120                -0.208575           0.15718             0.0319686           -0.112165           -0.205756           0.286763            
0.0730314           5376                -0.21661            0.160443            0.0273974           -0.117044           -0.208942           0.296253            
0.0765091           5632                -0.223355           0.183567            0.0240991           -0.139847           -0.211046           0.316659            
0.0799868           5888                -0.235323           0.193757            0.0184145           -0.153982           -0.218536           0.333768            
0.0834645           6144                -0.246073           0.195966            0.0146629           -0.157656           -0.22506            0.345155            
0.0869422           6400                -0.263568           0.217478            0.0161168           -0.177117           -0.241415           0.374084            
0.0904198           6656                -0.268199           0.232143            0.0156927           -0.183297           -0.239971           0.387851            
0.0938975           6912                -0.276972           0.260042            0.0107338           -0.210147           -0.24256            0.413009            
0.0973752           7168                -0.297381           0.285472            0.0113073           -0.232326           -0.261144           0.447126            
0.100853            7424                -0.305749           0.284914            0.0121105           -0.23167            -0.269964           0.454414            
0.104331            7680                -0.303382           0.292401            0.0116291           -0.239595           -0.26706            0.456806            
0.107808            7936                -0.323255           0.328009            0.0181102           -0.269305           -0.290678           0.496382            
0.111286            8192                -0.3275             0.338099            0.00723531          -0.281791           -0.285162           0.506688            
0.114764            8448                -0.320742           0.337495            0.00970374          -0.278012           -0.280377           0.500323            
0.118241            8704                -0.308311           0.325652            0.00878711          -0.273211           -0.27127            0.481485            
0.121719            8960                -0.307343           0.309528            0.0115413           -0.257729           -0.272652           0.470606            
0.125197            9216                -0.313743           0.310983            0.00852633          -0.262298           -0.277507           0.47725             
0.128674            9472                -0.296057           0.301364            0.0123273           -0.249116           -0.262732           0.455348            
0.132152            9728                -0.288987           0.294628            0.0114765           -0.24323            -0.254633           0.444942            
0.13563             9984                -0.296336           0.30569             0.00969167          -0.256698           -0.261461           0.458321            
0.139107            10240               -0.295663           0.311958            0.0126345           -0.257775           -0.261552           0.461647            
0.142585            10496               -0.299312           0.309213            0.00775952          -0.259072           -0.261658           0.463331            
0.146063            10752               -0.287202           0.297307            0.00701487          -0.245469           -0.247383           0.445267            
0.149541            11008               -0.313078           0.32097             0.0112021           -0.271924           -0.279062           0.482691            
0.153018            11264               -0.322363           0.349218            0.00818815          -0.293405           -0.282218           0.508688            
0.156496            11520               -0.285711           0.298511            0.00118039          -0.255969           -0.245897           0.444287            
0.159974            11776               -0.249258           0.2366              -0.000408953        -0.201532           -0.212351           0.373347            
0.163451            12032               -0.287685           0.272054            0.00901267          -0.22638            -0.254448           0.429877            
0.166929            12288               -0.284999           0.261719            0.00649777          -0.22227            -0.251789           0.420984            
0.170407            12544               -0.255515           0.255094            0.00691698          -0.210791           -0.221786           0.390353            
0.173884            12800               -0.268319           0.282728            0.00873122          -0.238043           -0.236558           0.418557            
0.177362            13056               -0.27333            0.288242            0.00691516          -0.242812           -0.240313           0.426624            
0.18084             13312               -0.248199           0.243405            0.00580141          -0.201433           -0.215248           0.376523            
0.184317            13568               -0.250098           0.259248            0.000586557         -0.222177           -0.215009           0.387696            
0.187795            13824               -0.288862           0.32412             0.00480772          -0.279296           -0.253233           0.462505            
0.191273            14080               -0.233311           0.220975            -0.00344575         -0.185688           -0.195407           0.349516            
0.19475             14336               -0.24611            0.263324            0.00127597          -0.226208           -0.211922           0.386667            
0.198228            14592               -0.255393           0.250466            0.00207602          -0.212114           -0.221506           0.3873              
0.201706            14848               -0.22705            0.211535            -0.00375235         -0.187738           -0.195811           0.337215            
0.205183            15104               -0.254763           0.265313            -0.00197184         -0.230972           -0.219322           0.395509            
0.208661            15360               -0.248649           0.241952            0.00404058          -0.209754           -0.218833           0.375495            
0.212139            15616               -0.240381           0.231627            0.00288516          -0.197862           -0.209358           0.361821            
0.215617            15872               -0.23955            0.250317            -0.00433014         -0.21811            -0.202905           0.372657            
0.219094            16128               -0.232353           0.215515            -0.00118866         -0.189392           -0.20086            0.344699            
0.222572            16384               -0.247536           0.230218            -0.00215887         -0.200947           -0.213512           0.367468            
0.22605             16640               -0.23104            0.230191            -0.000406638        -0.194699           -0.195572           0.352902            
0.229527            16896               -0.256465           0.284226            0.0052299           -0.242252           -0.223047           0.408809            
0.233005            17152               -0.243631           0.240765            0.00461986          -0.203265           -0.21266            0.370661            
0.236483            17408               -0.233678           0.237399            0.00053149          -0.205683           -0.202639           0.359283            
0.23996             17664               -0.255657           0.277567            -0.00552888         -0.240062           -0.214339           0.404267            
0.243438            17920               -0.23766            0.26064             -0.00210165         -0.22589            -0.202565           0.377262            
0.246916            18176               -0.246024           0.287392            -0.00203898         -0.252786           -0.211767           0.401175            
0.250393            18432               -0.235973           0.258901            0.00118535          -0.22399            -0.203817           0.374679            
0.253871            18688               -0.22751            0.242222            -0.0068968          -0.218554           -0.192799           0.356604            
0.257349            18944               -0.220848           0.235136            0.000980792         -0.198914           -0.188481           0.346663            
0.260826            19200               -0.254014           0.321909            -0.00244363         -0.277683           -0.21404            0.429939            
0.264304            19456               -0.266432           0.315371            -0.00512407         -0.275125           -0.224755           0.437162            
0.267782            19712               -0.242829           0.261693            -0.00102329         -0.226086           -0.208186           0.382795            
0.27126             19968               -0.236816           0.264225            -0.00287408         -0.2301             -0.20188            0.37875             
0.274737            20224               -0.238344           0.260553            -0.00458877         -0.230116           -0.201536           0.377952            
0.278215            20480               -0.249249           0.285554            -0.00169931         -0.248271           -0.212494           0.403227            
0.281693            20736               -0.250212           0.290193            -0.00760738         -0.259226           -0.211301           0.40679             
0.28517             20992               -0.237315           0.297243            0.00211273          -0.256639           -0.2031             0.399468            
0.288648            21248               -0.243349           0.255414            -0.0044755          -0.226296           -0.207641           0.379206            
0.292126            21504               -0.230849           0.250312            0.00464566          -0.211645           -0.200253           0.364781            
