#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -0.114002           0.00615761          0.00175686          -0.00623406         -0.153292           0.131038            
0.00347769          256                 0.61921             -0.0363462          0.630221            0.668025            0.250691            -0.624172           
0.00695537          512                 3.49707             4.00158             5.70165             -0.0560125          -0.360774           0.212238            
0.0104331           768                 -0.348663           -4.70174            0.828772            7.24757             -1.3963             -4.12728            
0.0139107           1024                -0.510807           2.7125              1.5291              -2.26233            -1.92585            3.0951              
0.0173884           1280                2.02598             2.34576             3.66517             0.343322            -0.462979           0.32087             
0.0208661           1536                1.64522             0.91052             2.70811             1.38813             -0.184619           -0.707965           
0.0243438           1792                2.07768             0.159414            1.92496             1.62296             1.10959             -1.89706            
0.0278215           2048                1.44791             -0.136812           1.55592             1.65484             0.605304            -1.53936            
0.0312992           2304                0.994797            0.245095            -0.193879           -0.552809           1.57055             -0.729476           
0.0347769           2560                0.433076            -0.105713           -1.12542            -0.948172           1.61798             -0.504431           
0.0382545           2816                -0.0168235          0.0600415           -1.07118            -1.10745            0.953921            0.090064            
0.0417322           3072                0.35891             0.468672            -0.369738           -0.988021           0.838964            0.0891886           
0.0452099           3328                0.807875            0.38812             -0.0944402          -0.61014            1.19408             -0.446345           
0.0486876           3584                0.513248            0.634925            -0.320255           -1.16359            1.00686             0.0691565           
0.0521653           3840                0.45816             1.31334             -0.496978           -2.25611            1.10343             0.771422            
0.055643            4096                0.953316            1.85403             -0.393059           -2.88908            1.68197             0.810727            
0.0591207           4352                1.994               1.88069             -0.230797           -2.76385            2.92856             -0.170227           
0.0625984           4608                3.14202             1.25389             -0.0278066          -1.70637            4.27021             -1.85221            
0.066076            4864                4.04658             0.485142            0.33147             -0.309584           5.15536             -3.43188            
0.0695537           5120                4.4266              0.0106265           0.929009            0.91426             5.11751             -4.22752            
0.0730314           5376                4.47932             -0.383165           1.36119             1.87346             4.7956              -4.60103            
0.0765091           5632                4.24578             -0.281008           1.70594             2.06379             4.16733             -4.23979            
0.0799868           5888                4.03022             -0.134824           1.8237              1.98348             3.75736             -3.84665            
0.0834645           6144                3.86846             0.436277            1.96729             1.3448              3.39883             -3.12567            
0.0869422           6400                3.83626             0.809204            1.81766             0.689956            3.47371             -2.72431            
0.0904198           6656                4.04332             1.05312             1.3684              -0.08221            4.14743             -2.65473            
0.0938975           6912                4.2418              1.69515             1.17554             -1.14997            4.58934             -2.21               
0.0973752           7168                4.27377             2.32408             0.685776            -2.46771            5.06663             -1.6192             
0.100853            7424                4.3815              3.04791             0.708426            -3.43636            5.18466             -1.02602            
0.104331            7680                4.55944             3.41779             1.14561             -3.5128             5.02343             -0.826885           
0.107808            7936                4.65817             3.73755             1.64879             -3.43881            4.6978              -0.613383           
0.111286            8192                4.79668             3.65476             1.79417             -3.1776             4.74779             -0.79981            
0.114764            8448                4.72291             3.63415             1.9174              -3.03137            4.53904             -0.716195           
0.118241            8704                4.81121             3.48731             2.24536             -2.52287            4.35851             -0.902009           
0.121719            8960                4.8369              3.52895             2.49996             -2.3301             4.16277             -0.862883           
0.125197            9216                4.94338             3.88327             2.92697             -2.40165            3.9229              -0.63328            
0.128674            9472                5.3079              4.5084              3.52269             -2.672              3.866               -0.434716           
0.132152            9728                5.27315             4.43297             3.52749             -2.54998            3.8118              -0.456163           
0.13563             9984                5.49798             4.24717             3.6608              -2.17527            3.99126             -0.824921           
0.139107            10240               5.58237             4.04236             3.97945             -1.58271            3.81487             -1.0851             
0.142585            10496               5.62953             3.89443             4.04531             -1.3146             3.81394             -1.26781            
0.146063            10752               5.7458              4.11434             4.30458             -1.35917            3.72606             -1.19832            
0.149541            11008               5.76693             3.96726             4.28241             -1.17807            3.76775             -1.35653            
0.153018            11264               5.50854             3.88435             4.11357             -1.23314            3.57111             -1.17592            
0.156496            11520               5.39572             3.6413              3.79901             -1.21525            3.70551             -1.28531            
0.159974            11776               5.27704             4.23432             3.85359             -1.96675            3.50048             -0.649482           
0.163451            12032               5.34402             4.10302             3.7973              -1.83281            3.64512             -0.833646           
0.166929            12288               5.41384             4.02709             3.65297             -1.87223            3.86961             -0.961796           
0.170407            12544               5.4114              4.27105             3.47065             -2.38362            4.03711             -0.730908           
0.173884            12800               5.53902             3.99084             3.44862             -2.02748            4.22509             -1.11025            
0.177362            13056               5.59667             4.09333             3.45759             -2.15684            4.29341             -1.06773            
0.18084             13312               5.71869             4.1913              3.31437             -2.42763            4.58575             -1.09779            
0.184317            13568               5.94303             4.34977             3.29565             -2.66064            4.90178             -1.17365            
0.187795            13824               6.14904             4.36202             3.28887             -2.68573            5.18232             -1.35605            
0.191273            14080               6.07672             4.38276             3.19636             -2.80443            5.16705             -1.25899            
0.19475             14336               6.12777             4.34827             3.07226             -2.88111            5.35564             -1.32132            
0.198228            14592               6.12187             4.43935             3.20639             -2.87789            5.23232             -1.21884            
0.201706            14848               6.1773              4.59964             3.51558             -2.79472            5.0327              -1.11831            
0.205183            15104               6.37475             4.59257             3.9403              -2.36476            4.91183             -1.31539            
0.208661            15360               6.19495             4.6087              4.13073             -2.19228            4.48994             -1.12473            
0.212139            15616               6.01977             4.2669              4.02777             -1.83269            4.34282             -1.25488            
0.215617            15872               6.07579             4.08134             3.60461             -2.00874            4.80334             -1.4887             
0.219094            16128               6.37925             4.13254             3.67089             -2.01299            5.14999             -1.75657            
0.222572            16384               6.41145             4.4949              3.76748             -2.40677            5.1084              -1.46339            
0.22605             16640               6.55857             4.5221              3.7558              -2.45519            5.31322             -1.58088            
0.229527            16896               6.37596             4.28672             3.59838             -2.29163            5.21082             -1.61266            
0.233005            17152               6.37159             3.90189             3.43008             -1.93176            5.36446             -1.94954            
0.236483            17408               6.4657              3.97406             3.60941             -1.85351            5.32594             -1.97766            
0.23996             17664               6.50259             4.29298             3.75925             -2.13302            5.23706             -1.73749            
0.243438            17920               6.68925             4.32219             3.51474             -2.40713            5.70366             -1.90159            
0.246916            18176               6.7823              4.50761             3.32017             -2.85541            6.0061              -1.82836            
0.250393            18432               6.78151             4.40118             3.27048             -2.75681            6.05509             -1.91975            
0.253871            18688               6.92396             4.31457             3.27233             -2.64264            6.24167             -2.13948            
