#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   4.96101e-07         7.11079e-06         1.65367e-06         -8.24983e-06        -6.49562e-07        4.95837e-06         
0.00347769          256                 0.0118386           -0.462007           -0.0973971          0.534167            0.092968            -0.37425            
0.00695537          512                 0.25496             -8.59185            -1.81509            10.1149             1.84656             -7.31729            
0.0104331           768                 -0.060764           2.14386             0.521218            -2.53215            -0.521737           1.84073             
0.0139107           1024                -0.313596           7.56626             1.77981             -8.69357            -1.87253            6.40857             
0.0173884           1280                -0.185298           4.30151             0.925638            -5.03695            -1.01187            3.68582             
0.0208661           1536                -0.0815875          0.895291            0.191008            -1.03173            -0.267953           0.808485            
0.0243438           1792                -0.0641939          1.54438             0.346167            -1.77527            -0.363731           1.29248             
0.0278215           2048                -0.0441396          0.865138            0.18471             -1.01139            -0.20935            0.74058             
0.0312992           2304                0.00671341          -0.977847           -0.222636           1.14693             0.193635            -0.811321           
0.0347769           2560                0.047109            -1.93155            -0.462325           2.22726             0.441004            -1.61096            
0.0382545           2816                0.00340855          -0.592852           -0.172659           0.653367            0.142453            -0.470579           
0.0417322           3072                -0.0238564          0.226237            0.040332            -0.263684           -0.0630082          0.201364            
0.0452099           3328                -0.0225471          0.189475            0.0293165           -0.229308           -0.0542398          0.176753            
0.0486876           3584                -0.0197992          0.0604278           -0.00505279         -0.0872224          -0.0244419          0.0756346           
0.0521653           3840                -0.0281676          0.178043            0.0228016           -0.224326           -0.0592383          0.181062            
0.055643            4096                -0.0424706          0.435651            0.0904863           -0.516668           -0.134233           0.403688            
0.0591207           4352                -0.0460169          0.373169            0.0813605           -0.441409           -0.132321           0.35635             
0.0625984           4608                -0.0494697          0.268493            0.0584411           -0.322484           -0.120058           0.277667            
0.066076            4864                -0.0510979          0.151852            0.0364552           -0.185273           -0.105774           0.186937            
0.0695537           5120                -0.0546194          0.0788105           0.0286947           -0.0928239          -0.104259           0.128397            
0.0730314           5376                -0.0648886          0.0529415           0.0242531           -0.0624482          -0.114713           0.114895            
0.0765091           5632                -0.0668619          -0.0361519          0.00412326          0.0399174           -0.101211           0.0449425           
0.0799868           5888                -0.0743362          -0.136376           0.00300241          0.174635            -0.111573           -0.0294997          
