#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -3.30734e-07        -4.96101e-07        1.65367e-07         8.26836e-07         -6.07228e-07        -1.7066e-07         
0.00347769          256                 0.0166538           -0.475132           -0.0980834          0.552136            0.104713            -0.412642           
0.00695537          512                 0.456657            -11.8321            -2.55884            13.7199             2.78487             -10.4258            
0.0104331           768                 -0.046933           1.88253             0.432266            -2.17572            -0.431635           1.64715             
0.0139107           1024                -0.359516           9.74154             2.18814             -11.2255            -2.33789            8.55657             
0.0173884           1280                -0.184333           5.71858             1.2782              -6.6006             -1.33054            5.00454             
0.0208661           1536                -0.0875442          2.10004             0.500305            -2.39779            -0.541708           1.85375             
0.0243438           1792                -0.0509799          1.79828             0.391873            -2.07804            -0.398266           1.5598              
0.0278215           2048                0.00101833          0.821104            0.174239            -0.954336           -0.144728           0.693884            
0.0312992           2304                0.0783189           -1.28008            -0.297742           1.46878             0.358779            -1.15245            
0.0347769           2560                0.111977            -2.22974            -0.510298           2.56155             0.583151            -1.98243            
0.0382545           2816                0.0271192           -0.375687           -0.080291           0.434822            0.104287            -0.338796           
0.0417322           3072                0.0131905           0.293247            0.0685048           -0.334444           -0.0396687          0.235945            
0.0452099           3328                0.0174409           0.225197            0.0466863           -0.263822           -0.016117           0.177359            
0.0486876           3584                0.0138976           0.205799            0.0466443           -0.239004           -0.0213012          0.165445            
0.0521653           3840                0.00771983          0.387814            0.0913248           -0.445962           -0.0676238          0.32569             
0.055643            4096                -0.000786651        0.693713            0.163179            -0.796544           -0.140162           0.592841            
0.0591207           4352                0.00753363          0.601231            0.144352            -0.689045           -0.113153           0.508105            
0.0625984           4608                0.0120326           0.529292            0.129656            -0.605947           -0.0948389          0.444513            
0.066076            4864                0.0166301           0.449961            0.112525            -0.514529           -0.0742925          0.374744            
0.0695537           5120                0.0214023           0.336961            0.0881437           -0.383671           -0.0471002          0.274694            
0.0730314           5376                0.0212538           0.293505            0.0859615           -0.328455           -0.045206           0.238061            
0.0765091           5632                0.015126            0.233171            0.0770391           -0.25618            -0.045457           0.192193            
0.0799868           5888                0.0227509           0.140626            0.0477051           -0.155512           -0.0104262          0.108592            
0.0834645           6144                0.0264377           -0.0132798          0.0182082           0.0262312           0.0197905           -0.0274885          
0.0869422           6400                0.0176685           0.023646            0.0229392           -0.0173611          0.00476358          0.00877985          
0.0904198           6656                0.0154507           -0.0308274          0.0054672           0.0402782           0.0163269           -0.0327527          
0.0938975           6912                0.0226171           -0.131671           -0.00113954         0.167389            0.0310101           -0.12476            
0.0973752           7168                0.0553993           -0.314918           -0.0343749          0.385069            0.101626            -0.306926           
0.100853            7424                0.0575008           -0.35613            -0.0402024          0.434342            0.108814            -0.343505           
0.104331            7680                0.0515292           -0.338936           -0.0253318          0.422008            0.0882067           -0.324325           
0.107808            7936                0.0346395           -0.317272           -0.00406572         0.407533            0.0477558           -0.291237           
0.111286            8192                0.0150729           -0.0860716          0.0129651           0.116177            0.00726156          -0.0791274          
0.114764            8448                0.00372241          -0.00686852         0.0206453           0.0173052           -0.0140584          -0.00365361         
0.118241            8704                0.00408407          0.155695            0.0653207           -0.161559           -0.0507267          0.131712            
0.121719            8960                0.0039918           0.429163            0.136244            -0.467726           -0.111274           0.362529            
