#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -7.32576e-05        -5.854e-05          -4.67989e-05        3.852e-05           1.83425e-05         -7.48994e-05        
0.00347769          256                 0.199748            -0.109125           0.768281            0.439949            -0.579641           -0.0887349          
0.00695537          512                 0.670159            0.309973            -0.213266           -0.400859           1.19777             0.298596            
0.0104331           768                 95.1108             1.75039             -41.2069            -19.2259            168.694             -34.7638            
0.0139107           1024                18.0941             -2.19412            -1.56735            1.11435             28.2867             -10.8823            
0.0173884           1280                -129.218            -2.16019            51.8578             23.0072             -237.306            47.4937             
0.0208661           1536                -72.9989            -1.21121            12.4786             6.76974             -97.7025            26.6895             
0.0243438           1792                14.4434             0.0769971           1.19212             0.681443            13.2238             -5.51266            
0.0278215           2048                66.9286             4.69671             -28.3089            -16.4629            124.879             -18.0832            
0.0312992           2304                -0.0886796          0.548764            6.61393             2.15219             -13.4073            0.837969            
0.0347769           2560                -23.147             0.873337            11.9966             4.17297             -48.0949            10.6877             
0.0382545           2816                11.8791             0.626189            -5.20993            -2.60849            22.866              -3.59625            
0.0417322           3072                10.0433             1.84153             -2.98682            -3.14776            15.6691             -0.734018           
0.0452099           3328                5.68312             1.13932             -0.525248           -1.39731            6.91146             -0.214915           
0.0486876           3584                -2.27783            0.561437            2.89719             0.63821             -7.98456            1.88296             
0.0521653           3840                -1.91634            0.759151            0.996705            -0.358871           -3.86119            2.10755             
0.055643            4096                2.70275             0.473013            -0.224812           -0.558628           3.24585             -0.242668           
0.0591207           4352                0.360316            0.372508            0.834991            -0.0195735          -1.27828            0.515884            
0.0625984           4608                -0.124722           0.372493            0.435267            -0.185035           -1.00712            0.706555            
0.066076            4864                -1.05194            0.383628            0.681888            -0.100724           -2.38619            1.0929              
0.0695537           5120                -1.16767            0.353406            1.08451             0.100057            -3.32407            1.07959             
0.0730314           5376                -0.502736           0.411086            0.610358            -0.150216           -1.72662            0.923637            
0.0765091           5632                -0.104004           0.53077             0.452251            -0.342496           -1.00727            0.980377            
0.0799868           5888                0.356577            0.521994            0.335949            -0.377478           -0.310217           0.77882             
0.0834645           6144                0.258454            0.4775              0.654933            -0.191511           -1.01769            0.738253            
0.0869422           6400                0.360594            0.578812            0.555188            -0.337945           -0.738895           0.877345            
0.0904198           6656                0.496325            0.628484            0.468311            -0.422685           -0.426153           0.914224            
0.0938975           6912                0.37859             0.632216            0.655899            -0.342601           -0.910139           0.963234            
0.0973752           7168                0.663232            0.699144            0.542245            -0.458803           -0.408425           0.97156             
0.100853            7424                0.756109            0.696189            0.526188            -0.460113           -0.255217           0.933743            
0.104331            7680                0.723754            0.716203            0.578034            -0.460215           -0.426181           0.975948            
0.107808            7936                0.456608            0.568011            0.651505            -0.259342           -0.825863           0.814037            
0.111286            8192                1.02702             0.657849            0.377449            -0.473233           0.312915            0.756604            
0.114764            8448                0.0367171           0.687479            0.758739            -0.356798           -1.46187            1.20164             
0.118241            8704                -0.174485           0.617063            0.803163            -0.261126           -1.77928            1.15428             
0.121719            8960                0.744017            0.551762            0.550868            -0.296322           -0.315802           0.674596            
0.125197            9216                0.818314            0.688725            0.559978            -0.446127           -0.278018           0.897018            
0.128674            9472                0.688619            0.732016            0.497148            -0.524006           -0.296876           1.02096             
0.132152            9728                0.685277            0.685405            0.508794            -0.467706           -0.300888           0.942759            
0.13563             9984                0.497941            0.594138            0.740617            -0.26679            -0.954212           0.845049            
0.139107            10240               0.827578            0.622817            0.518872            -0.383898           -0.180919           0.770588            
0.142585            10496               0.945738            0.709184            0.424043            -0.512844           0.122089            0.876962            
0.146063            10752               0.713405            0.660957            0.482456            -0.441046           -0.236222           0.87999             
0.149541            11008               0.354733            0.554958            0.679667            -0.232326           -0.992241           0.827547            
0.153018            11264               0.77632             0.561007            0.573609            -0.292002           -0.333072           0.682149            
0.156496            11520               1.0175              0.879908            0.520274            -0.67759            0.0134144           1.1705              
0.159974            11776               0.993476            0.766162            0.360925            -0.615764           0.269213            0.964718            
0.163451            12032               0.54204             0.494094            0.488838            -0.259592           -0.422871           0.645042            
0.166929            12288               0.172392            0.559742            0.754619            -0.221365           -1.32137            0.920244            
0.170407            12544               0.511732            0.539962            0.564904            -0.279648           -0.589846           0.745204            
0.173884            12800               0.319656            0.528639            0.508117            -0.297727           -0.704111           0.806062            
0.177362            13056               0.0698185           0.557134            0.641974            -0.281172           -1.21537            0.961184            
0.18084             13312               0.180829            0.508739            0.701081            -0.193436           -1.19451            0.813475            
0.184317            13568               0.00490545          0.482715            0.66464             -0.183776           -1.2952             0.849506            
0.187795            13824               0.194142            0.457044            0.606061            -0.177172           -0.995399           0.73015             
0.191273            14080               0.850542            0.714936            0.472295            -0.53175            -0.038637           0.935734            
0.19475             14336               0.255766            0.624912            0.583678            -0.384094           -0.916148           1.00483             
0.198228            14592               0.676765            0.599692            0.412264            -0.42824            -0.109899           0.801565            
0.201706            14848               0.708369            0.497593            0.479335            -0.277898           -0.220266           0.58901             
0.205183            15104               0.826193            0.493562            0.40289             -0.311681           0.0540481           0.548236            
0.208661            15360               0.0376404           0.581708            0.761158            -0.263414           -1.45541            1.02164             
0.212139            15616               -0.0789587          0.528342            0.621557            -0.25292            -1.32592            0.964717            
0.215617            15872               0.949875            0.542053            0.24877             -0.426508           0.456287            0.591472            
0.219094            16128               0.451066            0.55117             0.512578            -0.33026            -0.596718           0.80152             
0.222572            16384               0.770911            0.475773            0.333302            -0.31442            0.103066            0.531531            
0.22605             16640               0.381972            0.462524            0.517113            -0.225858           -0.607977           0.673332            
0.229527            16896               -0.386818           0.51659             0.876192            -0.13879            -2.10899            1.07029             
0.233005            17152               -0.0432853          0.573548            0.500056            -0.358831           -1.06062            1.04457             
0.236483            17408               0.79031             0.551569            0.396064            -0.376686           -0.00224172         0.665563            
0.23996             17664               1.30158             0.468669            0.181009            -0.363731           0.938017            0.312454            
0.243438            17920               0.612146            0.58512             0.542795            -0.356782           -0.429889           0.799195            
0.246916            18176               0.506137            0.593269            0.369088            -0.431104           -0.264102           0.870528            
0.250393            18432               0.357269            0.695485            0.441138            -0.524208           -0.532886           1.10734             
0.253871            18688               0.759587            0.553115            0.395831            -0.374              -0.0294927          0.677128            
0.257349            18944               0.899557            0.45233             0.366748            -0.27756            0.160567            0.44299             
0.260826            19200               0.135284            0.485275            0.51546             -0.236525           -0.875581           0.796679            
0.264304            19456               0.890651            0.646008            0.360683            -0.497189           0.198432            0.786496            
0.267782            19712               1.25098             0.710618            0.344189            -0.588492           0.561507            0.780055            
0.27126             19968               0.142595            0.544093            0.625988            -0.278775           -1.1547             0.920344            
0.274737            20224               1.41878             0.654277            0.173554            -0.574168           1.08035             0.607919            
0.278215            20480               0.553333            0.594381            0.441642            -0.398322           -0.352242           0.828903            
0.281693            20736               0.74765             0.486512            0.400463            -0.283087           -0.0399046          0.551244            
0.28517             20992               0.2757              0.512608            0.625943            -0.235018           -0.951732           0.818989            
0.288648            21248               1.0324              0.861931            0.299017            -0.765338           0.439813            1.13417             
0.292126            21504               1.10231             0.523728            0.223613            -0.421674           0.601976            0.486078            
0.295603            21760               0.745829            0.507566            0.556352            -0.261036           -0.348484           0.601628            
0.299081            22016               0.521569            0.806398            0.533248            -0.614332           -0.539316           1.25597             
0.302559            22272               1.21527             0.58835             0.265385            -0.470872           0.676291            0.564268            
0.306036            22528               0.721189            0.55713             0.595499            -0.296865           -0.46059            0.698678            
0.309514            22784               1.05218             0.831887            0.508473            -0.654749           0.0689596           1.08892             
0.312992            23040               0.943378            0.637091            0.418828            -0.453896           0.109311            0.751305            
0.316469            23296               0.671993            0.546347            0.629191            -0.269366           -0.591755           0.694008            
0.319947            23552               0.980286            0.723639            0.519778            -0.502994           -0.0501904          0.900648            
0.323425            23808               1.24785             0.782617            0.349387            -0.646523           0.549335            0.903434            
0.326903            24064               0.545326            0.662162            0.596371            -0.4118             -0.6637             0.956611            
0.33038             24320               0.921141            0.585328            0.527031            -0.343847           -0.110475           0.654934            
0.333858            24576               0.614755            0.682307            0.668279            -0.407836           -0.713958           0.96091             
0.337336            24832               0.41799             0.712048            0.645253            -0.445942           -0.876619           1.09823             
0.340813            25088               0.859861            0.697214            0.567408            -0.459956           -0.242949           0.890036            
0.344291            25344               0.719605            0.809825            0.60089             -0.583842           -0.495333           1.15415             
0.347769            25600               1.03674             0.592578            0.517204            -0.370461           0.000774414         0.635233            
0.351246            25856               0.49354             0.65005             0.632089            -0.385528           -0.732472           0.949794            
0.354724            26112               0.503019            0.54369             0.549786            -0.294411           -0.603262           0.746913            
0.358202            26368               0.1951              0.453493            0.638938            -0.168042           -1.08494            0.716155            
0.361679            26624               0.620946            0.755931            0.653493            -0.504955           -0.673649           1.10191             
0.365157            26880               0.855181            0.642816            0.387626            -0.494563           0.110578            0.815704            
0.368635            27136               -0.226682           0.611583            0.88298             -0.260289           -2.00111            1.17673             
0.372112            27392               0.491502            0.593197            0.606229            -0.347589           -0.718648           0.853207            
0.37559             27648               0.684482            0.410488            0.313153            -0.263554           0.0610521           0.449922            
0.379068            27904               0.541575            0.528432            0.560218            -0.304277           -0.58665            0.719929            
0.382546            28160               0.481201            0.51077             0.46893             -0.299066           -0.491354           0.705844            
0.386023            28416               0.1104              0.523788            0.593214            -0.285902           -1.06065            0.902694            
0.389501            28672               0.523089            0.481205            0.404571            -0.312032           -0.316633           0.649236            
0.392979            28928               1.02885             0.557487            0.379211            -0.39912            0.278423            0.587001            
0.396456            29184               0.112025            0.537978            0.809377            -0.199709           -1.46471            0.908912            
0.399934            29440               0.670432            0.525564            0.348384            -0.364627           -0.0300879          0.657737            
0.403412            29696               0.24909             0.690139            0.671164            -0.417276           -1.05997            1.13016             
0.406889            29952               0.482355            0.63809             0.736184            -0.336091           -0.988709           0.944381            
0.410367            30208               1.45057             0.599698            0.264397            -0.472376           0.928997            0.480889            
0.413845            30464               0.894408            0.581686            0.548743            -0.327316           -0.210741           0.676497            
0.417322            30720               0.812293            0.706233            0.50181             -0.495602           -0.216964           0.930191            
0.4208              30976               0.707496            0.846444            0.454871            -0.68444            -0.236357           1.23617             
0.424278            31232               0.382501            0.647389            0.751426            -0.325671           -1.11962            0.993002            
0.427755            31488               0.593177            0.793749            0.744826            -0.510663           -0.877924           1.1941              
0.431233            31744               0.813133            0.545633            0.398286            -0.342              0.031478            0.634186            
0.434711            32000               0.469962            0.773413            0.650256            -0.519661           -0.84042            1.19134             
0.438188            32256               0.0543122           0.607376            0.879234            -0.229571           -1.7425             1.04565             
0.441666            32512               1.18915             0.803503            0.404884            -0.650619           0.390972            0.96319             
0.445144            32768               0.884901            0.637061            0.361281            -0.483195           0.118624            0.77524             
0.448622            33024               0.187632            0.537594            0.765112            -0.212904           -1.35837            0.87517             
0.452099            33280               0.387165            0.578241            0.715832            -0.2692             -1.05621            0.869976            
0.455577            33536               0.207754            0.766435            0.695011            -0.487894           -1.2064             1.28298             
0.459055            33792               0.874427            0.579387            0.388834            -0.396873           0.07546             0.681455            
0.462532            34048               0.520385            0.590478            0.595343            -0.32593            -0.705593           0.835434            
0.46601             34304               0.74428             0.646206            0.631705            -0.386354           -0.542945           0.838232            
0.469488            34560               0.890337            0.442376            0.492163            -0.211075           -0.102108           0.418674            
0.472965            34816               1.08676             0.849117            0.534978            -0.656115           0.0301006           1.09545             
0.476443            35072               0.408781            0.702863            0.536764            -0.47599            -0.70083            1.0813              
0.479921            35328               0.39166             0.618413            0.611472            -0.363038           -0.818803           0.929643            
0.483398            35584               0.526758            0.562648            0.687448            -0.265387           -0.904932           0.778073            
0.486876            35840               0.700936            0.723904            0.655817            -0.461445           -0.622346           1.00561             
0.490354            36096               0.948606            0.792111            0.465142            -0.609387           0.0161598           1.03196             
0.493831            36352               0.733665            0.855455            0.613519            -0.628868           -0.484706           1.22923             
0.497309            36608               0.723837            0.743743            0.507632            -0.537998           -0.336302           1.03549             
0.500787            36864               0.0652722           0.65982             0.877931            -0.30757            -1.70508            1.15419             
0.504265            37120               1.00756             0.538857            0.525217            -0.292863           -0.0605829          0.541618            
0.507742            37376               0.780014            0.789826            0.608553            -0.552746           -0.416969           1.09978             
0.51122             37632               0.630729            0.770101            0.387926            -0.601367           -0.208874           1.10407             
0.514698            37888               0.401069            0.652961            0.753829            -0.338835           -1.1205             1.00437             
0.518175            38144               0.528205            0.689208            0.67591             -0.406903           -0.805233           1.01404             
0.521653            38400               0.167943            0.618525            0.755975            -0.293511           -1.38911            1.01258             
0.525131            38656               0.900849            0.625202            0.478005            -0.420028           -0.0513629          0.749624            
0.528608            38912               0.84589             0.804587            0.580548            -0.581501           -0.310993           1.09793             
0.532086            39168               0.300326            0.815017            0.737543            -0.527909           -1.192              1.33235             
0.535564            39424               0.691274            0.607751            0.510336            -0.379145           -0.35294            0.788637            
0.539041            39680               0.59704             0.643319            0.566112            -0.409419           -0.552032           0.892351            
0.542519            39936               0.347404            0.599825            0.659807            -0.319266           -1.00287            0.917914            
0.545997            40192               0.251734            0.646816            0.855852            -0.30365            -1.47054            1.05227             
0.549474            40448               0.836558            0.6542              0.675011            -0.378448           -0.502438           0.831499            
0.552952            40704               1.13293             0.741599            0.466983            -0.555092           0.188065            0.860977            
0.55643             40960               1.24968             0.708204            0.414953            -0.538438           0.418289            0.759833            
0.559907            41216               0.880943            0.555638            0.516661            -0.310452           -0.185013           0.616337            
0.563385            41472               0.503205            0.636915            0.728782            -0.318532           -0.957286           0.918276            
0.566863            41728               1.61629             0.736144            0.291116            -0.61566            1.02959             0.648958            
0.570341            41984               1.09095             0.604311            0.47476             -0.399577           0.113003            0.640609            
0.573818            42240               0.348865            0.661869            0.735609            -0.34541            -1.12054            1.02729             
0.577296            42496               0.947459            0.762402            0.423301            -0.585446           0.0818941           0.986311            
0.580774            42752               -0.0588654          0.531716            0.883616            -0.145915           -1.84786            0.963438            
0.584251            43008               0.100026            0.754424            0.863515            -0.393014           -1.69307            1.2951              
0.587729            43264               1.1676              0.774139            0.4608              -0.580673           0.27382             0.918257            
0.591207            43520               1.76395             0.644105            0.120654            -0.565886           1.52282             0.432262            
0.594684            43776               1.13117             0.618874            0.504066            -0.394142           0.115355            0.63096             
0.598162            44032               -0.248813           0.585628            1.17502             -0.0878917          -2.62443            1.13215             
0.60164             44288               0.623626            0.761735            0.699187            -0.469              -0.789744           1.10629             
0.605117            44544               1.22652             0.704956            0.196489            -0.59333            0.831747            0.758696            
0.608595            44800               0.478848            0.694163            0.696099            -0.400242           -0.935391           1.04008             
0.612073            45056               0.0892991           0.683247            0.843321            -0.318961           -1.63245            1.16355             
0.61555             45312               0.711251            0.616677            0.561361            -0.366146           -0.429572           0.804228            
0.619028            45568               0.610123            0.528639            0.630744            -0.232706           -0.656339           0.693753            
0.622506            45824               0.779296            0.708169            0.593596            -0.46369            -0.404917           0.946642            
0.625984            46080               0.723736            0.476641            0.421873            -0.257857           -0.163447           0.537414            
0.629461            46336               0.951948            0.606733            0.494185            -0.3875             0.00805718          0.701254            
0.632939            46592               -0.423154           0.836437            0.943238            -0.468605           -2.35699            1.664               
0.636417            46848               0.192526            0.560429            0.673553            -0.271865           -1.16856            0.923006            
0.639894            47104               0.943931            0.703174            0.431692            -0.533213           0.0612108           0.884848            
0.643372            47360               0.970435            0.68096             0.50956             -0.475217           -0.0363416          0.832145            
0.64685             47616               0.686044            0.672795            0.677238            -0.398849           -0.65622            0.929198            
0.650327            47872               0.912767            0.716708            0.478966            -0.514258           -0.0450319          0.907324            
0.653805            48128               0.664303            0.641295            0.586129            -0.390483           -0.507738           0.872924            
0.657283            48384               1.17654             0.725735            0.473313            -0.533813           0.197719            0.820631            
0.66076             48640               0.0838714           0.735304            0.790918            -0.412515           -1.4969             1.26485             
0.664238            48896               0.61823             0.783683            0.759753            -0.48194            -0.903364           1.14933             
0.667716            49152               1.25322             0.809003            0.577173            -0.574076           0.115156            0.946435            
0.671193            49408               0.774376            0.67969             0.633361            -0.397005           -0.519657           0.898213            
0.674671            49664               0.76522             0.699782            0.615793            -0.423006           -0.459197           0.926131            
0.678149            49920               0.968071            0.912657            0.601208            -0.689478           -0.209286           1.23244             
0.681626            50176               1.01183             0.71327             0.692827            -0.431337           -0.376672           0.864186            
0.685104            50432               0.933069            0.66135             0.582182            -0.416395           -0.199941           0.797507            
0.688582            50688               0.114826            0.740908            0.783794            -0.425205           -1.48841            1.27165             
0.69206             50944               -0.242024           0.6715              0.979773            -0.261733           -2.20251            1.27245             
0.695537            51200               0.684879            0.710019            0.492452            -0.501262           -0.279185           0.98204             
0.699015            51456               1.27304             0.794328            0.27962             -0.698847           0.701177            0.901455            
0.702493            51712               0.270865            0.599982            0.761542            -0.276706           -1.27033            0.948308            
0.70597             51968               0.455477            0.620084            0.716835            -0.316797           -0.96225            0.908073            
0.709448            52224               0.441474            0.631306            0.518934            -0.41542            -0.627346           0.942163            
0.712926            52480               0.613402            0.587947            0.465921            -0.384188           -0.364356           0.774494            
0.716403            52736               1.24195             0.613554            0.332666            -0.471058           0.57144             0.59799             
0.719881            52992               -0.074617           0.826698            0.860717            -0.502822           -1.78417            1.51414             
0.723359            53248               0.370446            0.729193            0.531451            -0.532132           -0.702098           1.14595             
0.726836            53504               0.823369            0.393351            0.559934            -0.131239           -0.289975           0.342013            
0.730314            53760               0.387635            0.633594            0.788389            -0.303164           -1.17628            0.972204            
0.733792            54016               1.06553             0.832428            0.377107            -0.705595           0.2924              1.04675             
0.73727             54272               0.685201            0.66529             0.528922            -0.447806           -0.385817           0.90705             
0.740747            54528               1.02904             0.656043            0.504603            -0.438951           0.023281            0.743166            
0.744225            54784               0.514897            0.658408            0.674097            -0.379891           -0.844699           0.967558            
0.747703            55040               0.702161            0.761427            0.700938            -0.478835           -0.690563           1.07745             
0.75118             55296               0.810785            0.788503            0.504341            -0.584156           -0.209804           1.06443             
0.754658            55552               0.472222            0.649239            0.724709            -0.342628           -0.956883           0.96268             
0.758136            55808               1.04185             0.613695            0.464842            -0.406862           0.104815            0.671371            
0.761613            56064               0.650188            0.654061            0.644044            -0.368907           -0.618197           0.8862              
0.765091            56320               0.0120812           0.643583            0.849247            -0.283145           -1.71637            1.1269              
0.768569            56576               0.796157            0.727198            0.550459            -0.496515           -0.300213           0.96122             
0.772046            56832               0.122392            0.631357            0.820831            -0.278565           -1.51131            1.05637             
0.775524            57088               0.768001            0.633457            0.683191            -0.332453           -0.59279            0.804163            
0.779002            57344               1.04847             0.711561            0.496747            -0.506948           0.0536282           0.847213            
0.782479            57600               0.801211            0.620197            0.502697            -0.398661           -0.250834           0.777836            
0.785957            57856               0.0457331           0.612912            0.842645            -0.251742           -1.63682            1.05788             
0.789435            58112               0.839311            0.537678            0.529116            -0.285126           -0.215188           0.593816            
0.792912            58368               0.589432            0.606764            0.593074            -0.342021           -0.604664           0.837733            
0.79639             58624               0.889447            0.658021            0.497711            -0.444809           -0.166727           0.79597             
0.799868            58880               0.417372            0.463027            0.577001            -0.192777           -0.74689            0.629687            
0.803346            59136               0.121995            0.619436            0.769373            -0.289377           -1.44355            1.04145             
0.806823            59392               0.467134            0.526778            0.653656            -0.228712           -0.871389           0.735942            
0.810301            59648               0.965719            0.566196            0.500991            -0.318017           -0.0189397          0.613711            
0.813779            59904               1.18111             0.584036            0.411741            -0.394483           0.352               0.542991            
0.817256            60160               0.634142            0.699634            0.662336            -0.416258           -0.726945           0.970291            
0.820734            60416               0.6908              0.528619            0.597343            -0.251272           -0.506955           0.656662            
0.824212            60672               0.536128            0.681103            0.599007            -0.419646           -0.701141           0.978058            
0.827689            60928               0.991395            0.704764            0.442068            -0.508862           0.0661062           0.841391            
0.831167            61184               0.811819            0.602654            0.509344            -0.368627           -0.176438           0.728954            
0.834645            61440               0.61329             0.733478            0.680717            -0.462098           -0.769638           1.0414              
0.838122            61696               1.01143             0.419815            0.431497            -0.205815           0.108774            0.317521            
0.8416              61952               0.243973            0.538229            0.760819            -0.197416           -1.29586            0.83393             
0.845078            62208               0.126419            0.54332             0.890101            -0.158861           -1.66063            0.880925            
0.848555            62464               0.755756            0.711461            0.446597            -0.536468           -0.163614           0.959494            
0.852033            62720               0.596457            0.587606            0.58229             -0.330557           -0.612203           0.786197            
0.855511            62976               1.135               0.586515            0.471142            -0.372025           0.174753            0.562928            
0.858989            63232               0.49183             0.557008            0.640589            -0.26917            -0.812267           0.778414            
0.862466            63488               0.0412265           0.68821             0.949703            -0.284419           -1.85222            1.19314             
0.865944            63744               1.04192             0.677332            0.426861            -0.494412           0.164353            0.780924            
0.869422            64000               1.15682             0.670953            0.528302            -0.444666           0.0989314           0.721654            
0.872899            64256               1.14918             0.587745            0.409162            -0.394933           0.291955            0.56452             
0.876377            64512               0.353252            0.555987            0.640303            -0.273732           -0.961317           0.827857            
0.879855            64768               -0.109635           0.654212            0.850237            -0.305508           -1.81417            1.20055             
0.883332            65024               0.165498            0.680625            0.772267            -0.372805           -1.3956             1.13785             
0.88681             65280               1.09304             0.597882            0.381362            -0.443064           0.305386            0.620801            
0.890288            65536               0.326664            0.604884            0.678015            -0.312433           -1.0229             0.930856            
0.893765            65792               0.829786            0.571596            0.522573            -0.354729           -0.199368           0.668271            
0.897243            66048               0.262436            0.606853            0.756763            -0.294068           -1.28549            0.97061             
0.900721            66304               1.03525             0.683516            0.42021             -0.511802           0.174487            0.794393            
0.904198            66560               0.819811            0.609858            0.449681            -0.419673           -0.0657946          0.741807            
0.907676            66816               0.460035            0.5641              0.719217            -0.250167           -0.985466           0.803259            
0.911154            67072               0.661325            0.679855            0.620725            -0.425284           -0.590216           0.940812            
0.914631            67328               1.49673             0.713223            0.381513            -0.564187           0.740653            0.666992            
0.918109            67584               -0.0780508          0.793749            1.05462             -0.385081           -2.1935             1.45023             
0.921587            67840               0.511705            0.637235            0.486879            -0.412186           -0.493802           0.908112            
0.925065            68096               0.882726            0.542655            0.478381            -0.317484           -0.0682614          0.584227            
0.928542            68352               0.727067            0.800119            0.768053            -0.494879           -0.823104           1.13622             
0.93202             68608               0.542332            0.6955              0.556716            -0.464802           -0.623711           1.01888             
0.935498            68864               0.635414            0.531265            0.603985            -0.25576            -0.566783           0.692267            
0.938975            69120               -0.20442            0.683309            1.06441             -0.242299           -2.35394            1.29125             
0.942453            69376               1.03244             0.753664            0.416745            -0.572858           0.20531             0.908468            
0.945931            69632               1.05821             0.707347            0.420226            -0.534928           0.220988            0.838219            
0.949408            69888               1.12416             0.671501            0.629191            -0.410989           -0.127668           0.739397            
0.952886            70144               0.459223            0.801977            0.684946            -0.543961           -0.929603           1.24503             
0.956364            70400               0.687238            0.685412            0.553299            -0.455767           -0.401886           0.932058            
0.959841            70656               0.560843            0.784621            0.634227            -0.536596           -0.706232           1.16762             
0.963319            70912               0.926253            0.603763            0.549679            -0.370124           -0.15339            0.698671            
0.966797            71168               0.874659            0.649582            0.562413            -0.407204           -0.235079           0.806553            
0.970275            71424               0.183058            0.704877            0.713955            -0.411108           -1.22907            1.16265             
0.973752            71680               0.336877            0.701071            0.731632            -0.407457           -1.09234            1.10427             
0.97723             71936               0.97789             0.550291            0.482233            -0.34215            0.0399271           0.563844            
0.980708            72192               1.39557             0.608863            0.509484            -0.398365           0.403348            0.516524            
0.984185            72448               1.15894             0.594608            0.527459            -0.362342           0.0976873           0.584886            
0.987663            72704               1.06843             0.698064            0.491489            -0.492351           0.139087            0.800545            
0.991141            72960               0.66019             0.772366            0.535095            -0.556828           -0.40068            1.09603             
0.994618            73216               1.37215             0.530038            0.52538             -0.288622           0.357337            0.376393            
0.998096            73472               0.709043            0.632044            0.746536            -0.315557           -0.758823           0.829056            
1.00157             73728               0.753891            0.666294            0.604644            -0.399252           -0.406808           0.871823            
1.00505             73984               0.65604             0.845005            0.585671            -0.608873           -0.498441           1.24057             
1.00853             74240               1.22432             0.743876            0.484464            -0.546965           0.276549            0.825739            
1.01201             74496               0.537867            0.631893            0.830967            -0.281438           -1.1006             0.909161            
1.01548             74752               0.910039            0.665099            0.563111            -0.408996           -0.169713           0.809336            
1.01896             75008               0.951907            0.757846            0.540048            -0.532341           -0.0985236          0.945608            
1.02244             75264               0.947396            0.504893            0.566985            -0.238298           -0.145503           0.488985            
1.02592             75520               1.41774             0.641957            0.412843            -0.455659           0.604773            0.563082            
1.0294              75776               0.634122            0.748935            0.714411            -0.470442           -0.76688            1.08928             
1.03287             76032               0.369352            0.644242            0.743779            -0.33422            -1.09171            0.985441            
1.03635             76288               0.539393            0.76665             0.696575            -0.490929           -0.827885           1.13489             
1.03983             76544               0.674193            0.533959            0.498251            -0.308699           -0.289847           0.663453            
1.04331             76800               0.279765            0.56768             0.759324            -0.244738           -1.22377            0.867346            
1.04678             77056               0.0359482           0.46922             0.90567             -0.0717917          -1.7304             0.790299            
1.05026             77312               1.11276             0.59737             0.403523            -0.419277           0.357123            0.608787            
1.05374             77568               1.72001             0.508753            0.101252            -0.441748           1.50619             0.197602            
1.05722             77824               0.833316            0.676172            0.597313            -0.433681           -0.338932           0.867279            
1.06069             78080               -0.103372           0.663548            1.04333             -0.244242           -2.18105            1.21105             
1.06417             78336               0.516098            0.641344            0.704048            -0.341671           -0.828881           0.917146            
1.06765             78592               1.58536             0.778932            0.342159            -0.648426           0.959579            0.760781            
1.07113             78848               1.29507             0.804103            0.456562            -0.624366           0.425451            0.914287            
1.07461             79104               0.560896            0.909148            0.845181            -0.586285           -1.09952            1.3873              
1.07808             79360               1.46109             0.616654            0.408882            -0.434624           0.714989            0.491577            
1.08156             79616               0.855729            0.669478            0.568153            -0.43027            -0.283279           0.829912            
1.08504             79872               0.562592            0.804082            0.784654            -0.497334           -0.969267           1.19317             
1.08852             80128               0.425007            0.600646            0.734062            -0.287311           -1.00624            0.885214            
1.09199             80384               0.426697            0.486154            0.76168             -0.146803           -1.07364            0.675086            
1.09547             80640               0.921474            0.804825            0.725453            -0.539624           -0.503666           1.07281             
1.09895             80896               1.32801             0.700178            0.298274            -0.574979           0.732217            0.691168            
1.10243             81152               0.416295            0.793951            0.842504            -0.482725           -1.22836            1.24873             
1.1059              81408               1.25866             0.656772            0.453655            -0.472132           0.396503            0.658478            
1.10938             81664               1.08645             0.461814            0.424943            -0.253283           0.24242             0.352244            
