#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -1.4883e-06         -4.96101e-07        -3.63808e-06        5.9003e-07          4.66203e-06         -4.14079e-07        
0.00347769          256                 0.00645742          -0.00139636         0.00511861          0.00113269          -0.00309811         -0.00339435         
0.00695537          512                 0.00575676          0.00332388          0.00162953          -0.00303305         0.00214298          0.00442127          
0.0104331           768                 0.125259            -0.17378            -0.275408           0.129762            0.548106            -0.292979           
0.0139107           1024                -0.142475           -0.0504345          -0.318957           0.0374998           0.397251            -0.0511172          
0.0173884           1280                -0.133022           -0.0928839          0.114072            0.1142              -0.293136           -0.125142           
0.0208661           1536                -0.0451743          0.108428            0.108971            -0.0697895          -0.213552           0.183219            
0.0243438           1792                0.0775268           -0.000166194        0.105649            -0.00584268         -0.106018           -0.0162455          
0.0278215           2048                0.104595            -0.0115836          0.0185084           -0.00690722         0.056607            -0.0385263          
0.0312992           2304                0.0248494           0.146298            0.0763007           -0.133098           -0.103283           0.226985            
0.0347769           2560                0.0305679           0.101845            0.167812            -0.0785839          -0.246242           0.15576             
0.0382545           2816                0.0259805           0.0255964           0.0407565           -0.02976            -0.0441614          0.0340998           
0.0417322           3072                0.0372334           0.01272             0.0423664           -0.0178934          -0.0375021          0.0118867           
0.0452099           3328                0.0255386           0.0389795           0.0515143           -0.035193           -0.0623185          0.0567473           
0.0486876           3584                0.012999            0.0361426           0.047184            -0.0319307          -0.0655301          0.0543724           
0.0521653           3840                0.0120195           0.0280555           0.0438802           -0.0237899          -0.0609793          0.0419434           
0.055643            4096                0.0117973           0.0212479           0.0250057           -0.0198271          -0.0306845          0.0311974           
0.0591207           4352                0.0110814           0.0219965           0.02899             -0.0193076          -0.0377567          0.0326532           
0.0625984           4608                0.00747608          0.0120235           0.022543            -0.0113276          -0.0302083          0.0172299           
0.066076            4864                0.0066127           0.0169723           0.0258674           -0.0147331          -0.03633            0.025404            
0.0695537           5120                0.00713758          0.0199795           0.0288819           -0.0170908          -0.0407834          0.0301158           
0.0730314           5376                0.00873618          0.0183989           0.0290613           -0.0160519          -0.0397484          0.0272591           
0.0765091           5632                0.00932456          0.0183007           0.0289687           -0.0164484          -0.0390812          0.0269029           
0.0799868           5888                0.0108522           0.0196102           0.0312079           -0.017605           -0.0414557          0.0286989           
0.0834645           6144                0.0121537           0.0228326           0.0350176           -0.0203243          -0.0465572          0.0335693           
0.0869422           6400                0.0133291           0.0239013           0.0373902           -0.0214507          -0.0494108          0.0349852           
0.0904198           6656                0.0144954           0.0246337           0.0395922           -0.0222676          -0.0519987          0.0358719           
0.0938975           6912                0.0155508           0.028506            0.0429134           -0.0255932          -0.0565061          0.0418284           
0.0973752           7168                0.0168061           0.0299323           0.0447216           -0.0269088          -0.0584             0.0438538           
0.100853            7424                0.0168185           0.0301218           0.0445769           -0.0272804          -0.0581447          0.0441095           
0.104331            7680                0.0170694           0.0299095           0.0457224           -0.0270442          -0.0597901          0.043705            
0.107808            7936                0.017523            0.0306579           0.0463466           -0.0276424          -0.0604309          0.0448325           
0.111286            8192                0.0168529           0.0287211           0.0431772           -0.0262218          -0.0558469          0.041865            
0.114764            8448                0.0155855           0.030882            0.0441891           -0.0277247          -0.0585382          0.0455735           
0.118241            8704                0.015206            0.0296596           0.0442253           -0.02646            -0.0589095          0.0437167           
0.121719            8960                0.0155438           0.0267685           0.0419049           -0.0241416          -0.0548818          0.0390582           
0.125197            9216                0.0157778           0.028331            0.0420934           -0.0254573          -0.0550063          0.0415349           
0.128674            9472                0.0151012           0.0262995           0.0408549           -0.0238749          -0.0535316          0.0383729           
0.132152            9728                0.0150368           0.0270628           0.0412907           -0.0244114          -0.0543027          0.0396219           
0.13563             9984                0.0157944           0.0286942           0.0429024           -0.0256933          -0.0562982          0.0421075           
0.139107            10240               0.0165843           0.0271976           0.0431466           -0.0245439          -0.0560342          0.0395462           
0.142585            10496               0.0166058           0.0280139           0.0427481           -0.025436           -0.0553608          0.0408228           
0.146063            10752               0.0161484           0.0279662           0.0425814           -0.025417           -0.0554674          0.0408114           
0.149541            11008               0.0163396           0.0293363           0.0445851           -0.0263042          -0.0585623          0.0429885           
0.153018            11264               0.0164783           0.027906            0.0435291           -0.025219           -0.0567397          0.0406696           
0.156496            11520               0.0167568           0.0299065           0.043429            -0.0269488          -0.0563576          0.0438456           
0.159974            11776               0.0158832           0.026188            0.0407929           -0.0240873          -0.0527856          0.0380051           
0.163451            12032               0.0156274           0.0260389           0.0410759           -0.0236487          -0.0534697          0.0378678           
0.166929            12288               0.0150737           0.0287539           0.042286            -0.0255694          -0.0559064          0.0423709           
0.170407            12544               0.0144706           0.0261809           0.0398558           -0.0235223          -0.0524552          0.0383675           
0.173884            12800               0.0140253           0.0244765           0.0378162           -0.0222579          -0.0495227          0.0357125           
0.177362            13056               0.0141804           0.0264315           0.0394523           -0.0234786          -0.0520626          0.038889            
0.18084             13312               0.0134035           0.0260508           0.0384201           -0.023257           -0.0510218          0.0383994           
0.184317            13568               0.0139294           0.0257754           0.0392772           -0.0229235          -0.0519771          0.0378755           
0.187795            13824               0.0141591           0.0256079           0.038285            -0.0229056          -0.0501827          0.0375763           
0.191273            14080               0.0139869           0.0252261           0.0370917           -0.0227278          -0.0483964          0.0369899           
0.19475             14336               0.0139092           0.0251667           0.0378463           -0.0225626          -0.0496736          0.0369097           
0.198228            14592               0.0133911           0.0226216           0.0358582           -0.0205095          -0.046879           0.0329288           
0.201706            14848               0.0139801           0.024491            0.0365327           -0.0219711          -0.0475045          0.0358597           
0.205183            15104               0.0141391           0.0240847           0.0353874           -0.0216391          -0.0455331          0.0352167           
0.208661            15360               0.01271             0.025935            0.036475            -0.0230936          -0.0484645          0.0383942           
0.212139            15616               0.0129734           0.0234514           0.0364383           -0.0209798          -0.0481616          0.0343646           
0.215617            15872               0.0133102           0.0198573           0.033447            -0.0182642          -0.0430422          0.0285489           
0.219094            16128               0.0136838           0.0241084           0.0354691           -0.0216362          -0.0460293          0.0353257           
0.222572            16384               0.0133911           0.0204627           0.0345017           -0.0186556          -0.0446857          0.0295055           
0.22605             16640               0.0138892           0.0250343           0.0367803           -0.0222458          -0.0480007          0.036783            
0.229527            16896               0.0132644           0.0272317           0.0379782           -0.0241661          -0.050438           0.0403583           
0.233005            17152               0.0133666           0.0243402           0.0376467           -0.0217163          -0.0497978          0.0357011           
0.236483            17408               0.013929            0.0228493           0.0359627           -0.0207307          -0.0466023          0.0332086           
0.23996             17664               0.0147519           0.0243477           0.0365648           -0.0219074          -0.0469354          0.0354992           
0.243438            17920               0.0139882           0.0262408           0.0371148           -0.0235081          -0.0484475          0.0386419           
0.246916            18176               0.0141852           0.0228506           0.0362533           -0.0206804          -0.0468736          0.0331747           
0.250393            18432               0.0134348           0.0232711           0.0354759           -0.0210762          -0.0462257          0.033979            
0.253871            18688               0.0136519           0.0231815           0.0365136           -0.0208528          -0.0477362          0.0338023           
0.257349            18944               0.01449             0.024416            0.0370422           -0.0219256          -0.0479124          0.035643            
0.260826            19200               0.0142576           0.0283041           0.0386699           -0.0251897          -0.0507466          0.0418891           
0.264304            19456               0.0137958           0.0261682           0.0372575           -0.0235337          -0.0488206          0.0385292           
