#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   5.2256e-05          -3.02622e-05        4.24994e-05         4.04925e-05         -3.76323e-05        -6.18248e-05        
0.00347769          256                 -0.032666           0.107817            -0.418942           -0.300015           0.419821            0.199932            
0.00695537          512                 0.753642            -0.11766            -0.827825           -0.283373           1.71133             -0.452287           
0.0104331           768                 3.91439             -2.05566            -24.6769            -8.17155            39.2122             -4.32683            
0.0139107           1024                -3.16864            -1.79571            -16.2751            -5.17358            19.7986             -1.15821            
0.0173884           1280                2.90633             0.366781            36.0603             14.274              -51.7557            -0.684483           
0.0208661           1536                -0.547179           0.260846            30.2898             11.8019             -44.3819            0.539627            
0.0243438           1792                0.434494            0.592273            -14.6722            -6.24778            21.6212             0.613535            
0.0278215           2048                -1.02871            0.384313            -17.1648            -7.19212            25.3918             0.921812            
0.0312992           2304                -1.81559            0.716078            -1.1598             -1.10349            0.64169             1.6854              
0.0347769           2560                -0.00377798         1.1673              12.7641             4.19521             -18.4601            1.58362             
0.0382545           2816                -2.65293            0.667412            -9.76968            -4.39632            12.7135             1.96123             
0.0417322           3072                -0.71567            0.381534            -6.37604            -2.86367            9.10669             0.792582            
0.0452099           3328                -0.641008           0.4078              0.549083            -0.12626            -1.03128            0.802993            
0.0486876           3584                -0.623579           0.455657            0.20266             -0.270834           -0.662421           0.866138            
0.0521653           3840                -0.44995            0.366736            1.04495             0.128882            -1.70344            0.67557             
0.055643            4096                -0.509141           0.223382            -0.748444           -0.480363           0.84977             0.50113             
0.0591207           4352                -0.253186           0.22305             0.505722            0.0219218           -0.832037           0.400578            
0.0625984           4608                -0.483092           0.220785            -0.797496           -0.486215           0.89097             0.489287            
0.066076            4864                -0.366885           0.210606            0.484702            0.0255336           -0.882985           0.428872            
0.0695537           5120                -0.327342           0.212119            0.589615            0.0627112           -1.022              0.415013            
0.0730314           5376                -0.395031           0.225987            0.273969            -0.0725482          -0.592602           0.460819            
0.0765091           5632                -0.462916           0.251347            -0.369356           -0.346251           0.301814            0.523073            
