#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   3.30734e-07         0                   -1.38908e-05        -5.65556e-06        1.74178e-05         8.46719e-08         
0.00347769          256                 0.00995279          -0.000522395        0.0277567           0.00827645          -0.0276449          0.00467258          
0.00695537          512                 0.374988            -0.00421769         0.0470114           0.0220646           0.208402            -0.154611           
0.0104331           768                 6.04273             0.0983541           3.44039             1.26076             -0.0177437          -2.26439            
0.0139107           1024                -2.69077            0.0355789           -2.42707            -0.996335           1.11571             1.11085             
0.0173884           1280                -3.94108            -0.0624504          -2.34254            -0.87106            0.123724            1.49045             
0.0208661           1536                -5.84243            -0.0594248          -3.07868            -1.18196            -0.311303           2.24405             
0.0243438           1792                3.23129             -0.0617969          0.467011            0.246024            1.72419             -1.36414            
0.0278215           2048                3.14744             -0.00273567         2.06449             0.828178            -0.337752           -1.26193            
0.0312992           2304                -0.334233           0.0240776           0.707233            0.262819            -1.1166             0.152379            
0.0347769           2560                -1.14582            0.0138136           -0.159777           -0.0710412          -0.610368           0.468096            
0.0382545           2816                0.272629            0.00436288          0.118274            0.0482792           0.0507807           -0.106877           
0.0417322           3072                1.1585              0.000329081         0.857036            0.345226            -0.244482           -0.465877           
0.0452099           3328                -0.101078           0.00578686          0.235741            0.0913993           -0.364266           0.0426595           
0.0486876           3584                -0.107908           0.00687365          0.147201            0.0555943           -0.258361           0.0490511           
0.0521653           3840                -0.159206           0.00199052          0.0498544           0.0198824           -0.173794           0.0637484           
0.055643            4096                -0.00313536         0.000475265         0.119427            0.0481897           -0.150109           -0.000592562        
0.0591207           4352                -0.0470699          0.000343633         0.06034             0.0249304           -0.107574           0.0173464           
0.0625984           4608                -0.00168377         6.66429e-05         0.0851345           0.0352003           -0.106226           -0.000703472        
0.066076            4864                -0.138463           -0.000947884        0.0147802           0.00781985          -0.115638           0.0522671           
0.0695537           5120                -0.125259           -0.00109771         0.0247622           0.0118908           -0.118638           0.0465841           
0.0730314           5376                -0.11018            -0.00063286         0.0251464           0.0118479           -0.108288           0.0412015           
0.0765091           5632                -0.0319517          0.000637821         0.0723339           0.0298076           -0.111492           0.0117268           
0.0799868           5888                -0.0584164          -8.38411e-05        0.077797            0.0326055           -0.13711            0.0209586           
0.0834645           6144                -0.0619717          0.000494613         0.0834768           0.0345697           -0.146586           0.022958            
0.0869422           6400                -0.0439366          0.00044153          0.101987            0.0421689           -0.156738           0.0154337           
0.0904198           6656                -0.0343636          0.00126374          0.121281            0.04931             -0.173925           0.012565            
0.0938975           6912                -0.0274028          0.00211389          0.136868            0.0549411           -0.188341           0.0107826           
0.0973752           7168                -0.0199666          0.0027064           0.150599            0.059959            -0.20015            0.008391            
0.100853            7424                -0.0198528          0.00336985          0.153635            0.0607741           -0.203791           0.00915277          
0.104331            7680                -0.0237685          0.00241701          0.153056            0.0613865           -0.205829           0.0093109           
0.107808            7936                -0.00902276         0.00316959          0.162033            0.0643297           -0.206565           0.00463335          
0.111286            8192                -0.000471627        0.00390498          0.161559            0.0635581           -0.199959           0.0023045           
0.114764            8448                -0.0368559          0.0042587           0.145287            0.0567103           -0.205528           0.0174915           
0.118241            8704                -0.0571089          0.00301167          0.126651            0.0502312           -0.19669            0.0237587           
