#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -4.36569e-05        -4.00188e-05        -0.000171651        -5.32998e-05        0.000221763         -3.09753e-05        
0.00347769          256                 -0.104757           -0.199045           0.299309            0.250365            -0.513884           -0.242111           
0.00695537          512                 0.286639            -0.224516           0.140142            0.161847            -0.0317607          -0.415004           
0.0104331           768                 5.5336              -2.99608            3.74199             2.40764             -1.84334            -6.17684            
0.0139107           1024                -3.7226             0.435435            -11.4493            -5.23505            14.7215             2.57394             
0.0173884           1280                -6.28658            0.401039            -10.8469            -4.30831            11.9842             3.13769             
0.0208661           1536                -4.39488            0.96986             -3.56824            -1.7327             2.98133             3.12648             
0.0243438           1792                1.62439             -0.127622           2.96332             1.55514             -3.89845            -1.07561            
0.0278215           2048                4.16782             0.0607736           5.36288             2.19068             -5.41975            -1.69069            
0.0312992           2304                1.53979             1.01776             7.56724             2.5436              -10.0301            0.606351            
0.0347769           2560                -0.0138483          1.38739             4.63196             1.32286             -6.63152            1.70594             
0.0382545           2816                0.961704            0.89233             3.78992             1.17571             -5.0674             0.723326            
0.0417322           3072                1.58103             0.337156            3.27925             1.21423             -3.85161            -0.24613            
0.0452099           3328                0.717865            0.551488            2.48238             0.775103            -3.09112            0.39343             
0.0486876           3584                0.29575             0.55612             1.99887             0.579161            -2.69212            0.573218            
0.0521653           3840                0.27683             0.452471            1.64351             0.47625             -2.21388            0.451967            
0.055643            4096                0.372609            0.268729            1.53405             0.512569            -1.99233            0.17566             
0.0591207           4352                0.252248            0.282379            1.16761             0.358126            -1.53325            0.244612            
0.0625984           4608                0.191231            0.269681            1.03324             0.313597            -1.37434            0.257551            
0.066076            4864                0.127528            0.265617            0.94075             0.279713            -1.28294            0.278453            
0.0695537           5120                0.12045             0.26016             1.0238              0.3176              -1.40732            0.269812            
0.0730314           5376                0.164351            0.277711            1.10132             0.34288             -1.49952            0.272972            
0.0765091           5632                0.228841            0.311137            1.24732             0.38249             -1.67693            0.291418            
0.0799868           5888                0.270056            0.311961            1.34705             0.427054            -1.79345            0.272786            
0.0834645           6144                0.285137            0.341018            1.4754              0.468286            -1.97095            0.300351            
0.0869422           6400                0.327942            0.369911            1.61456             0.512298            -2.14912            0.319185            
0.0904198           6656                0.374014            0.403306            1.77963             0.564279            -2.36027            0.341685            
0.0938975           6912                0.404291            0.436921            1.93104             0.608901            -2.56095            0.37166             
0.0973752           7168                0.449527            0.450975            2.07181             0.659241            -2.73775            0.369149            
0.100853            7424                0.460252            0.478518            2.13959             0.672381            -2.83209            0.401966            
0.104331            7680                0.463194            0.470621            2.13955             0.67989             -2.83146            0.388417            
0.107808            7936                0.468944            0.47033             2.16065             0.688729            -2.85704            0.384397            
0.111286            8192                0.473122            0.485797            2.12097             0.659674            -2.79801            0.407256            
0.114764            8448                0.421667            0.491559            2.06351             0.631881            -2.74192            0.436935            
0.118241            8704                0.390378            0.458755            1.99001             0.622111            -2.65293            0.405678            
0.121719            8960                0.402182            0.428119            1.90806             0.604445            -2.53191            0.360409            
0.125197            9216                0.404071            0.432131            1.89758             0.596413            -2.51301            0.365468            
0.128674            9472                0.415677            0.431798            1.89902             0.595616            -2.51015            0.362143            
0.132152            9728                0.407135            0.42633             1.88784             0.594797            -2.49689            0.357517            
0.13563             9984                0.399716            0.439968            1.88718             0.588108            -2.50025            0.377181            
0.139107            10240               0.419148            0.441567            1.92972             0.607756            -2.54957            0.369593            
0.142585            10496               0.454829            0.451714            1.98174             0.620946            -2.60663            0.370049            
0.146063            10752               0.445478            0.442148            2.00514             0.636056            -2.6437             0.360835            
0.149541            11008               0.42475             0.453095            1.98568             0.62316             -2.62873            0.382981            
0.153018            11264               0.426221            0.438745            1.9776              0.628819            -2.61751            0.362262            
0.156496            11520               0.454736            0.452321            2.01478             0.633762            -2.65507            0.369828            
0.159974            11776               0.461038            0.427069            2.03042             0.651473            -2.67462            0.334598            
0.163451            12032               0.43037             0.394975            1.9192              0.625264            -2.53153            0.304481            
0.166929            12288               0.38203             0.397917            1.82522             0.587028            -2.42575            0.328864            
0.170407            12544               0.388153            0.410647            1.79751             0.563716            -2.38168            0.345998            
0.173884            12800               0.38706             0.393081            1.79565             0.572354            -2.38002            0.322307            
0.177362            13056               0.353498            0.388819            1.74687             0.555962            -2.32721            0.329723            
0.18084             13312               0.347907            0.381325            1.69929             0.538993            -2.26692            0.324093            
