#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -7.93762e-06        0.000100047         4.21686e-05         -5.20576e-05        -6.95759e-05        0.000171332         
0.00347769          256                 -0.0797157          -0.364471           -0.119113           0.194757            0.142084            -0.604416           
0.00695537          512                 0.836357            -0.590618           -0.361338           0.230555            1.1837              -1.24287            
0.0104331           768                 13.2295             -0.465521           -2.70125            -1.63056            14.6521             -5.78041            
0.0139107           1024                -2.90518            5.51884             2.4308              -2.93436            -6.15713            10.475              
0.0173884           1280                -10.1077            8.76724             7.43288             -2.00222            -19.6132            18.022              
0.0208661           1536                -11.797             4.42405             3.03913             -1.2959             -13.6278            12.1461             
0.0243438           1792                5.71012             -5.29569            -3.38554            2.17415             9.25576             -10.9068            
0.0278215           2048                6.57194             -4.89077            -4.28849            1.15957             11.7993             -10.5782            
0.0312992           2304                0.197105            -4.10158            -1.47141            2.27031             2.31354             -6.837              
0.0347769           2560                -2.41863            -0.379888           0.952588            0.980504            -3.46847            0.0157394           
0.0382545           2816                0.796313            -2.92283            -2.23922            0.91936             4.10297             -5.17095            
0.0417322           3072                2.48824             -3.12628            -1.93685            1.23307             4.87363             -6.11058            
0.0452099           3328                0.14508             -1.52052            -0.570113           0.84851             0.958206            -2.62409            
0.0486876           3584                -0.110245           -1.00401            -0.381415           0.573429            0.455934            -1.69897            
0.0521653           3840                -0.270842           -0.639123           -0.282182           0.352734            0.211006            -1.00855            
0.055643            4096                0.172641            -0.95204            -0.465611           0.461934            0.837462            -1.65952            
0.0591207           4352                0.0248861           -0.682066           -0.22947            0.401761            0.347789            -1.1729             
0.0625984           4608                0.0587404           -0.680632           -0.369208           0.316677            0.600945            -1.17728            
0.066076            4864                -0.200959           -0.522306           -0.217367           0.289978            0.16852             -0.810247           
0.0695537           5120                -0.171552           -0.573089           -0.197687           0.340774            0.151676            -0.904511           
0.0730314           5376                -0.129866           -0.653341           -0.27116            0.358686            0.30094             -1.05511            
0.0765091           5632                0.0132997           -0.756799           -0.382324           0.371139            0.582394            -1.28285            
0.0799868           5888                -0.0159214          -0.827486           -0.387138           0.423176            0.568661            -1.38731            
0.0834645           6144                -0.0201586          -0.898641           -0.393723           0.475638            0.569639            -1.50841            
0.0869422           6400                0.0203698           -1.00121            -0.463677           0.513747            0.708456            -1.69348            
0.0904198           6656                0.0385568           -1.07935            -0.519481           0.541531            0.809819            -1.83315            
0.0938975           6912                0.0473229           -1.1278             -0.53307            0.571821            0.835079            -1.9239             
0.0973752           7168                0.0763925           -1.19172            -0.562118           0.603488            0.901618            -2.04048            
0.100853            7424                0.077051            -1.23226            -0.602554           0.610028            0.966281            -2.1091             
0.104331            7680                0.0733962           -1.24797            -0.594609           0.627808            0.949636            -2.13438            
0.107808            7936                0.0862507           -1.25355            -0.596144           0.630938            0.961839            -2.14948            
0.111286            8192                0.101511            -1.19122            -0.607728           0.575186            0.996419            -2.05816            
0.114764            8448                0.00562132          -1.08039            -0.529398           0.538857            0.800038            -1.84334            
0.118241            8704                -0.0286198          -1.08695            -0.507354           0.556124            0.738859            -1.83175            
0.121719            8960                0.0213567           -1.11866            -0.531756           0.563576            0.816733            -1.89877            
0.125197            9216                0.0346272           -1.09846            -0.510745           0.561704            0.791337            -1.87114            
0.128674            9472                0.102724            -1.13069            -0.570006           0.549325            0.937141            -1.94566            
0.132152            9728                0.0440326           -1.08642            -0.528978           0.541402            0.829731            -1.8535             
0.13563             9984                0.028566            -1.08605            -0.503664           0.557014            0.775206            -1.85201            
0.139107            10240               0.0486709           -1.12958            -0.539103           0.569336            0.846844            -1.93112            
0.142585            10496               0.126501            -1.16083            -0.583551           0.566533            0.975244            -2.01107            
0.146063            10752               0.0794733           -1.17596            -0.585082           0.576928            0.943161            -2.01319            
0.149541            11008               0.0364677           -1.13705            -0.535697           0.578221            0.830796            -1.93862            
0.153018            11264               0.0407149           -1.16845            -0.554512           0.5901              0.864613            -1.98845            
0.156496            11520               0.087722            -1.11618            -0.545239           0.555995            0.88588             -1.92616            
0.159974            11776               0.142686            -1.22776            -0.62614            0.589494            1.05518             -2.1145             
