#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -2.7947e-05         3.47271e-06         3.14198e-05         -1.66809e-05        -8.84159e-05        -5.31291e-06        
0.00347769          256                 0.0755162           0.015676            -0.199944           0.0478137           0.380442            0.0461714           
0.00695537          512                 0.0279252           0.134242            0.968965            -0.651067           -1.16657            0.147681            
0.0104331           768                 0.515973            0.547518            -0.614813           -0.70487            1.63363             0.891971            
0.0139107           1024                -1.31097            0.263782            1.04251             -0.822498           -3.63743            -0.134157           
0.0173884           1280                -1.21035            -0.145293           1.34921             -0.154733           -3.79646            -0.576791           
0.0208661           1536                -1.36473            -0.279185           2.00911             -0.236487           -4.87325            -0.837313           
0.0243438           1792                1.1074              0.00782451          -1.43585            0.468917            3.73731             0.388937            
0.0278215           2048                1.35523             0.0672689           -1.661              0.447855            4.44202             0.553128            
0.0312992           2304                1.22831             -0.0586403          -1.78015            0.712915            4.37496             0.349192            
0.0347769           2560                0.0601162           -0.27126            0.367735            0.333407            -0.324323           -0.322424           
0.0382545           2816                0.636475            -0.0546558          -0.818452           0.371888            2.1398              0.149085            
0.0417322           3072                0.675727            -0.0464794          -0.819044           0.364618            2.21027             0.177108            
0.0452099           3328                0.415645            -0.0607919          -0.470015           0.264758            1.32012             0.066663            
0.0486876           3584                0.338957            -0.0513227          -0.414766           0.229103            1.11561             0.0514386           
0.0521653           3840                0.19936             -0.0576764          -0.205046           0.168456            0.610491            -0.00443799         
0.055643            4096                0.227827            -0.0358779          -0.270859           0.154605            0.740312            0.0334348           
0.0591207           4352                0.208608            -0.0288162          -0.249254           0.134232            0.679359            0.0353363           
0.0625984           4608                0.16984             -0.0303652          -0.203975           0.12208             0.554945            0.0203649           
0.066076            4864                0.166335            -0.0289075          -0.21324            0.123258            0.560311            0.0210253           
0.0695537           5120                0.159084            -0.0342609          -0.187026           0.122824            0.515636            0.0115547           
0.0730314           5376                0.177258            -0.0318555          -0.213546           0.127035            0.580319            0.0204593           
0.0765091           5632                0.206001            -0.0324382          -0.256352           0.143127            0.683989            0.0297259           
0.0799868           5888                0.218885            -0.0386412          -0.270679           0.160021            0.724997            0.0269053           
0.0834645           6144                0.242065            -0.041293           -0.296396           0.173067            0.797942            0.031375            
0.0869422           6400                0.26324             -0.0442499          -0.322927           0.187158            0.868456            0.0348609           
0.0904198           6656                0.283879            -0.0475693          -0.346403           0.201063            0.934237            0.0378273           
0.0938975           6912                0.310886            -0.0489391          -0.378396           0.214076            1.02164             0.0453791           
0.0973752           7168                0.320746            -0.0518027          -0.383178           0.220436            1.04524             0.0451862           
0.100853            7424                0.325068            -0.0530951          -0.391849           0.225631            1.06376             0.0450283           
0.104331            7680                0.331804            -0.053998           -0.40497            0.232005            1.09219             0.0462904           
0.107808            7936                0.337693            -0.05043            -0.402126           0.223423            1.09864             0.0524244           
0.111286            8192                0.339558            -0.0459041          -0.416055           0.221059            1.11886             0.059111            
0.114764            8448                0.32413             -0.0485313          -0.398567           0.219828            1.07033             0.0506226           
0.118241            8704                0.313906            -0.0479753          -0.385734           0.215455            1.03655             0.0482722           
0.121719            8960                0.318599            -0.045067           -0.395497           0.213607            1.05663             0.0534733           
0.125197            9216                0.328804            -0.0375215          -0.420093           0.208872            1.10459             0.0663177           
0.128674            9472                0.314911            -0.039687           -0.394349           0.203561            1.04848             0.0588455           
0.132152            9728                0.316729            -0.0402232          -0.400808           0.207352            1.05969             0.0590762           
0.13563             9984                0.322478            -0.042139           -0.400928           0.210978            1.07022             0.0589171           
0.139107            10240               0.32858             -0.0421913          -0.411487           0.214789            1.09414             0.0609478           
0.142585            10496               0.338034            -0.0398738          -0.42667            0.215374            1.12943             0.0667909           
0.146063            10752               0.335175            -0.0420634          -0.418264           0.216208            1.11413             0.0630205           
0.149541            11008               0.330531            -0.0432956          -0.408814           0.214829            1.0944              0.0598352           
0.153018            11264               0.329327            -0.0430411          -0.407176           0.214351            1.09034             0.0600508           
0.156496            11520               0.341677            -0.0391942          -0.431529           0.216074            1.14199             0.0691195           
0.159974            11776               0.333293            -0.0388145          -0.418721           0.210648            1.11125             0.0665667           
0.163451            12032               0.321687            -0.0411099          -0.407074           0.21173             1.0766              0.0601158           
0.166929            12288               0.299152            -0.0395361          -0.37227            0.195417            0.993687            0.0534111           
0.170407            12544               0.311396            -0.0330498          -0.399924           0.194775            1.04917             0.066295            
0.173884            12800               0.294089            -0.0354813          -0.377303           0.191986            0.990694            0.0577726           
0.177362            13056               0.299441            -0.0330903          -0.387555           0.191859            1.01272             0.0628158           
0.18084             13312               0.287283            -0.034723           -0.371502           0.188874            0.971543            0.0563564           
0.184317            13568               0.291277            -0.0344559          -0.377651           0.191639            0.986314            0.0586195           
0.187795            13824               0.283827            -0.0309843          -0.360236           0.177072            0.951505            0.059235            
