#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   2.62934e-05         0.00173652          -0.000678997        -0.00127838         0.00154192          0.00377541          
0.00347769          256                 0.767526            18.7807             -1.60878            -16.3857            4.21773             39.3484             
0.00695537          512                 14.0674             -329.589            77.9736             331.957             -182.784            -809.545            
0.0104331           768                 78.9354             -63.3291            -28.592             62.2548             153.095             -28.8392            
0.0139107           1024                32.636              -477.457            6.14931             460.471             21.7602             -945.941            
0.0173884           1280                20.4281             -493.683            -4.48695            482.822             31.4266             -1031.63            
0.0208661           1536                -1.0868             -332.268            3.75305             309.887             -13.2071            -707.944            
0.0243438           1792                -14.1658            49.7934             15.1707             -68.0899            -49.2262            100.231             
0.0278215           2048                -14.4681            224.186             17.6696             -233.014            -53.0385            468.428             
0.0312992           2304                -9.91821            88.3143             11.2211             -91.1469            -33.654             179.588             
0.0347769           2560                -1.09491            28.3013             5.76511             -28.1365            -12.8988            55.791              
0.0382545           2816                -0.914948           43.4781             4.34388             -46.8315            -9.74076            96.0407             
0.0417322           3072                -4.72396            35.0348             8.98164             -40.459             -24.1101            72.2779             
0.0452099           3328                -1.81177            -8.98825            9.37481             2.98698             -22.3558            -18.8196            
0.0486876           3584                2.04644             -40.8015            7.32958             34.4235             -14.0941            -83.4144            
0.0521653           3840                2.11008             -52.1482            8.59982             45.1533             -16.7952            -107.665            
0.055643            4096                1.9122              -50.807             9.39536             42.9603             -18.6988            -105.449            
0.0591207           4352                2.06136             -56.2226            10.2669             48.1915             -20.4818            -118.876            
0.0625984           4608                1.31816             -60.5653            10.6032             52.7489             -22.0233            -130.664            
0.066076            4864                0.865206            -63.2904            11.608              55.3188             -24.5408            -137.081            
0.0695537           5120                1.12393             -63.9982            12.3322             56.1122             -26.022             -138.648            
0.0730314           5376                1.18613             -67.2247            12.9403             58.9538             -27.3873            -144.484            
0.0765091           5632                0.717367            -67.9469            13.6715             59.3859             -29.4351            -145.173            
0.0799868           5888                0.368208            -68.6375            14.171              59.528              -30.805             -145.212            
0.0834645           6144                0.0941299           -69.3552            14.595              59.375              -31.8766            -144.782            
0.0869422           6400                0.0248499           -72.0502            15.6879             61.2081             -34.2295            -149.467            
0.0904198           6656                -0.00474653         -75.6851            16.7401             64.0394             -36.4746            -156.683            
0.0938975           6912                -0.0227793          -77.0669            17.263              65.0768             -37.6012            -159.935            
0.0973752           7168                -0.0673226          -77.0706            18.3295             65.1263             -40.0928            -161.163            
0.100853            7424                -0.204544           -79.4976            18.9089             67.2203             -41.829             -168.231            
0.104331            7680                -0.268721           -78.9963            19.638              66.9233             -43.6688            -169.362            
0.107808            7936                -0.220985           -74.9045            19.6557             63.4418             -43.8128            -162.199            
0.111286            8192                -0.222461           -70.6356            19.22               59.8646             -43.3055            -154.848            
0.114764            8448                0.284727            -68.1009            18.5068             58.4978             -41.9186            -151.679            
0.118241            8704                0.667457            -60.2306            17.4081             52.1854             -39.725             -136.617            
0.121719            8960                0.957337            -49.7189            15.7806             42.8428             -36.2996            -115.243            
0.125197            9216                1.09925             -39.1682            14.3165             33.9322             -33.3391            -94.0058            
0.128674            9472                0.906518            -30.1507            13.326              26.1812             -31.4879            -75.5784            
0.132152            9728                0.568329            -23.9356            12.5524             21.1807             -30.1576            -62.2447            
0.13563             9984                0.274264            -14.9942            11.5876             13.314              -27.9516            -42.5503            
0.139107            10240               0.417533            -0.824108           9.79161             0.186403            -23.1713            -11.3072            
0.142585            10496               0.509312            10.6941             8.21876             -10.6643            -19.0703            14.857              
0.146063            10752               0.641134            19.1548             6.9239              -18.6886            -15.2744            34.8907             
0.149541            11008               0.759115            25.5875             6.14167             -25.1769            -12.674             50.6129             
0.153018            11264               0.717661            34.767              5.37154             -33.8149            -10.2862            71.6697             
0.156496            11520               0.029222            38.7677             5.68679             -37.8944            -11.0004            79.9514             
0.159974            11776               0.371865            39.2753             5.99021             -38.9651            -11.124             81.6271             
0.163451            12032               0.422598            39.7793             7.52043             -38.7371            -14.1705            82.1253             
0.166929            12288               0.512498            37.768              8.02134             -36.3522            -15.167             78.6533             
0.170407            12544               0.746845            36.2634             9.72768             -35.5773            -18.4945            76.3363             
0.173884            12800               1.02682             36.3683             9.38288             -35.7361            -17.6714            77.3379             
0.177362            13056               0.437752            30.4911             10.2893             -29.7968            -20.278             65.1009             
0.18084             13312               0.328552            24.7208             10.609              -23.9665            -21.2346            53.1657             
0.184317            13568               1.06999             21.563              10.4665             -20.7855            -20.3696            46.458              
0.187795            13824               1.64747             20.4598             11.3163             -19.919             -21.6211            43.6857             
0.191273            14080               1.41121             19.2673             11.751              -18.9324            -22.8782            39.5462             
0.19475             14336               1.76142             15.6629             12.7023             -15.9922            -24.8518            30.8596             
0.198228            14592               1.78945             15.3691             14.1369             -15.6261            -27.8263            29.0233             
0.201706            14848               2.1206              19.4886             14.2099             -19.4807            -28.0802            37.4302             
0.205183            15104               1.73167             16.9748             14.3719             -16.7911            -28.9387            31.0745             
0.208661            15360               2.06603             17.1583             15.1021             -16.8037            -30.6418            31.7163             
0.212139            15616               1.83276             17.6091             15.0893             -16.7696            -31.2418            32.8193             
0.215617            15872               1.98644             15.7393             14.2895             -14.7689            -29.3017            30.4197             
0.219094            16128               1.54106             16.0437             13.5814             -14.3377            -28.3004            30.1615             
0.222572            16384               1.92101             18.5585             14.4139             -17.0337            -29.6702            34.9422             
0.22605             16640               1.06835             15.5257             14.0325             -14.5137            -29.4951            28.4232             
0.229527            16896               2.36446             15.386              14.4701             -14.0449            -28.7374            28.5966             
0.233005            17152               2.14984             19.1641             12.3497             -17.8883            -24.0902            37.3895             
0.236483            17408               1.47929             22.5517             10.5877             -20.7617            -21.0271            44.5328             
0.23996             17664               1.30943             20.5604             11.1416             -19.4145            -22.9049            40.7167             
0.243438            17920               1.66183             17.4276             11.4388             -15.9011            -22.9894            35.4512             
0.246916            18176               2.65079             15.1846             11.5593             -13.9183            -22.3059            31.1773             
0.250393            18432               1.90934             15.4135             11.1432             -13.9857            -22.0053            30.9382             
0.253871            18688               2.61733             11.8325             11.6828             -10.705             -22.5227            23.7377             
0.257349            18944               2.94162             13.9393             10.8523             -11.7946            -20.5827            27.7187             
0.260826            19200               3.42657             10.7748             12.2363             -9.53074            -22.6052            21.3464             
0.264304            19456               3.40113             15.5747             11.5392             -13.9047            -20.9518            31.2231             
0.267782            19712               2.64401             14.7528             12.5773             -13.6962            -23.9943            28.8816             
0.27126             19968               2.94483             15.3989             12.0153             -13.8475            -22.7527            30.4443             
0.274737            20224               2.85957             17.1029             13.7729             -15.0045            -26.6849            33.1348             
0.278215            20480               3.21644             14.8462             13.9333             -13.0178            -26.6538            28.5868             
0.281693            20736               3.42366             12.4715             13.4679             -10.6588            -25.6776            24.2108             
0.28517             20992               3.70955             11.56               14.9215             -9.99771            -28.7366            21.936              
0.288648            21248               4.09792             9.73746             12.7283             -6.78486            -23.5071            18.0409             
0.292126            21504               4.34158             6.88137             13.9885             -4.63317            -26.1024            11.6202             
0.295603            21760               4.54246             7.40784             13.4165             -4.62257            -24.6215            13.48               
0.299081            22016               4.96309             9.51734             13.7157             -6.85006            -25.1156            17.7278             
0.302559            22272               4.73906             7.69393             12.9789             -4.97085            -23.9068            14.126              
0.306036            22528               3.84907             9.6945              13.1272             -7.50058            -25.1563            17.1579             
0.309514            22784               4.52835             8.07123             13.1146             -5.80106            -24.5418            14.5369             
0.312992            23040               5.70883             9.45359             12.6554             -5.75724            -21.8988            17.52               
0.316469            23296               4.33249             11.8949             13.8676             -9.07169            -25.9091            22.1399             
0.319947            23552               4.2588              10.7452             12.6327             -7.91257            -23.473             20.395              
0.323425            23808               4.17768             11.349              12.8893             -8.77846            -24.146             21.7059             
0.326903            24064               3.66796             13.0821             12.5623             -10.4883            -23.5413            25.2307             
0.33038             24320               4.00921             16.7551             12.9519             -13.4194            -24.2827            33.0295             
0.333858            24576               4.59252             18.4435             12.7648             -14.41              -23.1196            37.0064             
0.337336            24832               4.64962             15.9865             13.7488             -12.881             -25.1396            31.1695             
0.340813            25088               3.86666             13.0981             15.8104             -10.939             -30.3246            24.4367             
0.344291            25344               3.56058             9.93036             16.6768             -8.53274            -32.4283            17.1157             
0.347769            25600               4.37192             10.8279             15.0838             -8.94634            -28.0744            19.6584             
0.351246            25856               4.19561             7.67613             13.9541             -5.27139            -26.148             12.5188             
0.354724            26112               5.39772             3.29323             14.1928             -1.48532            -25.814             4.08857             
0.358202            26368               3.21697             2.2968              13.7414             0.0898436           -27.2179            0.653913            
0.361679            26624               4.27085             -1.01321            14.9314             3.63018             -28.7618            -6.28761            
0.365157            26880               5.28658             -2.00562            14.3676             4.19468             -26.619             -8.29577            
0.368635            27136               4.81729             -0.960919           15.1309             2.79311             -28.8278            -6.55346            
0.372112            27392               4.8393              0.49159             15.9997             1.81047             -30.2296            -3.83118            
0.37559             27648               5.31556             1.09883             16.2858             0.976549            -30.2072            -1.35748            
0.379068            27904               4.57908             -1.37535            16.7905             2.89933             -31.9686            -6.72814            
0.382546            28160               4.67716             -0.334208           16.3826             2.64337             -31.7567            -4.68907            
0.386023            28416               4.61301             -3.10462            15.7497             5.57951             -30.3559            -10.1365            
0.389501            28672               4.35953             -4.70751            15.976              7.1589              -31.0145            -14.495             
0.392979            28928               5.51353             -0.328117           15.144              2.9016              -28.0259            -3.4743             
0.396456            29184               4.56378             -3.87889            15.2711             5.78414             -29.1299            -10.8324            
0.399934            29440               4.79655             -1.80119            15.0657             3.10405             -28.6755            -6.71165            
0.403412            29696               5.3266              0.563131            14.9567             1.52974             -28.0112            -1.69145            
0.406889            29952               3.98499             4.89355             14.5843             -2.05467            -28.5145            6.43982             
0.410367            30208               3.56125             7.85158             15.006              -4.92498            -29.6892            13.1856             
0.413845            30464               5.11056             6.57799             14.3436             -3.20803            -26.6314            11.3007             
0.417322            30720               5.71571             3.07881             13.8849             -0.48209            -25.0009            4.34739             
0.4208              30976               5.43213             1.98659             14.8641             0.443858            -27.2695            1.71255             
0.424278            31232               3.41564             5.10142             16.1214             -2.58599            -31.9073            5.86933             
0.427755            31488               4.5551              5.41619             15.5059             -3.41937            -29.4032            7.88506             
0.431233            31744               4.0515              1.21556             14.7651             -0.0327622          -28.3337            -0.699582           
0.434711            32000               4.62334             1.086               14.4066             1.00672             -27.1327            -1.21395            
0.438188            32256               4.41065             -1.06655            16.2536             2.63799             -31.3187            -6.71965            
0.441666            32512               5.03646             -1.36665            16.3967             2.85286             -30.7058            -6.92452            
0.445144            32768               4.59057             1.19773             16.3447             -0.352276           -31.073             -1.36713            
0.448622            33024               4.79396             -1.67973            15.4053             2.6378              -29.2683            -7.25024            
0.452099            33280               4.35558             -1.55993            15.6576             3.07785             -30.3219            -7.01002            
0.455577            33536               5.13598             0.246184            15.936              1.60724             -29.9846            -2.92589            
0.459055            33792               4.90431             3.01409             16.3038             -1.18285            -30.6906            2.67283             
0.462532            34048               3.64275             4.98792             16.2176             -3.35915            -31.7111            5.33039             
0.46601             34304               5.78576             0.00205336          15.956              1.20791             -29.1595            -3.04078            
0.469488            34560               4.95251             4.96757             15.7421             -3.05006            -29.4857            6.56033             
0.472965            34816               5.94233             3.19059             16.1125             -1.31462            -29.3639            3.08256             
0.476443            35072               4.92431             1.97837             16.4421             -0.721598           -31.1176            0.731505            
0.479921            35328               5.06865             -0.433555           16.0449             0.972386            -30.1793            -3.36634            
0.483398            35584               4.7241              4.83492             15.3205             -2.71332            -28.8736            8.11219             
0.486876            35840               5.48534             2.91746             16.5599             -0.99107            -31.2172            4.46714             
0.490354            36096               5.31452             2.56872             15.9406             -1.43721            -29.6025            3.11259             
0.493831            36352               4.51406             4.692               16.2663             -3.66702            -31.3457            7.21928             
0.497309            36608               4.88376             6.04471             16.3125             -5.11971            -30.9283            9.5507              
0.500787            36864               4.70555             5.7702              16.0607             -3.6149             -30.1129            8.85403             
0.504265            37120               4.75015             3.48131             16.8384             -2.36529            -31.7051            3.63005             
0.507742            37376               4.58771             5.51454             15.8189             -3.70995            -29.8167            7.39611             
0.51122             37632               4.97507             2.63863             16.3895             -0.361182           -31.0961            1.17674             
0.514698            37888               4.53673             3.94637             16.0829             -1.21216            -31.0902            3.27589             
0.518175            38144               4.92656             2.33647             17.512              -0.629499           -33.735             0.375942            
0.521653            38400               4.69757             3.37541             16.2478             -2.23631            -31.4364            2.77678             
0.525131            38656               4.04264             1.74526             15.7061             -0.10759            -30.85              -0.925836           
0.528608            38912               5.37255             0.247077            16.0653             1.39291             -30.288             -2.86949            
0.532086            39168               5.73565             -2.25564            15.7408             4.11822             -29.0797            -8.04861            
0.535564            39424               4.88216             -0.127925           15.8706             1.16479             -30.2683            -4.38662            
0.539041            39680               5.18931             2.00241             15.6916             -1.13592            -29.5472            0.413325            
0.542519            39936               4.85839             -0.0735586          16.6735             1.43187             -31.9699            -4.47236            
0.545997            40192               3.87068             2.49573             16.4283             -0.748076           -32.1816            1.47433             
0.549474            40448               4.33554             -0.184439           16.1071             2.20563             -30.7995            -3.67473            
0.552952            40704               4.2798              0.559855            15.8543             0.384121            -30.4112            -2.10344            
0.55643             40960               3.80844             -1.29831            16.1287             1.97994             -31.38              -6.39123            
0.559907            41216               4.28404             -0.870404           14.1543             2.77686             -26.8228            -4.75347            
0.563385            41472               4.15799             0.42395             16.2231             0.613152            -31.3713            -2.24929            
0.566863            41728               4.24161             -0.420773           17.0335             1.13031             -32.933             -4.36468            
0.570341            41984               5.13054             2.11122             16.2362             -1.29117            -30.7718            1.49255             
0.573818            42240               4.38086             0.690427            15.7151             1.13032             -30.3816            -2.78709            
0.577296            42496               5.83684             -3.04076            15.6989             5.17031             -28.6518            -9.05376            
0.580774            42752               5.54543             -1.62987            15.6375             2.70545             -28.8384            -6.59175            
