#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   4.46491e-06         -1.4883e-05         -2.81124e-06        2.12252e-05         1.58342e-05         -2.00848e-05        
0.00347769          256                 -0.0251619          4.36197             -1.24566            -5.40159            2.55895             9.12371             
0.00695537          512                 4.19985             -124.492            40.4736             157.433             -89.923             -292.851            
0.0104331           768                 0.209819            -42.0215            12.2493             52.4784             -21.8857            -78.0903            
0.0139107           1024                4.18796             -192.892            61.4194             242.653             -126.3              -412.548            
0.0173884           1280                4.07784             -208.672            66.4246             261.71              -138.462            -450.48             
0.0208661           1536                1.84063             -96.7337            30.4589             120.909             -63.56              -208.947            
0.0243438           1792                -1.09418            47.4403             -14.965             -59.5204            30.9245             102.239             
0.0278215           2048                -2.06613            98.6382             -31.324             -123.376            65.5978             214.346             
0.0312992           2304                -0.647148           40.0369             -12.9549            -49.9133            27.1903             86.3844             
0.0347769           2560                -0.273075           16.3975             -5.27288            -20.5385            10.8692             34.8                
0.0382545           2816                -0.654913           32.3515             -10.3308            -40.7614            21.6981             70.4259             
0.0417322           3072                -0.482617           25.4229             -8.13174            -31.8343            17.0635             55.1419             
0.0452099           3328                -0.0915974          6.82833             -2.24233            -8.47453            4.91867             15.2795             
0.0486876           3584                0.115969            -4.46021            1.36837             5.59222             -2.67888            -9.2524             
0.0521653           3840                0.221833            -11.5367            3.6483              14.451              -7.39355            -24.2841            
0.055643            4096                0.210175            -11.9665            3.79878             15.0264             -7.65545            -24.981             
0.0591207           4352                0.295991            -16.4774            5.22899             20.7243             -10.6052            -34.6287            
0.0625984           4608                0.352675            -20.3315            6.4709              25.6032             -13.201             -42.9119            
0.066076            4864                0.401964            -23.9233            7.67405             30.1609             -15.7012            -50.5641            
0.0695537           5120                0.420124            -25.7388            8.30542             32.5118             -17.0566            -54.5387            
0.0730314           5376                0.43731             -27.3519            8.84809             34.5968             -18.2243            -58.0667            
0.0765091           5632                0.44531             -28.4288            9.23243             36.0045             -19.1042            -60.5518            
0.0799868           5888                0.431436            -28.2058            9.19671             35.763              -19.1184            -60.2706            
0.0834645           6144                0.391928            -27.0677            8.85172             34.3545             -18.4749            -57.9533            
0.0869422           6400                0.372838            -26.842             8.77644             34.0756             -18.3817            -57.5828            
0.0904198           6656                0.362542            -27.0028            8.82817             34.2717             -18.5441            -58.0155            
0.0938975           6912                0.352503            -27.2868            8.9324              34.6225             -18.8372            -58.7684            
0.0973752           7168                0.373693            -28.9199            9.47816             36.6687             -20.0487            -62.4462            
0.100853            7424                0.391621            -30.2051            9.89023             38.278              -20.9852            -65.4155            
0.104331            7680                0.411802            -32.146             10.4869             40.7225             -22.3157            -69.7933            
0.107808            7936                0.421412            -31.7489            10.3508             40.2343             -22.1091            -69.2284            
0.111286            8192                0.456242            -31.3068            10.2026             39.7209             -21.911             -68.7563            
0.114764            8448                0.464834            -31.0707            10.119              39.4898             -21.9646            -69.0149            
0.118241            8704                0.412518            -28.1078            9.17752             35.7887             -20.1925            -63.2505            
0.121719            8960                0.362379            -21.9522            7.19622             28.0612             -16.1454            -50.5014            
0.125197            9216                0.288297            -15.898             5.23776             20.485              -12.1394            -37.8607            
0.128674            9472                0.186239            -9.54838            3.20603             12.4835             -7.98297            -24.421             
0.132152            9728                0.078064            -3.13845            1.17428             4.33153             -3.67409            -10.4059            
0.13563             9984                -0.0129704          2.48423             -0.687197           -2.82597            0.450532            2.39222             
0.139107            10240               -0.157928           8.39374             -2.58977            -10.3056            4.64096             15.9255             
0.142585            10496               -0.220163           12.08               -3.90683            -14.9505            7.67853             24.7064             
0.146063            10752               -0.280121           14.7264             -4.88511            -18.2469            9.94385             31.0696             
0.149541            11008               -0.406204           17.1314             -5.73603            -21.1976            11.7497             36.6242             
0.153018            11264               -0.462518           19.0278             -6.29209            -23.5868            13.1097             41.3357             
0.156496            11520               -0.477504           18.3756             -6.08597            -22.753             12.8138             40.409              
0.159974            11776               -0.366648           18.8817             -6.20234            -23.3718            13.384              41.949              
0.163451            12032               -0.340263           18.7629             -6.15951            -23.1233            13.3331             41.6202             
0.166929            12288               -0.222555           17.4727             -5.61926            -21.5471            12.2716             38.5955             
0.170407            12544               -0.0876575          16.0332             -5.18019            -19.754             11.4658             35.4539             
0.173884            12800               0.021335            15.2119             -4.7687             -18.8298            10.7143             33.6813             
0.177362            13056               0.167673            14.0279             -4.38165            -17.3746            10.0261             31.057              
0.18084             13312               -0.00249539         12.2622             -3.99151            -15.1186            8.95989             27.2491             
0.184317            13568               0.0401528           9.94204             -3.13001            -12.2469            7.26002             22.5502             
0.187795            13824               0.0420481           9.81874             -3.08238            -12.2605            7.17445             22.5014             
0.191273            14080               0.169643            6.33287             -2.00416            -7.90336            4.90437             14.84               
