#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   3.17505e-05         2.38129e-05         -7.93762e-06        -1.54334e-05        4.5427e-05          6.91631e-05         
0.00347769          256                 0.0136696           -0.0243634          -0.0206072          0.0449391           0.0504743           -0.029975           
0.00695537          512                 -0.0191579          -0.0160059          0.012534            0.00207098          -0.0422691          -0.0443229          
0.0104331           768                 0.691668            -1.25406            -0.0320371          1.23803             0.669356            -1.53426            
0.0139107           1024                0.792243            -0.650021           -0.260211           0.959515            1.28393             -0.420554           
0.0173884           1280                -0.109872           1.76188             -0.0698173          -1.76255            0.111327            2.93186             
0.0208661           1536                0.343322            1.86304             -0.209725           -1.64395            0.769156            3.50576             
0.0243438           1792                -0.0793541          0.805555            0.0603742           -0.829523           -0.218542           1.31603             
0.0278215           2048                -0.913782           -0.484543           0.277219            0.240455            -1.42956            -1.64602            
0.0312992           2304                -0.991681           -1.13546            0.292984            0.834105            -1.52986            -2.83337            
0.0347769           2560                -0.745433           -0.492746           0.190597            0.284458            -1.07038            -1.5102             
0.0382545           2816                -0.396924           -0.233082           0.0905833           0.146988            -0.549241           -0.754913           
0.0417322           3072                -0.660231           -0.40352            0.175306            0.233987            -0.963985           -1.28211            
0.0452099           3328                -0.546743           -0.470686           0.156663            0.314118            -0.824257           -1.29595            
0.0486876           3584                -0.408356           -0.297909           0.107064            0.192069            -0.591809           -0.876269           
0.0521653           3840                -0.303699           -0.150403           0.0787399           0.0675631           -0.436774           -0.529063           
0.055643            4096                -0.245496           -0.147529           0.0661194           0.079587            -0.359503           -0.472304           
0.0591207           4352                -0.232901           -0.161737           0.0629928           0.100038            -0.342796           -0.485665           
0.0625984           4608                -0.2484             -0.126848           0.0641639           0.0606701           -0.358279           -0.43935            
0.066076            4864                -0.218309           -0.100973           0.0529759           0.0448665           -0.308078           -0.368075           
0.0695537           5120                -0.202526           -0.101713           0.0495251           0.0483654           -0.287645           -0.355194           
0.0730314           5376                -0.216307           -0.130352           0.0527175           0.0764043           -0.308545           -0.416774           
0.0765091           5632                -0.250869           -0.143188           0.0619054           0.0798548           -0.35929            -0.469613           
0.0799868           5888                -0.281779           -0.173062           0.073576            0.100565            -0.411256           -0.54872            
0.0834645           6144                -0.2905             -0.185185           0.0835612           0.104122            -0.435947           -0.577313           
0.0869422           6400                -0.305586           -0.208692           0.089821            0.121565            -0.46129            -0.631223           
0.0904198           6656                -0.315133           -0.206357           0.0910892           0.11726             -0.472262           -0.635587           
0.0938975           6912                -0.331857           -0.211937           0.0962728           0.118972            -0.49852            -0.660085           
0.0973752           7168                -0.338733           -0.229147           0.0961039           0.134205            -0.50406            -0.695843           
0.100853            7424                -0.354377           -0.251647           0.100501            0.152305            -0.527962           -0.748509           
0.104331            7680                -0.370837           -0.269548           0.104431            0.165427            -0.551735           -0.793836           
0.107808            7936                -0.349947           -0.246859           0.100335            0.147912            -0.524058           -0.736199           
0.111286            8192                -0.333184           -0.22548            0.0942221           0.13263             -0.496277           -0.684559           
0.114764            8448                -0.348054           -0.2347             0.0894704           0.143547            -0.500739           -0.713826           
0.118241            8704                -0.355906           -0.238933           0.0856405           0.149112            -0.501072           -0.728278           
0.121719            8960                -0.355199           -0.263583           0.0836182           0.173393            -0.497631           -0.770002           
0.125197            9216                -0.328226           -0.239893           0.0812523           0.160124            -0.472928           -0.705128           
0.128674            9472                -0.3358             -0.251256           0.0907412           0.162742            -0.497211           -0.731325           
0.132152            9728                -0.327559           -0.223735           0.0832855           0.13932             -0.473855           -0.676433           
0.13563             9984                -0.361007           -0.239672           0.0982327           0.146584            -0.53799            -0.733866           
0.139107            10240               -0.363061           -0.229265           0.0900978           0.137521            -0.522291           -0.717685           
0.142585            10496               -0.341867           -0.211164           0.0825156           0.125029            -0.487429           -0.667514           
0.146063            10752               -0.367082           -0.247625           0.0887997           0.155297            -0.52245            -0.752651           
0.149541            11008               -0.356508           -0.223943           0.0853352           0.131843            -0.504467           -0.702345           
0.153018            11264               -0.357153           -0.246174           0.0980363           0.148694            -0.528569           -0.741775           
0.156496            11520               -0.360861           -0.248274           0.0911879           0.151756            -0.51852            -0.748421           
0.159974            11776               -0.342147           -0.231225           0.0944469           0.134549            -0.506429           -0.702508           
0.163451            12032               -0.324906           -0.230439           0.0963622           0.132485            -0.491224           -0.685548           
0.166929            12288               -0.309812           -0.243997           0.0850821           0.158623            -0.457279           -0.695384           
0.170407            12544               -0.323389           -0.245267           0.0775048           0.162718            -0.459761           -0.709813           
0.173884            12800               -0.324473           -0.253956           0.0997251           0.158404            -0.502246           -0.725926           
0.177362            13056               -0.288037           -0.234867           0.0848833           0.148155            -0.434646           -0.660366           
0.18084             13312               -0.311129           -0.233819           0.0824144           0.147343            -0.4534             -0.679202           
0.184317            13568               -0.281286           -0.197194           0.0813166           0.116186            -0.423104           -0.589934           
0.187795            13824               -0.277457           -0.22223            0.0682492           0.149716            -0.394839           -0.62922            
0.191273            14080               -0.271497           -0.188444           0.0693957           0.117189            -0.391951           -0.565906           
0.19475             14336               -0.272007           -0.187495           0.0754028           0.110755            -0.403215           -0.56486            
0.198228            14592               -0.278591           -0.232896           0.073926            0.154565            -0.405617           -0.648655           
