#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -9.92203e-06        0.000357358         1.53791e-05         -0.000429494        -4.3641e-05         0.000776928         
0.00347769          256                 0.184669            -0.392744           0.00363659          0.436393            0.208245            -0.701928           
0.00695537          512                 0.805271            -4.69039            1.13607             5.97714             -1.88951            -11.3728            
0.0104331           768                 1.95296             -2.30308            -2.30525            3.19891             7.31752             -1.66803            
0.0139107           1024                3.77417             7.13111             1.85387             -9.3173             0.354073            17.7732             
0.0173884           1280                1.40259             25.8465             -0.360428           -29.6369            3.14225             58.8436             
0.0208661           1536                -0.690521           15.0342             -1.22726            -15.9144            2.027               32.2717             
0.0243438           1792                -1.66448            -3.39009            -0.639261           4.91705             -0.539667           -8.80044            
0.0278215           2048                -1.55373            -15.2095            -0.227704           16.7479             -1.41896            -34.4417            
0.0312992           2304                0.0929674           -13.9064            0.489523            15.0264             -1.10411            -30.7199            
0.0347769           2560                0.309612            -6.18452            -0.198971           7.33205             0.75706             -13.361             
0.0382545           2816                0.0898671           -5.3234             -0.464284           6.75122             1.05745             -11.577             
0.0417322           3072                -0.0363285          -7.52527            -0.250231           8.66703             0.464054            -16.5011            
0.0452099           3328                0.0862576           -6.96922            -0.0839873          8.02141             0.161586            -15.3804            
0.0486876           3584                0.254158            -4.3088             -0.0927805          5.13088             0.448667            -9.30926            
0.0521653           3840                0.17359             -2.86707            -0.11585            3.51392             0.424716            -6.18082            
0.055643            4096                0.144197            -2.83957            -0.101141           3.43728             0.362587            -6.11742            
0.0591207           4352                0.132186            -2.78781            -0.0381638          3.25106             0.201686            -6.01403            
0.0625984           4608                0.0315362           -2.27281            -0.0379704          2.65778             0.0908436           -4.96172            
0.066076            4864                -0.00827861         -1.9366             -0.00920285         2.29044             -0.0127073          -4.27049            
0.0695537           5120                -0.0139791          -1.96302            -0.0321887          2.32675             0.0325097           -4.32556            
0.0730314           5376                -0.00112714         -2.31288            -0.0314866          2.71367             0.0407901           -5.08971            
0.0765091           5632                -0.0124254          -2.59928            -0.036963           3.05025             0.0360803           -5.73936            
0.0799868           5888                -0.00318563         -2.77995            -0.054702           3.27387             0.0816589           -6.13243            
0.0834645           6144                0.0159789           -3.00887            -0.0775934          3.5459              0.158888            -6.60389            
0.0869422           6400                0.031616            -3.32322            -0.101438           3.90662             0.233091            -7.26502            
0.0904198           6656                0.0345559           -3.63251            -0.117335           4.27581             0.268322            -7.94469            
0.0938975           6912                0.0319641           -3.87143            -0.121298           4.58215             0.27018             -8.48458            
0.0973752           7168                0.0343218           -4.12466            -0.104327           4.89812             0.229221            -9.05527            
0.100853            7424                0.0299324           -4.34633            -0.0816135          5.1438              0.168877            -9.56096            
0.104331            7680                0.0246349           -4.48351            -0.0644459          5.28512             0.122371            -9.87061            
0.107808            7936                0.0283198           -4.56508            -0.0339175          5.40073             0.0446207           -10.0918            
0.111286            8192                0.0260076           -4.45566            -0.0230757          5.26936             0.0151095           -9.87052            
0.114764            8448                0.0212436           -4.0585             -0.0740643          4.80636             0.136575            -8.96646            
0.118241            8704                0.0240391           -3.82705            -0.101422           4.53714             0.200239            -8.45707            
0.121719            8960                0.0344817           -3.84758            -0.0998287          4.54259             0.205797            -8.49609            
0.125197            9216                0.0496784           -3.92752            -0.116593           4.61803             0.26201             -8.656              
0.128674            9472                0.0705021           -3.88557            -0.12253            4.58884             0.314291            -8.50671            
0.132152            9728                0.0517091           -3.78928            -0.141305           4.46791             0.338908            -8.2966             
0.13563             9984                0.0489748           -3.76659            -0.165851           4.41688             0.38206             -8.26626            
0.139107            10240               0.0580235           -3.84441            -0.173923           4.51557             0.415023            -8.42118            
0.142585            10496               0.061776            -3.80566            -0.182652           4.46084             0.440815            -8.32489            
0.146063            10752               0.0706194           -3.66584            -0.202611           4.31797             0.503926            -7.98318            
0.149541            11008               0.0768484           -3.84361            -0.184265           4.53428             0.476191            -8.3655             
0.153018            11264               0.08895             -3.92053            -0.158488           4.60382             0.42309             -8.54852            
0.156496            11520               0.0464797           -3.75783            -0.1851             4.41878             0.416378            -8.27165            
0.159974            11776               0.0454474           -3.75237            -0.149576           4.48528             0.348902            -8.24114            
0.163451            12032               0.0526999           -3.66162            -0.137675           4.36394             0.34331             -8.01531            
0.166929            12288               0.0388853           -3.75302            -0.0973612          4.41193             0.221099            -8.26815            
0.170407            12544               0.0237285           -3.85076            -0.0825647          4.51758             0.164037            -8.51453            
0.173884            12800               0.0226431           -3.87265            -0.0275617          4.53339             0.0332011           -8.59714            
0.177362            13056               0.0374636           -3.59179            -0.0882148          4.20852             0.215551            -7.87491            
0.18084             13312               0.00303134          -3.36946            -0.0861138          4.01503             0.166898            -7.43706            
0.184317            13568               0.0180849           -3.40773            -0.0615503          4.00783             0.128804            -7.52156            
0.187795            13824               0.0224208           -3.45741            -0.0926431          4.04525             0.203466            -7.62256            
0.191273            14080               0.0265672           -3.15844            -0.109913           3.71981             0.241968            -7.00255            
0.19475             14336               0.0136988           -2.82526            -0.1667             3.35775             0.36037             -6.25046            
0.198228            14592               0.0425036           -3.03142            -0.191669           3.52429             0.460138            -6.64328            
0.201706            14848               0.0302607           -3.0912             -0.166732           3.60469             0.399276            -6.74883            
0.205183            15104               0.0211134           -2.9456             -0.150581           3.4314              0.344747            -6.48332            
0.208661            15360               0.0297061           -2.9813             -0.13117            3.49042             0.3137              -6.54804            
0.212139            15616               0.0112797           -2.82027            -0.187204           3.22937             0.420294            -6.18359            
0.215617            15872               0.0169344           -2.95839            -0.171488           3.45552             0.392687            -6.49216            
0.219094            16128               0.0102685           -3.05065            -0.104071           3.60861             0.216656            -6.78492            
0.222572            16384               0.0183283           -3.17924            -0.130345           3.69072             0.303845            -6.96635            
0.22605             16640               0.0161967           -3.09436            -0.133307           3.62405             0.30734             -6.81223            
0.229527            16896               0.0237275           -3.07801            -0.139107           3.62349             0.323507            -6.77293            
0.233005            17152               0.00917887          -3.11517            -0.154555           3.62802             0.344959            -6.84808            
0.236483            17408               0.0190888           -3.37891            -0.137749           3.93541             0.305475            -7.45616            
0.23996             17664               0.0219174           -3.53431            -0.117951           4.13096             0.265308            -7.79964            
0.243438            17920               0.0318127           -3.31012            -0.148931           3.86561             0.351727            -7.2643             
0.246916            18176               0.0317331           -3.07139            -0.170934           3.608               0.405607            -6.72114            
0.250393            18432               0.0485923           -3.14758            -0.168179           3.73941             0.426464            -6.88911            
0.253871            18688               0.0510713           -3.20452            -0.170946           3.82737             0.423165            -7.03372            
0.257349            18944               0.0556235           -3.13922            -0.238427           3.64309             0.573672            -6.88939            
0.260826            19200               0.0847045           -3.52692            -0.153916           4.15489             0.406215            -7.74687            
0.264304            19456               0.0932986           -3.54923            -0.150906           4.20934             0.43544             -7.72458            
0.267782            19712               0.0774409           -3.39975            -0.196555           4.04558             0.512653            -7.43552            
0.27126             19968               0.0805178           -3.58133            -0.163131           4.26284             0.440642            -7.83255            
0.274737            20224               0.0856074           -3.77675            -0.157662           4.40313             0.416768            -8.2927             
0.278215            20480               0.0819831           -3.61321            -0.202212           4.2914              0.541232            -7.86403            
0.281693            20736               0.105306            -3.6008             -0.164277           4.25826             0.467272            -7.89001            
0.28517             20992               0.116098            -3.72261            -0.213746           4.36023             0.600224            -8.07554            
0.288648            21248               0.135407            -3.58025            -0.177195           4.26885             0.546902            -7.77786            
0.292126            21504               0.114659            -3.59654            -0.166439           4.32352             0.488563            -7.84424            
0.295603            21760               0.135702            -3.54431            -0.220432           4.22195             0.643232            -7.67012            
0.299081            22016               0.172594            -3.76508            -0.181599           4.45052             0.595172            -8.14126            
0.302559            22272               0.158533            -3.87803            -0.182874           4.56738             0.579896            -8.41893            
0.306036            22528               0.182963            -3.69416            -0.212952           4.38675             0.666196            -8.04119            
0.309514            22784               0.188659            -3.71803            -0.204308           4.52079             0.666683            -8.05177            
0.312992            23040               0.197835            -3.85518            -0.19078            4.66682             0.6591              -8.29084            
0.316469            23296               0.172276            -3.86301            -0.221562           4.62208             0.685619            -8.36466            
0.319947            23552               0.190624            -3.95672            -0.214656           4.7544              0.690443            -8.56356            
0.323425            23808               0.185258            -4.01017            -0.211517           4.85507             0.677186            -8.69403            
0.326903            24064               0.179328            -3.81641            -0.231127           4.62339             0.711716            -8.29388            
0.33038             24320               0.171441            -4.00397            -0.210133           4.78119             0.656667            -8.68726            
0.333858            24576               0.170443            -4.14748            -0.226914           4.85083             0.701786            -8.96094            
0.337336            24832               0.152772            -4.15165            -0.184757           4.89413             0.566038            -9.03852            
0.340813            25088               0.14714             -3.87385            -0.217024           4.55961             0.649225            -8.40194            
0.344291            25344               0.128351            -4.01396            -0.200155           4.7508              0.582499            -8.74399            
0.347769            25600               0.127608            -4.01313            -0.139489           4.83379             0.449866            -8.75439            
0.351246            25856               0.136785            -3.80449            -0.136698           4.53666             0.444947            -8.32507            
0.354724            26112               0.140203            -3.71619            -0.192845           4.38262             0.603445            -8.01058            
0.358202            26368               0.152924            -3.67019            -0.134057           4.40551             0.473943            -7.9833             
0.361679            26624               0.125409            -3.29962            -0.194348           3.91307             0.587795            -7.14225            
