#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -0.000112615        3.12544e-05         6.91235e-05         -9.68324e-05        -0.000299901        3.96482e-06         
0.00347769          256                 -0.267847           -57.832             -3.43372            52.8524             12.9742             -216.127            
0.00695537          512                 18.3325             -42.5824            -22.7967            57.1866             88.4251             -126.857            
0.0104331           768                 22.171              26.6031             -14.5664            -7.39139            61.7978             113.769             
0.0139107           1024                -4.03903            48.4004             6.94039             -47.2473            -25.9313            164.185             
0.0173884           1280                -8.756              -17.0227            8.49573             5.51067             -34.0194            -62.7793            
0.0208661           1536                3.65675             -30.8705            -4.11273            29.5489             16.4689             -109.143            
0.0243438           1792                5.22585             -7.72728            -5.00503            11.4732             19.9546             -21.7455            
0.0278215           2048                0.288467            3.08076             -1.26715            -1.54431            4.3777              14.4327             
0.0312992           2304                1.97034             -4.53036            -0.323707           3.95408             2.43155             -16.7472            
0.0347769           2560                1.49335             -10.6058            -0.552159           9.35548             2.94686             -37.6877            
0.0382545           2816                0.438365            -5.45984            -0.384733           4.95609             1.66402             -18.5883            
0.0417322           3072                0.56566             -0.554771           -0.734868           1.07114             2.8319              -0.267939           
0.0452099           3328                2.72605             -1.59742            -2.08284            3.3035              8.68526             -3.53797            
0.0486876           3584                2.05732             -2.85085            -1.88876            4.12288             7.68412             -8.23438            
0.0521653           3840                1.43529             -2.27496            -1.40793            3.12326             5.67715             -6.26243            
0.055643            4096                1.6098              -1.14456            -1.764              2.44592             7.01764             -2.56303            
0.0591207           4352                1.54236             -1.99538            -2.06504            3.47737             8.04566             -5.82498            
0.0625984           4608                1.1641              -2.8682             -1.68434            3.98123             6.58301             -8.9579             
0.066076            4864                0.857239            -3.45797            -0.935874           3.88413             3.84592             -11.2441            
0.0695537           5120                1.16732             -5.93667            -0.443028           5.55894             2.29922             -20.2206            
0.0730314           5376                1.57375             -7.44643            -0.127395           6.46996             1.46195             -25.4394            
0.0765091           5632                1.09472             -7.0584             -0.52216            6.45282             2.51924             -23.7577            
0.0799868           5888                0.963844            -6.5019             -1.21906            6.74336             4.82997             -21.4694            
0.0834645           6144                0.50166             -6.51991            -1.88678            7.52647             6.82255             -22.0421            
0.0869422           6400                0.531642            -7.12948            -2.03414            8.10123             7.36586             -24.5458            
0.0904198           6656                1.56267             -8.3602             -0.933915           7.94731             4.13554             -28.5392            
0.0938975           6912                1.86883             -6.91406            -0.476859           6.19775             2.76403             -23.0736            
0.0973752           7168                1.91417             -7.05047            -0.0709342          5.92082             1.39553             -23.3222            
0.100853            7424                1.31061             -5.49754            0.0706996           4.42878             0.438354            -17.7264            
0.104331            7680                1.39983             -5.93624            -0.0223277          4.77706             0.827081            -19.0902            
0.107808            7936                1.54168             -5.58166            -0.274711           4.75208             1.78473             -17.1258            
0.111286            8192                1.52185             -5.75929            -1.02544            5.60494             4.45724             -17.7639            
0.114764            8448                1.57959             -6.25769            -1.20474            6.20987             5.08631             -19.8429            
0.118241            8704                1.37042             -5.29153            -1.25579            5.46627             5.11183             -16.5796            
0.121719            8960                1.61517             -6.4206             -1.01707            6.29372             4.38683             -20.3689            
0.125197            9216                1.80653             -6.45904            -0.875486           6.19939             3.97195             -19.962             
0.128674            9472                1.44041             -5.87449            -1.46441            6.34316             5.80774             -17.9104            
0.132152            9728                1.20842             -5.24163            -1.80821            6.22731             6.82447             -15.6467            
0.13563             9984                1.23181             -5.45417            -1.94079            6.52653             7.4084              -16.6273            
0.139107            10240               1.4576              -6.00278            -1.94916            6.98293             7.68703             -18.6014            
0.142585            10496               0.934336            -5.08117            -1.98857            6.32032             7.51358             -15.6894            
0.146063            10752               0.788776            -5.62318            -2.0071             6.85179             7.45706             -17.6874            
0.149541            11008               0.802695            -6.24062            -1.93639            7.32357             7.22922             -20.0971            
0.153018            11264               0.775027            -6.84808            -2.00251            7.90317             7.49503             -22.5611            
0.156496            11520               0.480026            -6.986              -1.82234            7.86192             6.71224             -23.4456            
0.159974            11776               0.16861             -7.09165            -1.73002            7.86154             6.20231             -24.3382            
0.163451            12032               -0.0337551          -8.26019            -1.35265            8.47476             4.79368             -28.8691            
0.166929            12288               0.0288208           -8.94074            -1.08243            8.75225             3.89847             -31.4284            
0.170407            12544               0.0830799           -9.59765            -1.05225            9.2651              3.83977             -33.8646            
0.173884            12800               0.17315             -9.51816            -1.12021            9.29618             4.1379              -33.6321            
0.177362            13056               0.188238            -9.56488            -0.962059           9.20767             3.62027             -34.1217            
0.18084             13312               0.071299            -10.0741            -0.873659           9.53155             3.2294              -36.0562            
0.184317            13568               0.0941766           -9.8965             -0.736928           9.22422             2.81711             -35.4512            
0.187795            13824               0.231451            -9.2887             -0.86453            8.80666             3.36538             -33.3632            
0.191273            14080               0.285982            -8.83143            -1.01488            8.55308             3.90928             -31.8533            
0.19475             14336               0.101745            -8.68361            -1.11665            8.52788             4.14051             -31.6321            
0.198228            14592               -0.125077           -8.64333            -1.06173            8.46408             3.81096             -31.6933            
0.201706            14848               -0.259257           -9.21494            -0.900121           8.83739             3.16928             -33.6999            
0.205183            15104               -0.354339           -9.33237            -0.723439           8.79095             2.51027             -34.0369            
0.208661            15360               0.0416914           -9.47474            -0.862308           9.06469             3.14768             -33.9835            
0.212139            15616               0.0531725           -9.84518            -0.986417           9.5517              3.55136             -35.2587            
0.215617            15872               -0.272978           -10.5934            -1.00466            10.2389             3.41603             -38.1238            
0.219094            16128               -0.382402           -11.4105            -0.821979           10.7091             2.75481             -41.1001            
0.222572            16384               -0.270183           -11.5164            -0.782568           10.7554             2.7144              -41.5267            
0.22605             16640               -0.171751           -12.5419            -0.690213           11.5434             2.40434             -45.18              
0.229527            16896               0.0127235           -12.9285            -0.81103            11.9892             2.91542             -46.2194            
0.233005            17152               0.0921889           -11.973             -0.974332           11.2916             3.54384             -42.8497            
0.236483            17408               0.172929            -11.5846            -0.844927           10.8198             3.1499              -41.6197            
0.23996             17664               -0.0907252          -10.6886            -0.704716           9.83652             2.51339             -38.5563            
0.243438            17920               0.0469099           -10.4933            -0.795305           9.67828             2.93749             -37.5516            
0.246916            18176               0.384134            -10.2784            -0.89351            9.58397             3.47113             -36.4446            
0.250393            18432               0.780085            -10.1146            -0.946839           9.4462              3.86853             -35.5378            
0.253871            18688               0.793973            -10.8539            -0.927              10.0178             3.77141             -37.8936            
0.257349            18944               1.12874             -11.575             -0.964373           10.5566             4.11773             -39.784             
0.260826            19200               1.15616             -10.0395            -0.881027           9.0669              3.87868             -34.4563            
0.264304            19456               1.09147             -9.50074            -1.09391            8.83572             4.50894             -32.5711            
0.267782            19712               0.966551            -8.36217            -0.977373           7.79648             4.06148             -28.8524            
0.27126             19968               0.735265            -8.86632            -0.789092           8.13309             3.25947             -30.8596            
0.274737            20224               0.800198            -8.20973            -0.357843           7.14724             1.72839             -28.3711            
0.278215            20480               1.36425             -6.30922            -0.449586           5.54753             2.32824             -21.0408            
0.281693            20736               0.962289            -6.39144            -0.418238           5.58593             1.98546             -21.3575            
0.28517             20992               0.787113            -4.50074            -0.51456            3.97475             2.22906             -14.5077            
0.288648            21248               0.959666            -3.22786            -0.772471           3.12424             3.2591              -9.87158            
0.292126            21504               1.12841             -2.90543            -0.597352           2.69159             2.69564             -8.47962            
0.295603            21760               1.08677             -2.44215            -0.709429           2.41319             3.06448             -6.93063            
0.299081            22016               1.32097             -2.50199            -0.668113           2.46061             3.05018             -6.80745            
0.302559            22272               1.4998              -3.09112            -0.88383            3.19473             3.88891             -8.52084            
0.306036            22528               1.37951             -3.971              -0.808562           3.91461             3.53303             -11.4183            
0.309514            22784               1.39601             -3.55983            -1.02954            3.76811             4.28939             -9.85868            
0.312992            23040               1.51141             -2.81175            -1.16755            3.26814             4.84085             -7.21654            
0.316469            23296               1.85235             -1.68185            -1.4613             2.50015             6.02521             -3.14315            
0.319947            23552               2.06127             -1.00306            -1.41929            1.9048              6.02804             -1.00694            
0.323425            23808               1.80857             -1.12901            -1.29841            1.97092             5.47584             -1.87081            
0.326903            24064               1.61555             -2.97578            -1.33642            3.62588             5.54807             -8.40341            
0.33038             24320               2.07435             -3.90026            -0.751023           3.8114              3.7953              -11.2483            
0.333858            24576               1.98409             -5.20887            -0.787139           4.99059             3.92772             -15.9684            
0.337336            24832               1.54809             -5.71594            -1.00849            5.65709             4.48554             -18.0362            
0.340813            25088               1.60293             -7.30375            -1.25386            7.23345             5.43971             -23.8064            
0.344291            25344               1.81953             -8.11204            -1.09875            7.69961             4.95157             -26.6278            
0.347769            25600               2.27418             -8.99411            -0.881272           8.20997             4.46074             -29.3567            
0.351246            25856               1.87902             -8.57873            -1.12514            8.09828             4.99483             -28.2879            
0.354724            26112               1.85816             -8.25193            -1.03565            7.70835             4.72244             -27.4758            
0.358202            26368               1.81348             -8.12761            -1.10057            7.6573              4.91756             -27.0643            
0.361679            26624               1.95267             -9.61305            -0.724799           8.46228             3.71962             -32.6008            
0.365157            26880               1.26815             -9.91975            -0.473949           8.43671             2.43322             -34.0494            
0.368635            27136               1.33455             -10.9022            -0.60992            9.33737             3.03531             -37.4326            
0.372112            27392               1.5694              -9.5667             -0.715516           8.35257             3.57873             -32.3687            
0.37559             27648               1.03268             -9.1097             -1.11358            8.44954             4.629               -31.1156            
0.379068            27904               0.77754             -9.18877            -1.21964            8.61272             4.82806             -31.6603            
0.382546            28160               1.0228              -9.78737            -1.13331            9.0048              4.64701             -33.483             
0.386023            28416               0.965602            -9.68546            -0.903084           8.72793             3.84909             -32.9796            
0.389501            28672               1.00178             -9.55875            -1.08081            8.86271             4.36851             -32.7486            
0.392979            28928               0.922531            -9.33178            -1.02924            8.60094             4.14304             -32.2038            
0.396456            29184               1.13449             -9.70374            -1.09916            9.06513             4.49412             -33.1274            
0.399934            29440               1.04179             -10.5936            -1.15641            9.95059             4.66908             -36.1983            
0.403412            29696               0.933149            -11.4837            -0.876941           10.4647             3.62373             -39.6271            
0.406889            29952               1.39448             -11.69              -0.709794           10.4886             3.28942             -40.2719            
0.410367            30208               1.46603             -10.3689            -0.858449           9.49834             3.80848             -35.723             
0.413845            30464               1.35622             -9.80198            -0.873744           8.99124             3.84912             -33.8752            
0.417322            30720               1.18226             -8.90144            -0.938783           8.36626             4.01098             -30.7482            
0.4208              30976               0.675398            -8.97585            -1.03135            8.50827             4.06468             -31.5686            
0.424278            31232               0.75357             -8.86111            -1.0575             8.38243             4.19278             -31.2068            
0.427755            31488               0.778507            -8.38145            -0.89843            7.80742             3.64489             -29.3287            
0.431233            31744               0.858062            -8.57723            -0.786674           7.84619             3.26532             -30.097             
0.434711            32000               1.39797             -9.66446            -0.695297           8.64381             3.23525             -33.2454            
0.438188            32256               1.17056             -9.90601            -0.703158           8.8467              3.13324             -34.4264            
0.441666            32512               1.24817             -11.0588            -0.336312           9.3374              1.92606             -38.4991            
0.445144            32768               1.39147             -10.4223            -0.418539           8.88831             2.25526             -35.9708            
0.448622            33024               0.629017            -8.38025            -0.548233           7.32931             2.31021             -29.1935            
0.452099            33280               0.829135            -7.81128            -0.827335           7.13482             3.34512             -26.9988            
0.455577            33536               0.985827            -8.12848            -0.820356           7.39928             3.42355             -27.7029            
0.459055            33792               1.18238             -7.72972            -0.703428           6.93844             3.1559              -26.2646            
0.462532            34048               1.12241             -6.63999            -0.501622           5.75708             2.35835             -22.3204            
0.46601             34304               1.56435             -5.82014            -1.06097            5.67388             4.5154              -19.1179            
0.469488            34560               1.29333             -5.97904            -1.18673            5.94326             4.89853             -19.9678            
0.472965            34816               1.27549             -6.99569            -1.05324            6.68985             4.41615             -23.6813            
0.476443            35072               1.29948             -6.77673            -0.904647           6.30053             3.92599             -22.9461            
0.479921            35328               1.32672             -6.06725            -1.14358            5.93861             4.79928             -20.595             
0.483398            35584               0.983717            -6.97022            -1.14645            6.80339             4.64219             -24.1619            
0.486876            35840               1.09175             -8.28897            -0.992059           7.8089              4.17876             -28.8587            
0.490354            36096               1.40436             -8.8328             -0.811417           8.03857             3.67488             -30.6562            
0.493831            36352               1.49768             -9.14921            -0.613828           8.1134              3.03339             -31.5197            
0.497309            36608               1.33671             -9.36959            -0.912633           8.59371             3.95874             -32.211             
0.500787            36864               1.46123             -9.63781            -0.959487           8.84025             4.13188             -33.1526            
0.504265            37120               1.70563             -6.68081            -1.24473            6.47488             5.27705             -22.4951            
0.507742            37376               1.96399             -6.71779            -1.31739            6.62863             5.68245             -22.2237            
0.51122             37632               1.57981             -8.42966            -1.24447            8.04177             5.21911             -28.074             
0.514698            37888               1.14742             -6.85629            -1.17275            6.59613             4.73225             -22.7642            
0.518175            38144               0.988516            -7.84033            -1.16468            7.44976             4.71233             -26.8301            
0.521653            38400               1.19615             -10.5006            -0.628759           9.30615             2.94228             -35.8383            
0.525131            38656               1.11266             -11.2909            -0.349042           9.76117             1.91226             -38.5639            
