#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   7.75572e-05         -5.32482e-05        -2.4309e-05         7.06224e-05         0.000146014         -8.5639e-05         
0.00347769          256                 0.02925             0.0707257           -0.0093019          -0.0717088          0.0535178           0.201357            
0.00695537          512                 0.0144346           0.381802            0.0121497           -0.421693           -0.0261253          0.992618            
0.0104331           768                 -0.164269           1.45186             -0.0438908          -1.53612            -0.0486214          3.62262             
0.0139107           1024                8.74294             6.59421             -3.26911            -5.22138            17.7642             22.6714             
0.0173884           1280                11.4327             5.28788             -4.20952            -3.27749            23.1064             21.0798             
0.0208661           1536                1.96809             -2.42794            -0.549612           2.91524             3.51913             -4.94255            
0.0243438           1792                -6.07936            -4.11392            2.26438             3.12415             -12.3392            -14.5522            
0.0278215           2048                -6.31794            -1.0061             2.18814             -0.168466           -12.3994            -6.72847            
0.0312992           2304                -2.17545            1.48585             0.649831            -1.96479            -4.00329            2.38867             
0.0347769           2560                -0.916791           1.63763             0.216687            -1.87842            -1.54297            3.60273             
0.0382545           2816                -2.01953            0.993137            0.652245            -1.43778            -3.85137            1.22434             
0.0417322           3072                -1.87894            0.70963             0.601478            -1.10379            -3.56365            0.589066            
0.0452099           3328                -1.54565            0.421895            0.501639            -0.737962           -2.94919            0.0690918           
0.0486876           3584                -0.823197           0.696999            0.242644            -0.886651           -1.50674            1.24992             
0.0521653           3840                -0.437436           0.928673            0.106701            -1.05755            -0.746659           2.09742             
0.055643            4096                -0.586671           0.695837            0.168667            -0.84286            -1.0657             1.40161             
0.0591207           4352                -0.550054           0.444897            0.166165            -0.572388           -1.01894            0.781497            
0.0625984           4608                -0.502755           0.275697            0.156016            -0.384921           -0.941736           0.378082            
0.066076            4864                -0.503114           0.187938            0.161349            -0.293944           -0.955774           0.152554            
0.0695537           5120                -0.538337           0.195355            0.172815            -0.308147           -1.02322            0.148381            
0.0730314           5376                -0.593264           0.229898            0.189579            -0.354369           -1.12555            0.200905            
0.0765091           5632                -0.643915           0.259875            0.20526             -0.395136           -1.22041            0.244513            
0.0799868           5888                -0.69784            0.305686            0.222276            -0.453772           -1.32244            0.326653            
0.0834645           6144                -0.769186           0.348934            0.244991            -0.512888           -1.45728            0.39079             
0.0869422           6400                -0.820459           0.395828            0.259822            -0.571395           -1.55039            0.477468            
0.0904198           6656                -0.889753           0.436591            0.281497            -0.627121           -1.68084            0.536525            
0.0938975           6912                -0.953595           0.459356            0.302418            -0.663243           -1.80332            0.552977            
0.0973752           7168                -1.01035            0.469269            0.321035            -0.684227           -1.91216            0.541088            
0.100853            7424                -1.05414            0.463147            0.336629            -0.686438           -1.99934            0.496583            
0.104331            7680                -1.06663            0.446824            0.341217            -0.671475           -2.02435            0.446464            
0.107808            7936                -1.09735            0.426602            0.353251            -0.656619           -2.08837            0.374354            
0.111286            8192                -1.07712            0.416122            0.347168            -0.641954           -2.05092            0.360739            
0.114764            8448                -1.002              0.414132            0.321697            -0.625449           -1.90463            0.404964            
0.118241            8704                -0.970181           0.421516            0.310997            -0.627296           -1.84304            0.444794            
0.121719            8960                -0.97343            0.424401            0.31304             -0.631609           -1.85196            0.45006             
0.125197            9216                -0.960615           0.438449            0.30747             -0.6435             -1.82364            0.49455             
0.128674            9472                -0.937024           0.447205            0.299519            -0.648357           -1.7781             0.532502            
0.132152            9728                -0.940358           0.447659            0.30093             -0.649646           -1.7853             0.531472            
0.13563             9984                -0.954621           0.460454            0.3054              -0.665924           -1.81212            0.55496             
0.139107            10240               -0.989822           0.466151            0.31789             -0.679142           -1.88209            0.546469            
0.142585            10496               -0.992086           0.47712             0.318171            -0.691072           -1.88517            0.573133            
0.146063            10752               -0.972172           0.500107            0.310369            -0.711326           -1.84362            0.645227            
0.149541            11008               -0.975823           0.506406            0.311673            -0.718697           -1.85114            0.65897             
0.153018            11264               -1.00337            0.502974            0.321902            -0.720877           -1.90697            0.632076            
0.156496            11520               -0.980973           0.47441             0.315036            -0.686311           -1.86504            0.573417            
0.159974            11776               -0.975149           0.443691            0.315601            -0.65359            -1.86067            0.498319            
0.163451            12032               -0.957908           0.423378            0.310035            -0.628726           -1.82737            0.45754             
0.166929            12288               -0.949333           0.369308            0.309255            -0.570317           -1.81588            0.324342            
0.170407            12544               -0.963163           0.317165            0.316234            -0.518316           -1.84848            0.181385            
0.173884            12800               -0.940271           0.282474            0.309987            -0.477635           -1.80761            0.107398            
0.177362            13056               -0.906698           0.27332             0.299052            -0.461646           -1.74348            0.105941            
0.18084             13312               -0.905517           0.2552              0.300435            -0.443044           -1.74602            0.0601664           
0.184317            13568               -0.922511           0.24281             0.307501            -0.433706           -1.78255            0.0171722           
0.187795            13824               -0.953899           0.230959            0.318641            -0.427424           -1.84458            -0.0338327          
0.191273            14080               -0.899846           0.258434            0.299276            -0.44593            -1.73685            0.0722046           
0.19475             14336               -0.89904            0.240867            0.301709            -0.428531           -1.74277            0.0275642           
0.198228            14592               -0.903991           0.251389            0.301564            -0.439784           -1.74703            0.0514035           
0.201706            14848               -0.89559            0.2503              0.299029            -0.437106           -1.73181            0.0540623           
0.205183            15104               -0.894202           0.226436            0.301332            -0.412977           -1.73662            -0.00625519         
0.208661            15360               -0.870741           0.222324            0.292439            -0.40356            -1.68816            -0.00138701         
0.212139            15616               -0.878231           0.18685             0.297209            -0.368293           -1.70855            -0.0973676          
0.215617            15872               -0.905754           0.199854            0.306165            -0.387448           -1.76116            -0.0820059          
0.219094            16128               -0.877882           0.217669            0.296505            -0.401101           -1.70673            -0.0179691          
0.222572            16384               -0.871295           0.219176            0.293107            -0.400825           -1.69063            -0.00975518         
0.22605             16640               -0.904331           0.204874            0.305853            -0.39291            -1.7589             -0.0681151          
0.229527            16896               -0.89388            0.208026            0.302624            -0.394622           -1.73913            -0.0531267          
0.233005            17152               -0.911722           0.203757            0.308834            -0.393483           -1.77439            -0.0758498          
0.236483            17408               -0.944249           0.189528            0.321758            -0.385595           -1.84285            -0.133728           
0.23996             17664               -0.978              0.186761            0.333637            -0.38936            -1.90974            -0.162986           
0.243438            17920               -0.920279           0.233745            0.311686            -0.427304           -1.79129            -0.0044736          
0.246916            18176               -0.914236           0.216005            0.31123             -0.408259           -1.7835             -0.0460248          
0.250393            18432               -0.880061           0.235909            0.297805            -0.421858           -1.71219            0.0275072           
0.253871            18688               -0.908904           0.237114            0.308992            -0.429495           -1.77238            0.0115843           
0.257349            18944               -0.915517           0.275374            0.309663            -0.470903           -1.78114            0.105515            
0.260826            19200               -0.917754           0.304659            0.310273            -0.502481           -1.78592            0.179143            
0.264304            19456               -0.905565           0.331033            0.30511             -0.527944           -1.75939            0.254873            
0.267782            19712               -0.92941            0.323253            0.313804            -0.524331           -1.80766            0.21916             
0.27126             19968               -0.966348           0.311811            0.328677            -0.520363           -1.88629            0.165441            
0.274737            20224               -0.955744           0.316928            0.322287            -0.522346           -1.85738            0.185638            
0.278215            20480               -0.955188           0.32985             0.321917            -0.536017           -1.8557             0.219163            
0.281693            20736               -0.919457           0.354041            0.309422            -0.554797           -1.78567            0.304701            
0.28517             20992               -0.933152           0.374801            0.311787            -0.578181           -1.80618            0.348975            
0.288648            21248               -0.883126           0.365857            0.296637            -0.560267           -1.71382            0.358914            
0.292126            21504               -0.920147           0.347156            0.309862            -0.54738            -1.78773            0.286468            
0.295603            21760               -0.875784           0.410365            0.29073             -0.604487           -1.6903             0.477977            
0.299081            22016               -0.860967           0.433149            0.285404            -0.625791           -1.66112            0.546145            
0.302559            22272               -0.895299           0.423845            0.297489            -0.622667           -1.72918            0.499709            
0.306036            22528               -0.881107           0.474305            0.289303            -0.672142           -1.69261            0.638643            
0.309514            22784               -0.878475           0.50171             0.288227            -0.700892           -1.68765            0.710679            
0.312992            23040               -0.886793           0.521086            0.290411            -0.723045           -1.70201            0.755003            
0.316469            23296               -0.939083           0.52347             0.306937            -0.73486            -1.80028            0.726782            
0.319947            23552               -0.955549           0.541307            0.312343            -0.757101           -1.83207            0.761756            
0.323425            23808               -0.957109           0.547534            0.312517            -0.763679           -1.8347             0.776659            
0.326903            24064               -0.965334           0.551324            0.315474            -0.769558           -1.85103            0.781026            
0.33038             24320               -0.968787           0.538819            0.315969            -0.756387           -1.85552            0.746668            
0.333858            24576               -0.997996           0.496446            0.327617            -0.717465           -1.91679            0.618709            
0.337336            24832               -0.996666           0.494155            0.327413            -0.715011           -1.91481            0.613711            
0.340813            25088               -0.981123           0.483909            0.323368            -0.701635           -1.88793            0.597554            
0.344291            25344               -0.972603           0.447013            0.321354            -0.660972           -1.87336            0.508471            
