#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -5.39097e-05        0.000349586         0.000130971         -0.000389053        -0.000490372        0.00115079          
0.00347769          256                 -367.148            -210.544            -253.663            311.104             745.264             -1097.94            
0.00695537          512                 -0.354134           -234.196            -386.522            471.066             1325.2              -824.22             
0.0104331           768                 60.6723             109.411             172.648             -187.3              -561.401            437.431             
0.0139107           1024                66.7634             120.152             262.977             -306.525            -883.688            487.796             
0.0173884           1280                68.8272             17.7607             15.392              -36.1165            -35.0012            129.849             
0.0208661           1536                -130.638            -67.198             -156.11             171.485             489.64              -359.856            
0.0243438           1792                -5.34665            -14.3932            -41.8184            49.9676             151.541             -58.2437            
0.0278215           2048                89.946              1.3978              22.1491             -19.1677            -42.4626            91.9469             
0.0312992           2304                -49.4861            -10.4744            -3.81009            7.50442             -5.5579             -84.1829            
0.0347769           2560                -46.1459            -38.0205            -55.3506            67.2764             172.856             -176.67             
0.0382545           2816                12.7948             -16.3994            -24.5371            30.1357             89.2409             -44.0457            
0.0417322           3072                24.1837             4.7709              13.0035             -12.85              -34.0994            39.2642             
0.0452099           3328                -10.9027            -6.26817            -2.49645            6.3225              5.77876             -32.9277            
0.0486876           3584                -2.10663            -10.7836            -9.551              14.842              32.5697             -39.5961            
0.0521653           3840                15.3873             -3.43108            -0.139515           2.84744             6.64259             3.05244             
0.055643            4096                7.2169              -1.16868            3.58625             -1.77613            -8.80698            2.69937             
0.0591207           4352                -1.44538            -5.88483            -5.28183            8.31075             18.2542             -21.8667            
0.0625984           4608                -0.774788           -5.41651            -7.24868            9.88464             25.5963             -19.5883            
0.066076            4864                -0.0544412          -2.82019            -5.89173            7.21899             21.2278             -10.0178            
0.0695537           5120                1.73243             -1.62726            -2.01645            2.8153              8.22022             -4.26731            
0.0730314           5376                3.46152             -1.94704            0.289689            0.668985            0.609333            -3.67423            
0.0765091           5632                4.53467             -4.70591            -4.67596            6.83563             18.1242             -12.2161            
0.0799868           5888                3.7515              -5.74913            -7.62911            10.2121             27.9329             -16.5107            
0.0834645           6144                -0.548313           -7.41682            -10.4415            13.7319             35.6585             -26.3149            
0.0869422           6400                -3.56028            -8.73482            -11.6569            15.6139             38.5359             -33.6947            
0.0904198           6656                -1.71167            -6.62612            -8.71466            11.5729             29.4182             -24.5143            
0.0938975           6912                5.45118             -3.56433            -0.994537           2.92756             6.04697             -7.23485            
0.0973752           7168                8.41901             -2.52686            -0.314856           1.69332             4.97338             -0.796043           
0.100853            7424                10.6811             -3.44438            -1.92136            3.66286             11.156              -1.72757            
0.104331            7680                9.75056             -5.38242            -6.59832            8.94338             26.7703             -9.16202            
0.107808            7936                10.6839             -6.07709            -9.15442            11.6709             35.9651             -10.6555            
0.111286            8192                9.63766             -7.58087            -12.0457            15.3101             45.2173             -16.6515            
0.114764            8448                11.4577             -7.14359            -12.2558            15.2791             46.719              -13.1513            
0.118241            8704                12.693              -8.3036             -11.9688            15.6975             46.2184             -16.0498            
0.121719            8960                12.4048             -9.57435            -15.9519            19.8741             59.835              -20.6062            
0.125197            9216                16.3701             -9.46236            -15.3694            19.3858             59.4706             -16.4902            
0.128674            9472                15.351              -10.9287            -17.3942            22.2371             65.9609             -22.6154            
0.132152            9728                16.0166             -12.6491            -18.4274            24.3613             69.6547             -28.0754            
0.13563             9984                15.0773             -13.7548            -19.0069            25.6256             71.2111             -32.8256            
0.139107            10240               16.2733             -12.4101            -17.884             23.9588             68.1025             -27.0827            
0.142585            10496               13.9627             -13.1821            -19.8487            26.1919             74.0253             -32.0183            
0.146063            10752               11.975              -14.4045            -22.691             29.4473             83.0172             -38.1479            
0.149541            11008               9.37013             -14.7897            -23.4339            30.3478             84.5151             -41.9262            
0.153018            11264               7.57936             -14.7914            -23.9963            30.8337             85.6356             -43.5275            
