#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   504.981             41.5856             -3.12793            -15.63              4662.71             494.842             
0.00347769          256                 471.774             -46.0219            -101.279            139.555             546.565             254.323             
0.00695537          512                 73.5346             177.005             73.2742             -130.444            -217.98             664.509             
0.0104331           768                 -136.249            13.8046             -13.7043            -7.29297            -2.3564             -68.2136            
0.0139107           1024                144.767             63.5414             -39.7247            9.58541             201.205             356.985             
0.0173884           1280                -75.5703            -155.161            -45.0427            107.855             129.794             -609.685            
0.0208661           1536                -30.6349            59.7498             -0.318591           -23.5409            -6.82932            176.085             
0.0243438           1792                24.4052             21.0046             -6.22343            -2.78107            35.4747             92.0222             
0.0278215           2048                4.78518             -34.5441            -6.7576             19.077              29.2552             -116.425            
0.0312992           2304                10.6195             -15.0156            -10.7161            16.1126             45.186              -46.1013            
0.0347769           2560                -1.27434            -5.75534            -10.485             12.6478             39.597              -25.2915            
0.0382545           2816                10.8235             -9.65243            -9.50255            11.806              41.1141             -27.0814            
0.0417322           3072                3.8124              -7.95246            -8.33048            9.17637             34.1598             -26.6743            
0.0452099           3328                -2.31227            4.74244             -6.33385            3.00741             24.6717             12.4168             
0.0486876           3584                3.44242             -8.07536            -5.7922             7.12504             25.0252             -25.6054            
0.0521653           3840                4.05812             -20.181             -5.36348            11.4574             24.0209             -66.5441            
0.055643            4096                8.67807             -22.7169            -7.79668            14.43               34.3733             -70.4606            
0.0591207           4352                15.9195             -24.4054            -8.94079            16.0371             41.1346             -69.5               
0.0625984           4608                19.018              -26.3197            -10.6159            17.9425             48.0612             -73.4857            
0.066076            4864                18.8038             -26.3854            -10.7928            17.9445             48.5141             -75.312             
0.0695537           5120                10.9968             -29.9491            -11.0352            19.337              46.1469             -96.6905            
0.0730314           5376                3.38839             -27.6804            -12.2553            19.6856             47.1895             -97.3884            
0.0765091           5632                1.81368             -24.8238            -9.54985            17.0357             37.3765             -90.7986            
0.0799868           5888                2.12336             -22.2691            -10.1194            16.6883             39.3841             -82.0957            
0.0834645           6144                7.30966             -16.8683            -8.82745            13.6389             36.8168             -57.9876            
0.0869422           6400                10.0524             -9.63207            -8.6396             10.5598             37.2402             -28.2779            
0.0904198           6656                7.9463              -7.85094            -10.3148            11.2824             42.1651             -22.4652            
0.0938975           6912                2.71698             -11.8218            -11.6001            13.7314             44.6318             -40.4232            
0.0973752           7168                0.252958            -15.5958            -9.73223            13.2619             37.4459             -55.6488            
