#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   0.000175951         -4.4153e-05         -7.22654e-05        3.3547e-05          0.000397435         -0.000148934        
0.00347769          256                 -0.253823           0.0648687           0.109313            -0.0494238          -0.597593           0.218565            
0.00695537          512                 -0.62461            0.106345            0.385026            -0.0528099          -1.86194            0.410608            
0.0104331           768                 -1.38378            0.364476            0.525225            -0.285025           -2.97647            1.21053             
0.0139107           1024                8.26204             -2.13438            -3.32764            1.66318             18.4178             -7.14996            
0.0173884           1280                15.9179             -3.94552            -6.76348            2.97051             36.7532             -13.3688            
0.0208661           1536                4.28154             -1.12387            -1.62948            0.882933            9.22589             -3.73917            
0.0243438           1792                -6.62957            1.68863             2.69164             -1.29845            -14.8514            5.6733              
0.0278215           2048                -9.94569            2.52421             4.0987              -1.92903            -22.4961            8.49167             
0.0312992           2304                -4.47172            1.10749             1.85869             -0.834127           -10.173             3.74809             
0.0347769           2560                -2.84196            0.726882            1.10386             -0.565083           -6.20121            2.43648             
0.0382545           2816                -4.3623             1.09608             1.81368             -0.833453           -9.9228             3.6983              
0.0417322           3072                -3.65227            0.924222            1.50434             -0.706146           -8.25964            3.11192             
0.0452099           3328                -2.81943            0.716262            1.15788             -0.549063           -6.36639            2.40944             
0.0486876           3584                -1.88568            0.473196            0.775841            -0.360108           -4.26204            1.59634             
0.0521653           3840                -1.5976             0.401145            0.664557            -0.304889           -3.63545            1.35382             
0.055643            4096                -1.53194            0.385456            0.634486            -0.293377           -3.47546            1.2999              
0.0591207           4352                -1.25693            0.315925            0.520663            -0.24025            -2.8518             1.06562             
0.0625984           4608                -1.05307            0.266042            0.432819            -0.203165           -2.37794            0.896036            
0.066076            4864                -0.998798           0.253216            0.411153            -0.193682           -2.25746            0.852203            
0.0695537           5120                -1.0447             0.264502            0.429185            -0.202208           -2.35816            0.890354            
0.0730314           5376                -1.15553            0.293048            0.473567            -0.224335           -2.60464            0.985986            
0.0765091           5632                -1.27823            0.324272            0.524277            -0.248224           -2.88275            1.09099             
0.0799868           5888                -1.41615            0.358861            0.582002            -0.274481           -3.19791            1.20779             
0.0834645           6144                -1.55441            0.393088            0.639334            -0.300329           -3.51179            1.32366             
0.0869422           6400                -1.68822            0.427418            0.693493            -0.326837           -3.81126            1.43882             
0.0904198           6656                -1.82535            0.462422            0.749285            -0.353766           -4.11899            1.55639             
