#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -1.9348e-05         -0.00190867         -0.000667918        0.00150427          0.00147171          -0.00414043         
0.00347769          256                 -0.580333           -24.2424            -4.29891            20.1297             9.12948             -49.9389            
0.00695537          512                 11.7936             322.84              79.5557             -326.522            -190.497            799.56              
0.0104331           768                 74.2961             88.3435             -28.1537            -81.616             147.997             91.5245             
0.0139107           1024                36.6482             424.421             7.31185             -409.563            19.0304             825.812             
0.0173884           1280                27.6465             514.76              -5.87946            -501.225            41.0726             1070.85             
0.0208661           1536                1.88523             331.74              4.40748             -306.746            -11.2223            703.685             
0.0243438           1792                -14.3108            -54.5628            12.1573             68.0925             -41.292             -110.798            
0.0278215           2048                -16.0225            -228.598            10.31               233.051             -37.0112            -478.849            
0.0312992           2304                -9.4918             -72.1607            12.2678             75.9298             -36.2799            -146.89             
0.0347769           2560                -0.712687           -23.585             5.43001             23.5111             -11.9126            -46.2627            
0.0382545           2816                -0.786885           -48.8987            2.79392             51.3181             -6.54695            -107.377            
0.0417322           3072                -3.38291            -37.038             6.63491             41.3222             -18.5846            -76.4143            
0.0452099           3328                -2.68813            11.9988             7.23039             -5.28499            -19.7649            28.4884             
0.0486876           3584                0.946886            45.4252             3.70881             -38.2653            -8.41022            96.1933             
0.0521653           3840                2.60108             57.9501             3.61529             -50.1105            -6.262              119.556             
0.055643            4096                2.25562             63.3824             4.70463             -54.7214            -8.74634            129.982             
0.0591207           4352                2.44714             75.7061             5.70461             -65.9752            -10.5138            155.769             
0.0625984           4608                2.04494             78.2137             5.76425             -69.0126            -10.4976            161.962             
0.066076            4864                2.27828             77.4176             6.01203             -68.3138            -10.0264            159.163             
0.0695537           5120                2.51249             81.1678             6.49344             -71.6087            -10.5066            166.884             
0.0730314           5376                1.9946              83.9474             7.16633             -73.3596            -12.1925            171.879             
0.0765091           5632                1.12434             81.4513             7.96459             -70.1446            -14.4308            165.568             
0.0799868           5888                0.804667            81.0331             9.18037             -69.0611            -17.2249            163.035             
0.0834645           6144                0.241108            83.1029             10.8719             -70.3557            -21.2415            167.145             
0.0869422           6400                -0.0789631          86.6393             11.9649             -73.173             -23.7205            174.356             
0.0904198           6656                0.0226022           89.0868             12.4535             -75.1569            -24.5104            179.402             
0.0938975           6912                0.285014            87.3376             12.6008             -73.5405            -24.5969            175.769             
0.0973752           7168                0.160185            86.9883             13.6078             -72.9568            -27.1089            176.804             
0.100853            7424                1.12086             88.9417             14.2971             -75.4117            -28.0391            182.801             
0.104331            7680                0.808851            89.3911             16.9097             -75.465             -34.2963            187.219             
0.107808            7936                0.985615            87.5693             18.0841             -74.0433            -37.2247            186.805             
0.111286            8192                1.03334             83.8802             19.324              -71.0378            -40.6661            181.82              
0.114764            8448                1.72896             83.3397             19.6164             -71.0397            -41.7084            182.405             
0.118241            8704                2.19889             78.3425             20.0025             -67.1944            -43.0369            174.088             
0.121719            8960                3.26343             70.1712             20.4239             -60.1038            -43.7148            157.761             
0.125197            9216                3.23104             57.7376             19.6921             -48.9593            -42.6933            132.541             
0.128674            9472                2.94413             47.327              18.4756             -39.8447            -40.6714            111.163             
0.132152            9728                2.0434              37.691              16.4735             -32.3436            -37.4121            91.1                
0.13563             9984                1.77513             26.9894             14.9714             -23.3635            -34.138             67.7846             
0.139107            10240               1.67974             17.1363             12.9341             -14.3047            -29.4458            45.7101             
0.142585            10496               1.49304             6.06564             11.7443             -3.88252            -26.5814            21.1296             
0.146063            10752               1.76872             -1.61386            10.2292             2.81936             -22.3625            3.9789              
0.149541            11008               1.99493             -10.7326            8.65396             10.8972             -17.9407            -17.2991            
0.153018            11264               1.80394             -18.2992            8.08363             18.1369             -16.0127            -33.7894            
0.156496            11520               1.66018             -24.23              8.06912             23.4301             -15.4644            -47.8511            
0.159974            11776               2.11259             -25.3419            8.26591             24.4045             -15.3055            -51.1764            
0.163451            12032               1.03657             -23.9108            7.79122             22.6429             -15.3313            -48.2611            
0.166929            12288               1.95751             -20.3464            9.71406             18.9464             -18.5442            -41.5129            
0.170407            12544               1.16438             -20.8185            9.34272             19.5282             -18.4169            -42.3693            
0.173884            12800               1.15276             -17.0658            9.88944             16.1382             -19.4775            -35.0525            
0.177362            13056               2.13451             -13.5328            10.8619             13.3614             -20.2729            -28.7923            
0.18084             13312               1.4375              -12.5337            11.7141             12.7231             -22.8372            -25.8549            
0.184317            13568               2.23505             -12.5577            11.6502             12.107              -21.8967            -26.2904            
0.187795            13824               3.61112             -11.7841            12.0276             12.0679             -21.5087            -26.1171            
0.191273            14080               2.13594             -12.0956            12.3046             12.1213             -23.4443            -26.2294            
0.19475             14336               2.49358             -12.0124            13.012              11.814              -24.6627            -25.057             
0.198228            14592               1.70729             -9.0887             13.9921             9.2208              -27.8473            -17.4286            
0.201706            14848               1.9387              -10.6532            13.3862             10.0274             -26.528             -20.2774            
0.205183            15104               2.00891             -7.87086            13.4378             7.68179             -27.0398            -12.8148            
0.208661            15360               1.60537             -8.5783             13.9667             7.35823             -28.4552            -13.0177            
0.212139            15616               2.19911             -8.55435            13.0555             6.71373             -26.1569            -13.6428            
0.215617            15872               2.20605             -11.9345            12.5019             9.64134             -24.9054            -20.4244            
