#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   3.30734e-06         2.05055e-05         6.61468e-06         -2.28365e-05        -9.20103e-06        4.30206e-05         
0.00347769          256                 -0.257931           -9.74619            -3.06715            12.2558             6.40957             -21.3606            
0.00695537          512                 4.56938             119.159             38.1352             -151.025            -84.0595            280.861             
0.0104331           768                 0.205556            44.5733             12.8765             -56.0386            -23.1548            82.8962             
0.0139107           1024                4.57197             185.532             58.1814             -234.365            -118.184            394.487             
0.0173884           1280                5.32024             218.246             68.3498             -274.484            -141.211            471.587             
0.0208661           1536                2.25882             94.9571             29.489              -118.805            -60.8215            204.623             
0.0243438           1792                -1.21139            -46.9802            -14.6178            59.0815             30.0054             -101.257            
0.0278215           2048                -2.7499             -107.639            -33.7718            135.186             70.0418             -233.923            
0.0312992           2304                -0.893859           -37.6709            -12.2043            47.067              25.3376             -81.5553            
0.0347769           2560                -0.444433           -17.2605            -5.50522            21.7609             11.0644             -36.3647            
0.0382545           2816                -0.880432           -35.5405            -11.2174            44.8412             23.2874             -77.1692            
0.0417322           3072                -0.695327           -28.84              -9.15837            36.093              18.8945             -62.1153            
0.0452099           3328                -0.244322           -10.5589            -3.42325            13.056              7.12085             -22.7949            
0.0486876           3584                -0.0225058          -1.62693            -0.531851           1.87729             1.03784             -3.14129            
0.0521653           3840                0.0295096           1.20168             0.442441            -1.69458            -0.944461           2.78498             
0.055643            4096                0.0242683           2.44124             0.859791            -3.34917            -1.74217            5.09026             
0.0591207           4352                0.066748            5.92843             1.96291             -7.76837            -3.95797            12.21               
0.0625984           4608                0.0905587           9.08941             2.95449             -11.7734            -5.92952            18.5207             
0.066076            4864                0.0810426           11.1701             3.58671             -14.3992            -7.12141            22.3372             
0.0695537           5120                0.11189             14.7522             4.65397             -18.9068            -9.28322            29.654              
0.0730314           5376                0.131719            17.1685             5.3285              -21.9279            -10.5965            34.4333             
0.0765091           5632                0.151553            19.1252             5.87395             -24.4052            -11.6582            38.3482             
0.0799868           5888                0.187014            21.2414             6.46756             -27.0691            -12.851             42.7803             
0.0834645           6144                0.237583            23.636              7.17626             -30.0464            -14.331             48.0206             
0.0869422           6400                0.276291            25.4605             7.72185             -32.3205            -15.4934            52.0986             
0.0904198           6656                0.320359            27.2653             8.26159             -34.5898            -16.6427            56.1588             
0.0938975           6912                0.343278            27.7472             8.47179             -35.2225            -17.1304            57.4482             
0.0973752           7168                0.367175            28.612              8.86199             -36.3926            -18.0366            59.6487             
0.100853            7424                0.380732            29.2837             9.22688             -37.3512            -18.9613            61.5831             
0.104331            7680                0.363465            29.2833             9.35991             -37.3437            -19.4322            62.0523             
