#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   3.00968e-05         -2.69548e-05        -2.48051e-06        2.65275e-05         3.42575e-05         -7.33383e-05        
0.00347769          256                 -0.0354873          0.0676505           0.00699172          -0.0690645          -0.0525224          0.148399            
0.00695537          512                 0.00210661          0.025644            0.00676914          -0.0159925          -0.0102999          0.0420451           
0.0104331           768                 0.535593            1.58125             0.0515421           -1.36569            0.355968            2.2341              
0.0139107           1024                1.03238             -0.174438           -0.109806           0.0495592           1.239               -1.21587            
0.0173884           1280                0.00539312          -2.00141            -0.0255305          2.01828             0.159991            -3.4496             
0.0208661           1536                0.30238             -2.0922             -0.149004           1.9225              0.641058            -3.86808            
0.0243438           1792                -0.0602145          -0.647201           -0.0149399          0.550431            -0.0658216          -1.06065            
0.0278215           2048                -0.964173           0.668971            0.0956773           -0.692726           -1.1623             2.01535             
0.0312992           2304                -0.815335           1.33989             0.111696            -1.26608            -1.05036            3.03474             
0.0347769           2560                -0.654475           0.484787            0.0741192           -0.422939           -0.769531           1.41994             
0.0382545           2816                -0.392386           0.346914            0.0326335           -0.340137           -0.445279           0.949273            
0.0417322           3072                -0.613418           0.550469            0.0815872           -0.538701           -0.764312           1.49829             
0.0452099           3328                -0.554012           0.558028            0.0862115           -0.514167           -0.711939           1.45679             
0.0486876           3584                -0.394167           0.352529            0.0565021           -0.318459           -0.489858           0.959969            
0.0521653           3840                -0.268257           0.198765            0.0403889           -0.177117           -0.336632           0.582475            
0.055643            4096                -0.24939            0.213859            0.0397167           -0.191077           -0.31855            0.591452            
0.0591207           4352                -0.202374           0.160273            0.0329631           -0.145894           -0.259834           0.457286            
0.0625984           4608                -0.219492           0.118416            0.0284995           -0.103828           -0.265121           0.400393            
0.066076            4864                -0.184792           0.119308            0.0225139           -0.110179           -0.222225           0.370882            
0.0695537           5120                -0.195586           0.132948            0.0233553           -0.122788           -0.235237           0.404005            
0.0730314           5376                -0.207268           0.163122            0.0238833           -0.153766           -0.248273           0.466533            
0.0765091           5632                -0.240742           0.206437            0.0272232           -0.19622            -0.287721           0.571165            
0.0799868           5888                -0.251488           0.225962            0.0279337           -0.215902           -0.299948           0.614397            
0.0834645           6144                -0.26682            0.244436            0.0313534           -0.233101           -0.321313           0.660049            
0.0869422           6400                -0.28198            0.251482            0.031851            -0.240492           -0.335562           0.685841            
0.0904198           6656                -0.298255           0.267076            0.034126            -0.254943           -0.356617           0.727057            
0.0938975           6912                -0.302724           0.267592            0.0326679           -0.257401           -0.358559           0.73185             
0.0973752           7168                -0.312302           0.273236            0.0371752           -0.261178           -0.379223           0.750047            
0.100853            7424                -0.338274           0.322526            0.0465723           -0.304785           -0.420571           0.858597            
0.104331            7680                -0.313973           0.260376            0.0243239           -0.255373           -0.352957           0.729881            
0.107808            7936                -0.348827           0.316429            0.0309944           -0.304791           -0.399331           0.857765            
0.111286            8192                -0.300766           0.252103            0.0252972           -0.244429           -0.342653           0.703566            
0.114764            8448                -0.306639           0.251444            0.0336812           -0.242085           -0.365788           0.707994            
0.118241            8704                -0.307839           0.266415            0.0368155           -0.246211           -0.369923           0.734493            
0.121719            8960                -0.281192           0.251773            0.0342882           -0.240912           -0.34384            0.685253            
0.125197            9216                -0.285862           0.252661            0.0362012           -0.242523           -0.351351           0.691271            
0.128674            9472                -0.300895           0.264987            0.0364719           -0.252278           -0.366393           0.72583             
0.132152            9728                -0.31288            0.285655            0.0343476           -0.273845           -0.373917           0.772267            
0.13563             9984                -0.31404            0.271928            0.0354397           -0.260765           -0.377353           0.749826            
0.139107            10240               -0.32949            0.292585            0.0434873           -0.273504           -0.406147           0.799186            
0.142585            10496               -0.313223           0.277814            0.023484            -0.27191            -0.351436           0.75905             
0.146063            10752               -0.323669           0.273629            0.0299551           -0.266757           -0.375857           0.761224            
0.149541            11008               -0.312635           0.258606            0.0279158           -0.252034           -0.359118           0.725582            
0.153018            11264               -0.34023            0.302705            0.0452481           -0.286025           -0.42069            0.826646            
0.156496            11520               -0.328343           0.302888            0.0476186           -0.283325           -0.411285           0.816173            
0.159974            11776               -0.337392           0.331197            0.0456337           -0.309527           -0.417876           0.87266             
0.163451            12032               -0.311989           0.293881            0.0382497           -0.2747             -0.376932           0.785573            
0.166929            12288               -0.284089           0.269506            0.0299731           -0.259602           -0.33574            0.718702            
0.170407            12544               -0.29929            0.265161            0.0281678           -0.254917           -0.348533           0.724311            
0.173884            12800               -0.275243           0.25995             0.0376906           -0.245414           -0.341132           0.694384            
0.177362            13056               -0.253296           0.233594            0.0360004           -0.21671            -0.316732           0.629043            
0.18084             13312               -0.271924           0.249934            0.0235929           -0.244991           -0.313732           0.673916            
0.184317            13568               -0.245242           0.181974            0.0271627           -0.167562           -0.2864             0.533265            
0.187795            13824               -0.271387           0.283478            0.0400989           -0.26944            -0.345785           0.73118             
0.191273            14080               -0.233431           0.224712            0.0285768           -0.217943           -0.284555           0.596162            
0.19475             14336               -0.267593           0.252799            0.0279752           -0.24202            -0.317588           0.674916            
0.198228            14592               -0.287434           0.301031            0.0376913           -0.279812           -0.352632           0.775983            
0.201706            14848               -0.216243           0.231752            0.0117164           -0.232749           -0.234504           0.592587            
0.205183            15104               -0.263804           0.270047            0.0354708           -0.254453           -0.329404           0.701102            
0.208661            15360               -0.244878           0.239344            0.0243048           -0.228351           -0.284968           0.631338            
0.212139            15616               -0.222631           0.196483            0.0293406           -0.18629            -0.273683           0.537765            
0.215617            15872               -0.260959           0.267124            0.0349887           -0.250083           -0.320592           0.694085            
0.219094            16128               -0.256805           0.270495            0.0258862           -0.260032           -0.30101            0.695673            
0.222572            16384               -0.239236           0.223016            0.026196            -0.215243           -0.28528            0.598538            
0.22605             16640               -0.245295           0.230205            0.0330961           -0.215383           -0.302292           0.616294            
0.229527            16896               -0.255842           0.242975            0.0309585           -0.228296           -0.306594           0.647915            
0.233005            17152               -0.23203            0.231477            0.0118881           -0.228986           -0.248552           0.606533            
0.236483            17408               -0.248907           0.252585            0.0436154           -0.232492           -0.327427           0.657962            
0.23996             17664               -0.265346           0.274809            0.0256438           -0.259961           -0.307478           0.710723            
0.243438            17920               -0.214691           0.228533            0.0227257           -0.222937           -0.256862           0.585259            
0.246916            18176               -0.261646           0.30225             0.0371219           -0.286132           -0.329935           0.754746            
0.250393            18432               -0.243244           0.250997            0.0359533           -0.237123           -0.307616           0.650039            
0.253871            18688               -0.277865           0.27985             0.0238011           -0.269657           -0.318263           0.730647            
0.257349            18944               -0.232225           0.223432            0.0138895           -0.221843           -0.251593           0.593034            
0.260826            19200               -0.249758           0.24989             0.0269363           -0.243351           -0.297218           0.65394             
0.264304            19456               -0.252657           0.286266            0.0322504           -0.278286           -0.313516           0.719115            
0.267782            19712               -0.281682           0.296433            0.0437437           -0.278213           -0.361828           0.762719            
0.27126             19968               -0.280197           0.310538            0.0241562           -0.301353           -0.320624           0.785592            
0.274737            20224               -0.251375           0.25142             0.0234128           -0.248252           -0.292385           0.658179            
0.278215            20480               -0.283678           0.290271            0.0428489           -0.274317           -0.358696           0.754257            
0.281693            20736               -0.26641            0.267146            0.016308            -0.259789           -0.286832           0.698495            
