#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   1.45523e-05         -0.000256484        -1.27333e-05        0.00028434          2.95967e-05         -0.000578055        
0.00347769          256                 0.168004            0.402668            0.0284701           -0.431694           0.140371            0.750064            
0.00695537          512                 1.2959              2.13887             0.73003             -2.68345            -0.0419633          4.43816             
0.0104331           768                 2.28282             -0.0992894          -1.84341            -0.0408379          7.0571              -4.10129            
0.0139107           1024                5.85681             -8.33939            -0.131366           10.3434             7.27663             -24.1432            
0.0173884           1280                3.40217             -27.1269            -1.65547            29.9808             8.35344             -64.6358            
0.0208661           1536                -0.83364            -14.3399            -1.05199            14.7329             1.46745             -30.5767            
0.0243438           1792                -2.54553            4.599               0.336817            -5.66851            -3.63413            13.2273             
0.0278215           2048                -3.20913            14.5165             1.18764             -15.3404            -6.04322            35.3911             
0.0312992           2304                -0.967668           12.1737             1.13554             -12.2757            -3.39482            28.0062             
0.0347769           2560                -0.149398           2.96201             0.00941832          -3.51764            0.0798514           6.53922             
0.0382545           2816                -0.290619           3.85872             0.0660208           -4.46548            -0.243416           8.74244             
0.0417322           3072                -0.732682           6.51597             0.340525            -6.92478            -1.26462            15.0228             
0.0452099           3328                -0.746303           5.49124             0.444075            -5.80579            -1.64648            12.9038             
0.0486876           3584                -0.198962           2.73086             0.135589            -3.01969            -0.328856           6.17604             
0.0521653           3840                0.010519            1.79611             0.0830193           -1.97909            0.0356134           3.87736             
0.055643            4096                -0.0833808          1.98037             0.125943            -2.09524            -0.190604           4.37238             
0.0591207           4352                -0.140063           1.79539             0.145141            -1.89896            -0.34397            4.04999             
0.0625984           4608                -0.217601           1.33896             0.119476            -1.40778            -0.389908           3.12722             
0.066076            4864                -0.161542           1.26555             0.137327            -1.29415            -0.373753           2.91822             
0.0695537           5120                -0.20807            1.34977             0.125209            -1.41631            -0.410902           3.14969             
0.0730314           5376                -0.246467           1.66274             0.139213            -1.77831            -0.493896           3.90198             
0.0765091           5632                -0.281779           1.99837             0.140596            -2.16326            -0.530467           4.67998             
0.0799868           5888                -0.301828           2.27567             0.146593            -2.4766             -0.562891           5.31821             
0.0834645           6144                -0.280469           2.38557             0.156984            -2.6108             -0.553305           5.54094             
0.0869422           6400                -0.301225           2.5864              0.153809            -2.84839            -0.554697           5.99669             
0.0904198           6656                -0.315683           2.79949             0.158515            -3.0846             -0.569013           6.48593             
0.0938975           6912                -0.328895           2.95383             0.156313            -3.26724            -0.569867           6.83206             
0.0973752           7168                -0.351996           3.16081             0.164144            -3.48632            -0.610686           7.31739             
