#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -7.93762e-05        -3.9192e-05         2.16631e-05         5.82092e-05         -0.000116917        -6.30406e-05        
0.00347769          256                 -0.363456           59.9852             -2.28275            -53.9468            8.7317              224.139             
0.00695537          512                 18.0306             43.7633             -18.5479            -54.3204            73.3302             132.802             
0.0104331           768                 19.2664             -22.7977            -10.0387            8.39731             44.444              -97.8319            
0.0139107           1024                -5.68493            -43.8551            9.39869             45.502              -35.2392            -146.512            
0.0173884           1280                -7.65307            13.2254             7.11828             -3.80921            -28.6037            49.1502             
0.0208661           1536                3.11396             26.8524             -4.98812            -26.8583            19.2856             94.9413             
0.0243438           1792                5.98037             3.84631             -5.52576            -8.57945            22.0699             7.15008             
0.0278215           2048                1.34857             -1.7499             -1.30645            0.36149             5.01328             -10.1918            
0.0312992           2304                1.24309             10.2189             -0.763633           -9.14743            3.63347             37.1887             
0.0347769           2560                0.740561            11.6321             -1.04803            -10.7006            4.29924             41.7554             
0.0382545           2816                -0.260128           3.20256             0.189691            -2.49263            -0.664867           11.5697             
0.0417322           3072                0.169742            0.968007            0.504526            -0.0776378          -1.61992            2.37555             
0.0452099           3328                2.55931             3.80476             -0.778264           -3.78989            4.16197             11.5061             
0.0486876           3584                2.60145             1.57415             -0.584283           -1.91519            3.49761             3.34078             
0.0521653           3840                1.82367             0.0322836           -0.267802           -0.413472           2.08248             -1.42272            
0.055643            4096                2.19656             1.67777             -0.136559           -1.58243            1.85809             4.55656             
0.0591207           4352                1.21382             2.55757             -0.672858           -2.97346            3.06181             8.04607             
0.0625984           4608                0.608545            3.69214             -0.889212           -4.10347            3.51549             12.6887             
0.066076            4864                1.06257             4.43352             -0.644107           -4.28534            2.82312             15.0425             
0.0695537           5120                1.87213             5.3993              -0.70773            -4.93799            3.43577             17.2373             
0.0730314           5376                1.97047             5.62047             -1.13811            -5.6785             4.84316             17.9211             
0.0765091           5632                1.38098             5.00364             -1.97851            -6.086              7.38541             16.244              
0.0799868           5888                0.98                4.07778             -2.12816            -5.40408            7.85387             13.7585             
0.0834645           6144                1.40365             4.48463             -2.08227            -5.637              7.94799             15.248              
0.0869422           6400                1.59265             4.94425             -1.16187            -5.09705            4.97712             16.7335             
0.0904198           6656                1.36265             6.13651             -0.755371           -5.72975            3.49683             20.93               
0.0938975           6912                1.64758             6.58592             -1.09549            -6.46871            4.84744             21.9643             
0.0973752           7168                1.56624             6.98003             -1.22137            -6.94797            5.32029             23.5472             
0.100853            7424                0.845477            7.19501             -0.672046           -6.56048            2.99801             25.0316             
0.104331            7680                1.3567              10.153              -0.876596           -9.29663            3.87868             34.9416             
0.107808            7936                2.03761             11.7592             -0.932109           -10.7106            4.43103             40.1596             
0.111286            8192                2.85869             11.0603             -0.672948           -9.78092            3.87477             36.9538             
0.114764            8448                2.40013             10.8261             -0.493662           -9.4796             3.02778             36.3096             
0.118241            8704                2.10755             11.5581             -0.337412           -9.92289            2.32409             39.1046             
0.121719            8960                2.42647             9.05907             -0.400796           -7.84361            2.72198             30.0025             
0.125197            9216                2.10239             7.0478              -0.860897           -6.61034            4.24858             23.0079             
0.128674            9472                1.71454             6.73176             -1.02988            -6.49942            4.46595             22.2355             
0.132152            9728                1.34413             5.34706             -0.94628            -5.27904            3.97163             17.7753             
0.13563             9984                1.20766             6.84268             -0.819111           -6.5234             3.44533             23.107              
0.139107            10240               1.51411             7.24234             -0.716686           -6.67275            3.26895             24.1697             
0.142585            10496               1.81722             7.78353             -0.749912           -7.13652            3.60053             25.7248             
0.146063            10752               1.6829              7.43183             -0.867408           -6.94763            3.95606             24.3215             
0.149541            11008               1.46271             7.31696             -0.974919           -6.92671            4.22151             23.8977             
0.153018            11264               1.1993              7.23017             -1.11084            -7.07913            4.51322             23.6924             
0.156496            11520               0.891517            7.58219             -1.10412            -7.44083            4.3451              25.194              
0.159974            11776               0.640261            8.1713              -1.00544            -7.86644            3.89694             27.3426             
0.163451            12032               0.574729            8.43484             -0.980939           -8.06622            3.76588             28.38               
0.166929            12288               0.597305            9.04117             -1.14328            -8.72646            4.37036             30.525              
0.170407            12544               0.648555            9.10845             -1.21383            -8.90281            4.65159             30.818              
0.173884            12800               0.626997            9.65926             -1.20771            -9.38203            4.60732             32.8362             
0.177362            13056               0.613741            9.54913             -1.18743            -9.25313            4.52085             32.519              
0.18084             13312               0.886572            9.30837             -1.43956            -9.29768            5.51858             31.501              
0.184317            13568               0.651791            9.5866              -1.29928            -9.44317            4.8996              32.7569             
0.187795            13824               0.435586            10.1415             -1.46009            -10.1202            5.2692              34.8525             
0.191273            14080               0.340447            10.0445             -1.14911            -9.85803            4.27147             34.9302             
0.19475             14336               0.260182            10.274              -1.38097            -10.4076            5.0141              36.2358             
0.198228            14592               0.0686713           11.5494             -1.5237             -11.7376            5.41706             41.1707             
0.201706            14848               -0.313303           13.217              -1.62632            -13.328             5.58685             47.6586             
0.205183            15104               -0.480659           15.0948             -1.63706            -14.9941            5.63923             54.5844             
0.208661            15360               -0.161947           16.8299             -1.90488            -16.725             6.78034             60.8899             
0.212139            15616               -0.1032             18.8817             -1.84679            -18.4154            6.691               68.5793             
0.215617            15872               0.147509            19.9035             -1.70224            -19.1822            6.31195             72.1806             
0.219094            16128               0.492481            21.5016             -1.77737            -20.5819            6.84151             77.7056             
0.222572            16384               0.572638            20.5832             -1.8488             -19.8141            7.09946             74.2107             
0.22605             16640               0.334887            19.9232             -1.87491            -19.3384            7.04676             72.1723             
0.229527            16896               0.13158             18.302              -1.48301            -17.5228            5.56472             66.7356             
0.233005            17152               -0.0266471          17.2199             -1.51047            -16.5309            5.61555             63.0808             
0.236483            17408               -0.32372            18.0803             -1.55883            -17.1672            5.64104             66.3416             
0.23996             17664               -0.114849           17.517              -1.52213            -16.4852            5.64388             64.0079             
0.243438            17920               -0.156644           17.2109             -1.39348            -15.9401            5.15393             62.5757             
0.246916            18176               -0.447922           17.2019             -1.14164            -15.5934            4.14837             62.5688             
0.250393            18432               0.0287688           16.0243             -0.831874           -14.2066            3.28152             57.8192             
0.253871            18688               0.403922            15.961              -0.866193           -14.1957            3.69612             57.2121             
0.257349            18944               0.640733            16.0497             -0.600135           -14.1378            2.90359             57.1979             
0.260826            19200               0.723662            12.9374             -0.378879           -11.1668            2.08639             45.9977             
0.264304            19456               0.350482            9.9999              -0.24405            -8.45986            1.32183             35.8387             
0.267782            19712               0.635118            9.5152              -0.0418243          -7.83404            0.798011            34.0105             
0.27126             19968               0.444493            7.82002             0.100997            -6.25037            0.146404            28.2323             
0.274737            20224               0.60453             6.92244             -0.23116            -5.7393             1.33324             24.6091             
0.278215            20480               0.902882            6.08586             -0.242006           -4.99858            1.45828             21.2214             
0.281693            20736               0.727146            4.99834             -0.061862           -3.86768            0.7365              17.2388             
0.28517             20992               0.673172            4.41588             -0.105285           -3.41742            0.90431             15.1576             
0.288648            21248               0.864911            4.03709             0.1448              -2.90211            0.20063             13.4274             
0.292126            21504               0.914604            3.66677             -0.052215           -2.84334            0.884434            11.9547             
0.295603            21760               0.941291            3.59546             -0.141178           -2.90076            1.11871             11.659              
0.299081            22016               0.916827            3.51684             0.0801642           -2.54303            0.318774            11.2714             
0.302559            22272               1.27996             3.00812             -0.0630447          -2.30294            1.00502             9.02303             
0.306036            22528               1.36919             2.40943             0.0907409           -1.63199            0.464948            6.72177             
0.309514            22784               1.26488             1.80656             -0.0289488          -1.28474            0.835228            4.65519             
0.312992            23040               1.32217             1.67135             -0.170695           -1.30874            1.36317             4.1104              
0.316469            23296               1.26887             0.901824            -0.31596            -0.79544            1.87106             1.49679             
0.319947            23552               1.31855             2.31769             -0.279496           -1.99259            1.78648             6.48296             
0.323425            23808               1.5471              3.28622             -0.382177           -2.96793            2.23967             9.64304             
0.326903            24064               1.24668             3.93671             0.13318             -2.95645            0.299559            12.3169             
0.33038             24320               1.6352              3.15967             -0.0150112          -2.43395            1.02489             9.41411             
0.333858            24576               1.70946             2.84369             0.058151            -2.03688            0.891891            8.33377             
0.337336            24832               1.822               4.58094             -0.164328           -3.71373            1.6607              14.1037             
0.340813            25088               1.787               5.29515             0.016859            -4.12576            0.988934            16.3516             
0.344291            25344               1.75144             5.58986             -0.11495            -4.60018            1.57781             17.5218             
0.347769            25600               1.5268              5.78623             -0.21857            -4.87091            1.8293              18.4186             
0.351246            25856               1.43007             6.72707             -0.268523           -5.70925            1.95937             22.0056             
0.354724            26112               1.57304             6.22248             -0.128699           -5.19149            1.4829              20.1978             
0.358202            26368               1.56789             6.70142             0.0578515           -5.44971            0.814841            22.0065             
0.361679            26624               1.69006             7.67799             -0.0560075          -6.31958            1.30569             25.6488             
0.365157            26880               1.56772             7.97998             0.0910826           -6.41697            0.785198            26.6575             
0.368635            27136               1.29944             7.93601             0.273367            -6.22333            -0.0672167          26.5982             
0.372112            27392               1.18621             8.79072             -0.00699371         -7.22793            0.841392            29.9852             
0.37559             27648               1.44395             9.24339             -0.086281           -7.63685            1.27732             31.2425             
0.379068            27904               1.17445             8.96632             -0.697624           -7.98439            3.27992             30.6095             
0.382546            28160               0.981604            9.76313             -0.0113759          -8.06705            0.754607            33.8889             
0.386023            28416               0.686239            8.66418             0.0302825           -7.07644            0.379677            30.4539             
0.389501            28672               0.627697            8.73701             -0.502177           -7.56139            2.3053              30.8867             
0.392979            28928               1.21062             8.46917             -0.817161           -7.68579            3.73302             29.252              
0.396456            29184               1.30063             8.63707             -0.503017           -7.58733            2.67299             29.8117             
0.399934            29440               1.37896             8.06245             -0.329294           -6.89581            2.01539             27.3                
0.403412            29696               1.20944             7.95886             -0.357              -6.84828            2.06812             27.3616             
0.406889            29952               1.23314             8.5687              -0.351183           -7.39649            2.09322             29.712              
0.410367            30208               1.02155             7.35927             -0.663392           -6.73892            3.04052             25.5407             
0.413845            30464               0.438393            8.35597             -1.04043            -7.9364             4.08224             30.0039             
0.417322            30720               1.16306             8.70759             -0.653296           -7.69443            3.18914             30.8034             
0.4208              30976               1.11469             8.6656              -0.626164           -7.60432            2.90736             30.5857             
0.424278            31232               0.867013            8.64468             -0.636701           -7.55578            2.77592             30.5879             
0.427755            31488               0.715884            9.4701              -0.632168           -8.19877            2.69958             33.3531             
0.431233            31744               0.804033            10.61               -0.604371           -9.14153            2.70759             37.0424             
0.434711            32000               0.938157            10.4182             -0.559658           -9.09815            2.5581              36.1171             
0.438188            32256               0.669193            9.51776             -0.493156           -8.40407            2.18284             33.3162             
0.441666            32512               0.603866            8.87607             -0.533401           -7.87538            2.32794             31.5304             
0.445144            32768               1.30544             9.36434             -0.823996           -8.53408            3.73512             32.7785             
0.448622            33024               1.11265             10.1674             -0.887799           -9.31043            3.93155             35.9262             
0.452099            33280               1.26353             11.3681             -0.895496           -10.2929            4.02738             40.0409             
0.455577            33536               1.18111             9.53888             -0.519683           -8.45079            2.59847             33.1997             
0.459055            33792               0.620522            9.49707             -0.613284           -8.54714            2.60697             33.4403             
0.462532            34048               0.499752            9.7909              -0.536337           -8.71114            2.25344             34.4528             
0.46601             34304               0.730904            10.2898             -0.55445            -9.05219            2.46646             35.9204             
0.469488            34560               1.42264             9.29181             -0.416137           -7.99605            2.37328             31.8157             
0.472965            34816               1.30775             9.15664             -0.489687           -7.90962            2.55488             31.4545             
0.476443            35072               0.980319            8.42184             -0.196166           -7.04742            1.27547             29.0699             
0.479921            35328               0.546144            7.53374             -0.772572           -6.98356            2.9708              25.9376             
0.483398            35584               0.563265            7.44501             -0.774366           -6.75849            3.04374             25.6414             
0.486876            35840               0.791425            7.03211             -0.531576           -6.03866            2.39307             23.7662             
0.490354            36096               1.39079             8.11931             -0.763459           -7.10086            3.57791             27.0782             
0.493831            36352               0.858392            7.49031             -0.418838           -6.25361            2.06423             25.3693             
0.497309            36608               1.51979             7.30393             -0.61019            -6.32017            3.04267             24.2578             
0.500787            36864               1.66855             7.38716             -0.499099           -6.32334            2.79158             24.342              
0.504265            37120               1.34155             8.94396             -0.110224           -7.34612            1.20706             29.9818             
0.507742            37376               1.11214             9.50637             -0.357992           -8.04852            1.94398             32.2024             
0.51122             37632               1.29699             9.87025             -0.721225           -8.70101            3.37392             33.7044             
0.514698            37888               1.63619             10.5095             -0.681431           -9.25746            3.48827             35.9288             
0.518175            38144               1.21696             9.82955             -0.252407           -8.27782            1.7024              34.0066             
0.521653            38400               1.29333             9.20516             -0.411675           -7.86262            2.32002             31.5728             
0.525131            38656               0.584631            8.41552             -0.320866           -7.08708            1.56418             29.2169             
0.528608            38912               0.354851            9.40717             -0.493179           -8.03893            2.06294             33.2225             
0.532086            39168               1.25678             10.0444             -0.421444           -8.50085            2.41785             34.839              
0.535564            39424               1.2133              10.2514             -0.386522           -8.71815            2.26914             35.3445             
0.539041            39680               1.35772             9.95536             -0.488279           -8.58097            2.76368             33.8326             
0.542519            39936               1.41992             9.20022             -0.492312           -7.97072            2.7764              30.9539             
0.545997            40192               1.50917             9.72926             -0.568664           -8.48015            3.05185             32.7429             
0.549474            40448               1.3434              9.73461             -0.699465           -8.66737            3.37496             33.0473             
0.552952            40704               1.08618             9.79639             -0.834815           -8.87683            3.6882              33.4409             
0.55643             40960               1.34402             10.7789             -0.968231           -9.75311            4.32857             37.0224             
0.559907            41216               1.39835             10.8785             -0.900135           -9.73069            4.10499             37.4839             
0.563385            41472               1.24136             11.5356             -0.639684           -9.99451            3.06554             40.279              
0.566863            41728               1.07926             10.2905             -0.206018           -8.49581            1.51211             36.1041             
0.570341            41984               0.965629            9.55227             -0.485787           -8.17006            2.37211             33.1907             
0.573818            42240               0.78803             9.55682             -0.628737           -8.32741            2.80424             33.3206             
0.577296            42496               0.491158            10.2076             -0.624981           -8.92517            2.62453             35.8781             
0.580774            42752               1.1113              10.8485             -0.979718           -9.71502            4.21031             37.9336             
0.584251            43008               1.22929             10.5628             -1.13839            -9.67258            4.80155             36.7885             
0.587729            43264               1.28418             9.03228             -0.808287           -8.08083            3.66008             31.1939             
0.591207            43520               0.916153            8.00867             -0.47015            -6.81392            2.24301             27.7225             
0.594684            43776               1.28264             7.93674             -0.249127           -6.3756             1.62518             27.1471             
0.598162            44032               1.74908             6.92817             -0.236934           -5.51197            1.89827             22.9832             
0.60164             44288               1.08869             7.97709             -0.133373           -6.45956            1.15773             27.2548             
0.605117            44544               1.16786             10.3118             -0.0910131          -8.40606            1.19599             35.5303             
0.608595            44800               1.56913             10.7456             -0.226326           -8.84603            1.93019             36.654              
0.612073            45056               1.70616             9.03898             -0.906078           -7.99137            4.40064             29.9337             
0.61555             45312               1.57501             10.2217             -0.967817           -9.15424            4.48935             34.2928             
0.619028            45568               1.32691             11.7347             -0.747586           -10.2899            3.57951             40.3013             
0.622506            45824               1.30209             13.1904             -1.22524            -11.9877            5.26631             45.6994             
0.625984            46080               1.21275             13.0803             -0.487142           -11.2076            2.72245             45.87               
0.629461            46336               0.975182            12.2248             -0.370586           -10.4471            2.11554             42.9368             
0.632939            46592               0.803224            10.9137             -0.74686            -9.68898            3.25023             38.2471             
0.636417            46848               0.828743            9.58852             -0.471426           -8.27081            2.3139              33.6975             
