#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   5.70517e-05         -2.36475e-05        -3.04276e-05        7.86883e-06         0.000142036         -9.81699e-05        
0.00347769          256                 0.0768155           -0.0246349          -0.0146307          0.0188845           0.118344            -0.114019           
0.00695537          512                 -0.0191042          0.0541906           0.0650834           -0.0207241          -0.20045            0.150315            
0.0104331           768                 -0.081908           0.0578902           0.148647            0.0354507           -0.491688           0.195644            
0.0139107           1024                6.59755             -1.88501            -1.99547            0.86096             12.0792             -9.1691             
0.0173884           1280                9.45215             -3.01798            -3.42199            1.23396             18.9391             -13.9369            
0.0208661           1536                1.05064             -0.469836           -0.69886            0.0857588           3.00305             -1.88578            
0.0243438           1792                -4.66785            1.38618             1.51974             -0.594379           -8.86556            6.61673             
0.0278215           2048                -5.07312            1.62174             1.98896             -0.55951            -10.6016            7.47888             
0.0312992           2304                -1.43725            0.524161            0.733041            -0.121488           -3.49146            2.27985             
0.0347769           2560                -0.663765           0.261316            0.41806             -0.0279665          -1.84268            1.10139             
0.0382545           2816                -1.48204            0.519132            0.742854            -0.111603           -3.56288            2.29849             
0.0417322           3072                -1.3951             0.481806            0.658379            -0.123374           -3.23726            2.14657             
0.0452099           3328                -1.19187            0.405945            0.528664            -0.120808           -2.6689             1.81996             
0.0486876           3584                -0.5791             0.211789            0.30833             -0.0413701          -1.44365            0.919979            
0.0521653           3840                -0.303108           0.132163            0.230434            -0.00134934         -0.954733           0.534764            
0.055643            4096                -0.390646           0.149207            0.236608            -0.0167818          -1.05738            0.636454            
0.0591207           4352                -0.407092           0.141838            0.207612            -0.0268474          -0.990007           0.628905            
0.0625984           4608                -0.371936           0.126519            0.179288            -0.027555           -0.874739           0.566794            
0.066076            4864                -0.370116           0.124727            0.17423             -0.028792           -0.858152           0.561112            
0.0695537           5120                -0.395281           0.132001            0.18246             -0.0318618          -0.906103           0.596352            
0.0730314           5376                -0.446589           0.15044             0.204802            -0.0385682          -1.01972            0.677244            
0.0765091           5632                -0.482336           0.164742            0.22545             -0.0416423          -1.11354            0.737252            
0.0799868           5888                -0.526484           0.181045            0.248485            -0.0454699          -1.22237            0.807933            
0.0834645           6144                -0.571357           0.197211            0.27162             -0.0490398          -1.33194            0.878729            
0.0869422           6400                -0.609382           0.212245            0.29385             -0.051904           -1.43243            0.942076            
0.0904198           6656                -0.658087           0.230118            0.318475            -0.0564898          -1.5501             1.01976             
0.0938975           6912                -0.706358           0.246538            0.34158             -0.060335           -1.66301            1.09345             
0.0973752           7168                -0.752721           0.262499            0.362388            -0.065149           -1.76746            1.16471             
0.100853            7424                -0.775765           0.269804            0.371818            -0.0674022          -1.81673            1.19856             
0.104331            7680                -0.793661           0.275524            0.377414            -0.0703394          -1.84999            1.22499             
0.107808            7936                -0.803894           0.277237            0.379185            -0.0711685          -1.86489            1.23617             
0.111286            8192                -0.803181           0.277556            0.377595            -0.072558           -1.85947            1.23653             
0.114764            8448                -0.746675           0.260385            0.355891            -0.0670411          -1.74255            1.1555              
0.118241            8704                -0.714258           0.249222            0.342463            -0.0630288          -1.67269            1.10568             
0.121719            8960                -0.719349           0.251622            0.345601            -0.0637852          -1.68653            1.11519             
0.125197            9216                -0.715734           0.251123            0.345199            -0.0634786          -1.68175            1.11152             
0.128674            9472                -0.699369           0.246482            0.339351            -0.0619431          -1.64908            1.08887             
0.132152            9728                -0.700063           0.247092            0.340671            -0.0618627          -1.65359            1.09092             
0.13563             9984                -0.704253           0.248137            0.343269            -0.0614099          -1.66493            1.09635             
0.139107            10240               -0.723715           0.25532             0.352063            -0.0639412          -1.70885            1.12751             
0.142585            10496               -0.741587           0.262367            0.361441            -0.0659997          -1.75304            1.15728             
0.146063            10752               -0.721396           0.256828            0.3557              -0.063391           -1.71701            1.12979             
0.149541            11008               -0.707257           0.251413            0.350807            -0.0603647          -1.68914            1.10665             
0.153018            11264               -0.725738           0.256325            0.356769            -0.0621186          -1.72396            1.1314              
0.156496            11520               -0.750894           0.265927            0.365765            -0.0673634          -1.77409            1.17256             
0.159974            11776               -0.7256             0.25608             0.352076            -0.0649401          -1.71043            1.13078             
0.163451            12032               -0.715657           0.25231             0.344064            -0.0659086          -1.67798            1.11477             
0.166929            12288               -0.704474           0.246103            0.334598            -0.0648189          -1.63978            1.09157             
0.170407            12544               -0.70874            0.246097            0.332701            -0.0660766          -1.63848            1.09446             
0.173884            12800               -0.695776           0.240656            0.323402            -0.0658413          -1.59911            1.07208             
0.177362            13056               -0.688745           0.23775             0.317998            -0.0660951          -1.57671            1.06014             
0.18084             13312               -0.675504           0.233892            0.313087            -0.064859           -1.54979            1.04155             
0.184317            13568               -0.693319           0.238684            0.319009            -0.0665098          -1.58373            1.06556             
0.187795            13824               -0.688928           0.237035            0.316992            -0.0659455          -1.57353            1.05848             
0.191273            14080               -0.716817           0.248191            0.328361            -0.0715312          -1.63327            1.10545             
0.19475             14336               -0.679139           0.235821            0.314463            -0.0663832          -1.55676            1.04902             
0.198228            14592               -0.676424           0.236421            0.314171            -0.0674656          -1.55343            1.0489              
0.201706            14848               -0.678405           0.236854            0.314524            -0.0676749          -1.55598            1.05128             
0.205183            15104               -0.657148           0.229356            0.306538            -0.0644456          -1.51271            1.01823             
0.208661            15360               -0.656893           0.228235            0.301881            -0.0661355          -1.49877            1.01526             
0.212139            15616               -0.66387            0.230598            0.303859            -0.0676274          -1.51102            1.02594             
0.215617            15872               -0.669217           0.234141            0.30806             -0.069162           -1.52837            1.03861             
0.219094            16128               -0.659955           0.230952            0.304746            -0.0676229          -1.50984            1.02431             
0.222572            16384               -0.662127           0.232056            0.305401            -0.0685596          -1.51395            1.02861             
0.22605             16640               -0.674276           0.235922            0.310995            -0.0693677          -1.54134            1.04651             
0.229527            16896               -0.662556           0.232534            0.307041            -0.0681529          -1.51862            1.0302              
