#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -4.58067e-05        -0.000333545        0.000164044         0.000395079         -0.000583917        -0.00110227         
0.00347769          256                 -363.74             213.041             -249.206            -308.8              733.206             1106.5              
0.00695537          512                 -19.8004            234.211             -393.726            -472.126            1340.86             846.157             
0.0104331           768                 54.5156             -108.145            158.332             177.323             -518.623            -429.061            
0.0139107           1024                56.791              -116.971            253.245             294.748             -853.471            -468.836            
0.0173884           1280                69.0545             -14.0474            23.857              40.5243             -62.9793            -117.837            
0.0208661           1536                -111.659            58.0585             -137.295            -149.454            432.322             311.596             
0.0243438           1792                5.6879              4.41253             -24.1561            -27.9038            94.1137             13.0533             
0.0278215           2048                75.9857             -0.858555           16.604              14.4906             -29.0111            -77.0061            
0.0312992           2304                -56.3937            22.8817             -30.7986            -37.8589            85.4859             134.37              
0.0347769           2560                -42.3483            37.8291             -59.1401            -70.3872            188.056             172.871             
0.0382545           2816                12.6231             9.67655             -9.09189            -12.62              35.8475             20.7802             
0.0417322           3072                18.1399             -8.60845            21.8965             23.4786             -67.4899            -46.994             
0.0452099           3328                -6.87326            3.67327             0.0805812           -1.62642            -1.25115            20.0668             
0.0486876           3584                15.4373             1.83666             2.11901             0.906172            0.147739            -8.12752            
0.0521653           3840                31.0956             -7.05849            17.3365             18.5981             -46.7671            -54.481             
0.055643            4096                13.2527             -3.98538            8.73747             9.64443             -24.1006            -26.3905            
0.0591207           4352                3.15966             4.49105             -5.95883            -7.7745             22.3446             12.9077             
0.0625984           4608                -0.331401           5.90009             -9.34446            -11.689             32.4016             20.9908             
0.066076            4864                -0.747108           5.51822             -7.51052            -9.9305             26.114              20.0222             
0.0695537           5120                -1.49754            8.81334             -11.8909            -15.4916            41.2341             32.2058             
0.0730314           5376                -3.57331            10.2091             -15.2123            -19.2738            51.9733             39.0133             
0.0765091           5632                -5.51638            9.66239             -15.6291            -19.7081            52.5626             39.0001             
0.0799868           5888                -9.66273            8.50722             -12.662             -16.4814            40.561              39.1206             
0.0834645           6144                -11.1878            6.70315             -8.69192            -11.9164            26.2418             34.2157             
0.0869422           6400                -9.61992            3.74359             -3.10919            -5.08068            7.71711             22.3866             
0.0904198           6656                -9.25299            2.47936             -1.58206            -2.92643            2.49619             17.5461             
0.0938975           6912                -10.2803            4.17993             -3.21036            -5.29849            7.44888             24.397              
0.0973752           7168                -11.2549            4.54892             -4.55642            -6.64717            11.2708             26.5176             
0.100853            7424                -11.9964            5.37081             -4.63157            -6.99155            10.9221             29.9878             
0.104331            7680                -6.86192            6.21945             -6.48097            -8.96929            19.3297             28.0521             
0.107808            7936                3.55301             5.36302             -5.1696             -7.21392            19.0422             15.2                
0.111286            8192                12.0454             5.18363             -4.60465            -6.59193            20.5969             6.53614             
0.114764            8448                14.9681             4.62536             -4.50196            -6.35535            21.5244             1.69091             
0.118241            8704                17.513              2.8231              -1.79994            -2.84122            13.0524             -7.21846            
0.121719            8960                18.2517             3.66771             -1.397              -2.99009            11.8176             -4.90085            
0.125197            9216                18.6377             2.8161              -3.21515            -4.3223             17.9575             -8.40003            
0.128674            9472                18.4792             3.7853              -6.35701            -7.82952            28.4833             -4.9993             
0.132152            9728                18.6163             5.35232             -8.33955            -10.4904            35.4137             0.36465             
0.13563             9984                19.7266             6.81566             -10.5445            -13.3795            43.6186             4.40311             
0.139107            10240               20.1316             6.24986             -10.1631            -12.7956            42.6662             2.1589              
0.142585            10496               19.8725             6.62022             -11.3218            -14.1711            46.5659             3.58279             
