#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   410.701             33.6482             14.8688             -12.8249            4603.95             -126.127            
0.00347769          256                 468.56              55.247              -103.171            -145.334            555.514             -218.123            
0.00695537          512                 82.5197             -174.918            64.2161             123.874             -180.004            -664.969            
0.0104331           768                 -129.461            -1.33917            -9.54193            6.06675             -12.2171            105.714             
0.0139107           1024                146.78              -58.6625            -24.4272            0.75281             151.315             -340.45             
0.0173884           1280                -74.9333            144.565             -46.5091            -105.897            136.118             573.502             
0.0208661           1536                -34.6146            -58.8614            2.36452             27.0068             -16.4641            -168.306            
0.0243438           1792                23.2443             -26.1567            -5.98216            5.90359             35.8494             -107.428            
0.0278215           2048                1.32159             38.9897             -3.8438             -17.7516            19.3101             135.504             
0.0312992           2304                12.2105             26.7134             -7.20764            -17.5665            35.371              84.6328             
0.0347769           2560                8.69348             10.7                -7.16308            -12.1982            33.8533             31.9896             
0.0382545           2816                27.7379             13.9389             -5.07432            -9.98446            34.3392             24.6866             
0.0417322           3072                19.3503             13.2509             -4.96116            -8.5963             30.5186             28.7775             
0.0452099           3328                2.04563             2.88531             -6.20864            -5.70253            27.6398             8.68302             
0.0486876           3584                -3.63889            10.3975             -6.52564            -8.0789             26.314              39.0438             
0.0521653           3840                -9.19653            22.2621             -7.43308            -13.9199            27.1231             85.4167             
0.055643            4096                -6.29656            23.157              -7.98579            -14.8935            30.246              86.7729             
0.0591207           4352                3.27826             30.0169             -5.70554            -15.0807            26.0996             103.468             
0.0625984           4608                10.4321             33.9612             -2.81964            -13.5419            18.7931             111.42              
0.066076            4864                12.0237             34.7186             0.550106            -10.5441            7.61568             112.978             
0.0695537           5120                8.76442             42.5558             0.668964            -13.4182            6.04104             143.242             
0.0730314           5376                8.9907              45.4983             0.898089            -14.2095            5.35443             152.796             
0.0765091           5632                14.5832             49.2193             -0.582003           -16.8289            12.8638             161.061             
0.0799868           5888                23.0089             46.3505             -3.61707            -18.6155            26.7765             144.141             
0.0834645           6144                25.3787             42.655              -4.80353            -18.7045            31.9277             129.325             
0.0869422           6400                25.3638             42.6621             -5.90776            -20.2655            35.9154             129.934             
0.0904198           6656                22.0332             40.4197             -6.54134            -20.7973            36.7429             125.249             
0.0938975           6912                20.5042             34.2477             -6.37931            -18.2833            35.5367             105.795             
0.0973752           7168                21.5384             30.8996             -4.57537            -15.6471            29.7604             93.9645             
0.100853            7424                23.5344             25.7117             -3.36221            -12.2845            26.3002             74.384              
0.104331            7680                17.1072             16.6929             -3.12021            -8.17155            22.9932             48.6727             
0.107808            7936                7.59493             8.00121             -4.52027            -5.40474            23.895              26.2654             
0.111286            8192                -2.70663            3.72636             -5.35103            -4.24366            22.2934             19.8048             
0.114764            8448                -4.00423            7.09526             -5.66384            -6.75302            22.899              33.3119             
0.118241            8704                -4.45374            16.4469             -6.9573             -12.7537            26.882              66.3249             
0.121719            8960                -2.7299             22.7997             -4.75196            -14.9078            19.9126             85.8978             
0.125197            9216                -3.34925            28.1717             -0.780009           -14.0075            5.92999             104.541             
0.128674            9472                -5.0474             26.5986             -0.201359           -12.0786            3.27025             100.318             
0.132152            9728                -3.32443            25.4437             -0.541153           -11.0941            5.19349             94.4518             
0.13563             9984                -4.68529            27.1985             0.267887            -10.3255            1.89001             101.05              
0.139107            10240               -3.34472            32.8509             -0.0231064          -12.2587            3.45403             118.818             
0.142585            10496               -6.16464            38.5047             2.67548             -11.9181            -6.94518            140.168             
0.146063            10752               -8.57931            43.2914             4.53162             -11.885             -14.4177            158.001             
0.149541            11008               -8.8273             45.9958             7.47413             -10.2434            -24.9237            166.656             
0.153018            11264               -7.55982            51.6895             10.1681             -9.70575            -33.8131            184.62              
0.156496            11520               -4.98513            53.3595             12.438              -7.90373            -40.7736            187.729             
0.159974            11776               -2.1676             57.6109             12.5967             -9.06311            -40.1646            199.748             
0.163451            12032               1.3625              61.4381             13.9004             -9.32327            -43.1839            209.562             
0.166929            12288               3.08686             63.4509             16.2023             -8.14874            -50.28              214.837             
0.170407            12544               5.88779             66.5518             17.0142             -8.80735            -51.7061            223.045             
0.173884            12800               7.12116             68.0817             18.0862             -8.94382            -54.7888            227.137             
0.177362            13056               10.2501             68.7952             19.3801             -8.59683            -57.8719            227.042             
0.18084             13312               12.94               72.4921             21.5978             -8.22714            -64.1758            237.783             
0.184317            13568               15.3741             76.3893             22.0855             -9.59947            -64.6911            249.367             
0.187795            13824               17.8427             78.5461             21.7566             -11.5516            -62.3838            255.139             
0.191273            14080               20.4083             78.1828             21.7787             -11.9473            -61.2192            252.473             
0.19475             14336               23.5698             78.8824             21.4524             -12.7379            -58.5296            252.753             
0.198228            14592               27.1632             78.5668             20.7176             -13.4053            -54.3911            249.221             
0.201706            14848               31.9287             77.4441             19.3059             -14.0312            -47.5417            241.812             
0.205183            15104               34.3553             74.3635             16.5369             -14.9699            -37.041             229.347             
0.208661            15360               35.4339             69.5927             14.9443             -13.6991            -31.1914            212.109             
0.212139            15616               34.7586             65.6262             12.7935             -13.4492            -24.333             198.627             
0.215617            15872               35.0221             60.6302             11.4916             -12.0385            -19.9317            180.494             
0.219094            16128               34.7926             54.929              10.5138             -10.5763            -16.6044            160.382             
0.222572            16384               34.4121             50.8962             5.36648             -13.2162            1.10306             146.128             
0.22605             16640               35.2211             47.4536             2.6355              -13.8607            10.7944             133.151             
0.229527            16896               33.8991             44.7637             2.51743             -12.702             10.456              124.774             
0.233005            17152               31.2205             44.9753             1.3256              -14.4128            13.4758             127.782             
0.236483            17408               30.728              46.7826             -0.597775           -17.1169            19.6453             134.434             
0.23996             17664               29.4152             43.746              -2.94987            -17.6752            26.9308             124.496             
0.243438            17920               29.8685             41.0272             -5.37379            -18.0591            35.0681             114.174             
0.246916            18176               29.941              41.81               -4.86035            -18.4885            33.2836             116.717             
0.250393            18432               27.527              38.2783             -8.38355            -20.5362            44.6175             107.195             
0.253871            18688               25.6469             32.6822             -9.15024            -18.9283            46.1742             89.6065             
0.257349            18944               24.431              28.9593             -10.5314            -18.6225            50.4423             78.0683             
0.260826            19200               24.1769             27.7172             -8.08021            -15.5387            41.8417             74.2475             
0.264304            19456               26.7827             28.1639             -9.80329            -17.485             48.747              73.0917             
0.267782            19712               30.0126             24.9076             -13.7169            -19.9725            63.5368             58.571              
0.27126             19968               30.2883             19.5733             -12.6706            -16.7558            59.8312             40.155              
0.274737            20224               25.334              17.6385             -10.7006            -14.5918            50.6952             38.0363             
0.278215            20480               22.6815             18.8341             -10.5258            -15.0906            49.2454             45.0776             
0.281693            20736               24.8344             21.4746             -14.1813            -19.7888            62.5864             52.8048             
0.28517             20992               23.7777             16.117              -16.5822            -20.2801            70.3271             34.7561             
0.288648            21248               26.7279             14.5507             -19.8522            -22.9795            82.8478             25.702              
0.292126            21504               23.7366             9.47573             -18.0502            -20.0556            75.7612             9.75839             
0.295603            21760               24.1443             4.26217             -18.7036            -19.0758            78.28               -8.88               
0.299081            22016               24.0795             1.10824             -18.7198            -18.1796            78.3477             -20.0227            
0.302559            22272               24.7536             -4.89779            -17.1457            -14.1164            73.2165             -41.6562            
0.306036            22528               24.7656             -6.18231            -18.1134            -14.1711            76.3129             -45.432             
0.309514            22784               26.2344             -5.77813            -17.2231            -13.3936            73.9249             -44.8828            
0.312992            23040               27.7718             -2.41471            -15.7649            -13.6047            69.585              -34.2471            
0.316469            23296               28.7955             3.61753             -14.8438            -14.7363            66.9705             -15.4533            
0.319947            23552               26.7503             9.69619             -13.4554            -15.0366            61.4295             6.77789             
0.323425            23808               24.4974             14.9363             -15.05              -18.2382            65.8875             27.2836             
0.326903            24064               23.8235             28.8172             -17.1785            -24.7105            72.9619             76.1599             
0.33038             24320               25.5816             34.9329             -17.1929            -26.6614            73.4476             96.4761             
0.333858            24576               25.5012             33.7203             -16.477             -25.8322            70.9471             92.1042             
0.337336            24832               26.0619             35.9844             -15.5978            -26.1282            68.0972             99.9398             
0.340813            25088               27.6569             40.0681             -13.6208            -26.2833            61.8319             113.046             
0.344291            25344               26.7061             38.9744             -12.265             -25.2934            56.7956             110.357             
0.347769            25600               28.5179             39.7716             -11.5278            -25.2137            55.1824             111.396             
0.351246            25856               29.7864             40.1521             -8.50815            -22.6176            45.2447             111.657             
0.354724            26112               27.8573             41.1837             -9.29081            -23.2114            46.8168             116.829             
0.358202            26368               23.8175             48.5037             -10.4717            -27.3037            49.2645             145.571             
0.361679            26624               20.4998             59.3624             -11.4165            -32.3746            51.3847             185.86              
0.365157            26880               20.9271             62.5339             -11.9189            -33.7244            53.1464             196.375             
0.368635            27136               17.8623             66.2797             -11.5147            -33.4545            50.3961             211.958             
0.372112            27392               18.4502             65.6539             -13.1393            -34.001             56.4081             210.042             
0.37559             27648               23.0612             59.7372             -11.9237            -31.2776            54.2357             186.112             
0.379068            27904               24.9811             59.0802             -11.8538            -32.3524            54.8161             182.851             
0.382546            28160               23.1837             52.7988             -16.7153            -34.6086            70.7235             162.72              
0.386023            28416               19.4117             49.5306             -16.7459            -33.4842            69.2008             155.487             
0.389501            28672               20.3367             45.1064             -12.7357            -28.0523            55.812              139.295             
0.392979            28928               22.4798             37.1356             -9.36126            -22.048             44.6216             109.712             
0.396456            29184               25.4524             30.7999             -9.05321            -20.0169            44.788              85.6552             
0.399934            29440               26.0228             27.3472             -11.6518            -20.5864            53.9482             73.1012             
0.403412            29696               30.7176             30.3915             -11.1117            -21.3661            54.0482             79.3381             
0.406889            29952               34.5645             27.6866             -9.6752             -19.2623            50.7557             66.213              
0.410367            30208               32.0857             22.5194             -8.68108            -16.2277            46.2964             50.8591             
0.413845            30464               27.6693             31.7313             -10.1242            -21.1961            49.515              86.4227             
0.417322            30720               25.2126             33.3046             -10.848             -21.9774            51.0533             93.0799             
0.4208              30976               25.293              35.4644             -10.7731            -21.6628            50.9091             99.3251             
0.424278            31232               26.982              40.5317             -11.1126            -22.3333            52.7715             114.833             
0.427755            31488               24.2175             50.0807             -13.678             -27.1229            60.4586             150.746             
0.431233            31744               22.0622             49.9523             -11.402             -24.3172            51.5975             153.901             
0.434711            32000               23.3733             52.7937             -9.07435            -23.5679            44.2059             163.095             
0.438188            32256               24.6055             52.3198             -9.88063            -24.9951            47.5558             159.764             
0.441666            32512               23.8981             49.4009             -11.3221            -24.7453            52.0982             150.725             
0.445144            32768               25.6026             50.4015             -11.4752            -25.5781            53.4157             153.979             
0.448622            33024               26.8986             48.676              -11.9754            -25.7973            55.7132             147.908             
0.452099            33280               26.2196             41.715              -9.94205            -21.8749            48.5215             124.178             
0.455577            33536               25.3904             42.3005             -7.45263            -20.951             39.5466             126.232             
0.459055            33792               23.2051             38.5563             -7.79383            -20.6973            40.0296             115.009             
0.462532            34048               23.2436             31.7936             -7.91527            -18.6705            40.5631             91.3546             
0.46601             34304               24.6781             29.9816             -8.06665            -18.9084            41.8131             82.9326             
0.469488            34560               26.3043             22.2039             -8.67121            -16.4507            44.7096             53.3045             
0.472965            34816               28.1499             18.4612             -11.8473            -17.9719            56.6667             37.5788             
0.476443            35072               30.4853             19.9635             -15.1049            -21.1861            68.7695             39.897              
0.479921            35328               33.0188             21.0792             -13.9533            -20.3447            65.7809             41.0909             
0.483398            35584               33.2726             23.5491             -13.0279            -20.4714            62.7883             49.7133             
0.486876            35840               31.7856             31.678              -12.0183            -22.8732            58.8685             78.6764             
0.490354            36096               31.9926             37.8253             -10.4502            -23.216             53.4711             99.3053             
0.493831            36352               32.7347             37.7122             -10.0618            -22.1303            52.0714             98.2226             
0.497309            36608               32.8979             41.7411             -11.348             -23.5042            56.6705             111.76              
0.500787            36864               31.7106             49.8915             -12.3946            -26.3118            59.6825             140.378             
0.504265            37120               29.6238             60.0526             -13.8376            -31.1526            64.0732             176.287             
0.507742            37376               28.6465             65.4556             -14.2771            -33.5197            65.2836             196.521             
0.51122             37632               26.6049             70.3916             -10.2922            -32.5723            50.5938             217.031             
0.514698            37888               28.5513             62.9947             -6.72354            -27.1571            38.9361             190.388             
0.518175            38144               31.0874             53.147              -4.66031            -22.9759            32.9003             154.451             
0.521653            38400               35.1214             44.8584             -5.57391            -21.3233            37.912              123.638             
0.525131            38656               34.2155             32.598              -6.94632            -17.9942            42.275              81.8757             
0.528608            38912               33.5783             28.3783             -8.58818            -18.2187            47.5205             68.1546             
0.532086            39168               31.3255             27.2187             -9.53113            -18.9411            49.8958             66.3477             
0.535564            39424               29.9873             27.7173             -9.883              -19.0103            50.3294             69.0349             
0.539041            39680               27.7768             32.0745             -8.4159             -18.5868            44.1792             84.4483             
0.542519            39936               27.0798             43.9043             -9.2987             -24.0252            46.8699             125.102             
0.545997            40192               23.9244             50.1367             -10.2278            -26.3231            49.0514             150.085             
0.549474            40448               24.2103             54.847              -9.80615            -26.0845            47.597              166.209             
0.552952            40704               19.8178             57.877              -12.4061            -28.9084            54.8261             180.598             
0.55643             40960               18.8175             61.8237             -13.4436            -31.9652            58.1518             194.913             
0.559907            41216               23.7188             65.4171             -13.6707            -34.739             60.6172             203.533             
0.563385            41472               26.8831             58.4639             -14.492             -33.4222            64.578              178.131             
0.566863            41728               30.5902             47.4297             -14.911             -30.0264            67.5593             137.488             
0.570341            41984               31.4027             43.5291             -13.9426            -28.7844            64.8356             122.472             
0.573818            42240               32.0128             32.4382             -12.0964            -23.0359            58.9656             83.9116             
0.577296            42496               35.5055             25.6442             -12.449             -20.2944            61.2203             58.5526             
0.580774            42752               33.5217             23.9234             -13.734             -20.6925            64.7177             54.2578             
0.584251            43008               32.8606             25.3152             -11.2387            -18.5343            55.787              59.05               
0.587729            43264               30.3099             28.6741             -9.70124            -18.826             49.5072             72.5436             
0.591207            43520               29.5271             34.0497             -8.17338            -19.4743            44.189              90.4742             
0.594684            43776               30.1993             38.5683             -6.6991             -19.6159            39.374              105.611             
0.598162            44032               29.8571             41.9274             -8.39647            -22.0073            44.9357             117.64              
0.60164             44288               29.6878             54.1946             -10.2113            -27.6224            51.0815             160.17              
0.605117            44544               31.0481             63.0506             -11.5223            -31.9304            56.1903             189.714             
0.608595            44800               30.8381             66.2269             -11.2686            -32.3511            55.144              201.637             
0.612073            45056               27.9255             67.4195             -10.345             -31.8183            50.5377             208.018             
0.61555             45312               27.9743             70.2949             -11.6688            -33.4507            54.9116             218.537             
0.619028            45568               23.6589             71.8916             -12.7439            -34.9349            57.0964             227.929             
0.622506            45824               21.3754             80.2098             -12.9885            -39.2037            57.3839             258.501             
0.625984            46080               24.6237             76.5325             -11.4062            -36.7041            53.077              244.335             
0.629461            46336               29.1763             66.9475             -7.10235            -30.6435            40.1087             207.882             
0.632939            46592               30.0359             51.0364             -5.04976            -23.8298            33.447              153.001             
0.636417            46848               29.5761             44.57               -5.46341            -22.4782            34.6059             131.327             
0.639894            47104               32.4459             40.1658             -4.83521            -20.0753            33.6271             113.083             
0.643372            47360               33.0127             35.5062             -4.13938            -18.169             31.5786             95.3465             
0.64685             47616               31.176              30.7212             -5.09364            -15.8749            33.8099             79.3074             
0.650327            47872               30.6116             35.4869             -6.73141            -17.4637            39.2302             95.1239             
0.653805            48128               29.4562             40.9022             -6.78951            -18.6061            39.0422             114.726             
0.657283            48384               26.8218             43.0637             -6.92932            -19.2523            38.5083             126.104             
0.66076             48640               26.4968             52.9163             -7.69024            -24.4929            41.0857             160.592             
