#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -1.63713e-05        3.63808e-06         7.44152e-06         -6.07493e-06        -3.44943e-05        3.50578e-06         
0.00347769          256                 0.00996039          0.0096758           0.00137304          -0.0164633          0.0147275           0.0109194           
0.00695537          512                 -0.0870021          0.223523            0.820959            -0.363968           -0.998737           0.233589            
0.0104331           768                 -0.91481            0.141746            0.922568            -0.241983           -2.47766            0.136101            
0.0139107           1024                -1.17538            0.141455            -0.0516873          -0.237372           -1.8575             0.128546            
0.0173884           1280                -0.368728           0.0859955           -0.0719235          -0.139485           -0.517758           0.0885169           
0.0208661           1536                -0.207941           -0.0815313          -0.199704           0.134067            -0.125133           -0.0854756          
0.0243438           1792                0.603762            -0.0206945          -0.130367           0.0367646           1.1223              -0.0127837          
0.0278215           2048                0.432984            -0.0650457          0.00603441          0.108114            0.697133            -0.0621436          
0.0312992           2304                0.615824            -0.0787667          -0.332039           0.133356            1.35765             -0.074121           
0.0347769           2560                0.499346            -0.0903409          -0.159105           0.152073            0.982402            -0.0842939          
0.0382545           2816                0.307157            -0.0708486          -0.115563           0.117905            0.622465            -0.0693985          
0.0417322           3072                0.377167            -0.0501683          -0.113018           0.0845944           0.734506            -0.0469487          
0.0452099           3328                0.256025            -0.0554985          -0.083687           0.0927196           0.505675            -0.0537602          
0.0486876           3584                0.219781            -0.0391677          -0.0948812          0.0659527           0.458892            -0.0371624          
0.0521653           3840                0.169902            -0.034107           -0.0711442          0.0573101           0.352415            -0.0325818          
0.055643            4096                0.140879            -0.0318621          -0.0590599          0.0531651           0.292341            -0.0311949          
0.0591207           4352                0.134737            -0.0227082          -0.0577788          0.038234            0.281078            -0.0215344          
0.0625984           4608                0.115731            -0.0237697          -0.0556561          0.0398122           0.247931            -0.0230271          
0.066076            4864                0.116682            -0.0214415          -0.0644695          0.0360913           0.259093            -0.0205651          
0.0695537           5120                0.127155            -0.0250399          -0.0653759          0.0420606           0.277228            -0.0241798          
0.0730314           5376                0.134497            -0.0251824          -0.069398           0.0424165           0.293637            -0.0241714          
