#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -0.0380802          -0.00558627         -0.000329411        0.00450206          -0.0253822          -0.0262837          
0.00347769          256                 2446.56             -9.74355            -3131.04            34.1322             14951.3             -32.4885            
0.00695537          512                 0.14744             19.3225             209.535             -23.8543            -916.467            69.7466             
0.0104331           768                 -1475.47            9.70359             1338.59             -16.3139            -6661.66            34.4327             
0.0139107           1024                -604.278            1.65236             309.759             -2.49676            -1706.23            6.60386             
0.0173884           1280                -142.437            -7.86004            260.821             6.93928             -1213.45            -27.4816            
0.0208661           1536                570.661             -20.5608            -552.434            29.2975             2719.28             -70.5411            
0.0243438           1792                -200.928            -9.67278            100.272             11.0751             -562.568            -33.5748            
0.0278215           2048                -276.738            11.5253             265.106             -13.6561            -1308.46            41.9468             
0.0312992           2304                209.718             19.9922             -184.129            -21.7092            916.09              70.5857             
0.0347769           2560                234.938             -0.249729           -223.349            1.72957             1099.74             -0.83746            
0.0382545           2816                -84.1404            -7.36853            50.227              8.51143             -270.036            -25.5172            
0.0417322           3072                -128.68             5.3567              109.288             -6.62943            -549.814            18.9983             
0.0452099           3328                23.2413             11.6643             -31.3439            -11.986             147.097             41.4661             
0.0486876           3584                -13.6793            1.52149             -4.28011            1.06406             7.91154             6.13193             
0.0521653           3840                -86.8838            -3.57167            76.1653             5.47768             -382.113            -12.3234            
0.055643            4096                -38.7498            0.799824            29.1147             -0.484341           -150.392            2.37935             
0.0591207           4352                3.29709             -4.51348            -6.99305            4.2632              30.7062             -17.5249            
0.0625984           4608                -6.76111            -10.1756            3.22619             8.968               -19.3051            -38.3461            
0.066076            4864                -12.299             -14.0157            10.9544             12.6914             -55.302             -52.6718            
0.0695537           5120                0.893202            -11.3413            -0.980106           9.95411             4.03258             -43.2567            
0.0730314           5376                7.71658             -9.28777            -4.30034            9.06026             22.4155             -35.0013            
0.0765091           5632                -2.23987            -6.48542            3.74595             8.016               -18.3485            -23.4533            
0.0799868           5888                -10.9583            -1.81174            10.4955             2.71949             -52.9321            -6.1297             
