#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   0.000154122         -2.14977e-06        -0.000227049        3.12213e-06         0.000832478         -5.07611e-06        
0.00347769          256                 -0.297514           0.0499867           0.249995            -0.0690114          -1.0898             0.134502            
0.00695537          512                 -1.0945             0.0496262           1.78055             -0.0726164          -6.37766            0.121661            
0.0104331           768                 -0.856262           -0.0183777          2.43191             0.0198949           -7.82826            -0.0676213          
0.0139107           1024                8.92651             0.43897             -8.2978             -0.59502            34.9216             1.16483             
0.0173884           1280                15.8633             0.352867            -25.0911            -0.474606           90.4103             0.939048            
0.0208661           1536                3.34099             -0.079978           -5.16394            0.122611            18.7081             -0.1903             
0.0243438           1792                -6.91096            -0.250674           8.29756             0.338822            -32.1757            -0.661479           
0.0278215           2048                -9.12724            -0.0757305          13.5599             0.0952234           -49.6073            -0.214712           
0.0312992           2304                -3.93962            -0.000251523        6.74793             -0.00730153         -23.8643            -0.0213216          
0.0347769           2560                -2.23177            0.0186804           2.86666             -0.0265242          -10.897             0.0339834           
0.0382545           2816                -3.83189            0.0667071           5.78634             -0.0974112          -21.0831            0.164443            
0.0417322           3072                -3.21566            0.0468536           4.78848             -0.0705043          -17.5089            0.114337            
0.0452099           3328                -2.53225            -0.0186088          3.64828             0.0232599           -13.4519            -0.0586072          
0.0486876           3584                -1.62538            0.0089419           2.4536              -0.0142307          -8.9398             0.0149807           
0.0521653           3840                -1.30682            0.0608467           2.02264             -0.0857728          -7.32365            0.155172            
0.055643            4096                -1.3103             0.0352409           1.95377             -0.0510174          -7.14062            0.0869825           
0.0591207           4352                -1.10529            0.00368802          1.63293             -0.00633837         -5.98232            0.00401893          
0.0625984           4608                -0.928028           0.00624277          1.32128             -0.00968453         -4.88659            0.0128089           
0.066076            4864                -0.882859           0.013908            1.25185             -0.020268           -4.63475            0.0344226           
0.0695537           5120                -0.929342           0.00776762          1.3187              -0.0118271          -4.88132            0.0174946           
0.0730314           5376                -1.02692            0.00141141          1.45551             -0.00304971         -5.38931            -0.000165062        
0.0765091           5632                -1.12687            0.00872742          1.61455             -0.0133597          -5.96137            0.0192068           
0.0799868           5888                -1.24945            0.00827051          1.8074              -0.012947           -6.657              0.0173672           
0.0834645           6144                -1.37322            0.0060865           1.99151             -0.0100081          -7.33027            0.0107883           
0.0869422           6400                -1.48233            0.011833            2.1497              -0.018093           -7.91254            0.0258195           
0.0904198           6656                -1.60266            0.0115997           2.32058             -0.0180117          -8.54491            0.0245232           
0.0938975           6912                -1.72713            0.0124731           2.51295             -0.0193351          -9.24184            0.0264454           
0.0973752           7168                -1.81796            0.0147046           2.63524             -0.0225183          -9.70084            0.0322972           
0.100853            7424                -1.87289            0.0122094           2.72426             -0.0192778          -10.0198            0.0253421           
0.104331            7680                -1.88107            0.01264             2.72903             -0.0197723          -10.044             0.0267313           
0.107808            7936                -1.90932            0.00721166          2.76902             -0.0124237          -10.1921            0.0119439           
0.111286            8192                -1.87914            0.00649661          2.73109             -0.0112475          -10.047             0.0103158           
0.114764            8448                -1.76823            0.0127032           2.57847             -0.0198069          -9.47742            0.0274279           
