#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   0.000627403         0.000128656         -0.000458067        -8.89238e-05        0.00172692          0.00029751          
0.00347769          256                 8.83846             -0.376413           -2.02179            0.491861            16.4031             -0.687328           
0.00695537          512                 46.8839             -0.00744483         -17.7181            -0.882048           105.117             -0.337219           
0.0104331           768                 107.088             -3.07361            -44.3689            3.33802             242.479             -5.24651            
0.0139107           1024                674.528             -2.37545            -281.665            5.00664             1510.95             5.69859             
0.0173884           1280                682.155             0.778394            -307.472            0.555389            1588.65             6.1283              
0.0208661           1536                -44.7216            3.14082             15.1014             -0.140918           -95.0008            9.38751             
0.0243438           1792                -405.625            1.24099             182.893             -3.43063            -942.793            -5.21645            
0.0278215           2048                -306.153            -1.81411            147.558             0.322243            -730.876            -6.00451            
0.0312992           2304                -24.9627            -3.67904            19.7657             2.58773             -75.989             -8.30424            
0.0347769           2560                25.8982             -3.55585            -12.9826            3.80614             66.6161             -5.61558            
0.0382545           2816                -35.7963            -2.11415            17.2603             0.59942             -81.8272            -6.34682            
0.0417322           3072                -46.2134            -1.74937            23.2661             0.344589            -110.177            -5.22577            
0.0452099           3328                -44.1081            -2.10436            20.6218             2.00871             -102.393            -4.02554            
0.0486876           3584                5.2504              -1.8501             -1.46529            1.5609              12.2766             -3.79139            
0.0521653           3840                24.5973             -1.16307            -9.3009             0.468142            54.6798             -2.83805            
0.055643            4096                7.03739             -1.1839             -1.38724            0.634527            13.5091             -3.03592            
0.0591207           4352                -2.7272             -1.23527            2.64739             1.23635             -8.65377            -2.33126            
0.0625984           4608                -8.00973            -0.779083           4.15642             0.56777             -19.0246            -1.76051            
0.066076            4864                -10.3005            -0.452305           5.09783             0.0827516           -24.1016            -1.37372            
0.0695537           5120                -11.9513            -0.596441           6.04413             0.337626            -28.4531            -1.55792            
0.0730314           5376                -13.2721            -0.757385           6.80675             0.595459            -31.9032            -1.71243            
0.0765091           5632                -13.2366            -0.800028           6.95559             0.534869            -32.1255            -1.95221            
0.0799868           5888                -14.028             -0.919724           7.43602             0.665832            -34.2034            -2.1549             
0.0834645           6144                -14.709             -1.0563             7.89196             0.797345            -36.0047            -2.44372            
0.0869422           6400                -14.3043            -1.15917            7.82007             0.847875            -35.1878            -2.72804            
0.0904198           6656                -15.3782            -1.22211            8.36766             0.854033            -37.7276            -2.9158             
0.0938975           6912                -17.0937            -1.28523            9.26281             0.886411            -41.9308            -3.07337            
0.0973752           7168                -19.1991            -1.3229             10.1764             0.892389            -46.6473            -3.17837            
0.100853            7424                -21.1656            -1.34047            11.0618             0.855801            -51.1901            -3.32447            
0.104331            7680                -22.5255            -1.29854            11.5916             0.822508            -54.1278            -3.18181            
0.107808            7936                -24.7725            -1.40589            12.5215             0.966897            -59.1541            -3.44617            
0.111286            8192                -24.6392            -1.33118            12.4365             0.913622            -58.8108            -3.17319            
0.114764            8448                -21.1705            -1.22886            10.7877             0.782893            -50.5849            -2.98546            
0.118241            8704                -19.4934            -1.24182            9.9772              0.800788            -46.5943            -3.04625            
0.121719            8960                -19.3764            -1.25887            10.0428             0.835193            -46.6276            -3.05966            
0.125197            9216                -18.2413            -1.23872            9.6481              0.837532            -44.2679            -2.9375             
0.128674            9472                -16.8532            -1.21738            8.98356             0.803481            -40.9566            -2.90078            
0.132152            9728                -16.747             -1.20549            8.92848             0.780086            -40.6892            -2.89838            
0.13563             9984                -16.8508            -1.2697             9.07708             0.861281            -41.1628            -3.03283            
0.139107            10240               -17.7778            -1.33088            9.57134             0.872253            -43.4624            -3.27936            
0.142585            10496               -17.6206            -1.31201            9.54436             0.875533            -43.1786            -3.12232            
0.146063            10752               -15.7079            -1.31273            8.68984             0.839227            -38.7314            -3.18096            
0.149541            11008               -15.255             -1.35497            8.48107             0.879234            -37.668             -3.31411            
0.153018            11264               -17.1267            -1.42123            9.35754             0.972377            -42.0836            -3.43877            
0.156496            11520               -18.2607            -1.25293            9.79817             0.866691            -44.5767            -2.84066            
0.159974            11776               -18.7505            -1.24781            9.81851             0.778704            -45.2581            -3.07539            
0.163451            12032               -19.5833            -1.26283            10.0739             0.901202            -46.9505            -2.93229            
0.166929            12288               -21.8888            -1.20579            11.0114             0.829987            -52.1667            -2.92108            
0.170407            12544               -24.5472            -1.0795             12.0838             0.633594            -58.1051            -2.79305            
0.173884            12800               -24.9443            -1.06345            12.1679             0.675366            -58.8428            -2.6792             
0.177362            13056               -24.8216            -1.02025            12.0154             0.738308            -58.3717            -2.36825            
0.18084             13312               -24.9585            -0.966517           12.1055             0.55607             -58.8021            -2.52791            
0.184317            13568               -26.5456            -0.914063           12.7946             0.538243            -62.4516            -2.29027            
0.187795            13824               -27.3151            -0.975278           13.1682             0.462071            -64.2892            -2.80994            
0.191273            14080               -26.6057            -1.02662            12.8677             0.894987            -62.7018            -2.05767            
0.19475             14336               -25.542             -0.912249           12.3719             0.51273             -60.2088            -2.36008            
0.198228            14592               -25.232             -1.02847            12.2464             0.686241            -59.5195            -2.57047            
0.201706            14848               -25.3893            -0.868077           12.3039             0.494495            -59.8577            -2.1787             
0.205183            15104               -25.6859            -0.966656           12.4069             0.530865            -60.5296            -2.64117            
