#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   0.000692558         -0.000319324        -0.000821709        0.000483365         0.00240181          -0.000517918        
0.00347769          256                 -0.753885           0.149399            -1.2001             0.388594            2.0452              0.0365894           
0.00695537          512                 -0.895437           0.271996            -1.297              0.145622            2.25709             0.418382            
0.0104331           768                 8.93179             -3.83833            -1.90235            6.41496             10.9033             -7.2624             
0.0139107           1024                79.0274             32.2009             -191.017            21.3939             496.077             91.948              
0.0173884           1280                34.8062             16.1716             -188.995            36.4628             457.094             46.6787             
0.0208661           1536                8.08879             -15.6201            26.5747             7.85312             -52.8525            -31.3449            
0.0243438           1792                -36.1904            -35.1451            209.63              -23.6249            -504.214            -87.2819            
0.0278215           2048                -31.8253            -18.4924            161.138             -25.8326            -391.632            -50.4442            
0.0312992           2304                -21.7365            5.68957             -4.37542            -4.34984            -7.83823            6.14695             
0.0347769           2560                -13.8016            16.4166             -46.9785            -2.29241            95.6937             32.8192             
0.0382545           2816                -13.6317            11.2475             -2.66132            -9.54027            -4.63737            21.253              
0.0417322           3072                -15.1006            7.05447             14.9906             -10.2291            -45.8871            11.4965             
0.0452099           3328                -10.0686            7.54133             13.2804             -9.73272            -37.7523            13.8496             
0.0486876           3584                -7.08913            7.63902             4.25379             -7.38041            -14.9897            14.9692             
0.0521653           3840                -5.13731            6.02127             5.02505             -6.22292            -15.2887            11.9594             
0.055643            4096                -5.0197             3.67579             9.78411             -5.53948            -26.0351            6.76632             
0.0591207           4352                -4.83464            2.7412              6.87606             -4.02755            -19.3103            4.75243             
0.0625984           4608                -4.4706             2.61815             4.3141              -3.26975            -13.2276            4.59112             
0.066076            4864                -4.11197            2.39842             4.70841             -3.20806            -13.8499            4.21392             
0.0695537           5120                -4.51522            1.64752             7.37537             -3.28419            -20.2438            2.44224             
0.0730314           5376                -5.12701            1.16603             9.2828              -3.35048            -25.0788            1.1935              
0.0765091           5632                -5.58725            1.23302             9.54518             -3.48315            -26.0498            1.21866             
0.0799868           5888                -5.98082            1.54844             9.16137             -3.6756             -25.4866            1.81121             
0.0834645           6144                -6.49971            1.8245              9.1563              -3.94898            -25.883             2.28068             
0.0869422           6400                -7.0686             2.08849             9.26331             -4.20475            -26.5763            2.71316             
0.0904198           6656                -7.62012            2.33046             9.91908             -4.58871            -28.4944            3.09802             
0.0938975           6912                -8.1375             2.63164             10.5577             -5.01276            -30.3451            3.62822             
0.0973752           7168                -8.54294            2.9548              10.9767             -5.39393            -31.6112            4.2342              
0.100853            7424                -8.72793            3.1919              11.0168             -5.63387            -31.8502            4.70295             
0.104331            7680                -8.93488            3.32001             10.7681             -5.66953            -31.4445            4.92919             
0.107808            7936                -8.98416            3.36412             11.2162             -5.83002            -32.4938            5.01173             
0.111286            8192                -8.65235            3.51984             10.5725             -5.79043            -30.7695            5.44282             
0.114764            8448                -8.31543            3.72357             9.10649             -5.5569             -27.1682            5.99578             
0.118241            8704                -8.10141            3.54858             9.11507             -5.40629            -27.0181            5.66426             
0.121719            8960                -7.98519            3.27617             10.0956             -5.42811            -29.149             5.08619             
0.125197            9216                -7.99344            3.08388             10.4281             -5.33263            -29.9159            4.65537             
0.128674            9472                -7.84519            3.19597             9.74702             -5.24316            -28.2462            4.94923             
0.132152            9728                -7.8169             3.2056              9.53487             -5.21214            -27.745             4.97438             
0.13563             9984                -7.98829            3.08328             9.95972             -5.21593            -28.8469            4.65737             
0.139107            10240               -8.21555            2.99906             10.7339             -5.35915            -30.7888            4.41177             
0.142585            10496               -8.26172            3.20201             10.6048             -5.47823            -30.5297            4.85601             
0.146063            10752               -8.22316            3.45299             9.79519             -5.49213            -28.6631            5.42436             
0.149541            11008               -8.22377            3.41032             9.67379             -5.44107            -28.3816            5.32381             
0.153018            11264               -8.26418            3.32379             10.4409             -5.58689            -30.1586            5.11367             
0.156496            11520               -8.23394            3.46375             10.0207             -5.53162            -29.1798            5.44248             
0.159974            11776               -8.15335            3.61745             9.77631             -5.64103            -28.5498            5.81932             
0.163451            12032               -7.99621            3.54303             9.29952             -5.46663            -27.3505            5.68465             
0.166929            12288               -7.73641            3.34195             9.20726             -5.25872            -26.9419            5.30389             
0.170407            12544               -7.61893            2.98096             9.94242             -5.15319            -28.5197            4.51942             
0.173884            12800               -7.59773            2.83769             9.74053             -4.98652            -28.0513            4.20769             
0.177362            13056               -7.39493            2.7979              9.44281             -4.83706            -27.2141            4.18341             
0.18084             13312               -7.23208            2.71852             9.68494             -4.83484            -27.6417            4.05837             
0.184317            13568               -7.36764            2.53327             10.0741             -4.79838            -28.6328            3.60809             
0.187795            13824               -7.39477            2.40138             10.3929             -4.80214            -29.393             3.30363             
0.191273            14080               -7.2094             2.67246             9.38309             -4.70167            -26.9474            3.96717             
0.19475             14336               -7.12209            2.8906              9.02456             -4.83714            -26.0572            4.49602             
0.198228            14592               -7.13575            2.58866             9.05508             -4.60716            -26.1501            3.7846              
0.201706            14848               -7.031              2.61441             9.20619             -4.6673             -26.4015            3.8812              
0.205183            15104               -6.93503            2.70425             8.95632             -4.69096            -25.7583            4.10931             
0.208661            15360               -6.8978             2.56398             8.59397             -4.46163            -24.9137            3.80387             
0.212139            15616               -6.94911            2.49392             8.87538             -4.44872            -25.5886            3.63982             
0.215617            15872               -6.96122            2.37091             9.66485             -4.58449            -27.3945            3.35305             
0.219094            16128               -6.86715            2.57292             9.06709             -4.57865            -25.9607            3.84138             
0.222572            16384               -6.99726            2.43059             8.69238             -4.33221            -25.2167            3.46655             
0.22605             16640               -6.94373            2.52267             9.03561             -4.52236            -25.9571            3.6883              
0.229527            16896               -7.01636            2.57963             8.92886             -4.55075            -25.7767            3.81052             
0.233005            17152               -7.15468            2.49358             9.38963             -4.60633            -26.9265            3.57611             
0.236483            17408               -7.26975            2.47195             9.97566             -4.74848            -28.3431            3.49419             
0.23996             17664               -7.33765            2.47784             10.2141             -4.81114            -28.9438            3.47053             
0.243438            17920               -7.17078            2.75823             8.86003             -4.67253            -25.7337            4.14762             
0.246916            18176               -7.11067            2.9959              8.32373             -4.75716            -24.4648            4.71371             
0.250393            18432               -6.95032            3.03241             7.75595             -4.60613            -23.0509            4.828               
0.253871            18688               -6.93086            2.94043             8.9709              -4.83927            -25.7721            4.62121             
0.257349            18944               -7.18509            2.81516             9.42253             -4.85201            -26.9986            4.26689             
0.260826            19200               -7.17477            2.94274             9.0969              -4.92396            -26.2485            4.559               
0.264304            19456               -7.0973             3.05984             8.79353             -4.9191             -25.4947            4.83953             
0.267782            19712               -7.38484            3.17881             8.90593             -5.04414            -25.9818            5.04158             
0.27126             19968               -7.50876            3.25341             9.19932             -5.23211            -26.7314            5.17918             
