#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   1.00874e-05         -6.61469e-07        -2.82778e-05        1.27174e-05         9.19005e-05         2.84033e-06         
0.00347769          256                 0.341784            0.141737            -0.153442           -0.148907           0.926662            0.526461            
0.00695537          512                 -0.913831           -0.35634            0.102175            0.486021            -1.69416            -1.35239            
0.0104331           768                 1.38735             0.232405            -0.0407746          -0.332161           2.17086             1.18988             
0.0139107           1024                13.761              -1.18924            -8.82077            5.35453             44.5016             2.32077             
0.0173884           1280                5.71679             -0.746641           -17.6081            8.26826             56.3845             0.266381            
0.0208661           1536                -0.681943           0.715388            0.892155            -1.42502            -3.50658            1.69614             
0.0243438           1792                -5.38057            0.362355            7.56273             -3.61314            -28.6018            -1.18532            
0.0278215           2048                -2.61155            0.318564            5.76051             -2.82129            -19.5602            -0.201831           
0.0312992           2304                1.27203             -0.19058            -0.154967           0.341391            2.33278             -0.0237555          
0.0347769           2560                -0.617138           -0.0507262          0.137064            0.0171287           -1.29139            -0.398325           
0.0382545           2816                -0.627399           0.0734296           2.36333             -1.07316            -7.37019            -0.062671           
0.0417322           3072                -0.0545354          -0.0189221          0.842603            -0.317234           -2.37185            -0.0837732          
0.0452099           3328                -0.307732           -0.0345414          0.856021            -0.298518           -2.78535            -0.226416           
0.0486876           3584                0.102274            -0.0467645          0.410064            -0.0988896          -0.963778           -0.0917996          
0.0521653           3840                0.186705            0.0102475           0.139455            -0.0741629          -0.103029           0.0986204           
0.055643            4096                0.0678698           -0.0111092          0.155742            -0.0488725          -0.323155           -0.0084393          
0.0591207           4352                0.0677906           -0.010684           0.123333            -0.0359642          -0.234427           -0.00659327         
0.0625984           4608                -0.0853728          0.00794589          0.22611             -0.105128           -0.742135           -0.0167359          
0.066076            4864                -0.150271           0.0115755           0.321441            -0.149103           -1.09903            -0.0324716          
0.0695537           5120                -0.171265           0.0162725           0.348737            -0.167221           -1.20471            -0.0282943          
0.0730314           5376                -0.191139           0.0141364           0.371218            -0.173225           -1.29529            -0.0425232          
0.0765091           5632                -0.190577           0.0196759           0.395985            -0.191634           -1.36181            -0.0273992          
0.0799868           5888                -0.177494           0.0198568           0.468843            -0.221553           -1.5405             -0.0218098          
0.0834645           6144                -0.179319           0.0146299           0.479879            -0.218302           -1.57339            -0.0371711          
0.0869422           6400                -0.191401           0.0250862           0.473516            -0.231378           -1.57426            -0.0137962          
0.0904198           6656                -0.211557           0.0154195           0.530395            -0.240141           -1.75919            -0.0487713          
0.0938975           6912                -0.215984           0.0255904           0.568389            -0.270822           -1.86914            -0.022964           
0.0973752           7168                -0.249975           0.0249088           0.599899            -0.282655           -2.00534            -0.0388016          
0.100853            7424                -0.252837           0.0230834           0.633831            -0.293741           -2.10174            -0.0451139          
0.104331            7680                -0.258763           0.0202538           0.640743            -0.29229            -2.12916            -0.0551773          
0.107808            7936                -0.28468            0.0164512           0.703071            -0.311917           -2.33739            -0.0760545          
0.111286            8192                -0.256712           0.0158468           0.661744            -0.294164           -2.18298            -0.0662522          
0.114764            8448                -0.226088           0.0187063           0.605846            -0.275645           -1.98519            -0.0457744          
0.118241            8704                -0.235015           0.0136749           0.624253            -0.275535           -2.04875            -0.0629762          
0.121719            8960                -0.228729           0.0157416           0.628598            -0.280358           -2.0513             -0.0547933          
0.125197            9216                -0.199766           0.0148804           0.585292            -0.261472           -1.89018            -0.0454908          
0.128674            9472                -0.202345           0.0158933           0.564218            -0.254389           -1.8367             -0.0438037          
0.132152            9728                -0.211244           0.0159389           0.573297            -0.258123           -1.8747             -0.0472613          
0.13563             9984                -0.211162           0.0137471           0.595198            -0.263751           -1.93435            -0.0532929          
0.139107            10240               -0.20953            0.00767204          0.602509            -0.257687           -1.9517             -0.0694736          
0.142585            10496               -0.200987           0.0137172           0.581915            -0.258369           -1.88294            -0.0495142          
0.146063            10752               -0.186258           0.0111421           0.550162            -0.241632           -1.77469            -0.0506062          
0.149541            11008               -0.183743           0.0104489           0.563442            -0.245994           -1.80701            -0.0516688          
0.153018            11264               -0.200791           0.00399808          0.570407            -0.239202           -1.85148            -0.0763007          
0.156496            11520               -0.203798           0.0269213           0.527527            -0.255974           -1.73884            -0.0145832          
0.159974            11776               -0.245668           0.0160327           0.57064             -0.257188           -1.91881            -0.0612539          
0.163451            12032               -0.244434           0.011241            0.552672            -0.242693           -1.86812            -0.0737751          
0.166929            12288               -0.241474           0.0174178           0.606839            -0.273833           -2.0106             -0.0550763          
0.170407            12544               -0.301668           0.0136375           0.618728            -0.27294            -2.13245            -0.0896414          
0.173884            12800               -0.263122           0.0149796           0.631631            -0.280121           -2.10998            -0.0700475          
0.177362            13056               -0.319161           0.0116233           0.61241             -0.267255           -2.14139            -0.101807           
0.18084             13312               -0.28396            0.0227471           0.674097            -0.308912           -2.25657            -0.0569599          
0.184317            13568               -0.300989           0.00322168          0.68076             -0.282468           -2.30001            -0.117351           
0.187795            13824               -0.314237           0.0043346           0.73035             -0.30429            -2.45441            -0.119484           
0.191273            14080               -0.27267            0.0192797           0.656719            -0.296634           -2.19218            -0.0616027          
0.19475             14336               -0.287567           0.0110254           0.684375            -0.295557           -2.28963            -0.09038            
0.198228            14592               -0.254373           0.00895694          0.689319            -0.294463           -2.25352            -0.0826841          
0.201706            14848               -0.260747           0.0149844           0.667704            -0.294658           -2.20401            -0.0686914          
0.205183            15104               -0.282454           0.00252449          0.685751            -0.283359           -2.28563            -0.111584           
0.208661            15360               -0.261254           0.0046746           0.633226            -0.265194           -2.11066            -0.097081           
0.212139            15616               -0.309398           0.0139127           0.666032            -0.292282           -2.27182            -0.0911534          
0.215617            15872               -0.33991            0.00731121          0.705927            -0.298678           -2.42591            -0.121734           
0.219094            16128               -0.273097           -0.0030034          0.657252            -0.263544           -2.1936             -0.12306            
0.222572            16384               -0.303767           0.00985125          0.646068            -0.278134           -2.2089             -0.100173           
0.22605             16640               -0.307833           0.00544537          0.716296            -0.300028           -2.40597            -0.113911           
0.229527            16896               -0.25989            -0.00961345         0.687871            -0.2659             -2.25703            -0.135613           
0.233005            17152               -0.320559           -0.00876892         0.711136            -0.276499           -2.4108             -0.157974           
0.236483            17408               -0.348464           -0.00480474         0.745732            -0.296446           -2.54672            -0.158383           
0.23996             17664               -0.336452           -0.0105352          0.762486            -0.29475            -2.57437            -0.16949            
0.243438            17920               -0.301648           0.00398237          0.676526            -0.281485           -2.28842            -0.115601           
0.246916            18176               -0.316879           -0.0115375          0.714738            -0.273839           -2.41517            -0.163839           
0.250393            18432               -0.279638           0.00293179          0.674058            -0.278848           -2.24896            -0.108938           
0.253871            18688               -0.312364           0.00776944          0.719138            -0.304395           -2.42078            -0.109118           
0.257349            18944               -0.277646           -0.00425787         0.67918             -0.270299           -2.26064            -0.128045           
0.260826            19200               -0.291708           -0.010354           0.647424            -0.248373           -2.19543            -0.150862           
