#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   2.23246e-05         1.65367e-07         5.65556e-05         7.93765e-08         -0.000121977        6.66759e-07         
0.00347769          256                 2.43516             0.00715362          -1.09314            -0.00570127         5.5663              0.0248485           
0.00695537          512                 -0.791403           0.0130203           0.271267            -0.0184523          -1.69589            0.0313468           
0.0104331           768                 8.17404             -0.0348424          -4.3522             0.0404577           20.6509             -0.0930669          
0.0139107           1024                102.796             -0.431714           -42.9591            0.542271            227.868             -1.13007            
0.0173884           1280                135.984             -0.759349           -56.0293            0.926601            299.841             -2.031              
0.0208661           1536                -5.70928            0.0552546           4.81149             -0.0457114          -19.2838            0.165213            
0.0243438           1792                -81.3522            0.420929            34.3159             -0.521921           -181.389            1.11172             
0.0278215           2048                -50.1217            0.284805            18.7233             -0.358457           -105.317            0.761065            
0.0312992           2304                -0.790602           -0.0145622          -1.54185            0.00390107          3.22194             -0.0512195          
0.0347769           2560                9.29697             -0.0590764          -5.41692            0.0673075           24.6737             -0.157243           
0.0382545           2816                -3.58169            0.0103965           -0.0125242          -0.0219239          -4.00719            0.0224153           
0.0417322           3072                -4.42442            0.0138201           0.567343            -0.0246527          -6.42186            0.0322742           
0.0452099           3328                -6.62571            0.0313242           1.93495             -0.0425             -12.5314            0.0828857           
0.0486876           3584                -0.387999           0.00218367          -0.523527           -0.00676792         0.908773            0.00436243          
0.0521653           3840                5.64528             -0.0293993          -3.15006            0.0321166           14.5864             -0.0794759          
0.055643            4096                3.20424             -0.0250979          -2.03571            0.026258            8.93798             -0.0694242          
0.0591207           4352                0.143323            -0.00388199         -0.517778           0.00226708          1.50348             -0.0106242          
0.0625984           4608                -0.727018           4.00188e-05         -0.0660198          -0.00236726         -0.646101           -0.000493915        
0.066076            4864                -1.53711            0.00576519          0.321388            -0.00926569         -2.57237            0.0144501           
0.0695537           5120                -1.65072            0.00585102          0.34897             -0.00943404         -2.7717             0.0145923           
0.0730314           5376                -1.82801            0.0067784           0.384515            -0.0105133          -3.06341            0.017442            
0.0765091           5632                -1.7186             0.00671159          0.29111             -0.0106724          -2.69723            0.0170614           
0.0799868           5888                -1.70297            0.00672912          0.233067            -0.0108308          -2.52916            0.017118            
0.0834645           6144                -1.83732            0.00628527          0.239762            -0.0107334          -2.69822            0.0155522           
0.0869422           6400                -1.70036            0.00625964          0.128623            -0.0108892          -2.25383            0.0154              
0.0904198           6656                -1.64952            0.00498962          0.0511032           -0.0096844          -1.99279            0.0117549           
0.0938975           6912                -1.90033            0.0061796           0.11577             -0.0113808          -2.44609            0.0147763           
0.0973752           7168                -2.11998            0.00771669          0.170746            -0.0133034          -2.83426            0.0189601           
0.100853            7424                -2.3969             0.00809935          0.273682            -0.0140709          -3.41524            0.019569            
0.104331            7680                -2.62993            0.0101603           0.375347            -0.0163572          -3.94335            0.0254252           
0.107808            7936                -3.02063            0.010483            0.539713            -0.0171108          -4.81205            0.0257324           
0.111286            8192                -3.09957            0.01219             0.587334            -0.0188375          -5.02501            0.030851            
0.114764            8448                -2.58411            0.0105587           0.39822             -0.0166359          -3.95061            0.0264935           
0.118241            8704                -2.35967            0.00865598          0.320154            -0.0143542          -3.49589            0.0212611           
0.121719            8960                -2.37219            0.00894702          0.325371            -0.0146879          -3.5259             0.022096            
0.125197            9216                -2.14213            0.0084319           0.22358             -0.0139054          -2.99902            0.0209819           
0.128674            9472                -1.90673            0.0075414           0.128858            -0.0127352          -2.4869             0.0186359           
0.132152            9728                -1.87483            0.00782997          0.114788            -0.0130047          -2.41551            0.0195371           
0.13563             9984                -1.9257             0.00739902          0.128559            -0.0126855          -2.51058            0.0181189           
0.139107            10240               -2.03626            0.00598282          0.156422            -0.0114257          -2.70578            0.0137344           
0.142585            10496               -2.00556            0.00808959          0.131146            -0.0135916          -2.60648            0.0200406           
0.146063            10752               -1.67893            0.00592329          -0.0103789          -0.0111163          -1.86837            0.0139505           
0.149541            11008               -1.55354            0.00487387          -0.066237           -0.00987953         -1.58221            0.011113            
0.153018            11264               -1.80479            0.00461077          0.0329388           -0.00979643         -2.12276            0.0101913           
0.156496            11520               -1.98478            0.00996056          0.120402            -0.0153388          -2.55337            0.0259294           
