#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   0.000484856         0.000287408         -0.001442           -0.000824124        0.00365951          0.000447404         
0.00347769          256                 1.47054             -1.45988            -0.341248           0.996446            1.72605             -3.792              
0.00695537          512                 0.357741            -0.0130756          0.319361            0.224919            -0.42744            -0.219238           
0.0104331           768                 5.05551             5.45828             -0.566187           -5.91663            4.83972             10.7188             
0.0139107           1024                63.6337             -35.674             -116.359            -11.5582            314.988             -103.613            
0.0173884           1280                31.7733             -20.1745            -152.673            -40.7991            373.232             -57.8989            
0.0208661           1536                8.98412             14.517              -25.4495            -24.9386            65.5804             28.5171             
0.0243438           1792                -29.8223            37.3254             101.829             3.09869             -255.274            94.3451             
0.0278215           2048                -29.1153            22.8505             116.463             23.7541             -288.694            62.419              
0.0312992           2304                -15.8617            -7.56999            29.9027             19.6033             -80.9054            -10.5237            
0.0347769           2560                -9.78325            -16.131             9.72751             19.9691             -29.813             -32.035             
0.0382545           2816                -9.00659            -9.78678            30.8037             21.8772             -77.1487            -18.163             
0.0417322           3072                -11.198             -5.77706            29.4948             17.0201             -75.9853            -8.33526            
0.0452099           3328                -6.96967            -6.97868            22.0197             14.6527             -55.4731            -12.6071            
0.0486876           3584                -4.55615            -7.58715            13.3763             11.841              -33.9196            -14.9664            
0.0521653           3840                -3.19743            -5.28442            12.3016             9.47357             -30.4624            -10.4185            
0.055643            4096                -3.33639            -3.02816            13.1336             7.72197             -32.4844            -5.3654             
0.0591207           4352                -3.20448            -2.73842            10.3088             6.39559             -25.9484            -4.78666            
0.0625984           4608                -3.01515            -2.45066            8.27993             5.37941             -21.1893            -4.22847            
0.066076            4864                -2.77437            -2.03326            8.17371             4.97498             -20.7549            -3.40218            
0.0695537           5120                -3.1423             -1.39125            9.21848             4.79254             -23.4359            -1.84246            
0.0730314           5376                -3.57925            -0.920861           10.6406             4.92451             -27.0303            -0.630646           
0.0765091           5632                -3.98633            -0.850746           11.6345             5.27645             -29.6231            -0.316299           
0.0799868           5888                -4.24349            -1.12863            12.4695             5.89076             -31.7241            -0.832314           
0.0834645           6144                -4.55165            -1.51818            13.359              6.61599             -33.9852            -1.58033            
0.0869422           6400                -4.97241            -1.71427            14.4219             7.23646             -36.7391            -1.85061            
0.0904198           6656                -5.34865            -1.95218            15.573              7.90632             -39.6529            -2.23102            
0.0938975           6912                -5.71146            -2.23526            16.614              8.5647              -42.304             -2.71661            
0.0973752           7168                -6.03951            -2.45912            17.6045             9.1629              -44.8194            -3.08251            
0.100853            7424                -6.15529            -2.82111            17.9143             9.61339             -45.6143            -3.83978            
0.104331            7680                -6.31598            -2.88521            17.9952             9.70956             -45.9267            -3.91428            
0.107808            7936                -6.30546            -3.1425             18.0615             9.94547             -46.065             -4.49298            
0.111286            8192                -6.14761            -3.19901            17.7684             9.89117             -45.2741            -4.67138            
0.114764            8448                -5.87583            -3.3151             16.6381             9.55626             -42.4826            -5.03661            
0.118241            8704                -5.66887            -3.22057            16.1125             9.24969             -41.1181            -4.90917            
0.121719            8960                -5.56197            -2.99316            16.4654             9.17184             -41.8363            -4.4468             
0.125197            9216                -5.6286             -2.70606            16.5949             8.96184             -42.1879            -3.78025            
0.128674            9472                -5.58498            -2.66691            16.2035             8.77745             -41.265             -3.70698            
0.132152            9728                -5.47828            -2.73854            16.1872             8.84218             -41.1399            -3.90957            
