#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   2.2986e-05          -5.62248e-06        -4.28301e-05        -9.07667e-06        0.000150814         -2.47667e-05        
0.00347769          256                 0.257882            -0.0790966          -0.190076           0.0418013           0.904806            -0.322192           
0.00695537          512                 -1.64199            -0.243536           -0.233415           0.273659            -1.84663            0.00455878          
0.0104331           768                 0.676423            -0.0337528          -0.196069           -0.0240669          1.54234             -0.361976           
0.0139107           1024                11.6031             1.27605             -8.87789            -5.46246            41.5389             -1.17659            
0.0173884           1280                4.50589             0.102073            -18.9532            -7.776              58.3473             -1.52162            
0.0208661           1536                -0.311195           -0.557625           1.08197             1.25536             -3.46838            -1.39508            
0.0243438           1792                -5.04621            -0.417239           8.09406             3.87181             -29.6068            0.88801             
0.0278215           2048                -2.81921            0.128572            7.34742             2.77159             -24.2299            1.48999             
0.0312992           2304                0.688081            0.245148            0.721386            -0.0650064          -0.920612           0.393639            
0.0347769           2560                -0.894003           0.0847579           0.485264            0.0734609           -2.65176            0.593257            
0.0382545           2816                -0.472142           0.142597            2.19029             0.675053            -6.66939            0.581588            
0.0417322           3072                -0.377214           0.149304            0.975844            0.17649             -3.21406            0.562164            
0.0452099           3328                -0.554348           0.111994            1.16695             0.306337            -4.0019             0.531033            
0.0486876           3584                -0.125107           0.0752581           0.640354            0.148817            -1.92879            0.257108            
0.0521653           3840                0.0980622           0.0983999           0.169213            -0.0747458          -0.31125            0.230782            
0.055643            4096                -0.0303353          0.0599062           0.0526238           -0.064526           -0.18413            0.176943            
0.0591207           4352                -0.104022           0.0341508           0.200617            0.032361            -0.698728           0.135937            
0.0625984           4608                -0.169134           0.0317121           0.323963            0.0848019           -1.13327            0.155352            
0.066076            4864                -0.15759            0.0454328           0.351535            0.0752502           -1.19166            0.188244            
0.0695537           5120                -0.19538            0.0235208           0.375881            0.11779             -1.3147             0.143587            
0.0730314           5376                -0.249068           0.0250571           0.441006            0.141844            -1.57238            0.169533            
0.0765091           5632                -0.245369           0.0349146           0.483386            0.144479            -1.68218            0.195137            
0.0799868           5888                -0.261688           0.0376266           0.529981            0.159472            -1.83335            0.209178            
0.0834645           6144                -0.271463           0.0482356           0.584531            0.165857            -1.99664            0.242144            
0.0869422           6400                -0.290862           0.0505362           0.606492            0.17157             -2.08544            0.256411            
