#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   4.79565e-06         -7.27615e-06        0.000911669         0.00038333          -0.00204936         2.92475e-05         
0.00347769          256                 1.64544             0.305152            -4.12245            -0.650504           10.5722             1.04381             
0.00695537          512                 -1.11945            -0.141693           -0.291452           -0.480952           -0.15138            -0.642907           
0.0104331           768                 22.244              -7.2679             -160.625            6.4505              382.749             -15.4011            
0.0139107           1024                25.7567             17.9404             -32.8247            -22.5682            94.077              46.6254             
0.0173884           1280                -24.1308            -7.83446            66.4599             13.4258             -167.879            -20.5538            
0.0208661           1536                -12.3963            -3.74857            -207.52             24.5281             464.915             -12.186             
0.0243438           1792                -10.0862            1.40041             -175.423            11.9425             392.561             1.33122             
0.0278215           2048                -11.0922            0.577504            -29.9298            -2.12199            59.366              -0.85113            
0.0312992           2304                7.76124             0.0709721           87.9314             -13.4291            -195.396            1.36585             
0.0347769           2560                7.19692             0.51897             79.2284             -17.2973            -175.692            1.76                
0.0382545           2816                -0.538902           0.897906            39.0964             -14.2655            -90.0517            1.20013             
0.0417322           3072                -5.37914            -0.506926           1.82101             -8.01513            -8.83182            -2.89399            
0.0452099           3328                1.75085             0.357601            -28.5977            -5.63484            65.8029             0.177676            
0.0486876           3584                0.352781            0.159032            -13.2457            -4.72035            29.9271             -0.164472           
0.0521653           3840                0.600684            -0.28729            -4.43001            -3.52609            10.1191             -0.953916           
0.055643            4096                0.396751            0.227746            -10.5483            -3.24329            24.0048             0.169407            
0.0591207           4352                -0.534335           -0.246918           -11.1538            -2.11554            24.7866             -1.03653            
0.0625984           4608                -0.493647           -0.127502           -10.6018            -2.08382            23.6112             -0.749873           
0.066076            4864                -0.512382           0.283628            -7.23865            -2.45889            15.9505             0.263924            
0.0695537           5120                -0.480671           -0.0658158          -5.95256            -1.80354            13.0503             -0.488481           
0.0730314           5376                -0.321618           -0.161448           -6.58028            -1.63635            14.5976             -0.68047            
0.0765091           5632                -0.323653           -0.055376           -6.37341            -2.10559            14.1177             -0.464447           
0.0799868           5888                -0.203294           -0.0547583          -6.20969            -2.49918            13.8268             -0.482952           
0.0834645           6144                -0.245221           -0.0339844          -4.92781            -2.99259            10.863              -0.470436           
0.0869422           6400                -0.229281           -0.0288571          -4.29623            -3.384              9.41527             -0.479489           
0.0904198           6656                -0.209274           -0.0539699          -4.75886            -3.64334            10.4632             -0.57206            
0.0938975           6912                -0.256777           0.0290502           -4.41699            -4.06385            9.62497             -0.408167           
