#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -6.59815e-05        5.39097e-05         -0.00129995         -0.000159169        0.00312307          9.18621e-05         
0.00347769          256                 4.744               -0.104843           0.498053            0.311556            4.63105             -0.0455584          
0.00695537          512                 61.0144             -0.357622           13.6993             2.55699             46.8542             -0.581376           
0.0104331           768                 42.2342             -2.00961            12.8636             5.08601             24.205              -3.46451            
0.0139107           1024                1.26964             -2.19612            26.9185             8.65531             -36.9655            -3.65973            
0.0173884           1280                -4.51566            -0.0705302          -69.9234            -0.302303           228.914             -3.22532            
0.0208661           1536                58.9154             1.73426             -81.3329            -4.80562            285.722             3.91305             
0.0243438           1792                57.199              0.787825            -18.2329            -2.34135            101.976             2.96127             
0.0278215           2048                -11.9283            -1.06723            44.3326             3.07197             -138.106            -1.07266            
0.0312992           2304                -19.8859            -1.6828             49.075              4.3494              -150.969            -4.485              
0.0347769           2560                -12.784             -1.61643            27.9319             3.27509             -86.2709            -4.15145            
0.0382545           2816                -18.5821            -1.19141            31.6334             3.65264             -105.348            -1.04022            
0.0417322           3072                -7.10609            -0.783227           25.5615             2.70766             -74.3816            -1.19709            
0.0452099           3328                6.40032             -0.7823             15.9179             1.74604             -34.3721            -1.83228            
0.0486876           3584                5.38275             -0.81983            14.9425             2.07073             -30.9224            -1.51587            
0.0521653           3840                -2.01008            -0.641071           17.2039             2.29857             -43.762             -0.806055           
0.055643            4096                -0.439702           -0.534322           14.1034             1.68416             -34.3197            -0.801555           
0.0591207           4352                5.52233             -0.474276           8.98096             1.11919             -14.6908            -1.04021            
0.0625984           4608                3.19817             -0.342943           6.34326             0.909938            -11.5975            -0.544695           
0.066076            4864                2.29381             -0.238326           5.76465             0.853299            -11.5227            -0.209364           
0.0695537           5120                1.86584             -0.251728           6.03464             0.764753            -12.7034            -0.361991           
0.0730314           5376                0.815497            -0.309278           7.06102             0.805939            -16.7322            -0.564588           
0.0765091           5632                0.129939            -0.335745           8.25592             0.969067            -20.6505            -0.523096           
0.0799868           5888                -0.484455           -0.378738           9.48685             1.06332             -24.6174            -0.657655           
0.0834645           6144                -0.32456            -0.447035           10.4707             1.183               -26.8856            -0.792335           
0.0869422           6400                -0.094469           -0.491488           11.5552             1.36375             -29.2217            -0.802054           
0.0904198           6656                -0.332119           -0.529905           12.6072             1.4551              -32.1649            -0.880983           
0.0938975           6912                -0.344312           -0.562041           13.4869             1.54451             -34.4546            -0.940536           
0.0973752           7168                -0.874049           -0.570808           14.1383             1.58888             -36.8522            -0.956795           
0.100853            7424                -1.10216            -0.581898           14.4145             1.59216             -37.9323            -0.942282           
0.104331            7680                -1.22954            -0.566105           14.3166             1.56698             -37.9589            -0.938003           
0.107808            7936                -1.16983            -0.577986           14.1865             1.50329             -37.7244            -1.00204            
0.111286            8192                -1.09835            -0.568752           13.9735             1.50572             -37.1506            -0.999442           
0.114764            8448                -1.08871            -0.536536           13.5326             1.49822             -35.9445            -0.844769           
0.118241            8704                -0.895024           -0.532335           13.3407             1.45175             -35.1719            -0.910532           
0.121719            8960                -0.59744            -0.537052           13.4705             1.47999             -35.0551            -0.894516           
0.125197            9216                -0.451005           -0.536723           13.5648             1.48671             -34.9871            -0.910425           
0.128674            9472                -0.324728           -0.52729            13.498              1.49229             -34.5988            -0.915849           
0.132152            9728                -0.0895023          -0.525583           13.5489             1.50615             -34.408             -0.901406           
0.13563             9984                0.0654979           -0.539439           13.6974             1.49312             -34.5308            -0.947059           
0.139107            10240               0.303955            -0.55856            13.9812             1.53154             -34.9002            -0.997808           
0.142585            10496               0.755616            -0.566295           14.2123             1.61358             -34.8768            -0.903947           
0.146063            10752               0.595768            -0.570091           14.3362             1.64988             -35.2894            -0.90054            
0.149541            11008               0.42599             -0.571246           14.4067             1.60279             -35.6766            -0.976518           
0.153018            11264               0.457444            -0.587167           14.3699             1.57078             -35.5386            -1.03997            
0.156496            11520               0.345873            -0.538419           14.1233             1.58246             -35.1467            -0.881698           
0.159974            11776               0.0499252           -0.512173           13.6455             1.50562             -34.4331            -0.812202           
0.163451            12032               0.012806            -0.514109           13.0303             1.39499             -33.061             -0.935622           
0.166929            12288               -0.246106           -0.473717           12.4808             1.28414             -32.2321            -0.872903           
0.170407            12544               -0.446935           -0.430354           11.9478             1.21153             -31.3077            -0.724329           
0.173884            12800               -0.681264           -0.407976           11.423              1.14339             -30.4395            -0.704956           
0.177362            13056               -0.933981           -0.395947           11.0161             1.05685             -29.8011            -0.792138           
0.18084             13312               -1.32682            -0.373568           11.1217             1.07244             -30.6139            -0.611892           
0.184317            13568               -1.82919            -0.365312           11.0991             1.03983             -31.2921            -0.608462           
0.187795            13824               -1.78165            -0.372805           11.1724             1.0045              -31.5163            -0.569569           
0.191273            14080               -2.28763            -0.378362           11.31               1.01879             -32.4669            -0.728525           
0.19475             14336               -2.16245            -0.363553           11.1474             1.03312             -31.9042            -0.588345           
0.198228            14592               -2.32403            -0.386626           11.152              1.03846             -32.0939            -0.632442           
0.201706            14848               -2.56645            -0.359085           11.1723             0.997558            -32.478             -0.735559           
0.205183            15104               -2.91241            -0.348671           11.0039             1.0165              -32.5183            -0.5686             
0.208661            15360               -2.66194            -0.338626           10.4767             0.884806            -30.8661            -0.69379            
0.212139            15616               -2.75446            -0.31912            10.2641             0.90644             -30.6086            -0.524953           
0.215617            15872               -3.04831            -0.323141           10.637              0.890591            -31.9207            -0.590169           
0.219094            16128               -3.39325            -0.333141           10.8058             0.908275            -32.7544            -0.622748           
0.222572            16384               -3.83328            -0.321127           10.7262             0.909271            -33.1044            -0.542991           
0.22605             16640               -3.80213            -0.319613           10.8208             0.869828            -33.4161            -0.599139           
0.229527            16896               -3.63619            -0.336624           10.7626             0.886029            -33.0043            -0.574614           
0.233005            17152               -3.752              -0.329523           10.7797             0.839277            -33.2383            -0.668536           
0.236483            17408               -3.71265            -0.333164           10.9337             0.877838            -33.66              -0.574637           
0.23996             17664               -3.54159            -0.344319           11.2282             0.966571            -34.1871            -0.427621           
0.243438            17920               -4.16585            -0.350578           11.371              0.892012            -35.2613            -0.711345           
0.246916            18176               -4.19074            -0.341284           11.1158             0.918743            -34.612             -0.549793           
0.250393            18432               -3.87426            -0.345134           10.9918             0.882455            -33.9019            -0.740144           
0.253871            18688               -3.64448            -0.356676           11.3876             1.02564             -34.5669            -0.544139           
0.257349            18944               -3.68952            -0.387165           11.8771             1.07809             -35.6795            -0.650732           
0.260826            19200               -3.52005            -0.412565           12.1755             1.11394             -36.0784            -0.761759           
0.264304            19456               -3.55896            -0.423666           12.4                1.1961              -36.5029            -0.70389            
0.267782            19712               -3.39531            -0.411642           12.4132             1.15848             -36.344             -0.802561           
0.27126             19968               -3.23247            -0.433225           12.2881             1.12906             -35.9167            -0.765667           
0.274737            20224               -3.3027             -0.4183             12.6026             1.20484             -36.8025            -0.732628           
0.278215            20480               -3.13022            -0.424325           12.5407             1.15703             -36.3453            -0.798509           
0.281693            20736               -3.30646            -0.446255           12.731              1.23052             -36.9944            -0.769491           
0.28517             20992               -3.24812            -0.464779           12.7885             1.20592             -36.904             -0.910883           
0.288648            21248               -3.30086            -0.44642            12.618              1.27785             -36.5378            -0.725144           
0.292126            21504               -2.82345            -0.427926           12.5208             1.23899             -35.7284            -0.701281           
0.295603            21760               -2.55211            -0.478862           12.7187             1.25584             -35.698             -1.00442            
0.299081            22016               -2.68134            -0.491091           12.9666             1.28906             -36.2965            -0.981155           
0.302559            22272               -2.0256             -0.487273           13.2018             1.41501             -35.997             -0.787954           
0.306036            22528               -1.85934            -0.530688           13.5593             1.42102             -36.5582            -1.00167            
0.309514            22784               -1.63851            -0.555122           13.8487             1.4934              -36.8999            -1.08458            
0.312992            23040               -1.64588            -0.56772            14.1159             1.59022             -37.4325            -0.946887           
0.316469            23296               -1.4022             -0.583165           14.3217             1.57649             -37.6299            -1.04836            
0.319947            23552               -1.38051            -0.602653           14.6611             1.61567             -38.4239            -1.09192            
0.323425            23808               -1.15101            -0.592086           14.8197             1.69886             -38.4562            -1.01624            
0.326903            24064               -1.17589            -0.613292           14.8286             1.67723             -38.5356            -1.10322            
