#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -0.0014339          -7.27615e-06        -9.21095e-05        6.88854e-06         -0.00175252         1.68106e-05         
0.00347769          256                 -0.142896           -0.106658           0.076504            0.118016            -0.0449006          0.137246            
0.00695537          512                 118.226             0.718542            9.68561             -0.548074           142.223             -2.66786            
0.0104331           768                 102.079             -0.152886           7.2555              0.273857            126.636             -0.327956           
0.0139107           1024                15.9314             0.140107            1.15454             -0.142046           20.1261             -1.15796            
0.0173884           1280                -24.0235            -0.887602           -0.557674           0.879453            -28.6522            -0.101774           
0.0208661           1536                14.064              -0.310111           1.08568             0.364879            18.6313             -0.367117           
0.0243438           1792                15.0867             0.31383             0.619192            -0.374483           18.8045             -0.048483           
0.0278215           2048                5.60195             0.362077            -0.633617           -0.458716           7.33038             0.512747            
0.0312992           2304                14.6824             0.429752            0.554292            -0.516041           18.1848             0.00599869          
0.0347769           2560                12.7575             0.181167            0.744333            -0.205923           15.9131             -0.0776899          
0.0382545           2816                8.00395             0.214766            0.0304062           -0.264762           10.4395             0.163208            
0.0417322           3072                16.6366             0.209413            0.741721            -0.26019            20.8382             0.0872899           
0.0452099           3328                17.5895             0.174774            0.981712            -0.203683           21.8591             -0.0517103          
0.0486876           3584                20.9423             0.137745            1.31078             -0.148144           25.9891             -0.124756           
0.0521653           3840                21.3066             0.0268133           1.34386             -0.0291182          26.5417             0.0477765           
0.055643            4096                19.4533             0.0547898           1.21725             -0.0637261          24.2155             0.0424552           
0.0591207           4352                18.1733             0.1169              1.18067             -0.125846           22.5167             -0.135172           
0.0625984           4608                20.0153             0.10527             1.3472              -0.110912           24.7262             -0.167582           
0.066076            4864                19.4927             0.0905337           1.31468             -0.100323           24.0899             -0.137462           
0.0695537           5120                19.9514             0.109239            1.30741             -0.123864           24.8202             -0.13676            
0.0730314           5376                19.629              0.170311            1.23255             -0.189695           24.5742             -0.197191           
0.0765091           5632                17.6304             0.203841            1.05266             -0.227114           22.1261             -0.205152           
0.0799868           5888                14.0052             0.214217            0.798142            -0.250731           17.4894             -0.16328            
0.0834645           6144                11.3782             0.208609            0.60011             -0.258201           14.1964             -0.132089           
0.0869422           6400                9.55348             0.160173            0.481852            -0.207118           11.983              -0.0297282          
0.0904198           6656                7.57709             0.0653094           0.349083            -0.100234           9.56436             0.16267             
0.0938975           6912                5.75039             0.0320857           0.23062             -0.0657355          7.28787             0.205749            
0.0973752           7168                4.31347             0.032048            0.16021             -0.0654316          5.44087             0.195127            
0.100853            7424                3.79603             0.0573232           0.132657            -0.0892996          4.77978             0.130756            
0.104331            7680                4.09346             0.150294            0.161445            -0.184891           5.16079             -0.0835894          
0.107808            7936                4.91671             0.196735            0.304713            -0.221742           6.06146             -0.252502           
0.111286            8192                5.54649             0.112291            0.406269            -0.114107           6.74957             -0.170522           
0.114764            8448                6.75386             -0.0386355          0.516557            0.0600304           8.12298             0.0675133           
0.118241            8704                7.62096             -0.093634           0.596931            0.116731            9.0376              0.1631              
0.121719            8960                8.8752              -0.143066           0.695894            0.169249            10.4522             0.225057            
0.125197            9216                10.7246             -0.13182            0.829957            0.156705            12.6832             0.203037            
0.128674            9472                12.7393             -0.0663646          1.01551             0.0945317           15.0788             0.0889553           
0.132152            9728                14.8352             0.0243728           1.1944              0.00839558          17.6185             -0.102803           
0.13563             9984                18.1213             0.146901            1.45544             -0.110905           21.6036             -0.365691           
0.139107            10240               20.8878             0.211322            1.69147             -0.165799           24.9304             -0.48265            
0.142585            10496               23.9444             0.19301             1.89312             -0.141767           28.7631             -0.443045           
0.146063            10752               27.1823             0.248748            2.06854             -0.202779           32.9479             -0.510274           
0.149541            11008               29.2041             0.236831            2.1671              -0.192083           35.5361             -0.454919           
0.153018            11264               30.028              0.223173            2.1826              -0.174282           36.6315             -0.401666           
0.156496            11520               30.1307             0.178292            2.15598             -0.124092           36.8535             -0.30123            
0.159974            11776               29.9521             0.207735            2.12814             -0.163229           36.7064             -0.352246           
0.163451            12032               28.9366             0.23415             1.99767             -0.195257           35.5998             -0.421306           
0.166929            12288               27.3964             0.251455            1.87685             -0.21364            33.648              -0.425884           
0.170407            12544               23.193              0.227268            1.51446             -0.188043           28.5621             -0.308726           
0.173884            12800               21.2304             0.273927            1.34547             -0.239808           26.2237             -0.305899           
0.177362            13056               19.6601             0.227867            1.21229             -0.182784           24.367              -0.181814           
0.18084             13312               18.6221             0.291097            1.10748             -0.263973           23.1959             -0.239974           
0.184317            13568               17.5295             0.331612            1.00978             -0.302637           21.8623             -0.329432           
0.187795            13824               16.396              0.261177            0.886243            -0.223902           20.553              -0.1537             
0.191273            14080               15.5244             0.335228            0.774185            -0.290688           19.6261             -0.336918           
0.19475             14336               14.7208             0.261449            0.659703            -0.207498           18.8098             -0.176351           
0.198228            14592               14.3524             0.233508            0.622755            -0.17533            18.4059             -0.208582           
0.201706            14848               13.5194             0.2371              0.544587            -0.169167           17.4586             -0.30994            
0.205183            15104               12.7691             0.118769            0.460822            -0.033537           16.5893             -0.345557           
0.208661            15360               11.7643             0.0575385           0.359918            0.0270072           15.4666             -0.323939           
0.212139            15616               11.4926             0.0458036           0.282368            0.0237276           15.2902             -0.196329           
0.215617            15872               10.6678             0.125689            0.188508            -0.0751375          14.382              -0.151299           
0.219094            16128               9.94955             0.0915558           0.0817959           -0.0510034          13.669              0.0501307           
0.222572            16384               8.7677              0.116107            -0.0410881          -0.0896623          12.3288             0.0691685           
0.22605             16640               8.40629             0.0840576           -0.107784           -0.0650836          12.0177             0.0981962           
0.229527            16896               7.9307              0.0316397           -0.197055           -0.0183972          11.6056             0.0477179           
0.233005            17152               7.67256             0.0415435           -0.242347           -0.0330925          11.41               -0.121994           
0.236483            17408               7.62274             -0.0114685          -0.261451           0.0254952           11.4253             -0.122555           
0.23996             17664               7.8576              -0.122541           -0.24536            0.143424            11.7632             0.0555048           
0.243438            17920               7.61163             -0.00967629         -0.252423           0.0233652           11.4558             -0.197388           
0.246916            18176               7.2737              0.0147059           -0.241038           0.000105932         10.9611             -0.215958           
0.250393            18432               7.59435             0.0370156           -0.193146           -0.0218019          11.2958             -0.258597           
0.253871            18688               6.89193             0.0576331           -0.232047           -0.0416369          10.3851             -0.335822           
0.257349            18944               6.0905              -0.0296867          -0.289703           0.0509767           9.34896             -0.184216           
0.260826            19200               5.95662             0.0316225           -0.298731           -0.0175745          9.12637             -0.278832           
0.264304            19456               5.91369             -0.0764504          -0.280384           0.09504             9.01333             -0.0777225          
0.267782            19712               6.66109             0.019339            -0.206347           -0.00468706         9.86041             -0.270199           
0.27126             19968               6.66133             -0.0768129          -0.188553           0.106251            9.79637             -0.102658           
0.274737            20224               7.09272             -0.10413            -0.158398           0.14267             10.2879             -0.113498           
0.278215            20480               6.7326              0.0492773           -0.167911           -0.0198126          9.79174             -0.334599           
0.281693            20736               6.23895             0.0935837           -0.201802           -0.0661345          9.16764             -0.416445           
0.28517             20992               6.18695             0.037078            -0.196507           -0.0135163          9.06901             -0.264593           
0.288648            21248               5.87421             0.0180535           -0.207799           -0.00304688         8.6519              -0.187763           
0.292126            21504               5.48764             0.0125691           -0.225662           -0.00341634         8.17341             -0.137165           
0.295603            21760               6.72326             0.0479214           -0.123409           -0.039779           9.61413             -0.217009           
0.299081            22016               6.59825             0.00376359          -0.141776           0.000812113         9.45325             -0.0812604          
0.302559            22272               6.49887             0.0690858           -0.179358           -0.0708387          9.38884             -0.206613           
0.306036            22528               6.07043             0.0438397           -0.251688           -0.0495083          8.94739             -0.0935596          
0.309514            22784               5.13951             0.130035            -0.374533           -0.149607           7.89933             -0.26809            
0.312992            23040               4.82127             0.0467872           -0.43197            -0.0609711          7.58699             -0.135936           
0.316469            23296               3.95665             0.0792851           -0.529713           -0.1143             6.62357             -0.129481           
