#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -8.92982e-06        0                   -3.30734e-06        6.78667e-07         -4.01379e-06        -4.74935e-07        
0.00347769          256                 0.197691            0.00327923          0.0614359           -0.00857965         0.164528            0.0217856           
0.00695537          512                 4.35983             0.0522119           1.08028             -0.0347757          3.65566             0.0224002           
0.0104331           768                 5.90134             0.02975             0.739246            -0.0498142          6.99283             0.202759            
0.0139107           1024                2.7119              0.080469            0.457752            -0.0868329          2.95329             0.233149            
0.0173884           1280                7.7205              0.207814            0.757898            -0.197186           9.82954             0.541156            
0.0208661           1536                3.11331             0.0623421           -0.012878           -0.10166            4.81974             0.219265            
0.0243438           1792                -1.33944            -0.01317            0.194708            0.015755            -2.65236            -0.0678328          
0.0278215           2048                -4.44572            -0.0822897          -0.264089           0.078242            -6.10389            -0.223323           
0.0312992           2304                -1.67633            -0.029521           0.0125411           0.0339174           -2.61193            -0.175817           
0.0347769           2560                -0.301994           -0.0136248          -0.0139615          0.0139504           -0.407699           -0.0771486          
0.0382545           2816                -1.73924            -0.0290952          -0.265029           0.0190263           -1.90829            -0.0965521          
0.0417322           3072                -0.784952           -0.0151862          -0.0451062          0.0142634           -1.08166            -0.0669099          
0.0452099           3328                -0.262113           -0.0150084          0.0347378           0.0186902           -0.505151           -0.0570615          
0.0486876           3584                0.336162            -0.0116612          0.0791947           0.0126378           0.291373            -0.0435797          
0.0521653           3840                0.522426            -0.0094079          0.0559483           0.00747001          0.646839            -0.00654846         
0.055643            4096                0.471537            -0.00412111         0.0643452           0.00403309          0.540928            -0.00369128         
0.0591207           4352                0.522772            -0.00244413         0.0983251           0.00347829          0.520214            -0.0150622          
0.0625984           4608                0.739462            -0.00196125         0.150206            0.0046524           0.700754            -0.0101075          
0.066076            4864                0.738143            -0.00100808         0.166428            0.0058029           0.653669            -0.00179732         
0.0695537           5120                0.732213            -0.0015055          0.141517            0.00472485          0.717147            -0.00615874         
0.0730314           5376                0.631704            -0.00152667         0.0912661           0.00215085          0.705653            -0.0168834          
0.0765091           5632                0.41674             -0.00229215         0.0419449           0.00257445          0.514676            -0.0281211          
0.0799868           5888                0.10345             -0.00518509         0.0153626           0.00592312          0.106422            -0.0385268          
0.0834645           6144                -0.109161           -0.00603375         0.00898969          0.00661765          -0.200421           -0.0384732          
0.0869422           6400                -0.232816           -0.00861348         -0.014403           0.00757522          -0.315268           -0.0345003          
0.0904198           6656                -0.382245           -0.0128292          -0.0337972          0.0115558           -0.483671           -0.033375           
0.0938975           6912                -0.544568           -0.0160755          -0.0531253          0.0163131           -0.674337           -0.0394161          
0.0973752           7168                -0.674007           -0.016477           -0.0749156          0.0172225           -0.810138           -0.0455386          
0.100853            7424                -0.743515           -0.0117485          -0.081843           0.0103876           -0.897319           -0.0500207          
0.104331            7680                -0.739479           -0.00244148         -0.0683998          -0.00108313         -0.929624           -0.0523514          
0.107808            7936                -0.687092           0.0018875           -0.055814           -0.0067722          -0.879849           -0.0640629          
0.111286            8192                -0.583415           -0.00160125         -0.035986           -0.00360268         -0.769038           -0.0618815          
0.114764            8448                -0.425051           -0.00690738         -0.0156272          0.00166063          -0.582324           -0.0339114          
0.118241            8704                -0.341716           -0.00925775         -0.0128761          0.00293326          -0.464192           -0.015684           
0.121719            8960                -0.296248           -0.0138255          -0.0142031          0.00453793          -0.396676           -0.00131069         
