#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -1.65367e-06        1.65367e-07         4.96101e-07         -7.27607e-08        -4.18715e-06        7.56721e-07         
0.00347769          256                 4.85381             -0.0965703          0.956699            0.105821            5.17035             0.166664            
0.00695537          512                 39.7932             0.270701            3.99378             -0.00696698         49.5235             -1.62349            
0.0104331           768                 146.518             -0.344105           17.4023             0.525385            179.079             0.41175             
0.0139107           1024                91.7712             -0.00948546         11.2902             0.135137            111.527             0.182063            
0.0173884           1280                226.481             -0.00835716         27.8396             0.405716            273.8               -0.13608            
0.0208661           1536                66.1641             -0.387957           8.15517             0.534628            79.483              0.552809            
0.0243438           1792                -48.6718            0.187497            -5.65011            -0.255309           -59.7641            -0.381443           
0.0278215           2048                -118.027            -0.116994           -14.3036            -0.0482265          -143.113            0.279673            
0.0312992           2304                -40.968             0.200352            -4.97349            -0.265813           -49.474             -0.255369           
0.0347769           2560                -9.4184             0.00571013          -1.1312             -0.0110055          -11.3427            -0.031752           
0.0382545           2816                -45.0084            -0.0259711          -5.35376            -0.0380496          -54.8107            0.0993923           
0.0417322           3072                -20.9671            0.0448529           -2.48314            -0.0797252          -25.557             -0.0628257          
0.0452099           3328                -9.08828            0.0096791           -1.06845            -0.0281426          -11.0753            -0.0183688          
0.0486876           3584                6.46172             -0.0223312          0.785824            0.0253991           7.86662             0.0182841           
0.0521653           3840                10.8415             -0.117889           1.31645             0.129742            13.1708             0.183927            
0.055643            4096                9.41395             -0.0654639          1.16212             0.0794754           11.368              0.0751995           
0.0591207           4352                10.6955             -0.00951837         1.31949             0.0239353           12.911              -0.00302878         
0.0625984           4608                15.7027             0.00118105          1.91789             0.0168366           18.9924             -0.00532808         
0.066076            4864                15.8129             0.0119501           1.92915             0.00528422          19.1486             -0.0119229          
0.0695537           5120                15.3483             0.0254619           1.86795             -0.00875741         18.5987             -0.0385786          
0.0730314           5376                12.5864             0.0625599           1.52358             -0.0515593          15.2536             -0.0885473          
0.0765091           5632                7.12452             0.0995085           0.850039            -0.0960208          8.6272              -0.130647           
0.0799868           5888                -0.378317           0.0977136           -0.0642417          -0.103532           -0.484038           -0.133673           
0.0834645           6144                -5.136              0.0827669           -0.630199           -0.0961273          -6.25384            -0.0959405          
0.0869422           6400                -8.13648            0.0221822           -0.958568           -0.035394           -9.93976            -0.00612729         
0.0904198           6656                -11.6038            -0.0308965          -1.34557            0.0177665           -14.1935            0.0580047           
0.0938975           6912                -15.679             -0.0488351          -1.81765            0.0332404           -19.179             0.0817379           
0.0973752           7168                -18.6497            -0.0519952          -2.16858            0.0337098           -22.7993            0.0820748           
0.100853            7424                -20.1032            0.00122421          -2.33691            -0.0184341          -24.58              -0.0105643          
0.104331            7680                -19.8661            0.108694            -2.30613            -0.127737           -24.3003            -0.16606            
0.107808            7936                -19.0584            0.197394            -2.19109            -0.213686           -23.3458            -0.314917           
0.111286            8192                -16.6247            0.184433            -1.87425            -0.189489           -20.4117            -0.32641            
0.114764            8448                -11.7829            0.0799856           -1.28529            -0.0713794          -14.5337            -0.19472            
0.118241            8704                -8.96517            -0.00299381         -0.958594           0.0160442           -11.098             -0.080251           
0.121719            8960                -7.7356             -0.160605           -0.847404           0.171821            -9.5439             0.177945            
0.125197            9216                -6.05129            -0.249348           -0.684274           0.255812            -7.42991            0.352249            
0.128674            9472                -3.9917             -0.226273           -0.459815           0.229642            -4.88846            0.35254             
0.132152            9728                -2.35195            -0.15174            -0.271666           0.150572            -2.88335            0.270396            
0.13563             9984                0.756141            -0.0355394          0.0977126           0.0333742           0.892254            0.113727            
0.139107            10240               3.6175              0.0158174           0.444536            -0.0170324          4.37442             0.0424252           
0.142585            10496               6.78206             -0.002948           0.821654            0.00673239          8.2262              0.0719609           
0.146063            10752               10.7828             0.0513364           1.30046             -0.0429428          13.08               -0.0108459          
0.149541            11008               13.3726             0.0628777           1.60819             -0.0502971          16.2158             -0.0442355          
0.153018            11264               14.3463             0.0670135           1.71405             -0.0518272          17.4101             -0.0725857          
0.156496            11520               15.0025             0.043817            1.78183             -0.0287071          18.2201             -0.0173789          
0.159974            11776               15.9165             0.105075            1.89137             -0.0899206          19.3319             -0.0997274          
0.163451            12032               15.3508             0.137583            1.81298             -0.127911           18.6633             -0.121709           
0.166929            12288               14.3108             0.181809            1.68381             -0.181139           17.4106             -0.160035           
0.170407            12544               9.84848             0.142034            1.14449             -0.146092           12.005              -0.0993821          
0.173884            12800               7.78958             0.157416            0.897149            -0.166994           9.51752             -0.132233           
0.177362            13056               6.20784             0.0830421           0.703596            -0.0939356          7.61807             -0.0333992          
0.18084             13312               4.21004             0.133955            0.472733            -0.149234           5.16532             -0.112229           
0.184317            13568               2.22659             0.162932            0.236863            -0.183758           2.74876             -0.149233           
0.187795            13824               -0.281514           0.128346            -0.0654354          -0.148901           -0.299033           -0.114475           
0.191273            14080               -1.61504            0.151549            -0.214305           -0.178271           -1.94071            -0.110927           
0.19475             14336               -2.76198            0.0996952           -0.354315           -0.125737           -3.33067            -0.0429048          
0.198228            14592               -3.49894            0.0508423           -0.450069           -0.0828286          -4.20205            0.0271204           
0.201706            14848               -4.39614            0.0842438           -0.552814           -0.12594            -5.29581            0.0125902           
0.205183            15104               -4.87607            0.062946            -0.608569           -0.102964           -5.88945            0.0133623           
0.208661            15360               -5.10047            0.0349813           -0.622613           -0.0701126          -6.18527            0.0268774           
0.212139            15616               -6.03219            -0.000778218        -0.742251           -0.0310242          -7.31163            0.0644754           
0.215617            15872               -8.19881            0.00859876          -0.996316           -0.0393904          -9.96932            0.0363069           
0.219094            16128               -9.43606            -0.103582           -1.14646            0.0766715           -11.4784            0.194998            
0.222572            16384               -11.0243            -0.0984687          -1.33916            0.0699866           -13.4129            0.187472            
0.22605             16640               -12.1696            -0.0957266          -1.46624            0.0685957           -14.8277            0.177039            
0.229527            16896               -12.8793            -0.0837892          -1.54653            0.0576197           -15.7016            0.162571            
0.233005            17152               -13.1395            -0.0284736          -1.56593            0.00144816          -16.0377            0.0929009           
0.236483            17408               -13.6509            -0.0742566          -1.62004            0.049013            -16.6631            0.162863            
0.23996             17664               -12.9181            -0.182224           -1.51753            0.16507             -15.7894            0.288609            
0.243438            17920               -11.5311            -0.105126           -1.32767            0.085109            -14.1399            0.189684            
0.246916            18176               -10.4151            -0.023611           -1.18936            0.00476642          -12.7914            0.043287            
0.250393            18432               -9.1027             -0.0359349          -1.03714            0.0170924           -11.1743            0.0599532           
0.253871            18688               -10.091             -0.00491951         -1.15133            -0.0159121          -12.3799            0.018565            
0.257349            18944               -10.7862            -0.0888074          -1.23905            0.0694348           -13.2085            0.134234            
0.260826            19200               -10.8385            -0.0114416          -1.24735            -0.0130166          -13.2728            0.0329777           
0.264304            19456               -11.0147            -0.062189           -1.27078            0.0434972           -13.4749            0.0988694           
0.267782            19712               -11.1287            0.0331943           -1.2928             -0.053273           -13.5987            -0.0274604          
0.27126             19968               -11.5668            -0.0272834          -1.35333            0.00873276          -14.118             0.0492776           
0.274737            20224               -11.5844            -0.0953684          -1.36083            0.0770186           -14.1342            0.155608            
0.278215            20480               -11.2723            0.0354124           -1.31845            -0.0575483          -13.7732            -0.0367762          
0.281693            20736               -11.8551            0.0489912           -1.38999            -0.0763265          -14.4811            -0.0377118          
0.28517             20992               -11.4937            0.00835964          -1.35599            -0.0346788          -14.0216            0.00797974          
0.288648            21248               -11.9347            -0.0742634          -1.41867            0.0495683           -14.5391            0.125631            
