#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   0.000190338         -0.000407465        -0.00037621         0.000322455         0.000610758         -0.000502223        
0.00347769          256                 0.48752             -0.964494           -0.89905            0.697115            1.40588             -1.16582            
0.00695537          512                 13.8981             -40.1518            -31.5511            37.163              49.7438             -47.1243            
0.0104331           768                 5.3013              -12.1251            -9.62219            9.91214             16.0994             -13.5683            
0.0139107           1024                -8.4658             18.3504             16.1407             -14.323             -25.5141            21.7432             
0.0173884           1280                -11.1935            24.2366             22.0989             -19.1498            -35.6189            29.5102             
0.0208661           1536                -8.07668            16.6427             15.4712             -12.7946            -25.3238            20.3847             
0.0243438           1792                -4.39827            9.22627             8.69596             -7.03404            -13.886             11.3047             
0.0278215           2048                -3.72619            7.89219             7.47746             -6.08134            -12.0119            9.72918             
0.0312992           2304                -2.73967            6.28025             5.58002             -5.03796            -8.79997            7.48585             
0.0347769           2560                -2.85299            6.48274             5.77382             -5.20916            -9.19488            7.75299             
0.0382545           2816                -3.12213            6.94336             6.22375             -5.48196            -9.8412             8.29698             
0.0417322           3072                -3.01383            6.8495              6.02683             -5.46496            -9.44026            8.10914             
0.0452099           3328                -3.15482            7.25281             6.37086             -5.84962            -10.013             8.60716             
0.0486876           3584                -3.24115            7.28457             6.48662             -5.8049             -10.2312            8.69094             
0.0521653           3840                -3.33395            7.41791             6.65902             -5.89631            -10.5411            8.89588             
0.055643            4096                -3.5609             7.87189             7.16162             -6.20417            -11.3143            9.46849             
0.0591207           4352                -3.54264            7.96742             7.20433             -6.3445             -11.3907            9.55588             
0.0625984           4608                -3.7164             8.13569             7.51531             -6.36579            -11.8942            9.84148             
0.066076            4864                -3.95186            8.76424             8.02815             -6.87614            -12.6522            10.517              
0.0695537           5120                -4.25715            9.26635             8.51632             -7.23372            -13.509             11.1552             
0.0730314           5376                -4.76309            10.2275             9.41213             -7.94329            -15.0049            12.3195             
0.0765091           5632                -5.19246            11.0651             10.1609             -8.57488            -16.2833            13.3033             
0.0799868           5888                -5.67593            12.0199             11.0607             -9.30125            -17.8427            14.4583             
0.0834645           6144                -6.31051            13.2245             12.2334             -10.2036            -19.8799            15.9568             
0.0869422           6400                -6.91263            14.5715             13.4995             -11.2774            -21.9954            17.586              
0.0904198           6656                -7.58365            15.9852             14.8293             -12.4129            -24.2326            19.3484             
0.0938975           6912                -8.19932            17.2991             15.9214             -13.5674            -26.1839            20.9701             
0.0973752           7168                -8.76911            18.5416             16.987              -14.6498            -28.0719            22.5118             
0.100853            7424                -9.56514            19.8922             18.3796             -15.6254            -30.4828            24.2943             
0.104331            7680                -9.87612            21.1351             19.1298             -16.9705            -31.762             25.6485             
0.107808            7936                -9.89979            21.8054             19.4054             -17.8212            -32.1158            26.3268             
0.111286            8192                -9.8678             22.2533             19.6185             -18.3912            -32.3592            26.7728             
0.114764            8448                -10.3149            22.9871             20.233              -19.0523            -33.5718            27.7932             
0.118241            8704                -10.8434            23.8787             21.2389             -19.6958            -35.2831            29.0483             
0.121719            8960                -11.0743            24.6116             21.722              -20.5033            -36.0681            29.9632             
0.125197            9216                -11.2453            25.3794             22.2129             -21.2973            -36.8446            30.7707             
0.128674            9472                -11.3027            25.7431             22.4649             -21.7574            -37.3312            31.2368             
0.132152            9728                -11.4823            26.2242             22.7259             -22.3309            -37.9291            31.8443             
0.13563             9984                -11.2396            26.3548             22.856              -22.5192            -37.821             31.875              
0.139107            10240               -11.7926            26.7871             23.383              -22.7812            -39.0141            32.7048             
0.142585            10496               -11.708             27.3609             23.6613             -23.4061            -39.1989            33.0917             
0.146063            10752               -11.4894            27.1634             23.5179             -23.2818            -38.8567            32.8294             
0.149541            11008               -11.8035            27.4334             23.7635             -23.477             -39.4577            33.281              
0.153018            11264               -11.5684            27.2381             23.5893             -23.3513            -38.9959            32.9842             
0.156496            11520               -12.2755            27.9622             24.4245             -23.7645            -40.7005            34.104              
0.159974            11776               -11.8521            27.9609             24.2666             -23.931             -40.0394            33.8268             
0.163451            12032               -11.556             27.5681             24.0395             -23.5251            -39.3759            33.2993             
