#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   1.10796e-05         -2.49704e-05        2.74509e-05         4.4702e-05          -6.69618e-05        -7.64658e-05        
0.00347769          256                 0.0352637           -0.0108588          -0.0916739          -0.0726852          0.285428            -0.0589115          
0.00695537          512                 0.0158352           0.450466            -0.676244           -0.988789           1.85674             1.23812             
0.0104331           768                 -0.803068           1.72783             -3.97224            -4.73948            10.3032             5.24631             
0.0139107           1024                -0.276426           1.14592             -0.291119           -1.26891            0.591141            3.4042              
0.0173884           1280                0.070537            -0.100767           0.714221            0.71922             -1.9005             -0.336508           
0.0208661           1536                0.198428            -0.459819           0.264287            0.604267            -0.578712           -1.40694            
0.0243438           1792                0.0852349           -0.265081           -0.246491           0.0242957           0.738728            -0.812998           
0.0278215           2048                -0.162921           0.15273             -0.0635081          -0.17123            0.046537            0.53226             
0.0312992           2304                -0.222432           0.321036            -0.295769           -0.495109           0.641554            1.02715             
0.0347769           2560                -0.227332           0.414425            -0.506715           -0.75578            1.22384             1.29397             
0.0382545           2816                -0.19192            0.423334            -0.374944           -0.663682           0.886327            1.30274             
0.0417322           3072                -0.152197           0.282743            -0.213599           -0.406725           0.468616            0.882784            
0.0452099           3328                -0.153302           0.251338            -0.432144           -0.561645           1.06858             0.788602            
0.0486876           3584                -0.157834           0.324288            -0.404799           -0.607931           0.991403            1.00209             
0.0521653           3840                -0.151415           0.333749            -0.367702           -0.585335           0.894481            1.02526             
0.055643            4096                -0.12067            0.259804            -0.284111           -0.452867           0.688055            0.798968            
0.0591207           4352                -0.102402           0.186784            -0.23508            -0.347596           0.566598            0.581922            
0.0625984           4608                -0.099003           0.159696            -0.193654           -0.288961           0.454765            0.504299            
0.066076            4864                -0.0927252          0.144578            -0.173171           -0.260552           0.403142            0.459215            
0.0695537           5120                -0.0901284          0.14013             -0.172485           -0.256522           0.403409            0.445224            
0.0730314           5376                -0.0911611          0.152589            -0.201382           -0.292487           0.481956            0.480397            
0.0765091           5632                -0.0832146          0.140008            -0.177607           -0.262296           0.423089            0.440091            
0.0799868           5888                -0.0949799          0.147735            -0.179941           -0.269811           0.420131            0.470107            
0.0834645           6144                -0.0897934          0.148012            -0.196483           -0.284895           0.470183            0.467901            
0.0869422           6400                -0.0786926          0.148839            -0.204062           -0.292681           0.500686            0.46139             
0.0904198           6656                -0.0992099          0.172355            -0.232616           -0.334221           0.563492            0.540235            
0.0938975           6912                -0.110338           0.18533             -0.278039           -0.380514           0.67991             0.581014            
0.0973752           7168                -0.120743           0.198251            -0.314386           -0.420652           0.772854            0.624328            
0.100853            7424                -0.124821           0.220064            -0.364908           -0.480154           0.909843            0.686002            
0.104331            7680                -0.126951           0.220832            -0.320559           -0.445244           0.784468            0.691132            
0.107808            7936                -0.107559           0.20435             -0.27588            -0.397067           0.676775            0.633252            
0.111286            8192                -0.116712           0.210301            -0.253171           -0.383778           0.605835            0.658484            
0.114764            8448                -0.118513           0.219587            -0.272706           -0.406943           0.658668            0.685413            
0.118241            8704                -0.115722           0.228037            -0.303176           -0.441121           0.745086            0.708338            
0.121719            8960                -0.129602           0.260418            -0.329865           -0.490569           0.807588            0.808072            
0.125197            9216                -0.132439           0.266589            -0.323848           -0.488943           0.788781            0.824985            
0.128674            9472                -0.131048           0.26782             -0.333675           -0.498027           0.817135            0.82706             
0.132152            9728                -0.119434           0.257513            -0.32575            -0.483517           0.804404            0.790188            
0.13563             9984                -0.11209            0.239948            -0.272123           -0.425568           0.661809            0.738229            
0.139107            10240               -0.102986           0.223854            -0.255774           -0.399327           0.623249            0.687859            
0.142585            10496               -0.104256           0.22709             -0.270468           -0.413614           0.663332            0.696997            
0.146063            10752               -0.097217           0.224972            -0.277243           -0.418125           0.687671            0.68628             
0.149541            11008               -0.104155           0.222538            -0.24267            -0.385211           0.587563            0.684451            
0.153018            11264               -0.0868711          0.189099            -0.227357           -0.34459            0.558294            0.579777            
0.156496            11520               -0.0786195          0.168985            -0.194307           -0.300624           0.474067            0.519031            
0.159974            11776               -0.088974           0.163817            -0.167014           -0.270261           0.390999            0.510062            
0.163451            12032               -0.0658487          0.118208            -0.118388           -0.192233           0.275303            0.366846            
0.166929            12288               -0.0571444          0.0916038           -0.0900446          -0.14512            0.204918            0.2865              
0.170407            12544               -0.050649           0.0737374           -0.062119           -0.108395           0.133342            0.234485            
0.173884            12800               -0.035417           0.0496196           -0.0421231          -0.071961           0.0905309           0.157227            
0.177362            13056               -0.0295605          0.0425733           -0.0164726          -0.0480358          0.0226018           0.136836            
0.18084             13312               -0.0455884          0.0436374           -0.0242253          -0.0526108          0.0320899           0.15178             
0.184317            13568               -0.0569233          0.0618762           -0.0688425          -0.10426            0.146053            0.210182            
0.187795            13824               -0.0395103          0.0537734           -0.0534571          -0.0856041          0.116624            0.172788            
0.191273            14080               -0.0450612          0.0480477           -0.041023           -0.069529           0.0778447           0.162243            
0.19475             14336               -0.0459311          0.0417957           -0.0520167          -0.0722756          0.108965            0.145366            
0.198228            14592               -0.0366458          0.0472163           -0.0470144          -0.0774679          0.101953            0.157217            
0.201706            14848               -0.0453086          0.0549282           -0.0592697          -0.0914621          0.128535            0.182227            
0.205183            15104               -0.0298539          0.0317374           -0.0401829          -0.0568335          0.0881808           0.107105            
0.208661            15360               -0.038196           0.0525239           -0.0635719          -0.0938462          0.146516            0.171399            
0.212139            15616               -0.045574           0.0691188           -0.0861773          -0.125564           0.203812            0.221802            
0.215617            15872               -0.050366           0.0852732           -0.0909084          -0.144637           0.211285            0.271012            
0.219094            16128               -0.0409681          0.0744086           -0.0803992          -0.127466           0.189198            0.234143            
0.222572            16384               -0.0459959          0.067182            -0.0785474          -0.117346           0.181602            0.216316            
0.22605             16640               -0.0392388          0.065518            -0.067399           -0.10836            0.154683            0.206648            
0.229527            16896               -0.0405039          0.0631137           -0.0497353          -0.0923305          0.104402            0.202549            
0.233005            17152               -0.0342996          0.0482087           -0.0530647          -0.0819781          0.119691            0.157311            
0.236483            17408               -0.0357433          0.0640136           -0.0821718          -0.118982           0.1989              0.200394            
0.23996             17664               -0.0414093          0.0639619           -0.0632746          -0.10287            0.142979            0.204118            
0.243438            17920               -0.0309418          0.0679163           -0.0393468          -0.0885327          0.0843128           0.2073              
0.246916            18176               -0.0350674          0.0516174           -0.0646258          -0.0912277          0.152121            0.162599            
