#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -8.45026e-05        4.00188e-05         0.000312048         0.000167631         0.000119783         3.07398e-05         
0.00347769          256                 -40.2969            34.297              67.2384             10.0739             2.16482             7.79395             
0.00695537          512                 -99.2753            63.0191             81.6085             -10.2497            -46.7095            25.7072             
0.0104331           768                 -56.7093            32.6815             35.6931             -9.88568            -33.468             15.7209             
0.0139107           1024                57.8681             -31.8999            -28.831             13.3332             38.6473             -16.0934            
0.0173884           1280                14.1999             -2.89979            -11.5212            -5.19633            5.96354             -5.65129            
0.0208661           1536                80.9243             -41.2656            -58.0521            3.41395             42.2126             -24.0639            
0.0243438           1792                14.6976             -3.42414            -12.4098            -5.11665            5.79524             -5.4555             
0.0278215           2048                -34.9835            25.497              20.5779             -12.7355            -22.2033            7.85697             
0.0312992           2304                13.9129             -3.0195             -5.16523            -0.613335           9.85762             -5.30058            
0.0347769           2560                12.6232             -3.15112            -4.13397            0.128262            9.34065             -4.63982            
0.0382545           2816                7.89797             0.853826            -2.21305            -2.63772            5.73139             -3.78786            
0.0417322           3072                11.9985             -1.84213            -3.32131            -0.666234           9.11487             -4.78838            
0.0452099           3328                8.46794             0.834549            -1.25416            -2.01641            6.87302             -4.05982            
0.0486876           3584                9.8424              -0.0348372          -2.51485            -1.97529            7.43145             -4.42459            
0.0521653           3840                10.0394             -0.0407412          -2.3487             -1.8673             7.71852             -4.50189            
0.055643            4096                11.5398             -0.851502           -3.49291            -1.80274            8.46589             -4.93614            
0.0591207           4352                11.3606             -0.710831           -3.23444            -1.77891            8.44448             -4.88498            
0.0625984           4608                9.97802             0.126858            -2.43637            -2.11023            7.58068             -4.52531            
0.066076            4864                11.1012             -0.434486           -2.99696            -1.90975            8.32699             -4.86188            
0.0695537           5120                13.1969             -1.65949            -3.97192            -1.31049            9.78327             -5.42098            
0.0730314           5376                13.271              -1.62766            -3.88182            -1.28525            9.90605             -5.46322            
0.0765091           5632                13.1592             -1.49204            -3.69863            -1.30331            9.90568             -5.45693            
0.0799868           5888                13.8258             -1.85823            -4.00898            -1.13588            10.3683             -5.64461            
0.0834645           6144                14.3417             -2.1259             -4.31379            -1.06664            10.6814             -5.79594            
0.0869422           6400                14.2611             -2.06703            -4.27402            -1.10317            10.6271             -5.78024            
0.0904198           6656                14.3808             -2.04919            -4.42172            -1.2177             10.6417             -5.84518            
0.0938975           6912                15.036              -2.38316            -4.82961            -1.14732            11.0261             -6.04016            
0.0973752           7168                14.6517             -2.13909            -4.63923            -1.27374            10.7657             -5.94369            
0.100853            7424                14.7265             -2.17984            -4.6608             -1.24819            10.8267             -5.9652             
0.104331            7680                14.6458             -2.08349            -4.60188            -1.30871            10.7811             -5.96276            
0.107808            7936                14.3508             -1.87889            -4.47168            -1.43131            10.5688             -5.89912            
0.111286            8192                14.0519             -1.67363            -4.30794            -1.53232            10.3751             -5.83324            
0.114764            8448                14.1026             -1.69855            -4.34288            -1.53076            10.4035             -5.84758            
0.118241            8704                13.8415             -1.49365            -4.16107            -1.61975            10.2562             -5.79514            
0.121719            8960                13.9312             -1.55815            -4.23021            -1.60204            10.3023             -5.81568            
0.125197            9216                14.1778             -1.68008            -4.34352            -1.55287            10.4727             -5.88769            
0.128674            9472                14.0357             -1.5661             -4.19967            -1.57643            10.4222             -5.85788            
0.132152            9728                13.7959             -1.37031            -4.06845            -1.69052            10.2633             -5.81461            
0.13563             9984                13.4667             -1.16293            -3.89929            -1.79166            10.0449             -5.73516            
0.139107            10240               13.6789             -1.27615            -3.99071            -1.73881            10.1956             -5.79863            
0.142585            10496               13.8281             -1.36215            -4.03556            -1.68187            10.3159             -5.83969            
0.146063            10752               13.9264             -1.36696            -4.08775            -1.7091             10.3747             -5.88475            
0.149541            11008               14.3078             -1.58348            -4.32351            -1.64513            10.601              -5.98969            
0.153018            11264               14.0473             -1.40817            -4.19278            -1.73876            10.4228             -5.92524            
0.156496            11520               13.8569             -1.25534            -4.0668             -1.81319            10.3117             -5.88735            
0.159974            11776               13.5065             -1.04014            -3.87348            -1.90457            10.0841             -5.79617            
0.163451            12032               14.0714             -1.38778            -4.18928            -1.76144            10.4423             -5.93954            
0.166929            12288               13.7559             -1.20798            -4.02373            -1.83758            10.2369             -5.85113            
0.170407            12544               13.47               -1.00836            -3.88016            -1.94413            10.042              -5.78552            
0.173884            12800               13.9643             -1.3189             -4.1414             -1.80198            10.3682             -5.91229            
0.177362            13056               13.7738             -1.17311            -3.99918            -1.85576            10.2683             -5.87621            
0.18084             13312               14.1712             -1.31411            -4.31191            -1.9168             10.4547             -6.02231            
0.184317            13568               13.0409             -0.610753           -3.73126            -2.2515             9.70143             -5.73723            
0.187795            13824               13.3949             -0.871027           -4.00257            -2.16531            9.88518             -5.81601            
0.191273            14080               13.7333             -0.978322           -4.13319            -2.13851            10.1281             -5.93688            
0.19475             14336               13.0165             -0.617696           -3.76286            -2.26342            9.65954             -5.72065            
0.198228            14592               13.1654             -0.698854           -3.84027            -2.23255            9.75707             -5.76299            
0.201706            14848               12.6566             -0.388333           -3.5214             -2.34008            9.45412             -5.62925            
0.205183            15104               13.0248             -0.59769            -3.77075            -2.29333            9.65692             -5.72934            
0.208661            15360               12.8626             -0.459976           -3.7195             -2.40035            9.52101             -5.6999             
