#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -1.96787e-05        -0.000283274        -1.78596e-05        0.000112456         -4.89235e-05        -0.000439572        
0.00347769          256                 0.314398            -7.55682            2.62362             5.86326             -6.9017             -19.9091            
0.00695537          512                 2.18409             135.327             -61.4458            -118.532            168.41              367.278             
0.0104331           768                 19.3774             -101.438            -8.09621            40.4532             22.6456             -277.076            
0.0139107           1024                -3.13555            -55.503             50.1269             68.8239             -140.223            -127.099            
0.0173884           1280                -4.27542            41.8198             -21.4476            -38.812             54.8147             119.292             
0.0208661           1536                2.3853              20.095              -18.0926            -25.4654            48.3381             48.5939             
0.0243438           1792                4.24269             -15.077             -1.4258             5.6266              6.43942             -43.7249            
0.0278215           2048                -2.06382            23.0189             -4.17293            -14.5703            11.1239             63.0359             
0.0312992           2304                -1.13196            7.39316             3.51875             -0.00762752         -7.79961            12.8473             
0.0347769           2560                0.00357342          10.6541             2.0031              -2.74456            -1.9618             16.3597             
0.0382545           2816                -0.531005           10.8528             3.25052             -1.99144            -5.64104            21.2436             
0.0417322           3072                -0.43935            7.3458              1.12281             -2.49998            -1.99336            18.3814             
0.0452099           3328                1.53403             -2.76369            0.43659             1.72725             0.669437            -11.0205            
0.0486876           3584                1.1244              2.69006             0.707293            -0.56825            -0.202261           2.89695             
0.0521653           3840                0.847723            0.832991            1.48019             0.965964            -2.90402            -1.04509            
0.055643            4096                0.288814            1.61256             0.883522            0.0468678           -2.32535            1.90861             
0.0591207           4352                0.140463            3.89505             -0.39598            -2.19581            0.699042            8.07059             
0.0625984           4608                0.0257885           6.42553             -0.93979            -3.89193            2.04371             14.164              
0.066076            4864                0.377413            5.75933             -0.861545           -3.49453            1.87359             11.6687             
0.0695537           5120                0.363508            6.81152             -2.1782             -5.06615            4.97824             13.8367             
0.0730314           5376                0.0377803           7.15821             -3.19404            -6.00742            7.24855             14.3425             
0.0765091           5632                -0.551982           9.88022             -5.07724            -8.90659            11.9529             21.602              
