#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   4.33262e-05         -5.67209e-05        0.000693054         0.00053044          -0.000990216        -0.000262893        
0.00347769          256                 2.39219             -1.50688            -0.384061           0.841675            2.99207             -1.14677            
0.00695537          512                 42.5823             -34.2414            1.94767             30.9136             37.9834             -16.917             
0.0104331           768                 79.5561             -35.0405            56.8516             59.4856             38.0717             -37.792             
0.0139107           1024                74.2013             114.56              -32.9041            -145.388            149.606             166.686             
0.0173884           1280                49.0225             155.706             -48.6328            -200.374            135.497             254.234             
0.0208661           1536                -18.9663            81.4674             -21.2739            -97.863             20.8015             132.339             
0.0243438           1792                -43.3665            -23.3509            -11.1431            17.7591             -47.1857            -37.4482            
0.0278215           2048                -26.9789            -20.3368            8.62459             33.3406             -51.5346            -30.6411            
0.0312992           2304                -13.4775            -31.3645            -2.75874            29.6318             -18.2843            -46.181             
0.0347769           2560                -1.1411             -26.2671            -4.99983            21.7709             5.44727             -33.5546            
0.0382545           2816                -3.49325            -9.82404            -13.4625            0.926517            14.6685             -16.8386            
0.0417322           3072                -2.84764            -1.49372            -10.896             -4.09331            12.6507             0.415843            
0.0452099           3328                -1.67644            1.76133             -8.70489            -7.46197            11.1224             8.19795             
0.0486876           3584                1.20099             2.09548             -9.5968             -8.83054            16.1283             5.87182             
0.0521653           3840                4.02396             3.26147             -7.38659            -9.59022            16.5402             7.49267             
0.055643            4096                2.45879             4.35193             -4.95944            -9.17054            11.0198             8.69714             
0.0591207           4352                0.324085            2.04106             -5.0755             -6.20056            7.95885             5.20082             
0.0625984           4608                0.14136             4.85106             -5.0054             -8.9777             7.45302             9.98855             
0.066076            4864                -0.60575            4.00462             -4.61102            -7.91271            5.75041             8.52179             
0.0695537           5120                -1.52204            2.59049             -4.05627            -5.97179            3.80236             5.87928             
0.0730314           5376                -2.14334            1.73187             -4.23386            -4.97537            3.28948             3.90103             
0.0765091           5632                -2.09949            1.43773             -4.84141            -4.87947            4.28216             3.20848             
0.0799868           5888                -2.14149            0.841155            -5.02677            -4.25842            4.66381             2.11725             
0.0834645           6144                -2.18651            0.265494            -5.38935            -4.0504             5.0708              1.28211             
0.0869422           6400                -2.18378            0.223672            -5.91584            -4.32644            5.89305             1.20833             
0.0904198           6656                -2.22971            0.127185            -6.30086            -4.54454            6.40007             1.13221             
0.0938975           6912                -2.32199            -0.837476           -6.55654            -3.64553            6.70708             -0.220227           
0.0973752           7168                -2.71182            -1.73238            -6.39187            -2.69846            5.92786             -1.64316            
0.100853            7424                -3.1152             -2.07329            -6.45532            -2.3298             5.48755             -2.39863            
0.104331            7680                -3.20956            -2.15004            -6.35051            -2.31766            5.10113             -2.34148            
0.107808            7936                -3.694              -3.05526            -6.15426            -1.10588            4.23338             -3.95346            
0.111286            8192                -3.55663            -2.27059            -6.05789            -1.95235            4.23699             -2.89431            
0.114764            8448                -3.18345            -2.16405            -6.08071            -2.09837            4.76518             -2.32574            
0.118241            8704                -2.88239            -1.96186            -5.83721            -2.27958            4.97382             -2.21697            
0.121719            8960                -2.87696            -1.98427            -6.0761             -2.22182            5.24305             -2.50754            
0.125197            9216                -2.64113            -1.53556            -6.07397            -2.72977            5.58634             -1.48219            
0.128674            9472                -2.32617            -0.580244           -6.2667             -3.91017            6.30501             -0.0455039          
0.132152            9728                -2.19379            -0.365276           -6.29199            -4.17483            6.54844             0.36911             
0.13563             9984                -2.24493            -0.508569           -6.25911            -4.09506            6.28365             0.37318             
0.139107            10240               -2.25314            -0.545054           -6.41907            -4.13131            6.55911             0.316203            
