#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   0.000186534         -0.000769288        -4.20033e-05        0.000631483         0.000273429         -0.00233106         
0.00347769          256                 -1.91066            -1.17524            0.407454            0.545536            -2.81256            -1.09465            
0.00695537          512                 -14.7566            406.648             15.8812             -324.226            -61.5532            1150.31             
0.0104331           768                 -5.83384            75.2538             -21.592             -81.638             54.185              227.32              
0.0139107           1024                18.2584             -258.723            6.24159             218.263             0.470161            -741.563            
0.0173884           1280                1.97223             -34.5718            5.27038             37.4186             -11.7784            -103.759            
0.0208661           1536                -5.50643            121.795             -2.54073            -102.857            1.60794             342.653             
0.0243438           1792                -5.81953            96.9361             -3.97099            -84.9108            4.46174             277.173             
0.0278215           2048                -7.3238             31.6819             1.92315             -25.4206            -11.4044            96.4365             
0.0312992           2304                -4.86777            -4.8601             2.75753             5.49778             -11.6774            -8.20227            
0.0347769           2560                -4.06727            -17.9813            0.60518             14.9048             -5.02626            -45.5682            
0.0382545           2816                -1.70951            -17.6417            1.54809             15.5969             -5.34336            -46.8519            
0.0417322           3072                -1.90339            5.84618             2.56379             -3.36361            -8.52693            18.73               
0.0452099           3328                -2.41351            11.8125             0.374608            -10.4457            -3.15917            35.7812             
0.0486876           3584                -1.64992            2.23464             1.03999             -1.87227            -4.26658            8.19336             
0.0521653           3840                -1.53471            -0.456726           1.44394             0.816968            -5.14848            0.53012             
0.055643            4096                -1.77772            6.54042             1.54634             -4.95708            -5.68871            20.3314             
0.0591207           4352                -2.92662            17.5916             1.58869             -14.2228            -6.95397            52.4969             
0.0625984           4608                -3.06224            21.2879             2.09426             -16.9938            -8.61231            63.1953             
0.066076            4864                -3.02149            20.6645             2.36879             -16.3989            -9.49808            61.4524             
0.0695537           5120                -2.79477            23.5224             2.68821             -18.4623            -10.1999            68.5965             
0.0730314           5376                -2.37226            25.5364             2.44059             -20.1308            -9.06505            73.2132             
0.0765091           5632                -2.34949            26.7391             2.89336             -20.2019            -10.3288            76.0117             
0.0799868           5888                -2.42905            24.6483             2.97624             -17.8353            -10.4661            69.7094             
0.0834645           6144                -3.0914             22.9804             2.53678             -16.3174            -9.87312            65.3949             
0.0869422           6400                -2.82642            20.943              2.48637             -14.465             -9.65402            59.6106             
0.0904198           6656                -2.73931            19.3277             1.79713             -13.4462            -7.65062            55.4521             
0.0938975           6912                -1.84451            16.6304             0.450854            -11.9544            -3.11169            47.1332             
0.0973752           7168                -1.70995            15.9354             -1.15507            -12.3049            1.62756             44.8678             
0.100853            7424                -1.74536            15.5183             -2.44537            -12.9125            5.2991              43.4906             
0.104331            7680                -2.4264             16.6676             -2.30276            -13.767             4.40262             46.989              
0.107808            7936                -2.21543            20.311              -2.18979            -16.7304            4.37616             56.3907             
0.111286            8192                -2.8982             22.7311             -2.00959            -18.7088            3.42204             63.3713             
0.114764            8448                -2.68414            25.9326             -2.20233            -21.5567            4.18693             71.8428             
0.118241            8704                -2.92762            28.5414             -2.37157            -24.0366            4.41223             79.3079             
0.121719            8960                -3.50193            31.0386             -1.93562            -26.1841            2.72153             87.0606             
0.125197            9216                -3.96395            33.1167             -1.11107            -27.7487            -0.0466821          93.8165             
0.128674            9472                -4.30677            35.8834             -0.582504           -30.0805            -1.85589            102.464             
0.132152            9728                -4.01755            35.4673             0.161135            -29.5248            -3.77083            101.723             
0.13563             9984                -3.76997            35.3257             1.2232              -28.8346            -6.5607             101.786             
0.139107            10240               -3.15926            32.1997             1.75301             -26.066             -7.58063            93.0914             
0.142585            10496               -2.6423             29.2999             1.76865             -23.8553            -7.2289             85.1217             
0.146063            10752               -2.31666            26.7859             1.91314             -21.7994            -7.39946            78.1036             
0.149541            11008               -2.28605            22.7314             2.14767             -18.2192            -8.03006            67.0396             
0.153018            11264               -1.52774            20.7066             2.12745             -16.4858            -7.47173            60.8379             
0.156496            11520               -1.47445            17.584              2.15851             -13.5434            -7.5025             52.1142             
0.159974            11776               -1.55729            16.4599             2.48725             -12.111             -8.4119             49.0976             
0.163451            12032               -0.571494           15.0704             2.4311              -10.8827            -7.38618            44.0958             
0.166929            12288               -0.387072           16.0266             2.26836             -11.9885            -6.74089            46.4828             
0.170407            12544               0.0265952           13.3932             2.64821             -9.45996            -7.37407            39.0951             
0.173884            12800               0.470602            11.5161             2.46837             -8.0909             -6.50076            33.8462             
0.177362            13056               1.1027              8.82345             2.36666             -5.83957            -5.59299            25.5736             
0.18084             13312               0.878899            5.13787             2.51869             -3.0589             -6.21954            15.781              
0.184317            13568               1.01099             1.77007             2.64691             -0.553233           -6.55415            6.40314             
0.187795            13824               2.40438             -0.355671           3.33211             1.51797             -7.37678            -1.08774            
0.191273            14080               2.81847             -4.58405            3.90409             5.65812             -8.62059            -13.8115            
0.19475             14336               2.63932             -6.61208            3.46681             7.05637             -7.63828            -19.5638            
0.198228            14592               2.62456             -7.62264            3.31286             7.83519             -7.30052            -22.4954            
0.201706            14848               2.66029             -8.43376            3.60091             8.78352             -8.03056            -24.7253            
0.205183            15104               3.06778             -8.023              3.60612             8.63716             -7.66714            -24.3597            
0.208661            15360               2.36902             -8.07179            3.27012             8.17345             -7.38694            -23.7261            
0.212139            15616               2.62773             -7.89266            2.85476             7.52407             -5.90506            -23.6005            
0.215617            15872               2.28001             -6.80004            2.93034             6.72199             -6.39301            -20.4386            
0.219094            16128               2.06772             -4.95994            3.45308             5.46904             -8.08008            -15.1704            
0.222572            16384               1.58419             -3.31356            3.92618             4.33538             -9.86559            -9.89002            
0.22605             16640               1.62033             -2.3871             4.12886             3.75491             -10.3811            -7.41555            
0.229527            16896               2.07163             -3.59229            4.5489              4.86413             -11.1799            -10.8201            
0.233005            17152               1.82684             -3.12792            4.33911             4.2674              -10.8748            -9.11223            
0.236483            17408               1.43246             -3.20992            4.10383             4.18756             -10.553             -8.73232            
0.23996             17664               1.55088             -4.5569             3.99737             5.23523             -10.168             -12.3784            
0.243438            17920               1.81248             -5.22535            4.04834             5.98326             -10.1508            -14.6333            
0.246916            18176               2.31624             -4.47413            3.8924              5.20901             -9.27257            -13.1037            
0.250393            18432               1.85752             -5.12785            3.45439             5.47107             -8.36646            -14.6233            
0.253871            18688               2.14099             -7.50613            3.04152             7.08298             -6.90966            -21.8872            
0.257349            18944               2.32231             -7.99437            2.79712             7.48066             -6.00151            -23.6708            
0.260826            19200               2.2227              -5.88435            2.29261             5.39385             -4.71365            -17.753             
0.264304            19456               2.02318             -6.49933            2.47447             6.21996             -5.37666            -19.081             
0.267782            19712               1.46639             -6.77731            3.04431             7.14532             -7.49615            -19.2878            
0.27126             19968               2.40632             -9.52927            1.89355             8.46651             -3.44658            -27.7609            
0.274737            20224               2.03363             -8.76334            2.14169             8.01378             -4.39941            -25.3127            
0.278215            20480               1.45076             -7.37311            2.25872             7.07739             -5.19919            -21.0365            
0.281693            20736               2.55008             -8.12224            2.45161             7.82831             -4.83871            -24.1645            
0.28517             20992               1.88649             -6.66688            2.43198             6.48887             -5.30177            -19.4382            
0.288648            21248               1.99263             -6.97682            2.27813             6.76621             -4.78181            -20.6023            
0.292126            21504               2.2029              -7.2562             2.11883             6.87365             -4.11753            -21.5593            
0.295603            21760               2.52339             -6.17459            2.16407             5.98864             -4.07572            -18.6158            
0.299081            22016               2.85939             -6.13907            2.61353             6.47567             -4.94212            -18.8292            
0.302559            22272               2.46026             -7.61843            2.50293             7.57015             -5.03311            -22.3612            
0.306036            22528               2.59848             -9.26156            2.21465             8.81963             -4.05657            -26.88              
0.309514            22784               2.82773             -9.22699            2.3236              8.78098             -4.12242            -26.8993            
0.312992            23040               2.7778              -11.4621            2.12198             10.2227             -3.62601            -32.8242            
0.316469            23296               3.06503             -11.7667            2.08077             10.4113             -3.23214            -33.9252            
0.319947            23552               2.5492              -11.2176            1.93875             9.86271             -3.27865            -31.9253            
0.323425            23808               2.76727             -13.5433            2.88502             12.503              -5.86493            -38.4701            
0.326903            24064               3.3469              -11.1009            2.94411             10.4877             -5.54176            -32.3045            
0.33038             24320               2.64338             -12.1699            2.53803             10.9534             -4.89212            -34.658             
0.333858            24576               3.51204             -12.8421            2.59404             11.6846             -4.2784             -37.5548            
0.337336            24832               2.76576             -11.5248            2.66256             10.5367             -5.17397            -32.9822            
0.340813            25088               2.62596             -10.5624            2.71299             9.81122             -5.43255            -30.0993            
0.344291            25344               2.66467             -10.2484            2.57748             9.49866             -5.03097            -29.0137            
0.347769            25600               2.76234             -11.0735            2.59065             10.2137             -4.97177            -31.3475            
0.351246            25856               3.18157             -9.70795            2.63095             9.2413              -4.76324            -28.2266            
