#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -6.78005e-06        -2.31514e-05        -1.20718e-05        1.59546e-05         4.48568e-05         -9.88697e-05        
0.00347769          256                 18.4265             35.0698             4.94331             -35.2734            -0.934658           139.749             
0.00695537          512                 13.0054             27.2139             3.21936             -27.8124            0.502889            109.225             
0.0104331           768                 -8.65742            -13.6275            0.590948            15.7188             -12.2751            -52.7681            
0.0139107           1024                -17.0509            -32.5786            -1.46834            35.3125             -12.7071            -129.051            
0.0173884           1280                -7.11509            -13.7075            -0.742014           14.7445             -4.74628            -54.3985            
0.0208661           1536                4.32484             11.1364             0.485844            -12.0876            2.72729             45.0664             
0.0243438           1792                8.63605             17.5045             1.24174             -18.6043            4.2472              69.7799             
0.0278215           2048                -3.67097            -6.51993            0.108923            7.39438             -4.59953            -25.5687            
0.0312992           2304                2.99171             6.80033             0.700979            -7.05369            0.284062            27.4                
0.0347769           2560                8.10301             16.1232             1.22082             -17.0764            3.74006             64.1985             
0.0382545           2816                0.346981            1.12285             0.458884            -0.886292           -1.624              4.68509             
0.0417322           3072                -1.26541            -1.96068            0.281709            2.42465             -2.65655            -7.53743            
0.0452099           3328                1.05763             2.52685             0.493558            -2.43178            -0.977744           10.2589             
0.0486876           3584                1.50573             3.35957             0.554071            -3.31419            -0.739682           13.5578             
0.0521653           3840                -1.02227            -1.85607            0.253805            2.2845              -2.26248            -7.25298            
0.055643            4096                -0.627985           -0.934233           0.263896            1.25981             -1.86372            -3.54862            
0.0591207           4352                1.10296             2.28339             0.417048            -2.22199            -0.593177           9.17157             
0.0625984           4608                0.639353            1.12089             0.342777            -0.982157           -0.788854           4.46823             
0.066076            4864                0.417099            0.623163            0.306508            -0.455511           -0.878761           2.46995             
0.0695537           5120                0.635094            1.13561             0.304563            -1.03147            -0.62402            4.52132             
0.0730314           5376                0.649911            1.62825             0.297735            -1.58506            -0.574216           6.62254             
0.0765091           5632                0.48945             1.62683             0.231796            -1.6318             -0.464518           6.72311             
0.0799868           5888                0.201713            1.29723             0.134679            -1.33433            -0.361513           5.49961             
0.0834645           6144                0.140247            1.06019             0.0696209           -1.11282            -0.147335           4.53792             
0.0869422           6400                0.107104            0.359461            0.0557921           -0.335874           -0.132578           1.54946             
0.0904198           6656                0.00617894          -0.43043            0.148469            0.620826            -0.654056           -1.79536            
0.0938975           6912                -0.228053           -0.342303           0.325607            0.659597            -1.67832            -1.29275            
0.0973752           7168                -0.020551           0.80061             0.408242            -0.548059           -1.80789            3.47849             
0.100853            7424                0.0692863           1.5007              0.274813            -1.43611            -1.13269            6.46233             
