#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -3.80344e-06        7.93762e-06         -0.000113607        -1.48367e-05        0.000237609         1.83068e-05         
0.00347769          256                 0.0465249           0.00511563          -1.50452            0.172766            2.80777             0.0167936           
0.00695537          512                 2.5055              -0.908359           8.60627             3.80518             -29.6609            -2.48426            
0.0104331           768                 0.159608            0.543035            13.5813             -3.63508            -22.4816            1.35215             
0.0139107           1024                0.341307            -0.305436           27.3191             0.112807            -54.5896            -0.756452           
0.0173884           1280                0.0680186           0.0246781           18.6219             -0.903548           -35.3807            0.0960279           
0.0208661           1536                0.0918079           -0.091625           7.03019             -0.427125           -14.2253            -0.127477           
0.0243438           1792                0.134201            -0.16402            -2.4721             0.0953006           4.19882             -0.320622           
0.0278215           2048                0.0740669           -0.0834378          -7.69985            -0.475016           15.4835             -0.173254           
0.0312992           2304                0.238411            -0.0652879          -2.76317            0.142248            5.19793             -0.180322           
0.0347769           2560                0.303947            -0.0714743          -0.690465           -0.11412            1.15707             -0.166389           
0.0382545           2816                0.230931            -0.0611118          -0.622059           -0.415978           1.73623             -0.10338            
0.0417322           3072                0.214152            -0.0632122          1.78031             -0.327502           -2.98651            -0.111518           
0.0452099           3328                0.168413            -0.0647249          3.94266             -0.392156           -7.40266            -0.12488            
0.0486876           3584                0.133495            -0.0164945          5.20482             -0.352713           -10.0081            -0.0217367          
0.0521653           3840                0.1284              0.0060192           6.21666             -0.191234           -12.0796            0.032844            
0.055643            4096                0.12282             0.0666152           7.3334              0.616427            -14.2886            0.159788            
0.0591207           4352                0.11136             0.100191            9.01                1.19337             -17.779             0.217176            
0.0625984           4608                0.107918            0.168372            11.5251             1.68004             -23.0886            0.356254            
0.066076            4864                0.0988816           0.149463            12.944              2.25438             -26.1139            0.318837            
0.0695537           5120                0.12647             0.124015            13.9682             2.05397             -28.4422            0.28199             
0.0730314           5376                0.117628            0.0864379           13.9721             1.93378             -28.6334            0.201572            
0.0765091           5632                0.0940788           0.0206886           13.3142             1.75466             -27.3627            0.0515537           
0.0799868           5888                0.0429836           -0.0556662          12.2066             1.30296             -25.1207            -0.106995           
0.0834645           6144                0.00067354          -0.129611           11.0336             0.975688            -22.6821            -0.246931           
0.0869422           6400                -0.00318183         -0.207455           10.3968             0.861498            -21.4271            -0.418095           
0.0904198           6656                0.0367712           -0.23929            10.6011             0.5585              -21.9572            -0.496978           
0.0938975           6912                0.0784328           -0.235647           10.8846             0.145059            -22.6335            -0.488964           
0.0973752           7168                0.113231            -0.108894           11.2228             -0.268637           -23.4377            -0.18583            
0.100853            7424                0.124926            -0.0428977          11.2894             -0.602188           -23.6237            0.0148314           
0.104331            7680                0.142332            -0.132421           10.8638             -0.624588           -22.81              -0.189058           
0.107808            7936                0.171721            -0.142223           10.4184             -0.559834           -22.0586            -0.250655           
0.111286            8192                0.218637            -0.0998129          10.4644             -0.456853           -22.2094            -0.178746           
0.114764            8448                0.299124            -0.0968246          10.8489             -0.326666           -23.0253            -0.19869            
0.118241            8704                0.309682            -0.0615625          11.1004             -0.306796           -23.4616            -0.183195           
0.121719            8960                0.370792            -0.0698395          11.508              -0.230365           -24.0485            -0.23318            
0.125197            9216                0.437976            -0.0638793          11.0204             -0.725539           -22.9309            -0.220074           
0.128674            9472                0.467415            0.01415             9.71885             -0.811733           -19.9716            -0.0515629          
0.132152            9728                0.462783            0.0394136           8.23392             -0.73664            -16.6513            0.0013345           
0.13563             9984                0.431482            0.128852            6.43201             -0.57814            -12.7078            0.193448            
0.139107            10240               0.412888            0.179736            5.31724             -0.718489           -10.2624            0.297717            
0.142585            10496               0.364436            0.213273            4.56891             -1.09589            -8.6479             0.370409            
0.146063            10752               0.32618             0.244649            3.82453             -1.29928            -7.15761            0.415968            
0.149541            11008               0.36736             0.176152            2.78374             -1.09217            -4.76192            0.203269            
0.153018            11264               0.365409            0.165137            2.4252              -0.828222           -3.93659            0.198503            
0.156496            11520               0.40432             0.135948            2.88525             -0.640405           -4.85927            0.139558            
0.159974            11776               0.43066             0.15268             3.61508             -0.406148           -6.2716             0.183095            
0.163451            12032               0.4543              0.20052             4.96784             -0.238872           -9.06409            0.334978            
0.166929            12288               0.592831            0.232513            6.24465             -0.356024           -11.4946            0.438298            
0.170407            12544               0.694438            0.247947            6.43254             -0.2495             -11.6284            0.429719            
0.173884            12800               0.674278            0.310401            5.57769             -0.326847           -9.61565            0.50709             
0.177362            13056               0.557316            0.350546            3.86947             -0.979333           -6.10924            0.616452            
0.18084             13312               0.447871            0.274079            2.20099             -1.75262            -2.89287            0.514696            
0.184317            13568               0.442287            0.215799            2.57785             -1.5816             -3.99632            0.439609            
0.187795            13824               0.545208            0.206705            4.41267             -0.916433           -7.90353            0.38947             
0.191273            14080               0.569679            0.373195            6.09754             -0.469425           -11.7018            0.784339            
0.19475             14336               0.489916            0.206279            5.63248             -0.135076           -10.6122            0.387972            
0.198228            14592               0.449593            0.162698            4.4575              -0.903232           -7.93067            0.282781            
0.201706            14848               0.51867             0.173034            4.57115             -1.19902            -8.17426            0.313609            
0.205183            15104               0.548048            0.182438            4.88403             -0.819071           -8.87529            0.366112            
0.208661            15360               0.498955            0.143159            5.17382             -1.05029            -9.70661            0.294166            
0.212139            15616               0.491228            0.122887            6.09641             -0.255606           -11.9011            0.236595            
0.215617            15872               0.553281            0.210466            6.66834             0.0529871           -12.9786            0.383204            
0.219094            16128               0.517899            0.128118            6.09233             0.237393            -11.591             0.191254            
0.222572            16384               0.603604            0.157094            5.97264             -0.296373           -11.204             0.249291            
0.22605             16640               0.568069            0.205232            6.3548              -0.801019           -12.1037            0.399118            
0.229527            16896               0.507416            0.153056            5.68366             -1.10041            -10.7857            0.259393            
0.233005            17152               0.542581            0.134678            4.72121             -1.55548            -8.54873            0.313405            
0.236483            17408               0.49501             0.157172            5.28885             -1.44669            -9.97037            0.340165            
0.23996             17664               0.536421            0.181788            6.75356             -0.946039           -13.0773            0.35658             
0.243438            17920               0.594542            0.121551            6.64166             -1.08307            -12.6272            0.180377            
0.246916            18176               0.514744            0.177991            6.87989             -1.06267            -13.1826            0.356632            
0.250393            18432               0.54945             0.21711             7.63712             -0.723901           -14.765             0.413269            
0.253871            18688               0.576359            0.249371            7.14822             -0.936578           -13.6948            0.487098            
0.257349            18944               0.495349            0.218241            6.54221             -1.19951            -12.6475            0.43801             
0.260826            19200               0.483659            0.218113            6.32472             -1.39529            -12.1783            0.4356              
0.264304            19456               0.490104            0.252903            6.65639             -1.21443            -12.9658            0.536635            
0.267782            19712               0.513718            0.203441            7.3078              -0.988392           -14.2659            0.428212            
0.27126             19968               0.520369            0.246911            7.55556             -0.805315           -14.7581            0.491435            
0.274737            20224               0.526707            0.215255            7.89509             -0.902111           -15.3888            0.401544            
0.278215            20480               0.583684            0.178636            7.18234             -1.32132            -13.7597            0.322068            
0.281693            20736               0.489069            0.147271            6.08148             -1.27302            -11.5584            0.264266            
0.28517             20992               0.467667            0.178293            6.43846             -1.17376            -12.4713            0.308425            
0.288648            21248               0.539345            0.189961            7.23415             -1.2617             -14.1004            0.346687            
0.292126            21504               0.550577            0.198721            7.49646             -1.34833            -14.4935            0.413731            
0.295603            21760               0.469434            0.203108            7.54156             -1.27481            -14.683             0.420265            
0.299081            22016               0.48734             0.195526            7.46252             -1.24843            -14.5452            0.397341            
0.302559            22272               0.542289            0.224134            8.06553             -0.936393           -15.7791            0.409718            
0.306036            22528               0.606872            0.21233             7.91065             -0.925436           -15.2678            0.354729            
0.309514            22784               0.458539            0.142593            7.10628             -1.26649            -13.7313            0.283468            
0.312992            23040               0.501245            0.174629            7.86274             -0.941755           -15.4474            0.340939            
0.316469            23296               0.539223            0.216838            7.69637             -1.16788            -15.1375            0.425905            
0.319947            23552               0.534855            0.165088            7.82397             -0.866387           -15.3716            0.300866            
0.323425            23808               0.606121            0.14577             7.89245             -0.701566           -15.3356            0.203456            
0.326903            24064               0.568794            0.123377            7.46074             -0.789623           -14.5101            0.190837            
0.33038             24320               0.522762            0.158725            7.41407             -1.10232            -14.5718            0.329732            
0.333858            24576               0.569403            0.196913            7.51431             -1.44029            -14.8403            0.412501            
0.337336            24832               0.616576            0.169271            7.58237             -1.01007            -14.9163            0.323456            
0.340813            25088               0.565365            0.136407            7.61206             -0.875054           -14.8363            0.194287            
0.344291            25344               0.511192            0.118654            7.91089             -0.929186           -15.5863            0.206962            
0.347769            25600               0.581686            0.219829            7.58666             -1.18141            -14.8902            0.480545            
0.351246            25856               0.599789            0.121088            8.00835             -0.741044           -15.7534            0.198962            
0.354724            26112               0.57856             0.210083            8.51877             -0.684393           -16.8219            0.407834            
0.358202            26368               0.570292            0.179404            8.22578             -0.929805           -16.1245            0.316881            
0.361679            26624               0.600814            0.191409            8.22245             -1.26831            -16.0964            0.34462             
