#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -0.000393408        2.48051e-06         -0.00161828         -2.90253e-06        0.00365461          7.24176e-06         
0.00347769          256                 3.15151             -0.133022           -5.21729            -0.142675           20.7237             -0.139944           
0.00695537          512                 102.826             -0.19522            720.37              -3.86454            -1792.02            0.471828            
0.0104331           768                 6.24798             -0.524658           -303.206            1.94013             828.981             -1.06837            
0.0139107           1024                30.5238             0.190274            166.491             -1.10215            -401.545            0.344366            
0.0173884           1280                15.304              -0.280808           36.0498             -0.921309           -72.6394            -0.280062           
0.0208661           1536                31.0343             0.127774            66.4485             -0.880632           -127.677            0.203685            
0.0243438           1792                6.04785             0.433702            28.9116             0.848756            -66.7192            0.495703            
0.0278215           2048                -4.51523            0.0774115           -4.77452            0.615946            6.35093             -0.111996           
0.0312992           2304                2.10153             0.110571            18.5721             0.382959            -46.0667            0.0585028           
0.0347769           2560                9.38309             0.0163968           32.6007             -0.109548           -72.0843            -0.0719909          
0.0382545           2816                8.48853             -0.0619095          22.605              -0.381167           -46.2963            -0.224263           
0.0417322           3072                7.82339             -0.112721           23.8522             -0.213586           -50.4906            -0.254732           
0.0452099           3328                9.50915             -0.125275           31.7169             0.0984447           -69.0775            -0.244931           
0.0486876           3584                11.9137             -0.0704176          34.1478             0.512365            -71.6633            -0.201878           
0.0521653           3840                14.2028             -0.127602           38.4785             0.154692            -79.5483            -0.109148           
0.055643            4096                13.4361             0.158227            36.9612             0.278686            -76.9011            0.515588            
0.0591207           4352                12.4499             0.432669            34.491              0.523249            -72.1193            0.801064            
0.0625984           4608                12.2615             0.267707            27.5305             0.320034            -53.4552            0.305112            
0.066076            4864                13.5698             0.163146            25.4648             -0.183575           -45.3783            0.20046             
0.0695537           5120                17.6842             0.344691            30.0996             -0.223429           -50.5735            0.635637            
0.0730314           5376                18.7266             -0.0633603          30.7538             -0.938013           -50.5872            -0.363863           
0.0765091           5632                18.9251             -0.466795           34.5644             -1.18665            -61.107             -1.18083            
0.0799868           5888                15.7987             -0.600045           32.6408             -0.808582           -61.4639            -1.53865            
0.0834645           6144                13.6065             -0.233075           30.4652             -0.570671           -59.2293            -0.733435           
0.0869422           6400                13.2799             -0.158957           29.9081             -0.715056           -57.9755            -0.451958           
0.0904198           6656                12.9712             -0.264121           27.1285             -1.34812            -50.2912            -0.444208           
0.0938975           6912                11.6405             -0.0151964          27.2746             -1.52245            -52.9162            0.229797            
0.0973752           7168                10.8561             0.28414             31.4051             -1.78354            -65.5136            0.899734            
0.100853            7424                10.9729             0.540551            38.2209             -2.1311             -83.7203            1.28917             
0.104331            7680                11.6861             1.15926             45.5149             -3.09534            -102.373            2.61136             
0.107808            7936                11.7252             0.991857            48.5882             -2.92001            -110.61             1.91384             
0.111286            8192                12.3436             0.2241              51.4968             -2.32449            -117.507            -0.0469879          
0.114764            8448                13.6116             -0.561872           56.1302             -1.47089            -127.821            -1.91447            
0.118241            8704                14.3766             -1.15979            58.5269             -1.16867            -132.774            -3.44489            
0.121719            8960                14.6995             -1.26021            63.1503             -0.510228           -144.868            -3.47119            
0.125197            9216                15.6266             -0.816777           67.0012             -0.817058           -154.077            -2.04435            
0.128674            9472                15.9705             -0.468948           69.8709             -1.77994            -161.616            -1.04807            
0.132152            9728                16.5757             -0.408346           70.7022             -2.57457            -163.173            -0.801828           
0.13563             9984                16.6954             0.0500952           69.0144             -2.24               -158.607            0.00480286          
0.139107            10240               16.9519             0.540847            65.6402             -1.85466            -149.044            1.10226             
0.142585            10496               18.928              0.89022             65.0218             -1.23945            -144.043            1.80987             
0.146063            10752               21.835              0.878211            64.4082             -1.09494            -137.498            1.66547             
0.149541            11008               22.1087             0.780699            57.9421             -1.78632            -119.435            1.50017             
0.153018            11264               22.6828             0.386354            52.6759             -2.4642             -104.22             0.748327            
0.156496            11520               23.3458             0.262844            49.3966             -2.52916            -94.082             0.495788            
0.159974            11776               22.835              0.671552            43.471              -1.82095            -78.3599            0.995061            
0.163451            12032               23.1472             0.574045            42.3313             -0.293921           -74.5277            0.49867             
0.166929            12288               20.3522             0.280701            38.6313             -0.217095           -69.1688            0.0803268           
0.170407            12544               19.4712             0.113452            38.1958             -0.473811           -69.8245            0.154621            
0.173884            12800               20.3127             0.383368            41.3869             0.596419            -77.3219            0.661523            
0.177362            13056               20.3                0.149059            38.8642             0.0238191           -70.7288            0.478892            
0.18084             13312               20.589              0.620438            37.7539             0.300842            -67.1399            1.12553             
0.184317            13568               19.3462             0.330279            36.1599             -0.682398           -64.6198            0.625714            
0.187795            13824               19.5762             0.173259            36.5319             -1.10343            -65.034             0.450016            
0.191273            14080               21.2994             0.249674            42.2872             -0.313225           -77.5232            0.533852            
0.19475             14336               22.749              -0.120232           44.7129             -0.0142601          -81.7045            -0.385986           
0.198228            14592               22.6942             -0.0188598          45.7971             0.00581592          -84.8003            -0.340041           
0.201706            14848               23.2404             -0.151165           47.8161             -0.421946           -89.4705            -0.542265           
0.205183            15104               23.5129             -0.111194           48.5016             -0.761007           -90.7251            -0.282795           
0.208661            15360               24.1817             -0.34759            49.3097             -1.14564            -91.3696            -0.566954           
0.212139            15616               27.2262             -0.236833           57.0629             -0.223911           -107.195            -0.724906           
0.215617            15872               28.5628             -0.344981           62.5848             -0.616212           -120.058            -0.781037           
0.219094            16128               30.4096             -0.109301           69.049              -0.811656           -134.612            -0.00722216         
0.222572            16384               31.3049             0.0548951           72.3143             -0.690004           -142.103            0.345469            
0.22605             16640               32.3892             -0.098147           75.2875             -0.420832           -148.36             0.1157              
