#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -1.47177e-05        1.42216e-05         -0.00194621         -8.85704e-06        0.0036947           2.48474e-05         
0.00347769          256                 1.66543             -0.265182           -48.0322            -1.26224            77.6668             -0.572434           
0.00695537          512                 50.3273             0.964985            -23.2543            -2.54283            -321.766            1.62405             
0.0104331           768                 -34.4969            -1.06712            802.19              -0.505348           -1249.1             -2.35998            
0.0139107           1024                6.34956             3.24885             971.927             1.22518             -1979.51            6.49134             
0.0173884           1280                -2.04849            1.9443              977.137             -0.442994           -1900.38            4.07306             
0.0208661           1536                -1.77277            0.477199            305.768             0.199535            -586.211            0.944154            
0.0243438           1792                -0.573148           -0.857911           -159.829            0.705021            336.776             -1.57907            
0.0278215           2048                -3.03499            -1.83668            -254.595            -1.10324            561.138             -3.59452            
0.0312992           2304                1.95239             -0.431389           -143.199            1.6634              287.926             -0.807867           
0.0347769           2560                1.97717             -0.656781           -70.1783            -0.142408           133.76              -1.2197             
0.0382545           2816                -0.43836            -0.704774           -98.4617            0.415013            213.636             -1.33133            
0.0417322           3072                -0.351163           -0.734633           -61.3999            0.221216            136.24              -1.3435             
0.0452099           3328                -1.25455            -0.626805           50.0608             0.286786            -78.2896            -1.13245            
0.0486876           3584                -1.08146            -0.550612           84.1313             0.0145978           -145.347            -1.02426            
0.0521653           3840                -0.56691            -0.640191           115.937             -0.776174           -205.069            -1.29326            
0.055643            4096                -0.190738           -0.403524           131.467             -0.337737           -232.131            -0.884568           
0.0591207           4352                0.0826832           -0.270084           144.854             -0.289297           -259.4              -0.536617           
0.0625984           4608                0.525795            -0.325979           152.476             0.111675            -275.184            -0.621029           
0.066076            4864                0.78829             -0.385001           169.827             -0.251557           -312.524            -0.608276           
0.0695537           5120                0.353291            -0.444033           185.57              -0.107789           -347.52             -0.842949           
0.0730314           5376                -0.0936732          -0.450303           198.055             -0.103413           -374.584            -0.840384           
0.0765091           5632                -0.472206           -0.34361            204.819             -0.0156991          -390.109            -0.619243           
0.0799868           5888                -0.607653           -0.376661           203.014             -0.273239           -386.977            -0.691721           
0.0834645           6144                -0.345197           -0.360682           202.165             -0.358752           -387.474            -0.647106           
0.0869422           6400                0.111417            -0.218152           199.201             -0.250881           -385.075            -0.351145           
0.0904198           6656                0.666268            -0.0460156          194.073             -0.416962           -379.443            0.0420937           
0.0938975           6912                1.2301              0.0217471           181.326             -0.689596           -359.787            0.13267             
0.0973752           7168                1.91219             -0.178542           173.306             -0.683083           -348.641            -0.445172           
0.100853            7424                2.65125             -0.0685528          167.263             -0.0103563          -340.583            -0.25897            
0.104331            7680                3.29853             0.0701504           158.542             0.343357            -326.767            0.120533            
0.107808            7936                3.79962             0.0790448           145.234             0.531644            -302.795            0.193777            
0.111286            8192                4.55592             -0.000322962        135.898             0.720373            -285.407            -0.057656           
0.114764            8448                5.4063              -0.0917065          122.699             0.776154            -258.615            -0.383363           
0.118241            8704                5.83437             0.0109868           110.65              0.460584            -231.967            -0.117029           
0.121719            8960                5.53045             0.0205578           96.4197             0.977349            -201.134            -0.0401555          
0.125197            9216                5.23806             0.0417684           83.0765             1.34874             -170.558            -0.0107625          
0.128674            9472                5.15681             0.135523            70.7415             1.53098             -141.013            0.12595             
0.132152            9728                4.94485             0.144621            55.7802             1.23458             -105.307            0.130177            
0.13563             9984                4.7235              0.2812              40.0344             1.6677              -68.4273            0.401116            
0.139107            10240               4.52437             0.289021            28.2933             2.07218             -39.9464            0.379402            
0.142585            10496               4.28136             0.270362            20.0824             2.05086             -19.6605            0.390945            
0.146063            10752               4.09098             0.189827            15.2183             2.02354             -6.52815            0.230444            
0.149541            11008               3.98253             0.112507            12.7241             1.86718             1.30016             0.0335718           
0.153018            11264               3.89692             0.0504724           12.3617             1.8345              4.63484             -0.0713521          
0.156496            11520               3.97193             -0.0366387          13.3466             1.07632             3.47284             -0.147062           
0.159974            11776               3.93731             0.0375494           18.058              1.50537             -4.31396            -0.00497471         
0.163451            12032               4.01036             -0.00250399         21.0099             1.73501             -8.27646            -0.137492           
0.166929            12288               3.99494             -0.123236           28.5738             1.61374             -20.7119            -0.362903           
0.170407            12544               3.79109             -0.229719           34.3947             1.53971             -30.9839            -0.563783           
0.173884            12800               3.81331             -0.180879           44.8288             1.53432             -51.9279            -0.583049           
0.177362            13056               3.83843             -0.176218           53.4466             0.850187            -69.2902            -0.528168           
0.18084             13312               3.9098              -0.0323369          55.8795             0.823377            -72.9462            -0.257697           
0.184317            13568               4.14938             -0.12111            63.7563             0.404432            -88.4839            -0.480173           
0.187795            13824               4.35738             -0.146578           65.3356             0.534748            -90.7298            -0.535963           
