#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -8.36758e-05        3.90266e-05         -0.000218615        -2.96417e-05        0.000939394         0.000178159         
0.00347769          256                 1316.86             -0.240825           417.233             4.12875             -512.411            6.80354             
0.00695537          512                 677.134             -3.98041            152.465             -1.8045             29.6205             -12.6035            
0.0104331           768                 -884.199            -6.44879            33.0555             5.35227             -1010.34            -29.267             
0.0139107           1024                -1072.95            6.90237             -158.223            -8.02699            -397.111            30.0835             
0.0173884           1280                -791.962            6.11263             -3.37465            -8.29722            -810.973            20.9703             
0.0208661           1536                -386.646            3.5385              89.9585             -7.17362            -817.533            12.9898             
0.0243438           1792                143.537             -1.64473            -4.67342            0.622319            188.348             -3.33323            
0.0278215           2048                160.216             3.30513             13.7514             -2.31176            120.557             18.7774             
0.0312992           2304                203.656             1.38727             79.6014             0.00691284          -142.043            4.89445             
0.0347769           2560                112.93              -6.5072             68.8844             6.11371             -192.38             -31.0819            
0.0382545           2816                26.7519             -1.18443            13.8265             0.186845            -27.2426            -1.94777            
0.0417322           3072                10.9297             2.52526             1.23492             -2.30956            12.3169             11.5131             
0.0452099           3328                -38.8062            -0.486873           15.4085             0.979767            -108.731            -5.43944            
0.0486876           3584                -46.2957            -1.40501            10.1302             0.948447            -91.9801            -6.81679            
0.0521653           3840                -64.2479            0.50656             -2.55917            -1.16486            -52.2327            3.0604              
0.055643            4096                -51.763             1.26101             3.42466             -1.42469            -67.3232            4.43745             
0.0591207           4352                -23.9272            -0.502121           11.7457             0.366286            -76.4695            -3.55464            
0.0625984           4608                -2.89429            -0.623734           11.8787             0.142884            -54.4235            -2.32427            
0.066076            4864                19.75               0.285354            12.6249             -0.70682            -33.8248            1.40885             
0.0695537           5120                23.9512             -0.171854           13.0925             -0.0542483          -32.0328            -0.751373           
0.0730314           5376                24.3006             -0.833534           13.9265             0.459745            -35.7114            -2.70477            
0.0765091           5632                17.9443             -0.840954           10.1473             0.437089            -25.3851            -1.88628            
0.0799868           5888                5.94549             -1.01286            6.92782             0.713297            -23.5406            -1.83635            
0.0834645           6144                -7.81593            -1.26941            3.26149             0.887476            -21.6989            -2.62443            
0.0869422           6400                -22.9611            -1.17714            0.622129            0.675965            -25.9192            -2.24468            
0.0904198           6656                -32.768             -0.74468            -1.1712             0.309036            -28.3802            -1.79126            
0.0938975           6912                -37.5334            -0.0851565          -1.26834            -0.351128           -33.0767            -0.152301           
0.0973752           7168                -38.2864            0.422813            -0.64712            -0.864491           -36.6062            0.866688            
0.100853            7424                -36.4771            0.979702            2.04456             -1.35579            -46.5538            2.79905             
0.104331            7680                -31.2595            1.22673             4.75977             -1.48659            -53.0246            3.02242             
0.107808            7936                -26.3504            1.08835             5.93128             -1.3618             -52.8566            2.92329             
0.111286            8192                -21.8863            0.764715            5.87044             -1.0654             -47.6932            1.3069              
0.114764            8448                -19.6234            0.534329            5.1322              -0.720454           -41.9035            0.490095            
0.118241            8704                -17.8198            0.865493            4.50564             -0.889201           -37.4463            1.03922             
0.121719            8960                -15.1446            0.541775            5.10485             -0.498818           -37.4276            0.0710642           
0.125197            9216                -12.2036            -0.176138           5.32334             -0.0452873          -35.4147            -3.48699            
0.128674            9472                -10.4989            -0.212556           5.96832             -0.00172031         -36.6832            -3.91795            
0.132152            9728                -11.8248            -0.350632           5.78305             0.00985088          -37.3568            -4.25583            
0.13563             9984                -12.8429            -0.379054           4.90929             0.301008            -34.732             -4.35214            
0.139107            10240               -14.3917            0.13371             4.19993             -0.0419106          -33.2565            -2.39757            
0.142585            10496               -17.8661            0.022969            4.41758             0.0383171           -38.0073            -2.60124            
0.146063            10752               -20.3834            1.08315             3.928               -0.889184           -38.3341            2.32409             
0.149541            11008               -19.799             0.655409            3.23089             -0.336919           -34.3715            1.3184              
0.153018            11264               -15.528             0.56096             2.80045             -0.184313           -27.7543            0.755326            
0.156496            11520               -12.7086            0.956801            1.04887             -0.525115           -16.9446            2.54681             
0.159974            11776               -9.63254            1.09184             0.261238            -0.786931           -10.3709            2.23797             
0.163451            12032               -6.18029            1.37728             0.658932            -1.22151            -8.68204            2.90601             
0.166929            12288               -0.997722           1.91134             0.473491            -2.0421             -2.72607            5.03146             
0.170407            12544               3.40269             1.79907             0.446807            -2.08674            1.74443             3.98342             
